,XAGE1E,CCND2,GPX3,STEAP1B,MAGEA1,CGREF1,C1orf233,NDN,GUSB,LEPREL4,KCNK15,CKB,LINC00942,TNFSF12,IGSF3,NT5E,HMGA2,RP11-197K6.1,CA8,RP11-90B9.2,FAM109B,PHACTR2,PCDHA11,SLC2A3,DUSP23,PAPSS2,KCNIP2-AS1,PLCD1,CTB-60B18.10,ZIM2
2802,0.0,53.0,15.0,2.0,7.0,8.0,1.0,5.0,17.0,34.0,14.0,51.0,12.0,55.0,57.0,165.0,29.0,3.0,9.0,31.0,50.0,26.0,10.0,124.0,846.0,216.0,37.0,86.0,268.0,360.0
2851,0.0,1.0,20.0,7.0,2.0,18.0,4.0,41.0,6.0,10.0,17.0,57.0,3.0,15.0,9.0,55.0,40.0,12.0,25.0,48.0,33.0,29.0,8.0,16.0,164.0,75.0,19.0,265.0,587.0,205.0
2900,0.0,1.0,16.0,3.0,5.0,17.0,88.0,24.0,59.0,13.0,12.0,231.0,66.0,11.0,14.0,460.0,97.0,71.0,46.0,57.0,10.0,34.0,91.0,49.0,41.0,52.0,63.0,22.0,334.0,585.0
2949,5.0,1.0,2.0,168.0,31.0,157.0,19.0,2348.0,7.0,24.0,261.0,9.0,12.0,27.0,11.0,65.0,10.0,138.0,62.0,51.0,3.0,127.0,26.0,34.0,75.0,1069.0,37.0,41.0,56.0,17.0
2998,10.0,33.0,1.0,38.0,11.0,99.0,39.0,199.0,23.0,7.0,86.0,28.0,4.0,141.0,41.0,110.0,22.0,2.0,69.0,36.0,0.0,118.0,35.0,3.0,247.0,803.0,14.0,49.0,51.0,133.0
3047,0.0,17.0,3.0,22.0,6.0,281.0,111.0,29.0,36.0,4.0,204.0,7.0,25.0,67.0,14.0,26.0,16.0,5.0,179.0,18.0,12.0,99.0,192.0,1.0,90.0,156.0,75.0,10.0,66.0,9.0
3096,1.0,3.0,0.0,13.0,17.0,147.0,30.0,50.0,33.0,63.0,119.0,8.0,16.0,99.0,163.0,12.0,24.0,5.0,27.0,21.0,2.0,29.0,9.0,6.0,26.0,193.0,48.0,64.0,61.0,4.0
3145,7.0,0.0,2.0,24.0,18.0,203.0,149.0,56.0,47.0,106.0,207.0,12.0,43.0,98.0,36.0,21.0,44.0,14.0,83.0,90.0,3.0,72.0,61.0,8.0,22.0,84.0,29.0,17.0,165.0,9.0
3194,6.0,19.0,0.0,3.0,136.0,221.0,21.0,14.0,49.0,10.0,137.0,1.0,17.0,1332.0,23.0,20.0,26.0,11.0,9.0,84.0,12.0,196.0,52.0,4.0,85.0,435.0,34.0,57.0,55.0,5.0
3243,3.0,1.0,0.0,4.0,38.0,332.0,17.0,26.0,16.0,21.0,154.0,2.0,59.0,354.0,32.0,12.0,10.0,6.0,9.0,139.0,31.0,66.0,13.0,146.0,27.0,112.0,43.0,42.0,192.0,5.0
3292,2.0,3.0,1.0,20.0,93.0,1263.0,96.0,32.0,31.0,7.0,120.0,5.0,18.0,25.0,55.0,65.0,26.0,0.0,57.0,14.0,11.0,77.0,12.0,4.0,36.0,85.0,47.0,37.0,181.0,6.0
3341,2.0,0.0,6.0,62.0,15.0,747.0,43.0,20.0,24.0,12.0,122.0,14.0,27.0,228.0,37.0,8.0,1.0,16.0,25.0,48.0,3.0,95.0,38.0,17.0,156.0,425.0,65.0,49.0,164.0,7.0
3390,1.0,7.0,13.0,6.0,0.0,57.0,120.0,9.0,18.0,19.0,1049.0,4.0,15.0,1221.0,294.0,10.0,5.0,2.0,58.0,44.0,119.0,50.0,55.0,8.0,41.0,578.0,268.0,49.0,30.0,40.0
3439,1.0,38.0,370.0,5.0,14.0,69.0,3.0,0.0,18.0,27.0,22.0,31.0,15.0,26.0,494.0,41.0,11.0,10.0,6.0,72.0,641.0,16.0,119.0,24.0,44.0,33.0,32.0,55.0,62.0,45.0
3488,0.0,16.0,28.0,31.0,26.0,41.0,12.0,1.0,36.0,14.0,64.0,32.0,286.0,136.0,480.0,105.0,3.0,9.0,13.0,4.0,736.0,39.0,33.0,10.0,37.0,40.0,73.0,141.0,7.0,18.0
3537,1.0,66.0,197.0,23.0,95.0,10.0,5.0,0.0,2.0,53.0,48.0,11.0,49.0,35.0,548.0,25.0,14.0,120.0,17.0,28.0,9.0,19.0,210.0,59.0,22.0,4.0,233.0,27.0,16.0,38.0
3586,2.0,6.0,337.0,4.0,32.0,90.0,65.0,0.0,8.0,19.0,23.0,21.0,718.0,40.0,1434.0,17.0,1.0,3.0,9.0,73.0,75.0,7.0,162.0,107.0,15.0,68.0,27.0,72.0,51.0,28.0
3635,1.0,25.0,48.0,6.0,8.0,14.0,2.0,0.0,63.0,103.0,35.0,5.0,170.0,44.0,269.0,29.0,4.0,13.0,28.0,100.0,23.0,10.0,61.0,11.0,81.0,80.0,125.0,42.0,58.0,94.0
3684,0.0,85.0,12.0,8.0,832.0,9.0,4.0,2.0,6.0,34.0,162.0,14.0,99.0,3.0,227.0,18.0,1.0,182.0,81.0,126.0,2129.0,16.0,26.0,7.0,20.0,86.0,68.0,57.0,30.0,51.0
3733,1.0,89.0,117.0,7.0,44.0,24.0,12.0,0.0,5.0,10.0,74.0,21.0,128.0,64.0,164.0,127.0,2.0,39.0,25.0,62.0,433.0,9.0,14.0,45.0,125.0,41.0,90.0,175.0,6.0,303.0
3782,1.0,40.0,128.0,9.0,17.0,53.0,22.0,0.0,14.0,18.0,10.0,13.0,211.0,122.0,1589.0,61.0,2.0,7.0,6.0,52.0,30.0,45.0,57.0,21.0,59.0,121.0,134.0,111.0,29.0,127.0
3831,0.0,129.0,21.0,3.0,201.0,63.0,23.0,1.0,8.0,36.0,6.0,15.0,105.0,10.0,515.0,44.0,12.0,30.0,4.0,28.0,199.0,5.0,54.0,19.0,31.0,76.0,96.0,140.0,34.0,33.0
3880,1.0,15.0,400.0,80.0,20.0,285.0,2.0,0.0,11.0,119.0,109.0,6.0,74.0,31.0,807.0,91.0,13.0,135.0,5.0,34.0,307.0,45.0,14.0,23.0,4.0,17.0,57.0,570.0,117.0,9.0
3929,2.0,9.0,7.0,1.0,1000.0,19.0,265.0,98.0,28.0,3.0,17.0,10.0,4.0,443.0,30.0,54.0,147.0,47.0,15.0,8.0,16.0,103.0,89.0,61.0,10274.0,195.0,57.0,53.0,155.0,225.0
3978,0.0,7.0,20.0,1.0,17.0,244.0,84.0,67.0,23.0,3.0,185.0,261.0,4.0,10.0,18.0,9.0,22.0,8.0,51.0,14.0,301.0,111.0,275.0,45.0,792.0,435.0,6.0,55.0,24.0,259.0
4027,1.0,4.0,24.0,0.0,12.0,33.0,63.0,3.0,10.0,18.0,14.0,53.0,41.0,88.0,13.0,9.0,54.0,19.0,17.0,15.0,447.0,49.0,6.0,23.0,66.0,380.0,118.0,25.0,90.0,179.0
4076,2.0,3.0,11.0,1.0,32.0,21.0,841.0,9.0,20.0,8.0,15.0,39.0,213.0,34.0,7.0,47.0,27.0,46.0,92.0,60.0,22.0,44.0,45.0,12.0,1021.0,80.0,89.0,135.0,54.0,423.0
4125,1.0,2.0,3.0,0.0,13.0,33.0,173.0,69.0,17.0,5.0,51.0,8.0,19.0,418.0,10.0,6.0,26.0,21.0,54.0,32.0,20.0,38.0,16.0,9.0,243.0,340.0,57.0,101.0,22.0,160.0
4174,0.0,2.0,4.0,1.0,10.0,11.0,90.0,18.0,54.0,15.0,9.0,8.0,12.0,40.0,7.0,13.0,75.0,73.0,50.0,45.0,81.0,60.0,74.0,5.0,328.0,117.0,28.0,26.0,44.0,304.0
4223,10.0,1.0,2.0,3.0,14.0,4.0,43.0,49.0,11.0,8.0,41.0,33.0,0.0,114.0,36.0,108.0,48.0,5.0,131.0,32.0,25.0,22.0,13.0,115.0,1007.0,214.0,60.0,61.0,21.0,308.0
4272,2.0,0.0,4.0,1.0,3.0,29.0,37.0,178.0,35.0,8.0,87.0,20.0,6.0,137.0,16.0,7.0,31.0,12.0,9.0,81.0,110.0,203.0,94.0,95.0,58.0,76.0,26.0,53.0,130.0,208.0
4321,0.0,1.0,3.0,14.0,10.0,30.0,27.0,1214.0,11.0,17.0,156.0,12.0,73.0,43.0,16.0,2.0,40.0,47.0,1078.0,78.0,176.0,48.0,29.0,23.0,299.0,550.0,157.0,144.0,155.0,367.0
4370,1.0,0.0,6.0,9.0,45.0,54.0,15.0,12.0,23.0,26.0,151.0,7.0,3.0,143.0,19.0,29.0,121.0,10.0,24.0,119.0,2.0,44.0,105.0,16.0,725.0,553.0,56.0,39.0,118.0,403.0
4419,0.0,8.0,4.0,2.0,30.0,15.0,1.0,7.0,31.0,28.0,10.0,67.0,51.0,185.0,18.0,11.0,16.0,206.0,33.0,5.0,56.0,25.0,21.0,99.0,6.0,9.0,3.0,100.0,19.0,42.0
4468,0.0,19.0,1.0,8.0,50.0,9.0,2.0,39.0,77.0,59.0,3.0,87.0,62.0,82.0,88.0,5.0,40.0,13.0,165.0,16.0,222.0,22.0,49.0,661.0,12.0,28.0,10.0,37.0,26.0,27.0
4517,0.0,39.0,8.0,7.0,2.0,21.0,1.0,84.0,120.0,28.0,25.0,71.0,5.0,47.0,76.0,6.0,96.0,82.0,48.0,14.0,172.0,44.0,10.0,55.0,4.0,32.0,23.0,162.0,30.0,38.0
4566,0.0,16.0,1.0,5.0,14.0,36.0,4.0,10.0,19.0,8.0,6.0,52.0,32.0,167.0,45.0,23.0,106.0,249.0,65.0,12.0,2.0,9.0,3.0,199.0,31.0,22.0,17.0,113.0,53.0,28.0
4615,5.0,46.0,2.0,11.0,68.0,21.0,0.0,2177.0,111.0,114.0,15.0,73.0,7.0,4.0,14.0,33.0,51.0,18.0,147.0,13.0,19.0,205.0,10.0,94.0,3.0,104.0,9.0,102.0,40.0,84.0
4664,0.0,14.0,2.0,3.0,6.0,7.0,1.0,4.0,40.0,18.0,13.0,80.0,27.0,150.0,20.0,8.0,38.0,47.0,21.0,12.0,68.0,65.0,5.0,203.0,9.0,10.0,19.0,23.0,25.0,26.0
4713,0.0,28.0,2.0,3.0,6.0,11.0,1.0,8.0,252.0,42.0,21.0,55.0,26.0,16.0,15.0,25.0,29.0,38.0,121.0,5.0,36.0,24.0,4.0,168.0,9.0,19.0,18.0,43.0,60.0,17.0
4762,0.0,11.0,1.0,4.0,2.0,23.0,14.0,7.0,25.0,35.0,8.0,338.0,120.0,28.0,58.0,20.0,27.0,101.0,36.0,34.0,3.0,38.0,24.0,104.0,5.0,21.0,39.0,47.0,94.0,99.0
4811,0.0,7.0,2.0,3.0,12.0,16.0,1.0,11.0,91.0,28.0,48.0,24.0,33.0,37.0,34.0,14.0,83.0,42.0,26.0,21.0,10.0,61.0,134.0,29.0,18.0,5.0,9.0,72.0,52.0,13.0
4860,0.0,19.0,20.0,2.0,21.0,6.0,5.0,66.0,92.0,7.0,1.0,269.0,49.0,45.0,35.0,309.0,44.0,3.0,123.0,15.0,14.0,29.0,47.0,113.0,285.0,31.0,12.0,126.0,39.0,34.0
