, JAK-STAT, MAPK_PI3K, PI3K_only, TGFB, VEGF, MAPK_only, TLR, IL-1, Wnt, H2O2, TNFa
3323,4.0,0.0,2.0,1.0,10.0,5.0,8.0,3.0,7.0,9.0,6.0
3372,5.0,0.0,2.0,1.0,10.0,9.0,6.0,3.0,4.0,7.0,8.0
3421,4.0,0.0,3.0,5.0,9.0,7.0,10.0,1.0,6.0,2.0,8.0
3470,0.0,6.0,2.0,5.0,1.0,3.0,7.0,10.0,4.0,8.0,9.0
3519,0.0,4.0,2.0,7.0,5.0,8.0,3.0,6.0,1.0,10.0,9.0
3568,0.0,4.0,2.0,6.0,5.0,10.0,1.0,7.0,3.0,9.0,8.0
3617,0.0,7.0,2.0,8.0,3.0,9.0,5.0,10.0,4.0,1.0,6.0
3666,0.0,5.0,1.0,8.0,10.0,7.0,2.0,9.0,3.0,6.0,4.0
3715,0.0,1.0,4.0,6.0,3.0,7.0,8.0,9.0,2.0,10.0,5.0
3764,0.0,6.0,4.0,5.0,7.0,10.0,2.0,9.0,8.0,1.0,3.0
3813,0.0,6.0,4.0,10.0,5.0,8.0,3.0,2.0,7.0,9.0,1.0
3862,0.0,7.0,3.0,8.0,4.0,6.0,2.0,9.0,1.0,10.0,5.0
3911,0.0,6.0,1.0,10.0,3.0,8.0,4.0,7.0,9.0,5.0,2.0
3960,1.0,0.0,2.0,3.0,7.0,9.0,4.0,6.0,10.0,8.0,5.0
4009,0.0,2.0,3.0,1.0,6.0,4.0,9.0,7.0,5.0,8.0,10.0
4058,2.0,0.0,1.0,6.0,5.0,7.0,8.0,3.0,9.0,10.0,4.0
4107,2.0,0.0,3.0,1.0,6.0,8.0,7.0,5.0,9.0,10.0,4.0
4156,1.0,3.0,0.0,2.0,5.0,6.0,10.0,4.0,9.0,8.0,7.0
4205,1.0,0.0,2.0,4.0,3.0,5.0,6.0,9.0,8.0,10.0,7.0
4254,2.0,1.0,0.0,5.0,3.0,7.0,10.0,6.0,9.0,8.0,4.0
4303,0.0,2.0,3.0,4.0,1.0,6.0,5.0,10.0,7.0,8.0,9.0
4352,3.0,1.0,0.0,2.0,8.0,6.0,10.0,9.0,4.0,5.0,7.0
4401,0.0,2.0,1.0,4.0,3.0,7.0,9.0,10.0,8.0,6.0,5.0
4450,3.0,0.0,2.0,6.0,4.0,5.0,7.0,8.0,10.0,1.0,9.0
4499,1.0,0.0,2.0,7.0,5.0,6.0,4.0,8.0,3.0,9.0,10.0
4548,1.0,0.0,2.0,4.0,6.0,10.0,7.0,8.0,9.0,3.0,5.0
4597,0.0,2.0,1.0,3.0,8.0,5.0,9.0,10.0,6.0,7.0,4.0
4646,0.0,3.0,5.0,7.0,6.0,2.0,4.0,9.0,8.0,1.0,10.0
4695,2.0,0.0,1.0,5.0,6.0,3.0,7.0,9.0,4.0,8.0,10.0
4744,5.0,0.0,2.0,3.0,9.0,8.0,1.0,4.0,7.0,6.0,10.0
4793,2.0,0.0,1.0,3.0,5.0,9.0,7.0,6.0,4.0,8.0,10.0
4842,2.0,0.0,3.0,1.0,9.0,6.0,5.0,7.0,10.0,4.0,8.0
4891,1.0,0.0,2.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0,4.0
