,SKIN,LIVER,OESOPHAGUS,BREAST,LUNG,HAEMATOPOIETIC,NERVOUS,PANCREAS,OVARY,STOMACH,LARGE_INTESTINE,URINARY,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,0.0,1.0,2.0,6.0,5.0,10.0,7.0,8.0,9.0,4.0,12.0,11.0,13.0,14.0,3.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,0.0,3.0,2.0,8.0,7.0,9.0,6.0,5.0,10.0,12.0,11.0,20.0,13.0,14.0,4.0,15.0,1.0,16.0,17.0,18.0,19.0,21.0,22.0
145,0.0,1.0,2.0,7.0,5.0,3.0,6.0,8.0,12.0,9.0,10.0,11.0,13.0,14.0,4.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,3.0,1.0,6.0,5.0,7.0,4.0,8.0,11.0,13.0,12.0,10.0,14.0,15.0,2.0,16.0,9.0,17.0,18.0,19.0,20.0,21.0,22.0
243,0.0,3.0,1.0,7.0,6.0,5.0,4.0,9.0,11.0,13.0,12.0,10.0,14.0,15.0,2.0,16.0,8.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,2.0,1.0,5.0,4.0,10.0,6.0,8.0,11.0,9.0,13.0,12.0,14.0,15.0,3.0,16.0,7.0,17.0,18.0,19.0,20.0,21.0,22.0
341,0.0,2.0,1.0,5.0,3.0,7.0,6.0,4.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,9.0,17.0,18.0,19.0,20.0,16.0,22.0
390,0.0,3.0,1.0,6.0,4.0,5.0,7.0,8.0,11.0,12.0,10.0,9.0,13.0,14.0,2.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,0.0,2.0,1.0,4.0,7.0,10.0,6.0,5.0,11.0,8.0,12.0,13.0,14.0,15.0,3.0,16.0,9.0,17.0,18.0,19.0,20.0,21.0,22.0
488,0.0,16.0,1.0,4.0,3.0,7.0,5.0,8.0,2.0,10.0,11.0,9.0,12.0,13.0,21.0,14.0,6.0,17.0,18.0,19.0,20.0,15.0,22.0
537,0.0,1.0,4.0,2.0,7.0,6.0,3.0,5.0,10.0,12.0,9.0,8.0,11.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
586,0.0,1.0,7.0,2.0,4.0,6.0,3.0,5.0,9.0,11.0,10.0,8.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
635,0.0,2.0,1.0,5.0,8.0,4.0,7.0,3.0,11.0,6.0,9.0,10.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
684,0.0,1.0,7.0,3.0,6.0,4.0,5.0,2.0,8.0,10.0,9.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
733,0.0,3.0,2.0,4.0,7.0,5.0,6.0,1.0,9.0,10.0,8.0,20.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
782,0.0,1.0,8.0,6.0,2.0,5.0,4.0,3.0,11.0,9.0,7.0,10.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
