,GAPDH,MSH6,HSP70,Gab2,AR,P-Cadherin,PI3K-p85,Cyclin_D1,Claudin-7,Rb_pS807_S811,Porin,Bcl-2,GSK-3-BETA,C-Raf_pS338,TSC1,FoxM1,ADAR1,MIG-6,Caspase-7_cleavedD198,p90RSK_pT573,CD31,YB-1_pS102,Cyclin_E2,Chk1_pS345,Rb,Bax,PKC-alpha,RAD51,Beclin,CDK1
2,4.0,0.0,8.0,46.0,25.0,1.0,2.0,15.0,3.0,6.0,16.0,7.0,31.0,5.0,11.0,19.0,30.0,13.0,27.0,21.0,24.0,12.0,29.0,20.0,23.0,41.0,35.0,9.0,22.0,47.0
51,2.0,4.0,11.0,41.0,35.0,0.0,3.0,19.0,1.0,9.0,13.0,8.0,12.0,20.0,6.0,15.0,44.0,26.0,22.0,5.0,28.0,17.0,29.0,51.0,36.0,21.0,18.0,45.0,38.0,66.0
100,0.0,3.0,9.0,25.0,52.0,1.0,2.0,36.0,6.0,16.0,22.0,7.0,24.0,21.0,12.0,11.0,29.0,8.0,10.0,5.0,30.0,4.0,50.0,19.0,23.0,66.0,18.0,20.0,54.0,44.0
149,1.0,2.0,0.0,7.0,22.0,5.0,16.0,12.0,6.0,25.0,3.0,8.0,40.0,11.0,41.0,4.0,18.0,9.0,37.0,13.0,20.0,10.0,28.0,17.0,26.0,23.0,32.0,31.0,15.0,46.0
198,0.0,4.0,2.0,12.0,17.0,1.0,9.0,18.0,11.0,5.0,13.0,7.0,8.0,43.0,16.0,3.0,59.0,14.0,20.0,25.0,30.0,10.0,21.0,49.0,15.0,23.0,39.0,37.0,35.0,50.0
247,2.0,5.0,0.0,7.0,10.0,3.0,6.0,27.0,4.0,20.0,18.0,14.0,23.0,12.0,21.0,8.0,60.0,16.0,1.0,19.0,28.0,13.0,97.0,9.0,40.0,11.0,51.0,26.0,15.0,46.0
296,10.0,3.0,2.0,7.0,6.0,1.0,4.0,14.0,0.0,13.0,11.0,23.0,73.0,49.0,20.0,24.0,57.0,8.0,5.0,19.0,38.0,17.0,66.0,12.0,18.0,46.0,25.0,44.0,47.0,63.0
345,8.0,2.0,0.0,31.0,7.0,1.0,4.0,15.0,26.0,14.0,22.0,18.0,23.0,33.0,10.0,17.0,21.0,3.0,6.0,11.0,29.0,5.0,27.0,25.0,9.0,28.0,58.0,30.0,49.0,71.0
394,1.0,3.0,4.0,15.0,12.0,0.0,9.0,11.0,23.0,2.0,8.0,5.0,19.0,22.0,13.0,6.0,25.0,34.0,7.0,20.0,24.0,10.0,71.0,14.0,16.0,30.0,35.0,18.0,17.0,64.0
443,1.0,9.0,0.0,65.0,6.0,3.0,2.0,15.0,50.0,32.0,4.0,8.0,11.0,5.0,41.0,19.0,53.0,25.0,26.0,7.0,37.0,18.0,49.0,16.0,33.0,38.0,14.0,12.0,66.0,45.0
492,2.0,4.0,7.0,0.0,6.0,1.0,9.0,5.0,26.0,10.0,20.0,14.0,16.0,3.0,8.0,39.0,11.0,60.0,51.0,45.0,13.0,22.0,21.0,30.0,17.0,23.0,46.0,12.0,28.0,15.0
