,hsa-miR-616,hsa-miR-329,hsa-miR-630,hsa-miR-627,hsa-miR-584,hsa-miR-588,hsa-miR-103,ebv-miR-BART7,hsa-miR-339-5p,hsa-miR-196b,hsa-miR-494,hsa-miR-1226,hsa-miR-198,hsa-miR-518d-3p,kshv-miR-K12-11,hsa-miR-1538,hsa-miR-369-5p,hsa-miR-2052,hsa-miR-564,hsa-miR-323-3p,hsa-miR-373,kshv-miR-K12-6-3p,hsa-miR-187,hsa-miR-126,hsa-miR-1197,hsa-miR-137,hsa-miR-548d-5p,hsa-let-7c,hsa-miR-181c,hsa-miR-455-5p
19,3.0,53.0,164.0,37.0,246.0,61.0,98.0,58.0,115.0,45.0,31.0,106.0,92.0,141.0,48.0,60.0,17.0,488.0,210.0,30.0,152.0,304.0,69.0,67.0,103.0,142.0,15.0,302.0,74.0,133.0
68,39.0,96.0,243.0,85.0,4.0,126.0,171.0,101.0,115.0,79.0,91.0,449.0,417.0,88.0,47.0,45.0,90.0,148.0,152.0,629.0,141.0,160.0,100.0,63.0,455.0,31.0,58.0,170.0,94.0,166.0
117,19.0,36.0,158.0,97.0,51.0,70.0,144.0,85.0,18.0,34.0,87.0,166.0,409.0,42.0,21.0,105.0,128.0,33.0,239.0,8.0,28.0,99.0,126.0,47.0,101.0,112.0,60.0,159.0,110.0,114.0
166,8.0,28.0,117.0,37.0,31.0,23.0,49.0,63.0,148.0,15.0,103.0,153.0,99.0,3.0,54.0,106.0,445.0,124.0,91.0,64.0,105.0,113.0,74.0,158.0,308.0,149.0,93.0,151.0,429.0,97.0
215,3.0,21.0,97.0,95.0,67.0,104.0,45.0,131.0,93.0,87.0,575.0,40.0,466.0,43.0,327.0,143.0,120.0,515.0,119.0,85.0,444.0,114.0,48.0,152.0,308.0,166.0,110.0,60.0,36.0,153.0
264,87.0,104.0,114.0,108.0,60.0,77.0,25.0,135.0,156.0,58.0,606.0,27.0,96.0,8.0,16.0,91.0,130.0,125.0,177.0,56.0,109.0,103.0,193.0,188.0,28.0,147.0,79.0,105.0,68.0,84.0
313,24.0,54.0,57.0,29.0,141.0,88.0,92.0,158.0,33.0,444.0,166.0,134.0,64.0,4.0,8.0,23.0,5.0,94.0,68.0,593.0,102.0,299.0,185.0,136.0,194.0,101.0,548.0,84.0,177.0,85.0
362,30.0,68.0,63.0,62.0,78.0,82.0,83.0,42.0,57.0,4.0,509.0,447.0,11.0,39.0,283.0,52.0,46.0,148.0,142.0,14.0,94.0,278.0,173.0,15.0,453.0,137.0,200.0,464.0,162.0,109.0
411,82.0,99.0,153.0,48.0,30.0,94.0,91.0,45.0,169.0,414.0,103.0,139.0,409.0,555.0,73.0,157.0,566.0,160.0,258.0,620.0,154.0,222.0,72.0,118.0,452.0,122.0,232.0,134.0,123.0,113.0
460,15.0,21.0,31.0,83.0,104.0,37.0,162.0,74.0,76.0,30.0,123.0,602.0,388.0,550.0,56.0,126.0,626.0,16.0,99.0,158.0,89.0,138.0,79.0,92.0,42.0,494.0,108.0,84.0,154.0,43.0
509,8.0,47.0,115.0,55.0,89.0,48.0,120.0,51.0,619.0,422.0,122.0,152.0,67.0,60.0,101.0,57.0,90.0,94.0,135.0,133.0,98.0,154.0,91.0,161.0,92.0,103.0,233.0,164.0,375.0,68.0
558,25.0,44.0,332.0,145.0,241.0,14.0,61.0,92.0,621.0,421.0,63.0,42.0,64.0,552.0,285.0,23.0,113.0,29.0,84.0,45.0,96.0,8.0,371.0,80.0,86.0,87.0,230.0,464.0,377.0,103.0
607,52.0,43.0,121.0,165.0,59.0,100.0,14.0,301.0,39.0,427.0,80.0,75.0,120.0,553.0,27.0,60.0,142.0,106.0,119.0,4.0,614.0,240.0,375.0,465.0,103.0,78.0,212.0,461.0,159.0,82.0
656,161.0,114.0,119.0,122.0,260.0,40.0,107.0,136.0,55.0,413.0,71.0,59.0,162.0,28.0,305.0,498.0,78.0,3.0,79.0,139.0,14.0,100.0,113.0,106.0,37.0,121.0,546.0,65.0,128.0,132.0
705,125.0,45.0,155.0,73.0,32.0,240.0,23.0,86.0,619.0,1.0,62.0,182.0,5.0,48.0,253.0,92.0,608.0,166.0,143.0,87.0,169.0,137.0,90.0,42.0,456.0,105.0,49.0,70.0,167.0,107.0
754,121.0,30.0,188.0,89.0,69.0,28.0,10.0,46.0,626.0,432.0,533.0,88.0,106.0,33.0,289.0,172.0,94.0,142.0,147.0,572.0,32.0,284.0,170.0,139.0,4.0,119.0,376.0,182.0,79.0,103.0
803,190.0,29.0,85.0,139.0,39.0,6.0,11.0,251.0,103.0,429.0,59.0,55.0,53.0,91.0,289.0,383.0,80.0,13.0,83.0,21.0,110.0,284.0,48.0,469.0,457.0,141.0,372.0,466.0,379.0,140.0
852,111.0,30.0,14.0,84.0,37.0,8.0,19.0,119.0,594.0,489.0,54.0,177.0,95.0,514.0,44.0,76.0,90.0,4.0,92.0,28.0,66.0,298.0,94.0,64.0,333.0,139.0,48.0,305.0,447.0,39.0
901,75.0,35.0,76.0,124.0,44.0,101.0,171.0,100.0,38.0,47.0,133.0,117.0,128.0,560.0,93.0,387.0,21.0,138.0,62.0,17.0,156.0,284.0,108.0,152.0,56.0,59.0,629.0,74.0,125.0,530.0
950,100.0,96.0,142.0,58.0,104.0,108.0,26.0,259.0,160.0,82.0,57.0,124.0,156.0,19.0,286.0,20.0,606.0,60.0,43.0,625.0,49.0,24.0,47.0,161.0,128.0,126.0,629.0,42.0,137.0,145.0
999,14.0,22.0,117.0,330.0,21.0,76.0,25.0,73.0,37.0,34.0,509.0,65.0,420.0,550.0,216.0,135.0,91.0,415.0,55.0,121.0,60.0,224.0,71.0,153.0,92.0,72.0,234.0,106.0,378.0,59.0
