,1-methylnicotinamide,homocysteine,uridine,serine,palmitoylcarnitine,GABA,C34:4 PC,5-HIAA,alpha-glycerophosphate,putrescine,2-deoxycytidine,creatinine,C18:0 LPC,acetylcholine,C20:4 CE,C34:2 DAG,C36:1 DAG,butyrylcarnitine/isobutyrylcarnitine,C16:0 LPE,alpha-hydroxybutyrate,C56:3 TAG,C22:6 CE,guanosine,C22:6 LPE,dCMP,UMP,serotonin,phosphocreatine,PEP,pyroglutamic acid
27,0.0,9.0,4.0,24.0,8.0,3.0,10.0,6.0,27.0,7.0,63.0,17.0,23.0,19.0,21.0,11.0,45.0,46.0,14.0,2.0,25.0,1.0,32.0,42.0,31.0,5.0,22.0,30.0,34.0,64.0
76,0.0,66.0,28.0,12.0,7.0,61.0,36.0,4.0,22.0,3.0,6.0,5.0,8.0,1.0,32.0,41.0,33.0,9.0,24.0,10.0,13.0,2.0,29.0,25.0,27.0,23.0,19.0,55.0,52.0,16.0
125,0.0,3.0,1.0,22.0,16.0,4.0,41.0,15.0,26.0,2.0,64.0,13.0,17.0,12.0,20.0,5.0,19.0,33.0,39.0,25.0,23.0,44.0,9.0,7.0,6.0,30.0,54.0,53.0,61.0,47.0
174,0.0,8.0,1.0,6.0,39.0,12.0,3.0,15.0,23.0,11.0,10.0,54.0,35.0,44.0,29.0,34.0,30.0,37.0,25.0,4.0,66.0,28.0,31.0,27.0,9.0,24.0,14.0,56.0,53.0,18.0
223,0.0,2.0,1.0,19.0,16.0,4.0,39.0,6.0,27.0,13.0,8.0,43.0,18.0,63.0,3.0,24.0,26.0,36.0,41.0,20.0,5.0,35.0,30.0,31.0,62.0,7.0,15.0,10.0,48.0,33.0
272,0.0,23.0,5.0,1.0,13.0,3.0,17.0,8.0,2.0,65.0,63.0,7.0,36.0,59.0,12.0,11.0,21.0,16.0,22.0,28.0,24.0,45.0,39.0,40.0,42.0,30.0,4.0,54.0,61.0,48.0
321,0.0,8.0,5.0,3.0,11.0,19.0,9.0,52.0,28.0,12.0,62.0,7.0,2.0,17.0,43.0,6.0,42.0,39.0,20.0,25.0,66.0,44.0,10.0,15.0,32.0,1.0,21.0,50.0,58.0,47.0
370,0.0,11.0,22.0,18.0,20.0,3.0,40.0,9.0,12.0,13.0,7.0,64.0,15.0,8.0,26.0,5.0,23.0,34.0,38.0,51.0,1.0,28.0,29.0,6.0,2.0,25.0,30.0,50.0,47.0,43.0
419,8.0,1.0,0.0,29.0,24.0,14.0,11.0,26.0,12.0,23.0,20.0,3.0,6.0,2.0,13.0,19.0,45.0,48.0,39.0,31.0,27.0,46.0,7.0,9.0,10.0,4.0,22.0,56.0,30.0,21.0
468,4.0,1.0,2.0,24.0,18.0,0.0,5.0,11.0,31.0,9.0,23.0,10.0,38.0,3.0,7.0,8.0,33.0,44.0,20.0,52.0,26.0,41.0,36.0,22.0,6.0,28.0,53.0,54.0,61.0,48.0
517,2.0,5.0,9.0,4.0,22.0,19.0,12.0,1.0,0.0,3.0,6.0,13.0,8.0,21.0,28.0,10.0,27.0,17.0,36.0,18.0,66.0,29.0,11.0,31.0,14.0,54.0,16.0,56.0,53.0,24.0
566,4.0,0.0,2.0,6.0,3.0,53.0,40.0,12.0,5.0,18.0,24.0,11.0,8.0,14.0,20.0,42.0,10.0,19.0,22.0,7.0,25.0,13.0,30.0,39.0,26.0,61.0,52.0,1.0,29.0,49.0
615,6.0,0.0,9.0,8.0,5.0,7.0,25.0,17.0,31.0,35.0,22.0,45.0,16.0,12.0,1.0,3.0,30.0,14.0,43.0,21.0,10.0,23.0,11.0,32.0,34.0,49.0,56.0,29.0,28.0,33.0
664,0.0,3.0,1.0,2.0,40.0,21.0,28.0,20.0,4.0,8.0,14.0,54.0,34.0,18.0,24.0,27.0,25.0,13.0,32.0,30.0,66.0,9.0,5.0,36.0,26.0,33.0,61.0,22.0,6.0,15.0
713,5.0,2.0,29.0,0.0,15.0,59.0,28.0,14.0,1.0,10.0,9.0,6.0,3.0,11.0,24.0,26.0,7.0,20.0,32.0,18.0,66.0,8.0,27.0,41.0,46.0,34.0,13.0,12.0,33.0,19.0
762,1.0,0.0,31.0,7.0,22.0,11.0,3.0,2.0,27.0,21.0,6.0,16.0,5.0,59.0,19.0,15.0,20.0,48.0,47.0,52.0,25.0,10.0,28.0,23.0,32.0,65.0,53.0,29.0,35.0,63.0
811,8.0,0.0,5.0,18.0,11.0,63.0,23.0,2.0,27.0,34.0,1.0,12.0,28.0,6.0,21.0,16.0,15.0,9.0,35.0,3.0,66.0,22.0,4.0,37.0,46.0,55.0,62.0,29.0,65.0,7.0
860,0.0,3.0,1.0,7.0,4.0,53.0,20.0,25.0,22.0,16.0,15.0,14.0,18.0,5.0,23.0,21.0,2.0,17.0,47.0,30.0,9.0,24.0,10.0,40.0,26.0,31.0,12.0,63.0,41.0,49.0
909,1.0,2.0,28.0,0.0,5.0,9.0,41.0,17.0,12.0,7.0,20.0,8.0,4.0,13.0,32.0,29.0,3.0,6.0,18.0,51.0,10.0,42.0,11.0,23.0,35.0,31.0,16.0,26.0,49.0,44.0
958,0.0,15.0,54.0,7.0,6.0,2.0,31.0,13.0,4.0,40.0,21.0,64.0,23.0,17.0,33.0,26.0,25.0,37.0,24.0,56.0,66.0,5.0,10.0,36.0,8.0,27.0,11.0,30.0,28.0,34.0
1007,0.0,2.0,11.0,10.0,4.0,1.0,41.0,9.0,13.0,5.0,22.0,23.0,45.0,7.0,15.0,42.0,16.0,21.0,3.0,28.0,12.0,44.0,25.0,18.0,26.0,30.0,52.0,27.0,29.0,48.0
1056,0.0,13.0,18.0,24.0,29.0,8.0,6.0,9.0,14.0,17.0,28.0,45.0,43.0,21.0,41.0,5.0,40.0,32.0,35.0,11.0,1.0,42.0,23.0,7.0,44.0,12.0,57.0,20.0,47.0,2.0
1105,2.0,0.0,55.0,3.0,7.0,8.0,27.0,11.0,46.0,38.0,34.0,1.0,19.0,45.0,39.0,24.0,9.0,12.0,36.0,5.0,66.0,41.0,25.0,28.0,4.0,32.0,60.0,20.0,54.0,40.0
1154,3.0,0.0,8.0,1.0,39.0,5.0,15.0,60.0,12.0,42.0,11.0,16.0,32.0,17.0,36.0,26.0,13.0,4.0,35.0,7.0,66.0,20.0,31.0,10.0,14.0,9.0,22.0,25.0,28.0,33.0
1203,8.0,3.0,0.0,2.0,31.0,4.0,17.0,1.0,13.0,44.0,64.0,7.0,11.0,6.0,19.0,40.0,41.0,21.0,15.0,24.0,23.0,20.0,10.0,12.0,26.0,27.0,54.0,48.0,25.0,46.0
1252,0.0,5.0,26.0,10.0,1.0,3.0,6.0,9.0,13.0,16.0,20.0,7.0,19.0,8.0,32.0,35.0,40.0,17.0,23.0,4.0,11.0,28.0,56.0,24.0,2.0,47.0,57.0,49.0,46.0,15.0
1301,2.0,0.0,29.0,23.0,27.0,17.0,12.0,19.0,1.0,31.0,13.0,7.0,33.0,14.0,35.0,10.0,11.0,40.0,37.0,3.0,66.0,15.0,26.0,8.0,47.0,54.0,18.0,6.0,53.0,36.0
1350,1.0,2.0,4.0,13.0,5.0,0.0,10.0,22.0,12.0,8.0,17.0,60.0,39.0,18.0,20.0,11.0,15.0,34.0,6.0,3.0,25.0,21.0,26.0,9.0,29.0,33.0,53.0,27.0,63.0,16.0
