,MEK1_pS217_S221,Caveolin-1,CDK1,RAD51,Chk2,Gab2,GAPDH,Collagen_VI,PRAS40_pT246,A-Raf_pS299,Akt_pS473,TFRC,Bcl-2,XBP1,p21,VAV1,ACC_pS79,Src_pY416,Annexin_VII,IGFBP2,NF2,MDM2_pS166,p90RSK_pT359_S363,PDK1,PI3K-p110-alpha,Notch1,PDK1_pS241,PEA15,Paxillin,PEA15_pS116
6,28.0,19.0,107.0,24.0,128.0,161.0,162.0,12.0,61.0,31.0,5.0,3.0,22.0,63.0,36.0,65.0,116.0,2.0,39.0,135.0,32.0,141.0,4.0,58.0,43.0,56.0,25.0,20.0,50.0,44.0
55,28.0,24.0,18.0,20.0,120.0,161.0,19.0,131.0,23.0,2.0,31.0,4.0,25.0,38.0,32.0,1.0,3.0,26.0,42.0,10.0,39.0,136.0,14.0,51.0,47.0,45.0,50.0,44.0,53.0,48.0
104,27.0,2.0,6.0,3.0,149.0,162.0,16.0,8.0,12.0,123.0,118.0,32.0,44.0,61.0,28.0,59.0,37.0,38.0,114.0,20.0,31.0,25.0,18.0,17.0,93.0,65.0,54.0,15.0,49.0,69.0
153,30.0,0.0,2.0,6.0,17.0,12.0,159.0,131.0,51.0,28.0,34.0,35.0,5.0,64.0,57.0,66.0,122.0,76.0,39.0,9.0,95.0,138.0,7.0,48.0,4.0,85.0,47.0,46.0,50.0,59.0
202,36.0,14.0,18.0,22.0,21.0,159.0,160.0,131.0,64.0,32.0,5.0,37.0,0.0,31.0,54.0,35.0,33.0,76.0,125.0,2.0,3.0,137.0,7.0,11.0,23.0,47.0,43.0,61.0,52.0,50.0
251,28.0,4.0,97.0,5.0,24.0,162.0,148.0,25.0,92.0,31.0,0.0,38.0,6.0,64.0,56.0,66.0,30.0,19.0,124.0,8.0,43.0,134.0,17.0,59.0,42.0,44.0,46.0,20.0,52.0,48.0
300,4.0,105.0,1.0,22.0,129.0,161.0,162.0,9.0,55.0,28.0,121.0,62.0,3.0,70.0,32.0,29.0,7.0,73.0,125.0,136.0,27.0,142.0,2.0,43.0,17.0,30.0,42.0,54.0,16.0,40.0
349,1.0,22.0,40.0,9.0,108.0,10.0,162.0,146.0,90.0,30.0,34.0,6.0,33.0,62.0,8.0,65.0,3.0,25.0,39.0,26.0,28.0,29.0,24.0,18.0,43.0,55.0,17.0,44.0,57.0,41.0
398,33.0,99.0,15.0,20.0,18.0,148.0,147.0,131.0,21.0,5.0,6.0,4.0,7.0,28.0,36.0,71.0,29.0,67.0,41.0,138.0,84.0,35.0,10.0,51.0,44.0,27.0,17.0,19.0,55.0,45.0
447,47.0,14.0,131.0,16.0,162.0,18.0,149.0,19.0,82.0,124.0,1.0,70.0,36.0,75.0,35.0,33.0,34.0,25.0,40.0,140.0,2.0,45.0,10.0,48.0,56.0,86.0,59.0,49.0,15.0,55.0
496,6.0,0.0,18.0,82.0,11.0,24.0,148.0,130.0,7.0,1.0,31.0,65.0,109.0,72.0,52.0,2.0,28.0,66.0,123.0,3.0,29.0,143.0,22.0,56.0,40.0,54.0,9.0,25.0,44.0,41.0
545,35.0,0.0,112.0,85.0,21.0,13.0,4.0,6.0,26.0,2.0,7.0,69.0,9.0,28.0,33.0,5.0,3.0,10.0,37.0,14.0,95.0,38.0,16.0,23.0,42.0,87.0,41.0,44.0,18.0,43.0
594,29.0,98.0,14.0,86.0,16.0,19.0,160.0,18.0,22.0,32.0,33.0,39.0,31.0,41.0,53.0,37.0,30.0,26.0,1.0,134.0,84.0,140.0,59.0,51.0,48.0,46.0,15.0,60.0,55.0,47.0
643,3.0,18.0,17.0,81.0,20.0,9.0,8.0,149.0,4.0,28.0,0.0,29.0,95.0,2.0,51.0,33.0,32.0,5.0,124.0,6.0,43.0,141.0,49.0,39.0,57.0,56.0,23.0,24.0,40.0,42.0
692,34.0,0.0,2.0,85.0,13.0,15.0,42.0,9.0,78.0,29.0,35.0,3.0,107.0,1.0,53.0,31.0,30.0,32.0,124.0,8.0,26.0,141.0,48.0,57.0,37.0,56.0,39.0,38.0,46.0,44.0
741,10.0,18.0,20.0,82.0,150.0,15.0,14.0,0.0,8.0,6.0,119.0,33.0,24.0,4.0,54.0,7.0,26.0,9.0,124.0,138.0,31.0,35.0,48.0,42.0,25.0,34.0,38.0,40.0,44.0,41.0
