,PXDN,CDC20P1,ZNF853,SPIN3,GLB1L2,MAGEA1,EPSTI1,FUZ,PNMAL1,AC016683.6,H2AFY2,LINC00942,SPON2,ACKR3,GPX3,VAMP5,HIC1,C1orf233,XAGE1E,AGAP4,SYCP2L,EMR1,SLC7A2,PKD1P5,CLDN11,H3F3B,RPS2P7,MXRA8,RHOU,MXD1
8,2.0,0.0,11.0,14.0,8.0,13.0,58.0,54.0,5.0,15.0,37.0,4.0,20.0,143.0,6.0,25.0,39.0,122.0,672.0,144.0,171.0,1.0,269.0,34.0,173.0,105.0,17.0,63.0,116.0,24.0
57,1.0,0.0,19.0,5.0,17.0,3.0,6.0,22.0,2.0,8.0,13.0,29.0,23.0,12.0,249.0,172.0,11.0,72.0,30.0,31.0,66.0,4.0,9.0,68.0,42.0,35.0,7.0,16.0,65.0,82.0
106,0.0,1.0,7.0,40.0,37.0,12.0,91.0,23.0,4.0,24.0,6.0,16.0,17.0,55.0,8.0,33.0,11.0,291.0,51.0,20.0,66.0,2.0,3.0,35.0,15.0,28.0,26.0,53.0,115.0,45.0
155,7.0,9.0,0.0,27.0,10.0,23.0,51.0,36.0,2.0,274.0,6.0,24.0,12.0,11.0,40.0,237.0,15.0,3.0,244.0,4.0,93.0,13.0,1.0,31.0,48.0,28.0,17.0,200.0,18.0,5.0
204,4.0,0.0,1.0,28.0,12.0,578.0,2.0,19.0,18.0,231.0,101.0,84.0,31.0,742.0,49.0,8.0,21.0,41.0,216.0,1211.0,92.0,7.0,14.0,5.0,6.0,40.0,440.0,108.0,165.0,494.0
253,1.0,0.0,4.0,7.0,13.0,56.0,38.0,10.0,2.0,26.0,18.0,186.0,8.0,17.0,93.0,3.0,11.0,235.0,197.0,61.0,23.0,5.0,29.0,27.0,52.0,60.0,9.0,57.0,47.0,71.0
302,0.0,1.0,3.0,23.0,2.0,4.0,16.0,62.0,6.0,79.0,17.0,45.0,7.0,13.0,18.0,19.0,26.0,93.0,57.0,14.0,43.0,5.0,95.0,76.0,90.0,47.0,9.0,122.0,48.0,50.0
351,3.0,0.0,4.0,11.0,9.0,1.0,7.0,17.0,13.0,180.0,66.0,10.0,365.0,32.0,38.0,41.0,57.0,584.0,331.0,130.0,70.0,18.0,51.0,21.0,43.0,64.0,37.0,635.0,76.0,45.0
400,2.0,0.0,19.0,8.0,27.0,1.0,3.0,30.0,4.0,101.0,10.0,12.0,11.0,78.0,46.0,95.0,28.0,45.0,37.0,25.0,40.0,6.0,9.0,51.0,17.0,63.0,5.0,88.0,53.0,57.0
449,0.0,1.0,7.0,88.0,255.0,6.0,4.0,36.0,20.0,3.0,9.0,19.0,28.0,25.0,14.0,34.0,73.0,27.0,622.0,13.0,245.0,2.0,104.0,8.0,30.0,24.0,98.0,55.0,92.0,18.0
498,0.0,1.0,16.0,3.0,43.0,4.0,10.0,13.0,62.0,8.0,20.0,12.0,29.0,22.0,66.0,254.0,26.0,2.0,55.0,102.0,23.0,24.0,11.0,9.0,68.0,74.0,5.0,30.0,54.0,59.0
547,0.0,2.0,1.0,8.0,14.0,7.0,11.0,5.0,152.0,16.0,71.0,51.0,646.0,9.0,116.0,690.0,217.0,4.0,174.0,12.0,56.0,94.0,44.0,6.0,186.0,115.0,20.0,294.0,23.0,38.0
596,0.0,2.0,5.0,1.0,14.0,6.0,77.0,12.0,67.0,26.0,66.0,80.0,32.0,47.0,149.0,18.0,13.0,11.0,223.0,7.0,8.0,59.0,20.0,150.0,9.0,213.0,43.0,35.0,42.0,143.0
645,1.0,0.0,3.0,17.0,41.0,15.0,5.0,16.0,29.0,86.0,52.0,110.0,32.0,254.0,520.0,19.0,13.0,11.0,170.0,84.0,42.0,49.0,47.0,28.0,12.0,26.0,22.0,638.0,39.0,172.0
694,0.0,19.0,14.0,3.0,31.0,5.0,41.0,8.0,56.0,1.0,27.0,16.0,110.0,21.0,72.0,349.0,23.0,12.0,13.0,40.0,7.0,48.0,9.0,11.0,57.0,53.0,131.0,173.0,154.0,123.0
