,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,BONE,SKIN,SOFT_TISSUE,THYROID,BREAST,PROSTATE,BILIARY,SALIVARY,ENDOMETRIUM,OVARY,PLEURA,AERODIGESTIVE,LIVER,KIDNEY,PANCREAS,URINARY,NERVOUS,OESOPHAGUS,LUNG
4208,0.0,1.0,2.0,4.0,5.0,11.0,6.0,8.0,3.0,7.0,10.0,9.0,13.0,14.0,22.0,16.0,12.0,21.0,15.0,18.0,17.0,19.0,20.0
4257,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,17.0,8.0,10.0,9.0,15.0,13.0,14.0,19.0,12.0,11.0,18.0,21.0,20.0,22.0,16.0
4306,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,8.0,11.0,12.0,10.0,16.0,14.0,18.0,21.0,15.0,17.0,13.0,19.0,20.0,22.0
4355,0.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,3.0,9.0,10.0,11.0,15.0,16.0,14.0,22.0,12.0,13.0,17.0,19.0,18.0,20.0,21.0
4404,3.0,4.0,0.0,1.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0,12.0,13.0,17.0,16.0,19.0,14.0,15.0,18.0,11.0,20.0,21.0,22.0
4453,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,3.0,9.0,10.0,12.0,21.0,11.0,15.0,17.0,13.0,14.0,16.0,19.0,18.0,22.0,20.0
4502,0.0,1.0,2.0,3.0,5.0,7.0,9.0,6.0,4.0,22.0,8.0,10.0,13.0,17.0,20.0,11.0,15.0,16.0,12.0,19.0,18.0,21.0,14.0
4551,6.0,0.0,1.0,3.0,4.0,5.0,11.0,7.0,2.0,8.0,10.0,9.0,12.0,13.0,20.0,14.0,18.0,19.0,21.0,22.0,15.0,16.0,17.0
4600,0.0,1.0,2.0,4.0,5.0,7.0,11.0,6.0,3.0,8.0,10.0,9.0,13.0,14.0,19.0,16.0,12.0,18.0,15.0,20.0,17.0,21.0,22.0
4649,7.0,0.0,1.0,6.0,2.0,3.0,4.0,8.0,5.0,9.0,10.0,11.0,14.0,15.0,13.0,17.0,12.0,21.0,16.0,19.0,18.0,22.0,20.0
4698,0.0,1.0,2.0,6.0,3.0,4.0,8.0,7.0,5.0,9.0,10.0,11.0,14.0,15.0,13.0,17.0,12.0,21.0,16.0,19.0,18.0,22.0,20.0
4747,0.0,1.0,2.0,4.0,5.0,6.0,7.0,11.0,3.0,8.0,10.0,9.0,13.0,14.0,19.0,15.0,12.0,18.0,20.0,21.0,16.0,17.0,22.0
4796,0.0,1.0,7.0,8.0,6.0,4.0,5.0,3.0,9.0,10.0,11.0,12.0,14.0,2.0,16.0,15.0,20.0,17.0,18.0,13.0,19.0,22.0,21.0
4845,1.0,3.0,4.0,5.0,9.0,8.0,2.0,7.0,6.0,0.0,11.0,12.0,16.0,13.0,15.0,10.0,20.0,22.0,17.0,14.0,18.0,19.0,21.0
4894,0.0,1.0,2.0,3.0,8.0,6.0,7.0,5.0,4.0,9.0,11.0,12.0,15.0,13.0,14.0,10.0,21.0,16.0,17.0,19.0,18.0,20.0,22.0
