,NQO1,MB21D1,SLC16A3,MAGEA6,FAM109B,AC074389.9,LY6G5C,WWP2,CTD-2639E6.9,AC093627.9,ERMP1,CCDC8,RP11-613F22.6,PCDHB2,MAGEA1,TNFSF9,RP11-259P15.1,FOXD1,SMN2,GOLGA8B,SNORA5B,LTBP2,HS3ST3A1,PARP8,HOXC10,HSBP1P2,COL9A2,SNHG5,WNT5A,ALPK3
8,0.0,2.0,1.0,3.0,62.0,27.0,45.0,13.0,20.0,34.0,5.0,136.0,102.0,240.0,1073.0,4.0,300.0,63.0,257.0,24.0,22.0,8.0,395.0,195.0,620.0,17.0,46.0,483.0,7.0,61.0
57,0.0,1.0,14.0,13.0,502.0,132.0,4.0,11.0,16.0,261.0,5.0,63.0,154.0,1303.0,66.0,7.0,52.0,39.0,24.0,36.0,53.0,20.0,99.0,47.0,183.0,2.0,78.0,65.0,23.0,450.0
106,0.0,3.0,2.0,15.0,87.0,13.0,137.0,12.0,10.0,24.0,17.0,11.0,42.0,356.0,1.0,59.0,71.0,92.0,49.0,414.0,207.0,7.0,431.0,52.0,1018.0,4.0,19.0,38.0,57.0,28.0
155,0.0,2.0,3.0,5.0,16.0,31.0,37.0,8.0,19.0,35.0,11.0,12.0,128.0,188.0,114.0,151.0,321.0,27.0,396.0,347.0,53.0,10.0,620.0,90.0,507.0,1.0,143.0,227.0,29.0,38.0
204,0.0,2.0,3.0,1.0,17.0,7.0,429.0,28.0,38.0,14.0,22.0,56.0,367.0,1087.0,27.0,45.0,5.0,171.0,173.0,76.0,262.0,36.0,141.0,30.0,741.0,4.0,389.0,20.0,159.0,10.0
253,0.0,2.0,4.0,1.0,13.0,6.0,149.0,11.0,74.0,16.0,17.0,539.0,93.0,508.0,10.0,19.0,314.0,543.0,86.0,591.0,1658.0,18.0,407.0,52.0,186.0,8.0,26.0,21.0,24.0,111.0
302,0.0,8.0,2.0,11.0,41.0,116.0,316.0,5.0,90.0,20.0,6.0,35.0,25.0,396.0,244.0,19.0,75.0,100.0,1534.0,40.0,60.0,22.0,232.0,184.0,153.0,1.0,61.0,39.0,13.0,54.0
351,0.0,1.0,2.0,3.0,6.0,22.0,72.0,5.0,19.0,20.0,4.0,145.0,13.0,453.0,36.0,152.0,15.0,59.0,389.0,28.0,188.0,76.0,192.0,54.0,147.0,8.0,66.0,270.0,31.0,80.0
400,0.0,6.0,1.0,9.0,116.0,83.0,66.0,13.0,30.0,47.0,3.0,8.0,7.0,42.0,50.0,21.0,104.0,52.0,127.0,68.0,87.0,12.0,910.0,81.0,138.0,2.0,41.0,63.0,5.0,36.0
449,0.0,2.0,1.0,3.0,43.0,12.0,184.0,14.0,18.0,30.0,9.0,19.0,28.0,248.0,27.0,137.0,668.0,81.0,118.0,67.0,88.0,13.0,637.0,26.0,427.0,10.0,107.0,206.0,52.0,73.0
498,0.0,1.0,4.0,6.0,2.0,20.0,5.0,138.0,16.0,12.0,30.0,3.0,32.0,21.0,67.0,9.0,31.0,7.0,40.0,11.0,64.0,102.0,142.0,55.0,24.0,10.0,99.0,8.0,79.0,48.0
547,0.0,2.0,5.0,13.0,29.0,21.0,24.0,138.0,15.0,25.0,7.0,3.0,16.0,107.0,134.0,19.0,1.0,4.0,11.0,8.0,323.0,89.0,14.0,335.0,37.0,182.0,90.0,31.0,137.0,34.0
596,0.0,43.0,1.0,85.0,13.0,6.0,3.0,42.0,37.0,14.0,12.0,19.0,17.0,81.0,18.0,45.0,59.0,27.0,10.0,21.0,11.0,157.0,36.0,136.0,366.0,16.0,90.0,307.0,70.0,176.0
645,0.0,4.0,2.0,11.0,1.0,7.0,10.0,91.0,17.0,25.0,6.0,3.0,5.0,13.0,14.0,71.0,12.0,43.0,9.0,8.0,45.0,108.0,15.0,34.0,57.0,68.0,75.0,63.0,42.0,44.0
694,0.0,2.0,28.0,3.0,4.0,7.0,20.0,40.0,21.0,8.0,22.0,12.0,5.0,29.0,58.0,6.0,30.0,14.0,48.0,1.0,91.0,44.0,27.0,176.0,81.0,13.0,55.0,16.0,65.0,118.0
743,0.0,8.0,11.0,3.0,12.0,35.0,25.0,30.0,4.0,20.0,15.0,1.0,14.0,66.0,6.0,7.0,43.0,24.0,96.0,2.0,84.0,44.0,124.0,31.0,18.0,37.0,60.0,52.0,9.0,73.0
792,0.0,2.0,50.0,79.0,5.0,15.0,12.0,62.0,8.0,9.0,6.0,1.0,26.0,11.0,76.0,31.0,3.0,23.0,25.0,16.0,27.0,99.0,434.0,126.0,53.0,38.0,43.0,48.0,35.0,17.0
