,hsa-miR-30a,hsa-miR-766,hsa-miR-1206,hsa-miR-1246,hsa-miR-513b,hsa-miR-124,hsa-miR-675,hsa-miR-378,hsa-miR-1251,hsa-let-7e,hsa-miR-22,hsa-miR-30e,hsa-miR-199b-5p,hcmv-miR-US5-2,hsa-miR-643,hsa-miR-92a,hsa-miR-30d,hsa-miR-34a,hsa-miR-613,hsa-miR-610,hsa-miR-302d,hsa-miR-548a-3p,hsa-miR-190b,hsa-miR-488,hsa-miR-187,hsa-miR-1308,hsa-miR-499-5p,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-220b
19,8.0,10.0,438.0,65.0,549.0,26.0,27.0,36.0,6.0,101.0,116.0,63.0,397.0,88.0,58.0,333.0,616.0,38.0,72.0,52.0,47.0,149.0,79.0,44.0,24.0,29.0,33.0,67.0,82.0,579.0
68,2.0,3.0,1.0,38.0,51.0,9.0,52.0,40.0,27.0,55.0,58.0,56.0,72.0,14.0,65.0,78.0,26.0,59.0,61.0,97.0,129.0,44.0,68.0,104.0,12.0,35.0,528.0,101.0,76.0,588.0
117,7.0,11.0,3.0,48.0,149.0,6.0,20.0,66.0,26.0,67.0,116.0,68.0,58.0,139.0,97.0,258.0,628.0,95.0,169.0,152.0,124.0,76.0,10.0,72.0,0.0,77.0,43.0,79.0,98.0,586.0
166,8.0,9.0,22.0,90.0,31.0,35.0,58.0,53.0,14.0,60.0,580.0,70.0,37.0,112.0,69.0,40.0,52.0,104.0,91.0,29.0,618.0,64.0,0.0,86.0,41.0,388.0,544.0,78.0,62.0,88.0
215,6.0,10.0,9.0,30.0,49.0,11.0,39.0,101.0,15.0,79.0,86.0,57.0,407.0,16.0,40.0,340.0,598.0,88.0,131.0,177.0,82.0,190.0,54.0,60.0,21.0,431.0,25.0,93.0,92.0,106.0
264,4.0,6.0,2.0,27.0,111.0,12.0,118.0,22.0,19.0,21.0,25.0,57.0,401.0,33.0,62.0,289.0,615.0,38.0,78.0,39.0,138.0,41.0,13.0,40.0,73.0,426.0,50.0,65.0,69.0,85.0
313,7.0,16.0,442.0,35.0,105.0,10.0,61.0,63.0,15.0,65.0,69.0,52.0,400.0,140.0,79.0,278.0,625.0,53.0,327.0,243.0,131.0,45.0,55.0,72.0,5.0,32.0,511.0,97.0,88.0,582.0
362,7.0,12.0,13.0,15.0,20.0,6.0,21.0,121.0,55.0,87.0,45.0,68.0,402.0,44.0,129.0,292.0,623.0,62.0,95.0,5.0,138.0,147.0,143.0,73.0,0.0,76.0,35.0,48.0,38.0,28.0
411,5.0,10.0,66.0,20.0,54.0,11.0,47.0,35.0,4.0,71.0,41.0,85.0,30.0,29.0,80.0,335.0,46.0,60.0,119.0,211.0,127.0,69.0,95.0,56.0,64.0,431.0,502.0,287.0,74.0,498.0
460,6.0,11.0,9.0,26.0,38.0,3.0,81.0,100.0,424.0,441.0,59.0,58.0,48.0,23.0,55.0,319.0,127.0,56.0,165.0,136.0,616.0,65.0,20.0,74.0,407.0,61.0,547.0,35.0,189.0,36.0
509,11.0,13.0,18.0,41.0,47.0,429.0,8.0,45.0,73.0,62.0,83.0,51.0,10.0,7.0,21.0,25.0,94.0,61.0,111.0,57.0,40.0,49.0,109.0,74.0,409.0,6.0,548.0,99.0,95.0,86.0
558,8.0,12.0,7.0,36.0,24.0,430.0,83.0,13.0,424.0,73.0,66.0,61.0,3.0,125.0,21.0,17.0,39.0,54.0,69.0,88.0,130.0,79.0,113.0,97.0,101.0,75.0,559.0,67.0,68.0,27.0
607,8.0,32.0,5.0,44.0,31.0,435.0,326.0,13.0,24.0,66.0,57.0,56.0,18.0,23.0,14.0,88.0,54.0,27.0,71.0,21.0,62.0,77.0,414.0,65.0,419.0,389.0,527.0,25.0,104.0,28.0
