,MEK1_pS217_S221,Caveolin-1,GAPDH,Bcl-2,p90RSK_pT359_S363,Gab2,CDK1,HER3,IGFBP2,CD31,Collagen_VI,FoxM1,Cyclin_E2,VAV1,N-Cadherin,p38_MAPK,14-3-3_zeta,RAD51,G6PD,RSK1-2-3,PREX1,MIG-6,XBP1,Transglutaminase,IRS1,Cyclin_B1,Beclin,YAP_pS127,SCD1,beta Actin
3,1.0,2.0,4.0,3.0,0.0,15.0,9.0,6.0,5.0,24.0,8.0,14.0,10.0,19.0,22.0,31.0,13.0,72.0,35.0,68.0,75.0,26.0,52.0,7.0,12.0,29.0,16.0,11.0,33.0,99.0
52,3.0,1.0,9.0,0.0,2.0,28.0,4.0,7.0,11.0,17.0,5.0,16.0,19.0,6.0,52.0,39.0,112.0,24.0,122.0,45.0,67.0,56.0,26.0,13.0,20.0,21.0,12.0,54.0,64.0,35.0
101,3.0,0.0,4.0,2.0,1.0,17.0,7.0,6.0,5.0,18.0,10.0,34.0,9.0,30.0,35.0,41.0,28.0,20.0,116.0,65.0,15.0,52.0,50.0,16.0,26.0,89.0,29.0,22.0,11.0,37.0
150,3.0,0.0,8.0,2.0,1.0,24.0,4.0,7.0,6.0,17.0,5.0,122.0,15.0,18.0,21.0,20.0,22.0,23.0,117.0,71.0,78.0,45.0,54.0,12.0,14.0,94.0,10.0,35.0,69.0,33.0
199,1.0,3.0,6.0,0.0,2.0,12.0,4.0,8.0,5.0,20.0,23.0,13.0,10.0,60.0,7.0,14.0,30.0,18.0,17.0,44.0,76.0,55.0,40.0,19.0,28.0,112.0,11.0,38.0,15.0,25.0
248,1.0,3.0,6.0,0.0,2.0,8.0,17.0,12.0,4.0,92.0,5.0,15.0,7.0,11.0,13.0,34.0,18.0,25.0,9.0,32.0,33.0,54.0,58.0,10.0,14.0,41.0,23.0,37.0,79.0,102.0
297,2.0,3.0,7.0,0.0,1.0,10.0,4.0,23.0,5.0,89.0,8.0,16.0,13.0,20.0,28.0,42.0,33.0,27.0,26.0,67.0,78.0,29.0,64.0,6.0,30.0,37.0,14.0,18.0,66.0,22.0
346,3.0,1.0,6.0,0.0,2.0,5.0,4.0,10.0,7.0,24.0,9.0,30.0,17.0,31.0,36.0,51.0,14.0,15.0,12.0,67.0,35.0,54.0,44.0,13.0,20.0,89.0,21.0,34.0,26.0,18.0
395,3.0,2.0,8.0,1.0,0.0,120.0,4.0,12.0,23.0,31.0,5.0,30.0,6.0,24.0,17.0,32.0,10.0,29.0,111.0,56.0,33.0,53.0,51.0,45.0,16.0,118.0,13.0,9.0,21.0,90.0
444,2.0,4.0,16.0,0.0,1.0,9.0,8.0,5.0,10.0,28.0,3.0,12.0,7.0,13.0,39.0,25.0,109.0,75.0,113.0,71.0,77.0,46.0,22.0,6.0,18.0,24.0,27.0,20.0,15.0,23.0
493,0.0,1.0,5.0,6.0,8.0,4.0,12.0,25.0,2.0,17.0,106.0,116.0,16.0,7.0,20.0,9.0,10.0,21.0,23.0,11.0,57.0,3.0,19.0,51.0,48.0,122.0,27.0,50.0,66.0,13.0
542,0.0,3.0,1.0,5.0,2.0,4.0,8.0,21.0,6.0,11.0,17.0,10.0,7.0,25.0,31.0,22.0,64.0,19.0,18.0,12.0,27.0,9.0,116.0,35.0,28.0,82.0,14.0,113.0,63.0,13.0
591,0.0,3.0,1.0,4.0,5.0,8.0,14.0,11.0,9.0,10.0,94.0,117.0,6.0,31.0,24.0,17.0,21.0,32.0,13.0,7.0,33.0,2.0,29.0,26.0,19.0,109.0,25.0,36.0,65.0,12.0
640,0.0,7.0,1.0,8.0,6.0,3.0,4.0,21.0,9.0,14.0,116.0,20.0,17.0,19.0,12.0,16.0,102.0,66.0,13.0,5.0,24.0,2.0,47.0,51.0,34.0,112.0,11.0,46.0,62.0,10.0
