,Shc_pY317,RAD51,Smac,SF2,eEF2,MIG-6,PAI-1,NDRG1_pT346,Paxillin,C-Raf_pS338,MYH11,PKC-pan_BetaII_pS660,eEF2K,HER2_pY1248,Bid,Bap1 c-4,ACC1,JNK_pT183_Y185,4E-BP1,p70S6K_pT389,PRDX1,PTEN,PREX1,p38_MAPK,p62 Lck ligand,p21,p53,p38_pT180_Y182,p90RSK_pT573,p90RSK_pT359_S363
1182,5.0,8.0,4.0,6.0,21.0,10.0,19.0,0.0,54.0,123.0,2.0,3.0,15.0,154.0,33.0,9.0,93.0,164.0,38.0,30.0,23.0,47.0,24.0,61.0,58.0,67.0,17.0,60.0,55.0,56.0
1231,25.0,0.0,8.0,3.0,10.0,5.0,7.0,4.0,16.0,24.0,14.0,17.0,159.0,26.0,101.0,2.0,118.0,91.0,112.0,54.0,79.0,80.0,15.0,49.0,51.0,52.0,50.0,43.0,48.0,53.0
1280,2.0,27.0,30.0,29.0,12.0,19.0,0.0,4.0,7.0,16.0,3.0,5.0,108.0,156.0,36.0,35.0,37.0,164.0,92.0,61.0,45.0,26.0,25.0,65.0,62.0,132.0,63.0,64.0,23.0,60.0
1329,2.0,0.0,7.0,4.0,6.0,9.0,43.0,11.0,25.0,105.0,1.0,18.0,21.0,132.0,5.0,3.0,117.0,164.0,31.0,46.0,77.0,75.0,76.0,27.0,47.0,53.0,48.0,49.0,44.0,45.0
1378,5.0,3.0,9.0,12.0,0.0,27.0,14.0,1.0,18.0,104.0,93.0,61.0,153.0,133.0,11.0,26.0,31.0,92.0,113.0,53.0,22.0,86.0,87.0,24.0,13.0,57.0,10.0,16.0,56.0,44.0
1427,1.0,10.0,71.0,40.0,16.0,132.0,2.0,31.0,44.0,9.0,0.0,88.0,17.0,141.0,3.0,107.0,34.0,164.0,114.0,48.0,83.0,81.0,82.0,20.0,19.0,22.0,50.0,51.0,46.0,47.0
1476,0.0,11.0,1.0,70.0,8.0,4.0,30.0,27.0,64.0,13.0,2.0,7.0,161.0,139.0,3.0,98.0,36.0,16.0,114.0,39.0,92.0,74.0,75.0,42.0,40.0,47.0,18.0,41.0,62.0,49.0
1525,0.0,4.0,1.0,68.0,158.0,25.0,47.0,8.0,17.0,7.0,27.0,87.0,12.0,139.0,29.0,38.0,39.0,16.0,127.0,18.0,85.0,83.0,84.0,56.0,51.0,43.0,52.0,54.0,48.0,49.0
1574,33.0,1.0,39.0,30.0,12.0,27.0,64.0,28.0,17.0,108.0,15.0,13.0,9.0,8.0,102.0,36.0,0.0,11.0,114.0,18.0,80.0,2.0,92.0,4.0,48.0,21.0,47.0,41.0,46.0,45.0
1623,3.0,8.0,2.0,20.0,0.0,29.0,44.0,11.0,42.0,106.0,24.0,21.0,159.0,31.0,99.0,9.0,35.0,92.0,28.0,22.0,19.0,14.0,10.0,26.0,51.0,47.0,54.0,43.0,45.0,48.0
1672,0.0,13.0,32.0,1.0,2.0,25.0,23.0,6.0,30.0,12.0,18.0,17.0,3.0,26.0,22.0,40.0,39.0,95.0,34.0,4.0,16.0,80.0,93.0,53.0,50.0,8.0,42.0,51.0,47.0,46.0
1721,3.0,1.0,38.0,5.0,17.0,28.0,56.0,0.0,20.0,9.0,21.0,16.0,18.0,23.0,34.0,2.0,4.0,32.0,114.0,46.0,81.0,13.0,15.0,26.0,47.0,61.0,48.0,65.0,44.0,31.0
1770,1.0,2.0,32.0,28.0,18.0,143.0,44.0,6.0,22.0,105.0,30.0,17.0,5.0,133.0,3.0,35.0,39.0,92.0,112.0,41.0,15.0,80.0,14.0,50.0,40.0,25.0,45.0,61.0,43.0,47.0
1819,5.0,0.0,2.0,6.0,3.0,23.0,9.0,4.0,44.0,13.0,26.0,83.0,157.0,16.0,101.0,28.0,32.0,92.0,31.0,40.0,8.0,77.0,78.0,36.0,39.0,48.0,38.0,37.0,42.0,41.0
1868,1.0,5.0,0.0,4.0,10.0,18.0,54.0,21.0,53.0,120.0,138.0,39.0,14.0,154.0,128.0,9.0,36.0,30.0,35.0,23.0,7.0,43.0,27.0,22.0,58.0,66.0,59.0,60.0,55.0,56.0
1917,5.0,10.0,32.0,20.0,4.0,0.0,44.0,1.0,21.0,8.0,132.0,85.0,29.0,141.0,104.0,112.0,34.0,95.0,114.0,47.0,13.0,12.0,82.0,50.0,49.0,57.0,24.0,51.0,43.0,45.0
1966,4.0,1.0,0.0,30.0,8.0,26.0,17.0,31.0,46.0,10.0,144.0,15.0,29.0,135.0,7.0,37.0,5.0,94.0,6.0,19.0,83.0,81.0,14.0,49.0,42.0,22.0,41.0,40.0,18.0,43.0
2015,35.0,8.0,2.0,36.0,163.0,29.0,19.0,1.0,17.0,4.0,15.0,12.0,16.0,22.0,31.0,6.0,0.0,11.0,34.0,21.0,9.0,91.0,80.0,25.0,42.0,55.0,23.0,24.0,47.0,44.0
2064,36.0,0.0,7.0,28.0,8.0,26.0,18.0,25.0,17.0,12.0,39.0,15.0,159.0,135.0,10.0,1.0,4.0,9.0,31.0,5.0,74.0,72.0,73.0,47.0,44.0,50.0,21.0,46.0,64.0,41.0
2113,74.0,0.0,2.0,6.0,9.0,22.0,15.0,26.0,14.0,13.0,90.0,12.0,10.0,33.0,18.0,93.0,4.0,91.0,1.0,17.0,77.0,78.0,55.0,39.0,35.0,46.0,43.0,24.0,50.0,51.0
2162,10.0,24.0,0.0,87.0,27.0,8.0,51.0,17.0,11.0,1.0,94.0,22.0,15.0,34.0,26.0,38.0,5.0,6.0,7.0,28.0,20.0,79.0,19.0,57.0,45.0,42.0,54.0,50.0,52.0,55.0
2211,89.0,0.0,6.0,90.0,13.0,10.0,57.0,31.0,3.0,20.0,8.0,24.0,9.0,153.0,1.0,39.0,5.0,18.0,33.0,60.0,25.0,48.0,47.0,64.0,23.0,163.0,62.0,63.0,58.0,59.0
2260,31.0,3.0,0.0,30.0,15.0,5.0,24.0,19.0,4.0,20.0,33.0,48.0,108.0,157.0,118.0,150.0,36.0,35.0,2.0,61.0,46.0,26.0,45.0,23.0,62.0,100.0,63.0,64.0,59.0,60.0
2309,2.0,1.0,33.0,67.0,6.0,24.0,48.0,29.0,43.0,11.0,25.0,86.0,157.0,18.0,17.0,3.0,5.0,95.0,0.0,7.0,13.0,80.0,81.0,51.0,38.0,22.0,62.0,20.0,41.0,40.0
2358,2.0,12.0,7.0,88.0,1.0,0.0,20.0,23.0,4.0,19.0,26.0,15.0,158.0,135.0,99.0,8.0,32.0,10.0,18.0,3.0,14.0,75.0,13.0,46.0,43.0,21.0,44.0,28.0,40.0,41.0
2407,30.0,0.0,7.0,92.0,10.0,3.0,31.0,4.0,24.0,9.0,19.0,47.0,105.0,155.0,6.0,2.0,38.0,164.0,78.0,59.0,44.0,41.0,42.0,63.0,60.0,21.0,61.0,62.0,57.0,58.0
2456,35.0,2.0,37.0,1.0,3.0,8.0,5.0,7.0,28.0,129.0,30.0,75.0,161.0,26.0,6.0,96.0,38.0,164.0,33.0,22.0,72.0,70.0,12.0,43.0,47.0,52.0,45.0,49.0,64.0,90.0
2505,2.0,22.0,5.0,6.0,7.0,0.0,1.0,30.0,55.0,31.0,139.0,3.0,105.0,154.0,38.0,33.0,34.0,32.0,35.0,18.0,39.0,49.0,21.0,19.0,60.0,99.0,61.0,62.0,57.0,58.0
2554,3.0,23.0,24.0,25.0,36.0,2.0,0.0,6.0,12.0,8.0,93.0,22.0,156.0,133.0,4.0,95.0,5.0,92.0,113.0,9.0,87.0,58.0,86.0,48.0,43.0,34.0,52.0,44.0,53.0,50.0
