,LOC391322_AMP,GSTT1_AMP,MIR1207_AMP,LOC727677_AMP,GSTTP2_AMP,WNK1_MUT,CHD1_MUT,LOC388692_AMP,OR2T35_AMP,POU5F1B_AMP,TP53_MUT,GALNT13_DEL,LOC727924_DEL,PIK3R4_MUT,MIR1204_AMP,OR2T2_AMP,UNC13C_DEL,KLHL38_AMP,MIR1206_AMP,CNTNAP3B_AMP,PRB1_AMP,CDKAL1_DEL,EYS_DEL,ESPNP_DEL,MIR4735_AMP,RPTOR_AMP,FAM91A1_AMP,SCAPER_DEL,MYC_AMP,CHEK2P2_DEL
28,38.0,1.0,103.0,43.0,3.0,16983.0,155.0,2671.0,1844.0,12.0,16946.0,26.0,598.0,78.0,294.0,2707.0,658.0,15220.0,361.0,24114.0,1847.0,873.0,254.0,280.0,16364.0,182.0,17690.0,0.0,14421.0,517.0
77,1.0,26.0,0.0,681.0,32.0,16978.0,40.0,73.0,502.0,86.0,45.0,16.0,1526.0,88.0,16004.0,753.0,292.0,452.0,92.0,158.0,22626.0,12183.0,3951.0,115.0,16365.0,10.0,17684.0,143.0,14414.0,7871.0
126,315.0,11.0,489.0,1134.0,21715.0,152.0,8781.0,2598.0,15654.0,154.0,121.0,39.0,8627.0,22588.0,178.0,652.0,1018.0,66.0,2856.0,16.0,60.0,1460.0,59.0,114.0,102.0,216.0,17430.0,2201.0,14593.0,12109.0
175,1909.0,185.0,90.0,34.0,23631.0,16981.0,16640.0,15519.0,39.0,77.0,1446.0,7.0,47.0,10.0,16023.0,15497.0,225.0,15169.0,16025.0,330.0,1622.0,21.0,4284.0,59.0,16382.0,54.0,17638.0,10872.0,14414.0,12106.0
224,28.0,132.0,342.0,23614.0,3.0,145.0,15.0,361.0,556.0,803.0,173.0,208.0,25.0,153.0,16622.0,651.0,2189.0,183.0,766.0,271.0,433.0,10280.0,147.0,6455.0,692.0,1277.0,18249.0,79.0,2593.0,12217.0
273,0.0,1.0,61.0,41.0,65.0,472.0,50.0,149.0,15495.0,12.0,16946.0,14.0,17.0,219.0,16032.0,187.0,6.0,213.0,970.0,24120.0,22611.0,10654.0,22.0,116.0,16357.0,18.0,17696.0,10874.0,2322.0,218.0
322,249.0,1549.0,1255.0,22.0,421.0,644.0,88.0,170.0,1.0,22193.0,520.0,2.0,8617.0,3.0,76.0,531.0,519.0,59.0,16018.0,1868.0,22561.0,787.0,235.0,5881.0,16370.0,198.0,17676.0,11094.0,1991.0,537.0
371,10.0,0.0,14.0,1.0,32.0,16995.0,242.0,15512.0,1348.0,20.0,1262.0,15.0,502.0,13.0,28.0,15484.0,29.0,474.0,2756.0,39.0,22608.0,12382.0,292.0,3138.0,43.0,7.0,17638.0,11199.0,30.0,677.0
420,35.0,2.0,358.0,24133.0,209.0,17003.0,816.0,202.0,16.0,22360.0,16947.0,2904.0,86.0,175.0,337.0,15430.0,5.0,110.0,16006.0,15.0,22142.0,10691.0,1402.0,6161.0,16309.0,3.0,17713.0,329.0,217.0,460.0
469,3.0,9.0,2011.0,1659.0,23711.0,178.0,258.0,305.0,15425.0,1183.0,4.0,20496.0,191.0,105.0,90.0,15429.0,2874.0,2712.0,16023.0,23841.0,257.0,61.0,32.0,6349.0,16377.0,13.0,17651.0,64.0,29.0,265.0
