,Akt_pS473,VAV1,Stathmin,Heregulin,Chk1,Tuberin_pT1462,Caspase-7_cleavedD198,RAD51,Bcl-2,PRAS40_pT246,GATA3,GSK3_pS9,p62 Lck ligand,PKC-alpha,YAP_pS127,VHL,MAPK_pT202_Y204,PTEN,MSH6,p27_pT157,Lck,Bax,Chk1_pS345,4E-BP1,Cyclin_B1,Porin,Bid,VEGFR2,SF2,PKC-pan_BetaII_pS660
1768,0.0,1.0,2.0,3.0,21.0,9.0,14.0,6.0,17.0,22.0,12.0,41.0,8.0,34.0,11.0,18.0,4.0,110.0,27.0,16.0,5.0,49.0,137.0,33.0,50.0,99.0,26.0,35.0,90.0,10.0
1817,0.0,1.0,6.0,11.0,5.0,16.0,4.0,9.0,7.0,25.0,2.0,10.0,14.0,23.0,108.0,8.0,3.0,43.0,22.0,87.0,40.0,15.0,45.0,49.0,77.0,163.0,12.0,17.0,153.0,37.0
1866,0.0,1.0,2.0,4.0,34.0,11.0,16.0,3.0,32.0,71.0,6.0,10.0,18.0,53.0,15.0,22.0,5.0,155.0,62.0,20.0,12.0,44.0,78.0,73.0,24.0,86.0,72.0,7.0,23.0,8.0
1915,0.0,1.0,2.0,5.0,3.0,7.0,26.0,6.0,55.0,15.0,9.0,14.0,10.0,58.0,43.0,27.0,4.0,77.0,21.0,20.0,12.0,44.0,108.0,24.0,22.0,109.0,25.0,52.0,97.0,46.0
1964,0.0,1.0,2.0,6.0,4.0,23.0,3.0,10.0,53.0,52.0,9.0,7.0,16.0,13.0,8.0,30.0,82.0,35.0,12.0,5.0,22.0,39.0,38.0,62.0,15.0,24.0,73.0,11.0,28.0,100.0
2013,0.0,2.0,10.0,6.0,1.0,5.0,9.0,3.0,8.0,73.0,13.0,16.0,24.0,7.0,14.0,116.0,21.0,44.0,4.0,11.0,12.0,34.0,91.0,78.0,20.0,110.0,122.0,58.0,18.0,42.0
2062,0.0,1.0,6.0,4.0,7.0,2.0,11.0,13.0,3.0,33.0,5.0,31.0,61.0,8.0,14.0,51.0,19.0,37.0,9.0,76.0,149.0,56.0,26.0,133.0,18.0,98.0,10.0,34.0,75.0,27.0
2111,0.0,1.0,8.0,3.0,2.0,6.0,11.0,4.0,9.0,23.0,10.0,5.0,53.0,76.0,7.0,34.0,17.0,47.0,26.0,46.0,20.0,116.0,30.0,137.0,22.0,90.0,51.0,31.0,19.0,96.0
2160,0.0,1.0,3.0,5.0,13.0,2.0,4.0,12.0,7.0,46.0,11.0,76.0,48.0,92.0,6.0,16.0,9.0,33.0,22.0,32.0,56.0,15.0,17.0,35.0,34.0,84.0,58.0,10.0,8.0,119.0
2209,0.0,1.0,12.0,6.0,2.0,4.0,18.0,3.0,11.0,10.0,5.0,92.0,14.0,7.0,39.0,27.0,17.0,8.0,20.0,29.0,13.0,134.0,30.0,78.0,15.0,46.0,96.0,88.0,38.0,51.0
2258,0.0,1.0,2.0,4.0,3.0,6.0,10.0,11.0,17.0,5.0,7.0,13.0,28.0,9.0,18.0,16.0,12.0,45.0,14.0,20.0,147.0,56.0,114.0,63.0,15.0,82.0,155.0,60.0,8.0,122.0
2307,0.0,1.0,2.0,4.0,6.0,3.0,18.0,14.0,8.0,10.0,22.0,12.0,9.0,7.0,20.0,11.0,29.0,5.0,21.0,155.0,23.0,72.0,26.0,54.0,75.0,47.0,92.0,16.0,64.0,77.0
2356,0.0,1.0,5.0,2.0,10.0,3.0,28.0,18.0,4.0,27.0,15.0,84.0,20.0,16.0,13.0,11.0,33.0,36.0,9.0,120.0,114.0,63.0,25.0,86.0,138.0,89.0,21.0,40.0,6.0,46.0
2405,0.0,1.0,4.0,2.0,10.0,6.0,5.0,12.0,14.0,33.0,7.0,19.0,3.0,9.0,27.0,8.0,35.0,68.0,25.0,120.0,61.0,73.0,17.0,51.0,103.0,30.0,53.0,16.0,65.0,117.0
2454,0.0,1.0,6.0,10.0,21.0,3.0,20.0,11.0,8.0,5.0,14.0,7.0,2.0,136.0,4.0,30.0,38.0,15.0,19.0,18.0,123.0,16.0,103.0,27.0,48.0,33.0,43.0,31.0,112.0,32.0
2503,0.0,1.0,15.0,12.0,4.0,7.0,10.0,6.0,18.0,9.0,16.0,5.0,14.0,21.0,11.0,23.0,13.0,2.0,3.0,19.0,86.0,116.0,45.0,25.0,108.0,22.0,36.0,8.0,64.0,47.0
2552,0.0,1.0,7.0,24.0,10.0,3.0,6.0,5.0,4.0,29.0,19.0,14.0,2.0,12.0,16.0,9.0,13.0,17.0,8.0,35.0,33.0,53.0,45.0,47.0,25.0,40.0,22.0,21.0,87.0,38.0
2601,0.0,3.0,4.0,52.0,17.0,19.0,2.0,8.0,6.0,36.0,1.0,33.0,18.0,74.0,5.0,15.0,77.0,12.0,26.0,31.0,101.0,117.0,16.0,25.0,27.0,21.0,60.0,9.0,66.0,95.0
2650,0.0,1.0,2.0,18.0,59.0,11.0,4.0,6.0,17.0,7.0,5.0,15.0,3.0,10.0,22.0,25.0,31.0,14.0,53.0,36.0,30.0,103.0,20.0,9.0,44.0,100.0,75.0,33.0,126.0,76.0
2699,0.0,2.0,16.0,4.0,22.0,7.0,1.0,8.0,20.0,12.0,24.0,6.0,3.0,15.0,9.0,30.0,50.0,27.0,73.0,21.0,35.0,34.0,5.0,31.0,37.0,19.0,152.0,11.0,87.0,52.0
2748,0.0,1.0,8.0,33.0,15.0,4.0,2.0,16.0,54.0,3.0,13.0,23.0,6.0,28.0,18.0,10.0,7.0,5.0,40.0,58.0,38.0,27.0,81.0,17.0,120.0,94.0,30.0,9.0,14.0,61.0
2797,0.0,1.0,11.0,16.0,14.0,10.0,4.0,40.0,8.0,26.0,2.0,6.0,3.0,103.0,12.0,68.0,5.0,15.0,13.0,7.0,110.0,33.0,129.0,73.0,53.0,23.0,18.0,19.0,117.0,51.0
2846,0.0,1.0,4.0,33.0,20.0,5.0,6.0,145.0,8.0,2.0,32.0,19.0,10.0,38.0,3.0,17.0,11.0,7.0,123.0,31.0,14.0,49.0,43.0,28.0,113.0,25.0,35.0,13.0,18.0,91.0
2895,0.0,1.0,2.0,86.0,18.0,6.0,5.0,7.0,4.0,15.0,13.0,3.0,12.0,55.0,51.0,75.0,14.0,8.0,19.0,83.0,126.0,20.0,38.0,25.0,27.0,60.0,32.0,17.0,9.0,57.0
2944,0.0,1.0,9.0,2.0,5.0,6.0,20.0,11.0,8.0,13.0,3.0,27.0,14.0,41.0,10.0,31.0,33.0,17.0,22.0,72.0,141.0,92.0,81.0,30.0,84.0,59.0,70.0,120.0,55.0,103.0
2993,0.0,1.0,4.0,3.0,5.0,7.0,21.0,59.0,2.0,11.0,15.0,16.0,10.0,18.0,14.0,19.0,39.0,94.0,23.0,124.0,85.0,6.0,95.0,47.0,117.0,79.0,62.0,20.0,9.0,61.0
3042,0.0,1.0,20.0,2.0,4.0,5.0,8.0,11.0,16.0,10.0,6.0,7.0,96.0,9.0,14.0,25.0,75.0,28.0,73.0,95.0,58.0,35.0,26.0,48.0,78.0,46.0,113.0,49.0,24.0,134.0
3091,0.0,2.0,1.0,5.0,4.0,11.0,14.0,10.0,7.0,3.0,18.0,31.0,15.0,12.0,45.0,13.0,9.0,21.0,6.0,63.0,28.0,24.0,55.0,48.0,26.0,61.0,17.0,34.0,23.0,152.0
3140,0.0,2.0,10.0,1.0,3.0,6.0,5.0,7.0,44.0,16.0,25.0,53.0,9.0,24.0,41.0,11.0,37.0,27.0,8.0,50.0,14.0,54.0,76.0,23.0,35.0,39.0,22.0,57.0,19.0,26.0
3189,0.0,1.0,6.0,2.0,8.0,12.0,13.0,31.0,5.0,7.0,3.0,9.0,22.0,4.0,17.0,23.0,148.0,36.0,11.0,75.0,134.0,29.0,16.0,88.0,30.0,67.0,71.0,27.0,55.0,76.0
3238,0.0,1.0,10.0,2.0,6.0,44.0,3.0,9.0,11.0,4.0,40.0,19.0,49.0,32.0,23.0,18.0,56.0,7.0,5.0,25.0,28.0,22.0,13.0,47.0,113.0,31.0,74.0,29.0,36.0,20.0
3287,0.0,1.0,3.0,7.0,4.0,2.0,35.0,9.0,11.0,47.0,8.0,36.0,15.0,21.0,13.0,56.0,100.0,6.0,16.0,77.0,63.0,14.0,39.0,5.0,26.0,82.0,90.0,62.0,12.0,17.0
3336,0.0,1.0,8.0,5.0,14.0,6.0,30.0,123.0,2.0,16.0,3.0,11.0,28.0,49.0,7.0,12.0,18.0,37.0,79.0,73.0,15.0,10.0,42.0,22.0,32.0,139.0,116.0,57.0,27.0,35.0
3385,0.0,2.0,22.0,42.0,10.0,3.0,1.0,113.0,17.0,9.0,12.0,14.0,26.0,73.0,16.0,13.0,46.0,4.0,72.0,33.0,15.0,61.0,93.0,5.0,101.0,66.0,25.0,106.0,20.0,21.0
3434,0.0,1.0,20.0,3.0,23.0,19.0,2.0,66.0,4.0,12.0,26.0,37.0,46.0,5.0,17.0,33.0,13.0,76.0,14.0,54.0,56.0,16.0,31.0,35.0,10.0,18.0,22.0,58.0,34.0,83.0
3483,0.0,1.0,8.0,3.0,7.0,5.0,4.0,65.0,20.0,15.0,16.0,17.0,28.0,27.0,18.0,2.0,10.0,63.0,6.0,87.0,69.0,14.0,29.0,103.0,38.0,22.0,86.0,79.0,41.0,23.0
3532,0.0,1.0,24.0,2.0,4.0,9.0,39.0,31.0,5.0,28.0,78.0,13.0,14.0,48.0,6.0,10.0,8.0,7.0,23.0,149.0,22.0,3.0,83.0,41.0,53.0,33.0,18.0,36.0,21.0,62.0
3581,0.0,3.0,2.0,9.0,4.0,1.0,6.0,36.0,5.0,25.0,8.0,26.0,22.0,33.0,7.0,32.0,41.0,21.0,98.0,18.0,56.0,11.0,53.0,54.0,44.0,20.0,10.0,108.0,31.0,96.0
3630,0.0,1.0,5.0,17.0,10.0,3.0,11.0,6.0,2.0,4.0,18.0,7.0,8.0,21.0,12.0,9.0,84.0,105.0,49.0,41.0,34.0,16.0,59.0,13.0,39.0,15.0,68.0,27.0,56.0,108.0
3679,0.0,1.0,5.0,2.0,11.0,7.0,9.0,15.0,8.0,16.0,29.0,3.0,6.0,19.0,12.0,41.0,26.0,28.0,36.0,10.0,40.0,4.0,20.0,23.0,51.0,46.0,57.0,123.0,18.0,105.0
3728,0.0,2.0,4.0,3.0,10.0,5.0,6.0,26.0,1.0,32.0,24.0,7.0,34.0,11.0,9.0,18.0,56.0,46.0,27.0,25.0,37.0,8.0,31.0,124.0,42.0,15.0,73.0,155.0,14.0,44.0
3777,0.0,6.0,5.0,4.0,12.0,3.0,1.0,39.0,2.0,7.0,9.0,8.0,19.0,15.0,89.0,13.0,51.0,37.0,11.0,35.0,56.0,24.0,134.0,68.0,41.0,44.0,17.0,57.0,22.0,46.0
3826,0.0,1.0,4.0,6.0,57.0,5.0,2.0,38.0,12.0,11.0,26.0,17.0,3.0,8.0,13.0,9.0,59.0,20.0,50.0,43.0,35.0,7.0,15.0,37.0,105.0,46.0,47.0,56.0,44.0,53.0
3875,0.0,2.0,4.0,16.0,3.0,1.0,6.0,20.0,14.0,12.0,15.0,5.0,8.0,46.0,33.0,9.0,11.0,58.0,13.0,42.0,30.0,7.0,52.0,28.0,55.0,59.0,26.0,27.0,35.0,22.0
3924,0.0,1.0,8.0,2.0,4.0,12.0,27.0,3.0,23.0,9.0,7.0,24.0,6.0,22.0,43.0,5.0,25.0,15.0,14.0,134.0,32.0,81.0,10.0,19.0,11.0,36.0,20.0,91.0,109.0,16.0
3973,0.0,1.0,6.0,16.0,3.0,2.0,52.0,8.0,13.0,18.0,39.0,4.0,70.0,15.0,20.0,5.0,11.0,10.0,54.0,25.0,24.0,72.0,12.0,36.0,62.0,30.0,23.0,99.0,91.0,32.0
4022,0.0,1.0,5.0,7.0,2.0,10.0,51.0,14.0,8.0,21.0,4.0,28.0,6.0,12.0,55.0,80.0,78.0,36.0,37.0,15.0,33.0,19.0,48.0,3.0,62.0,42.0,85.0,32.0,9.0,24.0
4071,0.0,1.0,5.0,2.0,6.0,8.0,24.0,12.0,7.0,10.0,23.0,18.0,15.0,4.0,3.0,17.0,28.0,9.0,35.0,90.0,112.0,26.0,39.0,41.0,53.0,33.0,16.0,121.0,32.0,97.0
4120,0.0,1.0,6.0,46.0,2.0,9.0,8.0,41.0,4.0,13.0,7.0,5.0,3.0,21.0,28.0,14.0,35.0,11.0,24.0,12.0,27.0,76.0,55.0,51.0,62.0,92.0,19.0,52.0,16.0,108.0
4169,0.0,1.0,5.0,6.0,3.0,8.0,32.0,10.0,21.0,2.0,14.0,19.0,17.0,13.0,12.0,105.0,60.0,75.0,23.0,15.0,41.0,51.0,43.0,4.0,11.0,29.0,40.0,44.0,16.0,136.0
4218,0.0,1.0,4.0,3.0,2.0,12.0,13.0,11.0,28.0,38.0,22.0,6.0,32.0,25.0,31.0,26.0,14.0,7.0,27.0,8.0,20.0,124.0,54.0,10.0,93.0,42.0,16.0,58.0,71.0,35.0
4267,0.0,1.0,3.0,17.0,4.0,11.0,30.0,6.0,13.0,18.0,5.0,2.0,12.0,15.0,25.0,44.0,10.0,21.0,70.0,8.0,19.0,38.0,16.0,50.0,23.0,34.0,28.0,69.0,71.0,84.0
4316,0.0,1.0,8.0,5.0,3.0,7.0,17.0,6.0,11.0,10.0,24.0,4.0,12.0,16.0,27.0,14.0,21.0,2.0,80.0,18.0,43.0,157.0,23.0,26.0,29.0,125.0,33.0,62.0,64.0,85.0
4365,0.0,1.0,9.0,11.0,3.0,2.0,26.0,39.0,23.0,5.0,27.0,4.0,15.0,74.0,12.0,18.0,40.0,28.0,89.0,61.0,7.0,37.0,92.0,45.0,107.0,20.0,86.0,29.0,32.0,25.0
4414,0.0,7.0,2.0,22.0,1.0,17.0,4.0,5.0,3.0,13.0,6.0,10.0,15.0,28.0,11.0,9.0,18.0,61.0,12.0,116.0,68.0,8.0,113.0,26.0,76.0,104.0,80.0,16.0,95.0,33.0
4463,0.0,1.0,3.0,9.0,2.0,24.0,4.0,34.0,5.0,25.0,6.0,69.0,26.0,13.0,113.0,7.0,111.0,41.0,44.0,99.0,78.0,23.0,49.0,28.0,58.0,39.0,50.0,51.0,61.0,33.0
4512,0.0,1.0,6.0,9.0,2.0,18.0,3.0,11.0,8.0,23.0,4.0,54.0,22.0,13.0,91.0,19.0,20.0,7.0,27.0,125.0,14.0,43.0,30.0,81.0,16.0,124.0,21.0,87.0,47.0,38.0
4561,0.0,1.0,2.0,9.0,4.0,21.0,3.0,5.0,12.0,30.0,6.0,7.0,49.0,11.0,39.0,37.0,27.0,110.0,14.0,43.0,16.0,25.0,87.0,20.0,41.0,40.0,10.0,57.0,13.0,31.0
4610,0.0,11.0,2.0,17.0,3.0,7.0,6.0,1.0,4.0,32.0,28.0,35.0,22.0,8.0,50.0,5.0,20.0,33.0,58.0,152.0,31.0,16.0,42.0,36.0,25.0,77.0,30.0,47.0,124.0,63.0
4659,0.0,8.0,1.0,31.0,3.0,7.0,6.0,38.0,5.0,2.0,39.0,25.0,19.0,44.0,15.0,10.0,46.0,60.0,36.0,98.0,91.0,85.0,105.0,67.0,101.0,76.0,9.0,23.0,62.0,107.0
4708,0.0,1.0,2.0,26.0,6.0,13.0,18.0,8.0,10.0,4.0,11.0,22.0,47.0,5.0,31.0,29.0,46.0,101.0,19.0,52.0,53.0,55.0,105.0,111.0,20.0,125.0,82.0,76.0,91.0,68.0
4757,0.0,7.0,10.0,11.0,4.0,5.0,8.0,1.0,3.0,2.0,47.0,6.0,20.0,55.0,80.0,19.0,42.0,140.0,35.0,162.0,43.0,16.0,158.0,51.0,157.0,23.0,26.0,89.0,92.0,34.0
4806,0.0,22.0,1.0,31.0,3.0,17.0,23.0,2.0,5.0,58.0,6.0,9.0,89.0,49.0,76.0,7.0,14.0,35.0,60.0,56.0,63.0,4.0,69.0,143.0,65.0,46.0,162.0,47.0,124.0,39.0
4855,0.0,1.0,2.0,11.0,6.0,21.0,24.0,12.0,3.0,22.0,8.0,17.0,9.0,25.0,18.0,10.0,59.0,33.0,63.0,19.0,48.0,31.0,27.0,53.0,46.0,36.0,96.0,67.0,124.0,101.0
