,Akt_pS473,VAV1,Stathmin,Heregulin,Chk1,Tuberin_pT1462,Caspase-7_cleavedD198,RAD51,Bcl-2,PRAS40_pT246,GATA3,GSK3_pS9,p62 Lck ligand,PKC-alpha,YAP_pS127,VHL,MAPK_pT202_Y204,PTEN,MSH6,p27_pT157,Lck,Bax,Chk1_pS345,4E-BP1,Cyclin_B1,Porin,Bid,VEGFR2,SF2,PKC-pan_BetaII_pS660
4,0.0,1.0,11.0,10.0,4.0,8.0,7.0,2.0,25.0,16.0,32.0,9.0,6.0,35.0,43.0,56.0,15.0,14.0,5.0,13.0,36.0,46.0,3.0,44.0,17.0,94.0,31.0,40.0,82.0,54.0
53,0.0,8.0,4.0,2.0,5.0,7.0,6.0,9.0,17.0,3.0,10.0,39.0,114.0,15.0,74.0,23.0,16.0,1.0,36.0,12.0,27.0,56.0,45.0,32.0,46.0,14.0,21.0,131.0,30.0,73.0
102,0.0,7.0,1.0,6.0,2.0,23.0,14.0,36.0,11.0,5.0,44.0,91.0,8.0,63.0,12.0,42.0,15.0,3.0,143.0,75.0,66.0,133.0,29.0,4.0,41.0,105.0,87.0,40.0,45.0,17.0
151,0.0,4.0,29.0,8.0,15.0,1.0,6.0,16.0,3.0,2.0,13.0,57.0,38.0,32.0,5.0,17.0,10.0,7.0,18.0,19.0,26.0,12.0,42.0,24.0,97.0,63.0,27.0,76.0,77.0,66.0
200,0.0,13.0,7.0,1.0,3.0,6.0,2.0,12.0,4.0,10.0,9.0,46.0,64.0,15.0,76.0,18.0,11.0,14.0,17.0,38.0,42.0,43.0,114.0,32.0,119.0,22.0,93.0,27.0,113.0,41.0
249,0.0,6.0,5.0,2.0,33.0,3.0,12.0,21.0,16.0,4.0,14.0,46.0,30.0,8.0,15.0,55.0,41.0,1.0,10.0,44.0,11.0,18.0,42.0,71.0,9.0,50.0,57.0,19.0,151.0,72.0
298,0.0,3.0,2.0,4.0,9.0,6.0,1.0,5.0,68.0,8.0,36.0,32.0,19.0,10.0,69.0,23.0,46.0,55.0,24.0,21.0,16.0,26.0,7.0,11.0,90.0,33.0,34.0,151.0,136.0,20.0
347,0.0,1.0,6.0,5.0,2.0,4.0,16.0,10.0,26.0,7.0,25.0,3.0,11.0,23.0,34.0,101.0,8.0,9.0,18.0,15.0,31.0,65.0,14.0,13.0,24.0,55.0,75.0,117.0,42.0,103.0
396,0.0,9.0,8.0,5.0,10.0,3.0,11.0,1.0,26.0,13.0,2.0,12.0,7.0,4.0,64.0,32.0,20.0,28.0,27.0,29.0,6.0,15.0,23.0,16.0,76.0,97.0,126.0,21.0,52.0,96.0
445,0.0,3.0,7.0,2.0,6.0,13.0,1.0,16.0,12.0,11.0,53.0,23.0,47.0,5.0,19.0,20.0,17.0,10.0,24.0,100.0,43.0,27.0,14.0,60.0,90.0,84.0,91.0,68.0,46.0,140.0
494,0.0,1.0,27.0,13.0,14.0,8.0,28.0,3.0,52.0,7.0,2.0,61.0,58.0,10.0,6.0,23.0,4.0,25.0,57.0,137.0,9.0,15.0,5.0,64.0,20.0,39.0,35.0,45.0,71.0,44.0
543,0.0,2.0,10.0,1.0,9.0,11.0,7.0,17.0,41.0,5.0,6.0,14.0,19.0,4.0,16.0,12.0,15.0,3.0,52.0,98.0,47.0,22.0,34.0,40.0,96.0,49.0,25.0,53.0,36.0,45.0
592,0.0,1.0,22.0,10.0,13.0,4.0,12.0,26.0,15.0,2.0,3.0,19.0,8.0,5.0,41.0,9.0,33.0,74.0,52.0,40.0,21.0,112.0,77.0,23.0,51.0,46.0,32.0,134.0,79.0,38.0
641,0.0,1.0,16.0,3.0,13.0,4.0,19.0,2.0,7.0,10.0,18.0,8.0,32.0,21.0,5.0,6.0,15.0,12.0,51.0,48.0,33.0,29.0,9.0,30.0,47.0,155.0,69.0,46.0,77.0,56.0
690,0.0,1.0,12.0,3.0,11.0,6.0,7.0,2.0,27.0,18.0,5.0,8.0,53.0,14.0,9.0,17.0,20.0,10.0,4.0,13.0,54.0,46.0,31.0,22.0,28.0,70.0,79.0,75.0,49.0,142.0
739,0.0,1.0,3.0,26.0,4.0,5.0,6.0,7.0,32.0,28.0,10.0,27.0,22.0,11.0,17.0,31.0,9.0,40.0,21.0,23.0,13.0,25.0,2.0,33.0,41.0,24.0,60.0,8.0,36.0,55.0
788,0.0,5.0,1.0,3.0,10.0,12.0,33.0,9.0,7.0,31.0,2.0,102.0,20.0,16.0,8.0,17.0,13.0,4.0,6.0,18.0,28.0,34.0,62.0,11.0,72.0,15.0,24.0,14.0,83.0,50.0
837,0.0,1.0,8.0,4.0,44.0,6.0,23.0,13.0,9.0,2.0,3.0,69.0,21.0,5.0,33.0,16.0,14.0,15.0,101.0,17.0,78.0,124.0,99.0,83.0,126.0,12.0,64.0,56.0,30.0,29.0
886,0.0,4.0,13.0,7.0,12.0,8.0,6.0,1.0,2.0,5.0,3.0,10.0,23.0,20.0,99.0,22.0,45.0,11.0,9.0,15.0,34.0,25.0,37.0,47.0,16.0,26.0,61.0,104.0,127.0,18.0
935,0.0,1.0,7.0,2.0,10.0,5.0,6.0,15.0,12.0,19.0,14.0,8.0,127.0,4.0,25.0,26.0,24.0,22.0,121.0,3.0,74.0,108.0,30.0,89.0,106.0,9.0,39.0,43.0,109.0,52.0
984,0.0,2.0,5.0,10.0,3.0,1.0,4.0,7.0,8.0,9.0,16.0,18.0,17.0,13.0,82.0,32.0,35.0,15.0,21.0,25.0,11.0,42.0,38.0,6.0,27.0,70.0,124.0,81.0,46.0,55.0
1033,0.0,1.0,3.0,126.0,7.0,2.0,4.0,20.0,5.0,12.0,6.0,48.0,8.0,11.0,14.0,114.0,9.0,10.0,19.0,23.0,16.0,29.0,13.0,71.0,32.0,60.0,79.0,35.0,82.0,22.0
1082,0.0,1.0,4.0,23.0,5.0,2.0,3.0,8.0,15.0,13.0,20.0,11.0,9.0,16.0,6.0,21.0,17.0,18.0,22.0,12.0,69.0,144.0,10.0,31.0,54.0,62.0,45.0,95.0,48.0,68.0
1131,0.0,1.0,12.0,4.0,7.0,2.0,5.0,3.0,19.0,9.0,8.0,21.0,16.0,34.0,45.0,90.0,6.0,13.0,40.0,99.0,68.0,66.0,11.0,23.0,138.0,79.0,50.0,35.0,26.0,22.0
1180,0.0,1.0,9.0,10.0,6.0,4.0,7.0,5.0,14.0,21.0,43.0,8.0,41.0,16.0,12.0,24.0,20.0,2.0,3.0,23.0,13.0,26.0,15.0,44.0,49.0,89.0,27.0,50.0,77.0,33.0
1229,0.0,1.0,2.0,6.0,12.0,7.0,15.0,16.0,28.0,18.0,17.0,64.0,8.0,23.0,9.0,11.0,14.0,21.0,3.0,13.0,4.0,61.0,27.0,71.0,19.0,35.0,73.0,87.0,107.0,48.0
1278,0.0,1.0,3.0,2.0,6.0,5.0,11.0,20.0,4.0,10.0,27.0,53.0,16.0,18.0,51.0,33.0,93.0,8.0,12.0,48.0,44.0,121.0,7.0,29.0,52.0,91.0,34.0,62.0,22.0,9.0
1327,0.0,1.0,3.0,5.0,13.0,2.0,6.0,30.0,19.0,4.0,17.0,33.0,82.0,11.0,26.0,37.0,16.0,29.0,15.0,51.0,20.0,79.0,66.0,87.0,40.0,14.0,55.0,23.0,99.0,18.0
1376,0.0,1.0,2.0,4.0,11.0,15.0,13.0,9.0,21.0,3.0,50.0,12.0,18.0,6.0,8.0,113.0,7.0,19.0,37.0,17.0,30.0,72.0,36.0,96.0,89.0,98.0,38.0,147.0,71.0,43.0
1425,0.0,6.0,3.0,7.0,10.0,5.0,1.0,8.0,2.0,31.0,34.0,38.0,43.0,27.0,84.0,13.0,86.0,4.0,54.0,18.0,9.0,52.0,24.0,11.0,16.0,29.0,65.0,92.0,22.0,21.0
1474,0.0,1.0,2.0,4.0,11.0,9.0,5.0,7.0,28.0,21.0,16.0,12.0,13.0,43.0,20.0,70.0,3.0,117.0,45.0,6.0,15.0,142.0,30.0,66.0,25.0,72.0,64.0,52.0,123.0,35.0
1523,0.0,4.0,5.0,14.0,12.0,6.0,1.0,2.0,26.0,7.0,24.0,30.0,92.0,72.0,35.0,13.0,3.0,17.0,9.0,25.0,50.0,20.0,83.0,59.0,68.0,28.0,21.0,36.0,40.0,55.0
1572,0.0,5.0,1.0,3.0,11.0,7.0,6.0,9.0,27.0,12.0,8.0,61.0,57.0,20.0,32.0,16.0,2.0,70.0,38.0,4.0,15.0,28.0,52.0,34.0,17.0,120.0,22.0,64.0,55.0,41.0
1621,0.0,16.0,7.0,2.0,10.0,1.0,5.0,3.0,11.0,37.0,9.0,15.0,53.0,46.0,21.0,12.0,14.0,34.0,24.0,30.0,42.0,40.0,52.0,49.0,6.0,20.0,29.0,33.0,148.0,51.0
1670,0.0,1.0,5.0,6.0,4.0,11.0,9.0,3.0,15.0,49.0,7.0,13.0,10.0,70.0,67.0,8.0,2.0,84.0,27.0,66.0,30.0,14.0,85.0,74.0,20.0,16.0,93.0,36.0,32.0,12.0
1719,0.0,3.0,2.0,5.0,15.0,4.0,6.0,1.0,17.0,9.0,7.0,28.0,12.0,33.0,82.0,8.0,22.0,20.0,14.0,11.0,36.0,70.0,13.0,48.0,31.0,161.0,42.0,25.0,45.0,16.0
