,LUNG,BREAST,HAEMATOPOIETIC,PANCREAS,SKIN,LARGE_INTESTINE,LIVER,OVARY,URINARY,NERVOUS,BONE,STOMACH,OESOPHAGUS,ENDOMETRIUM,GANGLIA,PLEURA,SOFT_TISSUE,SALIVARY,THYROID,AERODIGESTIVE,PROSTATE,KIDNEY,BILIARY
48,12.0,7.0,0.0,11.0,1.0,9.0,14.0,6.0,5.0,13.0,2.0,4.0,18.0,8.0,3.0,10.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0
97,4.0,1.0,2.0,5.0,11.0,3.0,16.0,17.0,0.0,10.0,7.0,13.0,9.0,6.0,8.0,12.0,19.0,15.0,14.0,18.0,20.0,21.0,22.0
146,12.0,7.0,0.0,2.0,1.0,8.0,15.0,5.0,3.0,4.0,11.0,14.0,6.0,9.0,13.0,10.0,19.0,16.0,17.0,18.0,20.0,21.0,22.0
195,2.0,13.0,7.0,12.0,9.0,0.0,1.0,6.0,4.0,5.0,10.0,3.0,8.0,15.0,19.0,11.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
244,0.0,1.0,13.0,14.0,12.0,6.0,5.0,17.0,10.0,9.0,4.0,11.0,8.0,2.0,7.0,3.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
293,1.0,8.0,6.0,4.0,14.0,0.0,10.0,5.0,3.0,15.0,11.0,2.0,7.0,12.0,16.0,9.0,13.0,19.0,17.0,18.0,20.0,21.0,22.0
342,3.0,0.0,1.0,14.0,6.0,7.0,5.0,8.0,10.0,9.0,11.0,13.0,2.0,4.0,15.0,12.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
391,3.0,0.0,5.0,10.0,7.0,2.0,8.0,4.0,1.0,14.0,9.0,15.0,6.0,11.0,13.0,12.0,19.0,18.0,16.0,17.0,20.0,21.0,22.0
440,0.0,9.0,5.0,14.0,2.0,3.0,1.0,4.0,6.0,10.0,7.0,13.0,11.0,8.0,12.0,18.0,15.0,21.0,16.0,17.0,19.0,20.0,22.0
489,1.0,10.0,0.0,9.0,3.0,6.0,8.0,5.0,4.0,14.0,7.0,2.0,13.0,17.0,15.0,11.0,12.0,19.0,16.0,18.0,20.0,21.0,22.0
538,2.0,0.0,1.0,3.0,5.0,12.0,13.0,7.0,8.0,18.0,14.0,9.0,10.0,15.0,11.0,4.0,6.0,17.0,16.0,19.0,20.0,21.0,22.0
587,2.0,3.0,1.0,15.0,11.0,0.0,12.0,7.0,8.0,13.0,5.0,9.0,16.0,4.0,10.0,14.0,6.0,18.0,17.0,19.0,20.0,21.0,22.0
636,6.0,1.0,10.0,16.0,4.0,3.0,2.0,7.0,9.0,8.0,12.0,15.0,5.0,14.0,0.0,13.0,11.0,18.0,17.0,19.0,20.0,21.0,22.0
685,0.0,15.0,8.0,1.0,6.0,14.0,5.0,9.0,10.0,17.0,4.0,11.0,13.0,2.0,12.0,3.0,7.0,16.0,19.0,18.0,20.0,21.0,22.0
734,0.0,3.0,1.0,2.0,11.0,8.0,7.0,12.0,18.0,10.0,6.0,13.0,9.0,4.0,16.0,5.0,14.0,21.0,17.0,15.0,19.0,20.0,22.0
783,1.0,2.0,0.0,16.0,7.0,6.0,13.0,14.0,15.0,9.0,5.0,10.0,12.0,3.0,11.0,4.0,8.0,17.0,19.0,18.0,20.0,21.0,22.0
832,14.0,1.0,2.0,3.0,11.0,7.0,6.0,17.0,18.0,13.0,12.0,10.0,9.0,4.0,8.0,5.0,0.0,16.0,15.0,19.0,20.0,21.0,22.0
881,0.0,1.0,2.0,14.0,5.0,4.0,3.0,9.0,7.0,10.0,11.0,8.0,15.0,13.0,6.0,12.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
930,2.0,0.0,1.0,3.0,7.0,6.0,5.0,13.0,10.0,9.0,4.0,11.0,12.0,17.0,8.0,14.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
979,2.0,4.0,0.0,3.0,1.0,17.0,7.0,13.0,10.0,14.0,12.0,15.0,9.0,5.0,16.0,6.0,8.0,18.0,21.0,11.0,19.0,20.0,22.0
1028,15.0,3.0,0.0,13.0,1.0,11.0,12.0,7.0,9.0,8.0,5.0,10.0,14.0,18.0,6.0,4.0,2.0,17.0,16.0,19.0,20.0,21.0,22.0
1077,12.0,0.0,5.0,11.0,8.0,1.0,10.0,13.0,4.0,14.0,15.0,3.0,6.0,7.0,2.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1126,7.0,1.0,9.0,18.0,6.0,0.0,4.0,13.0,15.0,10.0,3.0,11.0,8.0,2.0,5.0,14.0,12.0,21.0,16.0,17.0,19.0,20.0,22.0
1175,0.0,6.0,5.0,2.0,7.0,8.0,10.0,4.0,15.0,3.0,11.0,1.0,14.0,12.0,16.0,9.0,13.0,19.0,17.0,18.0,20.0,21.0,22.0
1224,0.0,8.0,5.0,15.0,6.0,3.0,1.0,4.0,9.0,2.0,13.0,12.0,10.0,7.0,11.0,14.0,16.0,18.0,17.0,21.0,19.0,20.0,22.0
1273,2.0,0.0,1.0,3.0,7.0,6.0,5.0,13.0,10.0,9.0,4.0,11.0,12.0,14.0,8.0,17.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
1322,1.0,0.0,12.0,16.0,5.0,4.0,3.0,13.0,8.0,7.0,2.0,9.0,10.0,15.0,11.0,14.0,6.0,18.0,17.0,19.0,20.0,21.0,22.0
1371,0.0,2.0,13.0,1.0,6.0,5.0,4.0,9.0,11.0,10.0,3.0,12.0,8.0,15.0,7.0,14.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
1420,10.0,0.0,1.0,3.0,13.0,2.0,9.0,5.0,14.0,4.0,8.0,15.0,6.0,7.0,16.0,11.0,12.0,19.0,17.0,18.0,20.0,21.0,22.0
1469,18.0,2.0,9.0,15.0,6.0,0.0,5.0,12.0,10.0,13.0,4.0,1.0,8.0,14.0,11.0,3.0,7.0,17.0,21.0,16.0,19.0,20.0,22.0
1518,19.0,7.0,1.0,2.0,13.0,8.0,10.0,6.0,4.0,5.0,18.0,0.0,15.0,11.0,12.0,9.0,3.0,16.0,14.0,17.0,20.0,21.0,22.0
1567,1.0,2.0,7.0,14.0,12.0,5.0,4.0,8.0,9.0,0.0,3.0,10.0,16.0,13.0,17.0,19.0,6.0,18.0,11.0,15.0,20.0,21.0,22.0
1616,12.0,1.0,0.0,7.0,13.0,8.0,2.0,6.0,5.0,19.0,14.0,4.0,18.0,10.0,15.0,11.0,3.0,16.0,17.0,9.0,20.0,21.0,22.0
1665,2.0,1.0,7.0,0.0,9.0,10.0,4.0,6.0,14.0,11.0,3.0,15.0,8.0,13.0,17.0,12.0,5.0,19.0,18.0,16.0,20.0,21.0,22.0
1714,4.0,3.0,2.0,5.0,13.0,8.0,9.0,6.0,14.0,1.0,11.0,0.0,7.0,16.0,15.0,10.0,12.0,19.0,17.0,18.0,20.0,21.0,22.0
1763,1.0,2.0,0.0,4.0,14.0,7.0,6.0,3.0,12.0,9.0,5.0,13.0,10.0,17.0,19.0,11.0,8.0,16.0,15.0,18.0,20.0,21.0,22.0
1812,18.0,0.0,1.0,3.0,12.0,6.0,5.0,7.0,8.0,16.0,15.0,9.0,10.0,17.0,11.0,4.0,2.0,14.0,21.0,13.0,19.0,20.0,22.0
1861,3.0,0.0,7.0,9.0,12.0,2.0,16.0,15.0,5.0,6.0,10.0,4.0,8.0,11.0,13.0,21.0,1.0,19.0,14.0,17.0,18.0,20.0,22.0
1910,2.0,4.0,0.0,3.0,10.0,5.0,1.0,7.0,8.0,11.0,12.0,9.0,15.0,14.0,16.0,13.0,6.0,18.0,17.0,19.0,20.0,21.0,22.0
1959,0.0,6.0,4.0,11.0,14.0,7.0,8.0,15.0,2.0,3.0,9.0,1.0,5.0,12.0,17.0,16.0,13.0,18.0,19.0,10.0,20.0,21.0,22.0
