,S100A4,CMTM7,TRPV2,ETV4,HOXB7,SPRY2,SPRY4,HMGA2,SNX18P16,ABO,C15ORF31,KHDRBS3,ETV5,TOR4A,SH3TC2,MYEOV,TMEM101,EVPL,RP11-49K24.4,SLC17A9,EMP1,STRA6,SLC16A3,LINC00707,LIN28B,TMTC2,SOX9,SPRY1,DCP1B,RPL21P39
8,1.0,0.0,3.0,4.0,6.0,67.0,18.0,41.0,25.0,28.0,12.0,8.0,17.0,54.0,15.0,2.0,147.0,26.0,24.0,23.0,27.0,21.0,43.0,251.0,19.0,36.0,179.0,1561.0,57.0,13.0
57,0.0,1.0,2.0,3.0,4.0,27.0,24.0,12.0,21.0,13.0,6.0,81.0,41.0,61.0,39.0,5.0,67.0,26.0,8.0,16.0,49.0,87.0,30.0,235.0,7.0,57.0,186.0,212.0,132.0,60.0
106,0.0,2.0,1.0,3.0,4.0,9.0,8.0,13.0,96.0,28.0,63.0,18.0,21.0,73.0,59.0,27.0,26.0,7.0,17.0,12.0,44.0,48.0,20.0,254.0,6.0,46.0,30.0,155.0,231.0,47.0
155,0.0,2.0,1.0,5.0,4.0,8.0,17.0,6.0,50.0,31.0,115.0,35.0,18.0,159.0,103.0,3.0,355.0,41.0,26.0,74.0,23.0,27.0,188.0,51.0,22.0,24.0,28.0,459.0,70.0,111.0
204,0.0,1.0,2.0,3.0,8.0,22.0,11.0,36.0,231.0,26.0,9.0,38.0,24.0,84.0,25.0,31.0,90.0,21.0,35.0,17.0,23.0,19.0,37.0,1244.0,188.0,16.0,94.0,111.0,75.0,12.0
253,1.0,0.0,3.0,4.0,84.0,14.0,36.0,38.0,31.0,8.0,11.0,107.0,19.0,10.0,35.0,9.0,18.0,26.0,73.0,2.0,486.0,29.0,23.0,419.0,5.0,60.0,94.0,275.0,458.0,93.0
302,3.0,4.0,1.0,5.0,0.0,6.0,11.0,9.0,34.0,33.0,37.0,40.0,19.0,7.0,62.0,2.0,70.0,8.0,55.0,20.0,12.0,93.0,144.0,173.0,10.0,130.0,68.0,76.0,97.0,39.0
351,0.0,1.0,2.0,7.0,4.0,5.0,15.0,22.0,14.0,8.0,31.0,9.0,60.0,63.0,170.0,19.0,18.0,114.0,11.0,16.0,145.0,12.0,26.0,401.0,20.0,50.0,101.0,75.0,52.0,54.0
400,0.0,1.0,14.0,4.0,2.0,17.0,11.0,20.0,43.0,35.0,161.0,91.0,64.0,29.0,8.0,5.0,36.0,19.0,7.0,12.0,46.0,6.0,26.0,198.0,241.0,18.0,58.0,56.0,144.0,76.0
449,0.0,1.0,15.0,2.0,7.0,54.0,20.0,278.0,44.0,11.0,18.0,9.0,30.0,59.0,19.0,3.0,79.0,6.0,53.0,29.0,93.0,22.0,97.0,585.0,82.0,81.0,50.0,477.0,76.0,36.0
498,0.0,1.0,5.0,3.0,2.0,13.0,27.0,85.0,23.0,19.0,89.0,4.0,46.0,12.0,56.0,20.0,16.0,6.0,49.0,47.0,43.0,9.0,8.0,83.0,48.0,35.0,25.0,109.0,60.0,74.0
547,1.0,0.0,9.0,4.0,2.0,30.0,10.0,43.0,12.0,32.0,409.0,24.0,18.0,25.0,86.0,5.0,23.0,3.0,28.0,21.0,15.0,7.0,58.0,49.0,35.0,103.0,106.0,147.0,215.0,19.0
596,1.0,0.0,8.0,2.0,3.0,9.0,24.0,44.0,14.0,20.0,232.0,6.0,22.0,69.0,48.0,51.0,35.0,16.0,27.0,10.0,39.0,19.0,92.0,132.0,25.0,45.0,36.0,83.0,23.0,56.0
645,0.0,1.0,63.0,2.0,3.0,6.0,11.0,74.0,7.0,42.0,77.0,8.0,28.0,56.0,36.0,457.0,16.0,13.0,139.0,39.0,15.0,12.0,32.0,955.0,44.0,53.0,45.0,86.0,31.0,52.0
694,1.0,0.0,64.0,2.0,4.0,3.0,10.0,110.0,76.0,26.0,200.0,15.0,55.0,93.0,33.0,38.0,20.0,7.0,36.0,5.0,92.0,27.0,22.0,285.0,143.0,9.0,40.0,119.0,140.0,101.0
743,1.0,0.0,8.0,3.0,11.0,7.0,9.0,142.0,2.0,35.0,45.0,21.0,37.0,60.0,113.0,6.0,24.0,10.0,44.0,4.0,32.0,5.0,77.0,41.0,14.0,159.0,26.0,69.0,111.0,186.0
792,1.0,0.0,8.0,2.0,4.0,5.0,24.0,55.0,25.0,39.0,52.0,10.0,47.0,809.0,136.0,106.0,6.0,9.0,42.0,11.0,16.0,94.0,95.0,233.0,477.0,20.0,83.0,13.0,175.0,101.0
841,2.0,1.0,11.0,4.0,0.0,3.0,12.0,75.0,26.0,137.0,121.0,24.0,21.0,25.0,36.0,19.0,43.0,5.0,106.0,73.0,42.0,8.0,91.0,20.0,146.0,37.0,14.0,23.0,57.0,46.0
890,1.0,0.0,19.0,2.0,3.0,4.0,37.0,27.0,38.0,49.0,47.0,16.0,40.0,126.0,82.0,8.0,6.0,11.0,33.0,71.0,5.0,36.0,110.0,69.0,61.0,57.0,13.0,52.0,20.0,60.0
939,1.0,0.0,32.0,2.0,94.0,3.0,8.0,42.0,55.0,44.0,226.0,12.0,23.0,5.0,13.0,120.0,6.0,18.0,118.0,4.0,69.0,10.0,27.0,98.0,35.0,50.0,9.0,34.0,197.0,122.0
988,2.0,1.0,3.0,4.0,0.0,9.0,23.0,17.0,10.0,41.0,13.0,57.0,27.0,12.0,158.0,6.0,93.0,21.0,50.0,125.0,29.0,7.0,130.0,174.0,26.0,56.0,60.0,105.0,42.0,8.0
1037,1.0,2.0,0.0,6.0,3.0,23.0,14.0,146.0,10.0,54.0,199.0,30.0,32.0,21.0,52.0,8.0,159.0,36.0,66.0,35.0,68.0,22.0,84.0,69.0,31.0,81.0,45.0,221.0,12.0,4.0
1086,0.0,2.0,3.0,6.0,1.0,8.0,32.0,95.0,11.0,12.0,4.0,36.0,52.0,14.0,48.0,31.0,125.0,21.0,30.0,19.0,16.0,72.0,44.0,9.0,314.0,87.0,55.0,22.0,5.0,10.0
1135,11.0,0.0,1.0,2.0,4.0,3.0,6.0,5.0,153.0,26.0,15.0,57.0,19.0,23.0,37.0,65.0,45.0,18.0,333.0,24.0,16.0,139.0,75.0,302.0,62.0,46.0,8.0,14.0,29.0,10.0
1184,1.0,0.0,6.0,3.0,2.0,11.0,18.0,22.0,27.0,4.0,5.0,9.0,19.0,13.0,46.0,59.0,57.0,73.0,67.0,23.0,20.0,14.0,37.0,29.0,34.0,135.0,110.0,68.0,10.0,26.0
1233,2.0,0.0,5.0,1.0,34.0,7.0,12.0,16.0,19.0,33.0,4.0,80.0,22.0,6.0,17.0,37.0,57.0,36.0,546.0,166.0,105.0,43.0,26.0,29.0,10.0,40.0,79.0,60.0,11.0,13.0
1282,3.0,0.0,2.0,6.0,1.0,10.0,12.0,28.0,4.0,54.0,11.0,87.0,46.0,25.0,13.0,27.0,26.0,17.0,100.0,89.0,22.0,65.0,32.0,255.0,15.0,23.0,16.0,328.0,7.0,9.0
1331,2.0,3.0,0.0,4.0,1.0,6.0,18.0,8.0,16.0,7.0,11.0,23.0,47.0,5.0,103.0,20.0,58.0,44.0,29.0,92.0,124.0,13.0,45.0,21.0,36.0,50.0,17.0,55.0,28.0,24.0
1380,2.0,0.0,5.0,1.0,3.0,6.0,14.0,12.0,22.0,13.0,20.0,11.0,18.0,7.0,29.0,26.0,47.0,83.0,177.0,60.0,55.0,28.0,72.0,15.0,200.0,103.0,17.0,59.0,16.0,9.0
1429,0.0,1.0,6.0,3.0,5.0,20.0,23.0,24.0,93.0,47.0,29.0,113.0,12.0,10.0,17.0,33.0,127.0,19.0,56.0,468.0,7.0,26.0,15.0,337.0,146.0,13.0,70.0,11.0,2.0,44.0
1478,1.0,0.0,5.0,3.0,57.0,2.0,8.0,4.0,6.0,18.0,279.0,113.0,22.0,146.0,9.0,15.0,50.0,28.0,30.0,24.0,26.0,109.0,39.0,47.0,27.0,80.0,45.0,12.0,137.0,162.0
1527,1.0,0.0,16.0,2.0,4.0,8.0,9.0,10.0,13.0,14.0,87.0,251.0,31.0,21.0,22.0,15.0,82.0,67.0,35.0,33.0,178.0,712.0,20.0,34.0,37.0,84.0,507.0,38.0,98.0,651.0
1576,5.0,1.0,3.0,2.0,0.0,6.0,7.0,17.0,8.0,29.0,55.0,101.0,18.0,36.0,103.0,14.0,31.0,15.0,51.0,928.0,26.0,70.0,83.0,120.0,13.0,61.0,20.0,10.0,147.0,527.0
1625,0.0,2.0,16.0,1.0,5.0,4.0,24.0,13.0,9.0,54.0,34.0,344.0,37.0,182.0,83.0,6.0,48.0,26.0,63.0,66.0,61.0,76.0,40.0,46.0,28.0,178.0,242.0,20.0,35.0,79.0
1674,0.0,1.0,7.0,4.0,2.0,12.0,39.0,10.0,3.0,25.0,14.0,188.0,38.0,43.0,102.0,9.0,156.0,21.0,17.0,168.0,31.0,13.0,50.0,23.0,19.0,64.0,213.0,20.0,40.0,212.0
1723,0.0,2.0,1.0,8.0,3.0,4.0,19.0,59.0,7.0,14.0,43.0,147.0,50.0,32.0,62.0,6.0,134.0,103.0,42.0,263.0,46.0,25.0,12.0,51.0,17.0,104.0,415.0,27.0,60.0,246.0
1772,0.0,4.0,53.0,2.0,5.0,1.0,8.0,49.0,40.0,18.0,11.0,51.0,27.0,36.0,19.0,10.0,77.0,25.0,13.0,47.0,105.0,41.0,72.0,15.0,37.0,21.0,81.0,7.0,34.0,110.0
1821,2.0,1.0,7.0,3.0,18.0,5.0,4.0,9.0,15.0,10.0,22.0,52.0,26.0,6.0,14.0,35.0,59.0,40.0,50.0,112.0,159.0,55.0,24.0,44.0,20.0,46.0,204.0,12.0,19.0,128.0
1870,3.0,11.0,2.0,1.0,13.0,6.0,17.0,4.0,43.0,32.0,36.0,61.0,29.0,50.0,20.0,8.0,40.0,74.0,31.0,136.0,24.0,126.0,35.0,318.0,69.0,144.0,30.0,7.0,154.0,105.0
1919,3.0,2.0,15.0,6.0,12.0,4.0,11.0,8.0,7.0,20.0,26.0,24.0,31.0,13.0,29.0,65.0,63.0,38.0,17.0,97.0,23.0,70.0,14.0,21.0,18.0,125.0,61.0,5.0,183.0,99.0
1968,8.0,0.0,2.0,1.0,5.0,58.0,21.0,6.0,19.0,17.0,16.0,13.0,25.0,30.0,27.0,32.0,3.0,38.0,39.0,64.0,83.0,187.0,116.0,18.0,188.0,41.0,26.0,72.0,75.0,33.0
2017,3.0,0.0,1.0,6.0,4.0,28.0,18.0,22.0,83.0,7.0,17.0,2.0,38.0,198.0,49.0,82.0,5.0,79.0,21.0,47.0,59.0,205.0,146.0,12.0,117.0,76.0,24.0,129.0,58.0,66.0
2066,11.0,0.0,2.0,3.0,6.0,69.0,12.0,21.0,189.0,8.0,65.0,1.0,23.0,291.0,14.0,274.0,7.0,52.0,63.0,125.0,10.0,261.0,89.0,122.0,316.0,144.0,17.0,72.0,346.0,44.0
2115,1.0,0.0,2.0,7.0,6.0,21.0,27.0,19.0,80.0,3.0,41.0,4.0,31.0,117.0,32.0,50.0,20.0,30.0,45.0,64.0,9.0,59.0,84.0,10.0,135.0,69.0,8.0,72.0,54.0,122.0
2164,2.0,1.0,0.0,3.0,4.0,26.0,9.0,11.0,48.0,6.0,35.0,5.0,19.0,120.0,38.0,185.0,10.0,107.0,40.0,103.0,27.0,53.0,75.0,76.0,71.0,83.0,45.0,60.0,31.0,67.0
2213,4.0,0.0,1.0,2.0,12.0,195.0,28.0,172.0,10.0,6.0,40.0,8.0,34.0,581.0,51.0,3.0,25.0,43.0,35.0,21.0,109.0,120.0,230.0,118.0,74.0,53.0,48.0,3847.0,93.0,68.0
2262,2.0,0.0,5.0,1.0,4.0,9.0,8.0,3.0,37.0,7.0,62.0,12.0,18.0,44.0,29.0,106.0,6.0,182.0,38.0,33.0,195.0,98.0,238.0,22.0,54.0,75.0,15.0,56.0,101.0,64.0
2311,1.0,0.0,4.0,2.0,3.0,13.0,17.0,10.0,683.0,6.0,160.0,21.0,18.0,492.0,24.0,38.0,5.0,31.0,39.0,26.0,52.0,144.0,842.0,46.0,16.0,19.0,41.0,97.0,112.0,86.0
2360,5.0,0.0,3.0,1.0,10.0,37.0,16.0,18.0,33.0,22.0,17.0,4.0,13.0,215.0,27.0,19.0,11.0,56.0,31.0,75.0,43.0,101.0,321.0,8.0,347.0,287.0,29.0,41.0,53.0,96.0
2409,22.0,0.0,2.0,7.0,1.0,19.0,40.0,17.0,12.0,5.0,3.0,10.0,16.0,113.0,20.0,74.0,4.0,72.0,24.0,623.0,11.0,71.0,778.0,26.0,180.0,51.0,8.0,58.0,171.0,134.0
2458,1.0,0.0,3.0,4.0,50.0,6.0,8.0,12.0,25.0,56.0,165.0,33.0,43.0,5.0,16.0,178.0,37.0,48.0,19.0,2.0,77.0,23.0,20.0,11.0,38.0,65.0,17.0,53.0,296.0,88.0
2507,0.0,3.0,6.0,4.0,1.0,10.0,7.0,8.0,12.0,22.0,133.0,130.0,54.0,15.0,68.0,43.0,31.0,26.0,11.0,60.0,81.0,83.0,13.0,47.0,40.0,19.0,102.0,45.0,63.0,94.0
2556,0.0,2.0,1.0,3.0,14.0,9.0,11.0,20.0,7.0,19.0,47.0,22.0,39.0,4.0,112.0,32.0,15.0,61.0,12.0,6.0,45.0,42.0,5.0,28.0,36.0,72.0,50.0,164.0,80.0,95.0
2605,2.0,0.0,1.0,7.0,5.0,6.0,20.0,4.0,21.0,44.0,9.0,8.0,64.0,34.0,94.0,573.0,303.0,116.0,160.0,55.0,10.0,57.0,73.0,442.0,50.0,31.0,52.0,136.0,33.0,111.0
2654,0.0,3.0,9.0,2.0,1.0,4.0,18.0,8.0,21.0,57.0,95.0,53.0,52.0,7.0,36.0,51.0,46.0,42.0,29.0,82.0,33.0,25.0,22.0,27.0,125.0,49.0,12.0,19.0,65.0,131.0
2703,0.0,1.0,7.0,6.0,8.0,4.0,5.0,11.0,2.0,82.0,230.0,120.0,20.0,51.0,22.0,43.0,66.0,247.0,21.0,72.0,45.0,14.0,60.0,54.0,49.0,30.0,16.0,9.0,42.0,94.0
2752,1.0,0.0,2.0,3.0,6.0,5.0,13.0,10.0,4.0,15.0,23.0,12.0,26.0,22.0,446.0,24.0,175.0,152.0,48.0,68.0,75.0,88.0,73.0,98.0,31.0,128.0,30.0,349.0,209.0,149.0
2801,1.0,4.0,3.0,13.0,0.0,132.0,75.0,144.0,7.0,18.0,412.0,11.0,46.0,2.0,63.0,122.0,17.0,19.0,14.0,81.0,77.0,26.0,8.0,6.0,195.0,36.0,25.0,95.0,91.0,49.0
2850,0.0,1.0,19.0,2.0,52.0,4.0,12.0,29.0,59.0,36.0,5.0,14.0,37.0,3.0,26.0,124.0,15.0,34.0,16.0,6.0,344.0,18.0,31.0,23.0,85.0,35.0,166.0,20.0,207.0,90.0
2899,2.0,6.0,1.0,5.0,0.0,7.0,15.0,10.0,3.0,44.0,29.0,24.0,20.0,4.0,166.0,164.0,21.0,33.0,16.0,27.0,32.0,11.0,42.0,25.0,19.0,190.0,8.0,12.0,55.0,202.0
2948,2.0,0.0,29.0,4.0,74.0,7.0,9.0,1.0,13.0,3.0,36.0,56.0,23.0,32.0,20.0,1108.0,10.0,85.0,25.0,14.0,122.0,21.0,34.0,68.0,19.0,35.0,47.0,38.0,137.0,199.0
2997,1.0,0.0,10.0,2.0,13.0,24.0,9.0,21.0,78.0,14.0,3.0,5.0,19.0,12.0,32.0,40.0,27.0,20.0,133.0,47.0,57.0,103.0,69.0,26.0,54.0,35.0,310.0,49.0,4.0,8.0
3046,1.0,0.0,11.0,3.0,46.0,16.0,13.0,18.0,9.0,7.0,5.0,36.0,30.0,6.0,72.0,97.0,50.0,205.0,70.0,82.0,62.0,38.0,10.0,27.0,24.0,43.0,955.0,197.0,49.0,58.0
3095,1.0,0.0,7.0,5.0,11.0,32.0,21.0,13.0,8.0,4.0,3.0,14.0,20.0,6.0,37.0,70.0,74.0,128.0,47.0,143.0,49.0,43.0,9.0,148.0,16.0,19.0,222.0,104.0,30.0,54.0
3144,1.0,0.0,8.0,2.0,127.0,72.0,18.0,14.0,45.0,3.0,15.0,12.0,13.0,35.0,37.0,24.0,212.0,4.0,293.0,30.0,70.0,5.0,39.0,890.0,7.0,16.0,274.0,496.0,27.0,26.0
3193,1.0,0.0,10.0,2.0,7.0,13.0,5.0,6.0,20.0,24.0,14.0,22.0,11.0,12.0,23.0,62.0,27.0,8.0,248.0,45.0,52.0,48.0,67.0,84.0,9.0,34.0,51.0,29.0,88.0,33.0
3242,2.0,0.0,17.0,1.0,289.0,29.0,6.0,12.0,73.0,5.0,4.0,9.0,11.0,16.0,10.0,496.0,33.0,62.0,491.0,42.0,20.0,101.0,13.0,3084.0,85.0,81.0,178.0,32.0,8.0,68.0
3291,2.0,0.0,4.0,5.0,16.0,37.0,23.0,1.0,8.0,7.0,10.0,15.0,19.0,14.0,35.0,119.0,31.0,55.0,51.0,26.0,61.0,25.0,17.0,103.0,24.0,69.0,183.0,128.0,12.0,39.0
3340,0.0,1.0,14.0,2.0,24.0,13.0,8.0,27.0,15.0,6.0,5.0,38.0,17.0,4.0,12.0,216.0,32.0,42.0,56.0,50.0,91.0,39.0,22.0,34.0,331.0,19.0,578.0,31.0,20.0,11.0
3389,1.0,0.0,10.0,4.0,19.0,52.0,26.0,15.0,5.0,2.0,3.0,28.0,12.0,6.0,43.0,289.0,21.0,33.0,65.0,37.0,66.0,25.0,31.0,80.0,45.0,34.0,48.0,143.0,35.0,20.0
3438,7.0,3.0,0.0,5.0,4.0,1.0,6.0,10.0,43.0,21.0,22.0,9.0,18.0,31.0,20.0,34.0,25.0,37.0,80.0,62.0,14.0,48.0,39.0,16.0,12.0,30.0,45.0,2.0,157.0,17.0
3487,7.0,0.0,2.0,3.0,5.0,1.0,4.0,68.0,35.0,164.0,54.0,13.0,29.0,45.0,12.0,40.0,8.0,21.0,53.0,38.0,24.0,82.0,106.0,42.0,32.0,36.0,27.0,10.0,334.0,11.0
3536,9.0,4.0,0.0,2.0,5.0,3.0,7.0,12.0,165.0,40.0,20.0,6.0,14.0,39.0,26.0,480.0,27.0,29.0,82.0,123.0,10.0,110.0,244.0,22.0,84.0,32.0,60.0,1.0,8.0,24.0
3585,12.0,1.0,4.0,2.0,8.0,0.0,7.0,5.0,898.0,79.0,65.0,13.0,14.0,47.0,23.0,138.0,11.0,16.0,97.0,18.0,9.0,80.0,171.0,22.0,42.0,33.0,19.0,3.0,571.0,15.0
3634,11.0,0.0,2.0,1.0,8.0,3.0,7.0,21.0,102.0,63.0,14.0,6.0,26.0,49.0,25.0,287.0,28.0,42.0,181.0,118.0,4.0,717.0,111.0,22.0,239.0,20.0,36.0,5.0,136.0,23.0
3683,12.0,0.0,1.0,2.0,3.0,5.0,11.0,9.0,49.0,73.0,17.0,6.0,22.0,25.0,15.0,547.0,20.0,29.0,28.0,85.0,8.0,62.0,52.0,36.0,38.0,30.0,47.0,4.0,222.0,19.0
3732,11.0,0.0,1.0,3.0,4.0,2.0,7.0,12.0,41.0,53.0,20.0,8.0,13.0,35.0,15.0,103.0,18.0,36.0,49.0,42.0,16.0,21.0,156.0,38.0,45.0,52.0,51.0,6.0,63.0,9.0
3781,7.0,1.0,0.0,2.0,17.0,5.0,8.0,3.0,98.0,48.0,11.0,30.0,10.0,9.0,20.0,358.0,6.0,34.0,29.0,113.0,12.0,42.0,25.0,472.0,68.0,35.0,14.0,4.0,114.0,15.0
3830,7.0,5.0,6.0,2.0,28.0,0.0,14.0,25.0,150.0,22.0,3.0,16.0,17.0,26.0,10.0,460.0,8.0,54.0,60.0,38.0,46.0,74.0,100.0,24.0,181.0,37.0,323.0,1.0,390.0,9.0
3879,7.0,0.0,2.0,1.0,3.0,5.0,6.0,9.0,200.0,46.0,516.0,4.0,21.0,77.0,14.0,104.0,44.0,16.0,202.0,58.0,12.0,33.0,31.0,457.0,34.0,36.0,75.0,11.0,182.0,79.0
3928,3.0,0.0,2.0,8.0,1.0,4.0,10.0,60.0,97.0,68.0,222.0,37.0,67.0,86.0,32.0,31.0,239.0,51.0,18.0,59.0,125.0,89.0,215.0,896.0,678.0,26.0,48.0,22.0,44.0,30.0
3977,1.0,2.0,0.0,3.0,5.0,4.0,19.0,102.0,37.0,18.0,10.0,39.0,38.0,6.0,58.0,57.0,9.0,206.0,15.0,17.0,264.0,36.0,512.0,28.0,292.0,84.0,120.0,34.0,13.0,21.0
4026,1.0,0.0,2.0,5.0,6.0,16.0,29.0,77.0,4.0,15.0,20.0,127.0,62.0,56.0,97.0,8.0,32.0,18.0,22.0,185.0,59.0,25.0,36.0,88.0,40.0,39.0,70.0,38.0,12.0,65.0
4075,4.0,0.0,2.0,14.0,13.0,11.0,54.0,147.0,3.0,30.0,25.0,170.0,43.0,1.0,21.0,86.0,15.0,17.0,10.0,29.0,391.0,18.0,5.0,51.0,88.0,59.0,52.0,58.0,36.0,46.0
4124,4.0,3.0,0.0,2.0,1.0,11.0,24.0,33.0,8.0,72.0,19.0,133.0,44.0,5.0,32.0,7.0,47.0,48.0,20.0,338.0,43.0,112.0,21.0,29.0,30.0,49.0,34.0,45.0,14.0,27.0
4173,2.0,0.0,1.0,8.0,12.0,17.0,16.0,73.0,4.0,11.0,25.0,77.0,43.0,28.0,39.0,29.0,46.0,55.0,24.0,122.0,70.0,92.0,175.0,31.0,112.0,56.0,82.0,91.0,7.0,58.0
4222,1.0,2.0,0.0,6.0,3.0,5.0,60.0,149.0,7.0,30.0,58.0,35.0,87.0,24.0,39.0,17.0,94.0,46.0,10.0,44.0,85.0,25.0,79.0,64.0,63.0,120.0,116.0,77.0,8.0,20.0
4271,3.0,1.0,2.0,4.0,13.0,9.0,38.0,100.0,10.0,57.0,43.0,474.0,30.0,14.0,42.0,0.0,619.0,5.0,36.0,28.0,27.0,18.0,94.0,23.0,47.0,19.0,44.0,62.0,46.0,55.0
