,BRAF_MUT,ZNF705G_AMP,LOC728875_DEL,BRAF.V600E_MUT,ADAMTSL3_DEL,TTN_MUT,TTTY22_DEL,LOC100287534_AMP,USP17L4_AMP,USP17L1P_AMP,CADM2_DEL,HLA-DQB1_DEL,PCDH9_DEL,BTNL3_DEL,DPP6_DEL,BTNL8_DEL,ZNF490_DEL,LOC729737_DEL,LOC390705_DEL,SORL1_MUT,TMEM236_DEL,KIAA0125_AMP,MAML3_MUT,EEF1DP3_DEL,RBFOX1_DEL,MIR511-1_DEL,MIR511-2_DEL,SIGLEC14_DEL,CES1P1_DEL,FASN_MUT
30,1.0,15.0,7.0,6.0,8.0,43.0,12.0,25.0,40.0,39.0,5.0,20.0,14.0,1372.0,13.0,317.0,3.0,126.0,2.0,11.0,54.0,3358.0,89.0,254.0,1126.0,53.0,55.0,1972.0,0.0,82.0
79,2.0,22.0,16.0,5.0,8.0,67.0,25.0,17.0,53.0,52.0,7.0,26.0,30.0,48.0,4.0,29.0,3.0,70.0,9.0,24.0,6.0,64.0,41.0,65.0,192.0,12.0,11.0,21.0,19.0,43.0
128,1.0,15.0,7.0,4.0,12.0,31.0,23.0,14.0,34.0,33.0,9.0,18.0,19.0,127.0,2.0,70.0,3.0,63.0,0.0,22.0,20.0,152.0,21.0,25.0,50.0,27.0,28.0,83.0,6.0,42.0
177,4.0,24.0,1.0,6.0,5.0,71.0,39.0,57.0,33.0,34.0,10.0,15.0,14.0,183.0,9.0,54.0,3.0,159.0,0.0,17.0,20.0,8021.0,44.0,126.0,38.0,32.0,31.0,1949.0,2.0,25.0
226,0.0,23.0,15.0,2.0,4.0,148.0,10.0,14.0,37.0,36.0,6.0,61.0,13.0,4173.0,5.0,901.0,3.0,33.0,9.0,63.0,48.0,646.0,22.0,18.0,129.0,82.0,81.0,21.0,17.0,20.0
275,0.0,5.0,4.0,2.0,7.0,539.0,42.0,304.0,25.0,24.0,6.0,22.0,15.0,143.0,30.0,150.0,17.0,106.0,3.0,18.0,247.0,9.0,29.0,19.0,58.0,525.0,526.0,177.0,8.0,31.0
324,1.0,3.0,5.0,7.0,4.0,135.0,22.0,12.0,10.0,11.0,35.0,14.0,59.0,1800.0,2.0,593.0,0.0,98.0,6.0,45.0,24.0,158.0,152.0,25.0,325.0,39.0,38.0,36.0,42.0,17.0
373,0.0,17.0,7.0,4.0,2.0,38.0,10.0,9.0,143.0,142.0,6.0,131.0,12.0,237.0,22.0,85.0,3.0,35.0,1.0,8.0,32.0,212.0,21.0,51.0,53.0,62.0,63.0,176.0,18.0,39.0
422,2.0,20.0,11.0,7.0,4.0,98.0,23.0,3.0,38.0,37.0,10.0,16.0,22.0,96.0,1.0,40.0,6.0,46.0,5.0,12.0,35.0,12533.0,18.0,32.0,109.0,75.0,74.0,43.0,0.0,13.0
471,2.0,4.0,7.0,3.0,22.0,74.0,10.0,5.0,23.0,24.0,33.0,17.0,9.0,65.0,1.0,21.0,19.0,299.0,8.0,14.0,69.0,16.0,27.0,125.0,168.0,115.0,114.0,6353.0,0.0,28.0
520,0.0,1.0,23.0,11.0,9.0,118.0,20.0,19.0,17.0,16.0,25.0,46.0,5.0,8.0,7.0,4.0,80.0,35.0,1516.0,179.0,29.0,15.0,24.0,37.0,21.0,43.0,42.0,401.0,6.0,38.0
