,OESOPHAGUS,OVARY,HAEMATOPOIETIC,AERODIGESTIVE,LARGE_INTESTINE,KIDNEY,ENDOMETRIUM,BREAST,STOMACH,PROSTATE,PLEURA,BILIARY,SALIVARY,THYROID,URINARY,PANCREAS,LUNG,LIVER,BONE,GANGLIA,SOFT_TISSUE,SKIN,NERVOUS
45,0.0,4.0,5.0,2.0,1.0,12.0,8.0,3.0,6.0,7.0,9.0,10.0,14.0,11.0,13.0,18.0,17.0,16.0,15.0,19.0,20.0,21.0,22.0
94,0.0,2.0,5.0,1.0,3.0,4.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,15.0,17.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
143,0.0,2.0,3.0,1.0,9.0,4.0,6.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
192,0.0,3.0,4.0,2.0,1.0,5.0,7.0,6.0,8.0,9.0,14.0,10.0,13.0,11.0,12.0,17.0,18.0,16.0,15.0,19.0,20.0,21.0,22.0
241,0.0,2.0,3.0,1.0,4.0,5.0,7.0,6.0,8.0,11.0,9.0,12.0,10.0,13.0,14.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
290,0.0,2.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,19.0,18.0,21.0,22.0
339,0.0,2.0,4.0,3.0,1.0,12.0,5.0,6.0,14.0,7.0,9.0,16.0,15.0,11.0,13.0,17.0,10.0,19.0,18.0,8.0,20.0,21.0,22.0
388,0.0,2.0,5.0,4.0,1.0,3.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0,18.0,20.0,19.0,21.0,22.0
437,0.0,1.0,2.0,3.0,6.0,4.0,9.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
486,0.0,1.0,6.0,4.0,2.0,5.0,3.0,8.0,13.0,7.0,9.0,10.0,14.0,11.0,12.0,16.0,15.0,18.0,17.0,19.0,20.0,21.0,22.0
535,0.0,2.0,4.0,1.0,5.0,6.0,8.0,7.0,3.0,10.0,11.0,12.0,9.0,13.0,14.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
584,0.0,6.0,4.0,1.0,3.0,8.0,5.0,7.0,2.0,10.0,11.0,12.0,9.0,13.0,14.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
633,0.0,3.0,1.0,7.0,5.0,6.0,2.0,8.0,4.0,10.0,11.0,12.0,9.0,13.0,14.0,18.0,15.0,17.0,16.0,19.0,20.0,21.0,22.0
682,0.0,1.0,2.0,4.0,6.0,5.0,8.0,7.0,3.0,9.0,14.0,10.0,13.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
731,2.0,3.0,0.0,1.0,8.0,7.0,4.0,6.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
780,0.0,2.0,7.0,1.0,8.0,6.0,4.0,5.0,3.0,9.0,10.0,11.0,12.0,13.0,17.0,15.0,14.0,18.0,16.0,19.0,20.0,21.0,22.0
829,0.0,3.0,6.0,1.0,4.0,7.0,5.0,8.0,2.0,10.0,12.0,13.0,9.0,14.0,15.0,11.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
878,0.0,6.0,5.0,3.0,4.0,7.0,2.0,8.0,1.0,9.0,13.0,10.0,12.0,11.0,14.0,17.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
927,0.0,4.0,2.0,7.0,5.0,6.0,8.0,3.0,1.0,9.0,13.0,10.0,12.0,11.0,14.0,18.0,16.0,15.0,17.0,19.0,20.0,21.0,22.0
976,0.0,2.0,3.0,1.0,6.0,12.0,5.0,7.0,4.0,8.0,15.0,10.0,9.0,11.0,13.0,18.0,16.0,17.0,19.0,14.0,20.0,21.0,22.0
1025,0.0,1.0,5.0,2.0,7.0,4.0,3.0,6.0,13.0,8.0,9.0,15.0,14.0,11.0,12.0,17.0,10.0,16.0,18.0,19.0,20.0,21.0,22.0
1074,0.0,1.0,3.0,2.0,7.0,5.0,4.0,6.0,12.0,8.0,9.0,14.0,13.0,11.0,15.0,17.0,10.0,16.0,18.0,19.0,20.0,21.0,22.0
1123,0.0,1.0,2.0,3.0,5.0,4.0,6.0,10.0,7.0,8.0,11.0,12.0,14.0,15.0,16.0,9.0,17.0,13.0,18.0,19.0,20.0,21.0,22.0
1172,0.0,1.0,3.0,2.0,9.0,13.0,4.0,6.0,7.0,8.0,10.0,11.0,14.0,12.0,15.0,17.0,16.0,5.0,18.0,19.0,20.0,21.0,22.0
1221,0.0,1.0,2.0,4.0,7.0,5.0,3.0,9.0,6.0,8.0,10.0,11.0,12.0,13.0,15.0,19.0,16.0,17.0,18.0,14.0,20.0,21.0,22.0
1270,0.0,1.0,2.0,3.0,7.0,5.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
