,HAEMATOPOIETIC,ENDOMETRIUM,PANCREAS,URINARY,LUNG,OVARY,BREAST,SKIN,LIVER,NERVOUS,OESOPHAGUS,LARGE_INTESTINE,SOFT_TISSUE,GANGLIA,AERODIGESTIVE,BONE,PROSTATE,SALIVARY,THYROID,KIDNEY,STOMACH,PLEURA,BILIARY
47,0.0,21.0,1.0,3.0,7.0,6.0,4.0,5.0,2.0,8.0,10.0,14.0,9.0,13.0,15.0,11.0,16.0,18.0,19.0,20.0,12.0,17.0,22.0
96,0.0,21.0,1.0,5.0,10.0,13.0,8.0,11.0,9.0,12.0,4.0,3.0,6.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,7.0,17.0,22.0
145,1.0,0.0,2.0,5.0,7.0,4.0,6.0,13.0,8.0,11.0,14.0,3.0,9.0,16.0,15.0,12.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
194,1.0,21.0,2.0,4.0,6.0,11.0,5.0,9.0,7.0,8.0,12.0,3.0,13.0,14.0,15.0,0.0,16.0,18.0,19.0,20.0,10.0,17.0,22.0
243,1.0,21.0,0.0,4.0,8.0,5.0,6.0,7.0,10.0,9.0,11.0,14.0,12.0,13.0,15.0,2.0,16.0,18.0,19.0,20.0,3.0,17.0,22.0
292,3.0,0.0,4.0,5.0,9.0,6.0,8.0,10.0,11.0,12.0,14.0,1.0,13.0,15.0,2.0,7.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,1.0,0.0,4.0,5.0,8.0,6.0,7.0,9.0,11.0,10.0,12.0,3.0,13.0,14.0,15.0,2.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,1.0,0.0,2.0,7.0,8.0,5.0,6.0,9.0,3.0,10.0,13.0,4.0,14.0,16.0,15.0,12.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
439,1.0,0.0,3.0,2.0,8.0,5.0,10.0,13.0,9.0,11.0,12.0,4.0,6.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,7.0,21.0,22.0
488,0.0,1.0,2.0,5.0,6.0,4.0,8.0,7.0,12.0,10.0,13.0,3.0,14.0,15.0,16.0,9.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
537,2.0,0.0,4.0,1.0,5.0,12.0,6.0,8.0,7.0,9.0,10.0,11.0,17.0,14.0,3.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
586,2.0,0.0,4.0,3.0,5.0,11.0,6.0,7.0,9.0,10.0,12.0,8.0,17.0,13.0,14.0,1.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
635,1.0,21.0,2.0,5.0,4.0,7.0,3.0,9.0,6.0,11.0,10.0,12.0,8.0,13.0,0.0,16.0,14.0,17.0,18.0,19.0,20.0,15.0,22.0
684,0.0,13.0,1.0,19.0,5.0,9.0,3.0,2.0,6.0,8.0,4.0,10.0,7.0,11.0,12.0,15.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
733,0.0,21.0,1.0,4.0,3.0,2.0,5.0,6.0,12.0,8.0,10.0,7.0,11.0,13.0,14.0,9.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
782,1.0,0.0,3.0,4.0,5.0,7.0,8.0,6.0,2.0,11.0,10.0,9.0,17.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
831,1.0,0.0,2.0,7.0,5.0,8.0,3.0,4.0,6.0,9.0,10.0,13.0,11.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
880,2.0,0.0,1.0,8.0,4.0,6.0,3.0,5.0,7.0,12.0,9.0,13.0,10.0,14.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
929,2.0,0.0,1.0,11.0,3.0,10.0,4.0,5.0,7.0,8.0,9.0,6.0,17.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
978,1.0,0.0,2.0,5.0,4.0,12.0,3.0,9.0,8.0,6.0,10.0,7.0,17.0,13.0,14.0,11.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1027,1.0,0.0,2.0,3.0,4.0,6.0,9.0,5.0,8.0,7.0,12.0,10.0,18.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,11.0,21.0,22.0
1076,1.0,2.0,0.0,5.0,3.0,10.0,4.0,6.0,7.0,11.0,12.0,13.0,18.0,14.0,15.0,9.0,16.0,17.0,19.0,20.0,8.0,21.0,22.0
1125,2.0,1.0,3.0,4.0,6.0,11.0,5.0,7.0,8.0,13.0,9.0,14.0,0.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
1174,3.0,1.0,4.0,2.0,7.0,5.0,10.0,11.0,6.0,13.0,8.0,12.0,0.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,9.0,21.0,22.0
1223,0.0,2.0,1.0,7.0,4.0,3.0,6.0,8.0,5.0,13.0,12.0,9.0,18.0,14.0,15.0,11.0,16.0,17.0,19.0,20.0,10.0,21.0,22.0
1272,2.0,0.0,3.0,4.0,10.0,8.0,5.0,9.0,7.0,13.0,11.0,12.0,1.0,14.0,15.0,6.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
