,STOMACH,GANGLIA,HAEMATOPOIETIC,THYROID,KIDNEY,SOFT_TISSUE,BONE,ENDOMETRIUM,BILIARY,OESOPHAGUS,LARGE_INTESTINE,SALIVARY,PLEURA,AERODIGESTIVE,BREAST,LIVER,PROSTATE,PANCREAS,SKIN,OVARY,NERVOUS,URINARY,LUNG
43,1.0,3.0,5.0,7.0,6.0,9.0,15.0,4.0,12.0,2.0,0.0,13.0,11.0,16.0,8.0,10.0,17.0,21.0,18.0,14.0,19.0,20.0,22.0
92,0.0,1.0,3.0,5.0,4.0,6.0,14.0,9.0,10.0,11.0,2.0,13.0,8.0,12.0,15.0,7.0,16.0,19.0,18.0,17.0,21.0,22.0,20.0
141,2.0,4.0,5.0,6.0,0.0,7.0,12.0,14.0,8.0,3.0,1.0,10.0,17.0,13.0,15.0,11.0,16.0,21.0,18.0,9.0,19.0,20.0,22.0
190,0.0,2.0,4.0,6.0,5.0,15.0,16.0,11.0,13.0,1.0,3.0,14.0,12.0,10.0,7.0,8.0,9.0,17.0,20.0,18.0,21.0,22.0,19.0
239,1.0,3.0,5.0,7.0,6.0,8.0,13.0,0.0,9.0,2.0,4.0,11.0,14.0,10.0,15.0,12.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
288,0.0,2.0,3.0,4.0,9.0,5.0,13.0,6.0,8.0,1.0,15.0,11.0,14.0,10.0,7.0,12.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
337,0.0,1.0,2.0,4.0,3.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,15.0,13.0,9.0,6.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
386,1.0,2.0,4.0,6.0,5.0,7.0,16.0,10.0,13.0,11.0,3.0,14.0,15.0,12.0,8.0,9.0,17.0,18.0,19.0,20.0,21.0,22.0,0.0
435,0.0,2.0,3.0,4.0,9.0,5.0,13.0,6.0,7.0,1.0,8.0,11.0,14.0,10.0,15.0,12.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
484,10.0,0.0,1.0,6.0,2.0,7.0,14.0,3.0,9.0,5.0,11.0,13.0,15.0,12.0,4.0,8.0,16.0,21.0,18.0,17.0,19.0,20.0,22.0
533,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,9.0,10.0,14.0,12.0,7.0,11.0,21.0,13.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
582,4.0,0.0,1.0,5.0,2.0,3.0,6.0,10.0,8.0,11.0,12.0,9.0,7.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
631,6.0,0.0,8.0,1.0,9.0,2.0,3.0,5.0,10.0,7.0,11.0,12.0,4.0,14.0,17.0,13.0,15.0,18.0,19.0,16.0,20.0,21.0,22.0
680,0.0,1.0,2.0,5.0,3.0,4.0,10.0,7.0,8.0,12.0,13.0,9.0,6.0,14.0,11.0,21.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
729,4.0,5.0,6.0,1.0,7.0,2.0,9.0,3.0,11.0,0.0,8.0,13.0,10.0,14.0,20.0,16.0,15.0,17.0,18.0,12.0,19.0,22.0,21.0
