,NERVOUS,AERODIGESTIVE,ENDOMETRIUM,LARGE_INTESTINE,HAEMATOPOIETIC,BREAST,STOMACH,KIDNEY,SKIN,THYROID,PROSTATE,PANCREAS,LUNG,LIVER,OESOPHAGUS,SOFT_TISSUE,GANGLIA,OVARY,URINARY,BONE,PLEURA,SALIVARY,BILIARY
46,0.0,1.0,3.0,14.0,9.0,8.0,4.0,6.0,5.0,7.0,12.0,15.0,13.0,10.0,2.0,20.0,11.0,18.0,16.0,17.0,19.0,21.0,22.0
95,0.0,1.0,2.0,6.0,4.0,17.0,7.0,12.0,16.0,8.0,11.0,15.0,13.0,10.0,3.0,9.0,5.0,20.0,14.0,18.0,19.0,21.0,22.0
144,0.0,1.0,2.0,9.0,8.0,10.0,7.0,4.0,3.0,11.0,12.0,13.0,14.0,15.0,6.0,17.0,5.0,16.0,18.0,20.0,19.0,21.0,22.0
193,0.0,1.0,2.0,15.0,7.0,6.0,10.0,4.0,12.0,5.0,14.0,11.0,13.0,9.0,8.0,20.0,3.0,17.0,18.0,16.0,19.0,21.0,22.0
242,0.0,1.0,2.0,13.0,5.0,9.0,4.0,7.0,12.0,8.0,10.0,11.0,14.0,15.0,3.0,17.0,6.0,20.0,16.0,18.0,19.0,21.0,22.0
291,0.0,1.0,4.0,9.0,5.0,10.0,2.0,8.0,11.0,15.0,14.0,7.0,12.0,13.0,3.0,18.0,6.0,20.0,17.0,19.0,16.0,21.0,22.0
340,0.0,2.0,1.0,14.0,7.0,13.0,6.0,11.0,8.0,4.0,10.0,15.0,12.0,9.0,3.0,17.0,5.0,16.0,19.0,18.0,20.0,21.0,22.0
389,0.0,1.0,2.0,9.0,5.0,15.0,4.0,7.0,12.0,8.0,11.0,10.0,14.0,16.0,3.0,17.0,6.0,18.0,19.0,13.0,20.0,21.0,22.0
438,0.0,1.0,2.0,8.0,11.0,15.0,4.0,7.0,9.0,6.0,14.0,13.0,10.0,12.0,3.0,16.0,5.0,20.0,19.0,17.0,18.0,21.0,22.0
487,0.0,1.0,2.0,11.0,5.0,3.0,4.0,8.0,7.0,6.0,20.0,9.0,10.0,16.0,14.0,13.0,12.0,19.0,15.0,17.0,18.0,21.0,22.0
536,0.0,1.0,3.0,2.0,5.0,12.0,4.0,9.0,6.0,11.0,20.0,13.0,14.0,8.0,15.0,16.0,19.0,18.0,7.0,10.0,17.0,21.0,22.0
585,2.0,1.0,4.0,0.0,3.0,6.0,9.0,5.0,10.0,12.0,20.0,7.0,13.0,11.0,15.0,16.0,18.0,17.0,8.0,14.0,19.0,21.0,22.0
634,0.0,2.0,3.0,1.0,6.0,4.0,8.0,5.0,10.0,11.0,20.0,7.0,12.0,13.0,17.0,16.0,19.0,18.0,9.0,15.0,14.0,21.0,22.0
683,2.0,3.0,4.0,0.0,10.0,1.0,7.0,6.0,5.0,13.0,20.0,9.0,14.0,12.0,15.0,18.0,19.0,16.0,11.0,8.0,17.0,21.0,22.0
732,0.0,1.0,5.0,4.0,8.0,9.0,6.0,7.0,3.0,12.0,20.0,10.0,15.0,14.0,16.0,11.0,19.0,18.0,2.0,13.0,17.0,21.0,22.0
781,2.0,0.0,4.0,1.0,3.0,8.0,7.0,5.0,6.0,13.0,20.0,10.0,12.0,16.0,11.0,18.0,19.0,14.0,9.0,15.0,17.0,21.0,22.0
830,2.0,1.0,3.0,0.0,4.0,5.0,10.0,8.0,9.0,20.0,19.0,6.0,13.0,11.0,15.0,16.0,12.0,18.0,7.0,14.0,17.0,21.0,22.0
879,4.0,1.0,0.0,2.0,5.0,9.0,3.0,6.0,12.0,11.0,20.0,8.0,15.0,14.0,16.0,7.0,19.0,17.0,10.0,13.0,18.0,21.0,22.0
928,4.0,1.0,2.0,0.0,5.0,10.0,3.0,6.0,7.0,11.0,20.0,9.0,12.0,15.0,14.0,17.0,8.0,18.0,19.0,13.0,16.0,21.0,22.0
977,2.0,1.0,3.0,0.0,6.0,7.0,4.0,5.0,8.0,10.0,20.0,9.0,13.0,14.0,15.0,17.0,19.0,18.0,12.0,16.0,11.0,21.0,22.0
1026,0.0,1.0,6.0,4.0,2.0,8.0,10.0,7.0,3.0,5.0,11.0,17.0,9.0,12.0,14.0,13.0,16.0,20.0,19.0,18.0,15.0,21.0,22.0
1075,0.0,1.0,6.0,7.0,9.0,2.0,8.0,10.0,3.0,5.0,13.0,14.0,12.0,4.0,15.0,20.0,11.0,19.0,16.0,18.0,17.0,21.0,22.0
1124,0.0,1.0,5.0,2.0,6.0,3.0,13.0,4.0,7.0,8.0,9.0,12.0,11.0,10.0,15.0,14.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
