,hsa-miR-1977,hsa-miR-378,hsa-miR-766,hsa-miR-31,hsa-miR-214,hsa-miR-29c,hsa-miR-590-5p,hsa-miR-199b-5p,hsa-miR-620,hsa-miR-1296,hsa-miR-1262,hsa-miR-130a,hsa-miR-1308,hsa-miR-196b,hsa-miR-542-5p,hsa-miR-616,hsa-miR-563,hsa-miR-509-5p,kshv-miR-K12-3,hsa-miR-935,hsa-miR-764,hsv1-miR-H7,hsa-miR-645,hsa-miR-609,hsa-miR-744,hsa-miR-578,hsa-miR-147b,hsa-miR-34c-5p,hsa-miR-581,hsa-miR-142-5p
3641,0.0,2.0,72.0,9.0,5.0,58.0,32.0,1.0,40.0,19.0,69.0,3.0,140.0,76.0,48.0,29.0,10.0,14.0,98.0,28.0,108.0,92.0,54.0,27.0,12.0,15.0,42.0,18.0,45.0,13.0
3690,0.0,2.0,46.0,11.0,7.0,57.0,4.0,18.0,81.0,15.0,8.0,1.0,186.0,63.0,29.0,6.0,177.0,70.0,32.0,64.0,71.0,91.0,73.0,14.0,37.0,35.0,28.0,10.0,61.0,43.0
3739,2.0,3.0,95.0,0.0,4.0,61.0,36.0,23.0,25.0,53.0,6.0,1.0,392.0,110.0,44.0,13.0,39.0,49.0,75.0,15.0,66.0,19.0,78.0,33.0,21.0,69.0,124.0,7.0,9.0,8.0
3788,3.0,1.0,24.0,2.0,12.0,15.0,18.0,4.0,9.0,44.0,8.0,5.0,136.0,104.0,102.0,20.0,82.0,22.0,13.0,6.0,10.0,35.0,61.0,23.0,48.0,19.0,31.0,89.0,14.0,65.0
3837,0.0,4.0,53.0,2.0,17.0,37.0,47.0,13.0,86.0,56.0,16.0,1.0,311.0,216.0,32.0,9.0,19.0,20.0,26.0,5.0,90.0,107.0,50.0,33.0,59.0,7.0,39.0,14.0,15.0,10.0
3886,7.0,12.0,61.0,1.0,14.0,26.0,109.0,15.0,19.0,6.0,35.0,3.0,214.0,39.0,16.0,24.0,297.0,68.0,47.0,25.0,155.0,20.0,46.0,75.0,41.0,23.0,53.0,8.0,32.0,9.0
3935,2.0,83.0,8.0,12.0,37.0,23.0,7.0,5.0,11.0,6.0,21.0,19.0,59.0,1.0,16.0,52.0,60.0,32.0,93.0,33.0,40.0,14.0,36.0,65.0,15.0,0.0,225.0,26.0,13.0,43.0
3984,0.0,39.0,11.0,1.0,33.0,19.0,58.0,13.0,6.0,8.0,53.0,16.0,14.0,7.0,2.0,43.0,42.0,28.0,17.0,22.0,81.0,34.0,61.0,143.0,4.0,5.0,77.0,12.0,30.0,36.0
4033,1.0,25.0,5.0,9.0,10.0,12.0,21.0,19.0,15.0,4.0,26.0,2.0,7.0,0.0,11.0,70.0,42.0,18.0,147.0,40.0,49.0,27.0,22.0,76.0,3.0,13.0,46.0,68.0,75.0,30.0
4082,2.0,80.0,13.0,6.0,29.0,42.0,8.0,14.0,0.0,4.0,16.0,7.0,36.0,9.0,26.0,45.0,94.0,31.0,67.0,17.0,142.0,10.0,86.0,118.0,5.0,3.0,77.0,24.0,43.0,93.0
4131,0.0,99.0,20.0,1.0,15.0,238.0,42.0,12.0,5.0,13.0,19.0,26.0,10.0,134.0,22.0,105.0,49.0,9.0,7.0,14.0,107.0,32.0,72.0,91.0,3.0,2.0,36.0,17.0,44.0,50.0
4180,0.0,49.0,15.0,4.0,16.0,7.0,12.0,13.0,1.0,17.0,20.0,19.0,14.0,2.0,6.0,62.0,37.0,5.0,40.0,22.0,42.0,54.0,21.0,81.0,10.0,3.0,117.0,58.0,23.0,75.0
4229,1.0,45.0,23.0,18.0,26.0,10.0,4.0,12.0,3.0,7.0,14.0,11.0,9.0,5.0,21.0,69.0,41.0,16.0,34.0,31.0,27.0,19.0,64.0,197.0,2.0,8.0,73.0,133.0,13.0,87.0
4278,4.0,72.0,31.0,23.0,14.0,8.0,27.0,10.0,7.0,9.0,56.0,16.0,1.0,5.0,3.0,19.0,25.0,48.0,24.0,52.0,36.0,50.0,53.0,324.0,0.0,6.0,58.0,12.0,17.0,28.0
4327,0.0,88.0,16.0,19.0,29.0,22.0,10.0,27.0,3.0,15.0,25.0,8.0,12.0,2.0,4.0,35.0,102.0,17.0,23.0,6.0,36.0,13.0,26.0,56.0,1.0,11.0,52.0,89.0,30.0,66.0
4376,0.0,33.0,5.0,15.0,14.0,10.0,4.0,11.0,6.0,49.0,41.0,87.0,2.0,7.0,3.0,17.0,158.0,101.0,26.0,82.0,24.0,40.0,16.0,97.0,1.0,12.0,143.0,22.0,79.0,88.0
4425,0.0,5.0,36.0,8.0,3.0,1.0,76.0,23.0,2.0,9.0,10.0,20.0,16.0,15.0,6.0,11.0,27.0,18.0,4.0,14.0,24.0,66.0,28.0,206.0,102.0,169.0,32.0,54.0,19.0,65.0
4474,0.0,2.0,31.0,53.0,26.0,5.0,80.0,28.0,24.0,1.0,49.0,22.0,7.0,15.0,6.0,11.0,12.0,46.0,38.0,3.0,79.0,99.0,65.0,195.0,82.0,150.0,25.0,57.0,63.0,60.0
4523,0.0,1.0,12.0,19.0,2.0,6.0,42.0,17.0,20.0,14.0,28.0,101.0,3.0,99.0,37.0,8.0,269.0,18.0,7.0,5.0,16.0,87.0,122.0,63.0,34.0,24.0,15.0,36.0,118.0,129.0
4572,0.0,3.0,9.0,14.0,13.0,2.0,8.0,5.0,7.0,6.0,36.0,17.0,1.0,115.0,20.0,45.0,4.0,53.0,39.0,47.0,119.0,101.0,112.0,132.0,182.0,109.0,27.0,74.0,94.0,10.0
4621,0.0,4.0,42.0,5.0,11.0,1.0,32.0,22.0,2.0,30.0,45.0,48.0,7.0,20.0,35.0,33.0,6.0,8.0,9.0,15.0,10.0,114.0,73.0,196.0,85.0,108.0,43.0,77.0,40.0,50.0
4670,0.0,2.0,10.0,4.0,11.0,1.0,50.0,32.0,13.0,7.0,28.0,24.0,5.0,22.0,34.0,8.0,35.0,25.0,6.0,37.0,21.0,149.0,27.0,159.0,88.0,153.0,18.0,105.0,62.0,68.0
4719,0.0,3.0,8.0,10.0,2.0,7.0,69.0,1.0,9.0,15.0,23.0,29.0,13.0,18.0,11.0,5.0,20.0,12.0,6.0,4.0,28.0,57.0,32.0,238.0,22.0,128.0,19.0,151.0,37.0,170.0
4768,0.0,1.0,41.0,20.0,2.0,4.0,50.0,7.0,19.0,5.0,23.0,65.0,22.0,56.0,26.0,9.0,10.0,8.0,6.0,11.0,61.0,60.0,46.0,110.0,52.0,97.0,15.0,17.0,66.0,70.0
4817,0.0,1.0,16.0,6.0,12.0,2.0,44.0,35.0,3.0,21.0,22.0,30.0,9.0,78.0,11.0,10.0,17.0,38.0,5.0,20.0,14.0,143.0,26.0,186.0,115.0,73.0,19.0,62.0,118.0,59.0
4866,0.0,5.0,17.0,3.0,12.0,2.0,33.0,37.0,8.0,9.0,48.0,4.0,15.0,1.0,7.0,23.0,35.0,32.0,47.0,24.0,27.0,61.0,52.0,87.0,30.0,65.0,53.0,95.0,22.0,26.0
