,YAP_pS127,alpha-Catenin,Caveolin-1,beta-Catenin,VEGFR2,PAI-1,VAV1,Bcl-2,Fibronectin,Chk1_pS345,CD49b,p62 Lck ligand,C-Raf(MP05-739),EGFR,Chk2,Porin,Paxillin,Cyclin_E2,C-Raf(BD610151),Annexin 1,TAZ,Rb_pS807_S811,Collagen_VI,MSH6,FoxM1,IRS1,RAD51,Cyclin_D1,c-Myc,Caspase-7_cleavedD198
4,1.0,0.0,4.0,5.0,9.0,6.0,17.0,3.0,8.0,7.0,23.0,15.0,19.0,83.0,10.0,21.0,2.0,16.0,28.0,62.0,18.0,87.0,36.0,85.0,12.0,33.0,25.0,37.0,108.0,31.0
53,2.0,3.0,0.0,1.0,6.0,5.0,8.0,4.0,11.0,7.0,15.0,16.0,9.0,13.0,29.0,17.0,10.0,20.0,19.0,50.0,76.0,21.0,25.0,27.0,35.0,146.0,36.0,12.0,48.0,47.0
102,1.0,3.0,2.0,6.0,0.0,5.0,18.0,10.0,8.0,7.0,9.0,12.0,13.0,94.0,32.0,120.0,4.0,21.0,20.0,25.0,60.0,22.0,39.0,134.0,11.0,17.0,19.0,27.0,24.0,38.0
151,0.0,1.0,3.0,2.0,5.0,24.0,26.0,6.0,9.0,7.0,52.0,31.0,15.0,17.0,8.0,13.0,10.0,21.0,56.0,83.0,29.0,75.0,14.0,35.0,4.0,18.0,71.0,22.0,88.0,49.0
200,1.0,0.0,14.0,3.0,8.0,7.0,6.0,4.0,5.0,11.0,66.0,10.0,26.0,27.0,18.0,20.0,40.0,19.0,34.0,59.0,32.0,17.0,13.0,55.0,2.0,52.0,36.0,21.0,42.0,80.0
249,1.0,2.0,4.0,0.0,12.0,17.0,3.0,7.0,14.0,5.0,32.0,79.0,16.0,135.0,83.0,52.0,9.0,113.0,10.0,57.0,18.0,85.0,59.0,38.0,25.0,28.0,13.0,29.0,71.0,21.0
298,1.0,0.0,4.0,2.0,3.0,14.0,7.0,8.0,10.0,12.0,11.0,15.0,36.0,49.0,5.0,6.0,16.0,132.0,87.0,82.0,30.0,44.0,9.0,80.0,35.0,21.0,72.0,25.0,24.0,18.0
347,0.0,3.0,4.0,1.0,6.0,11.0,5.0,7.0,15.0,8.0,28.0,13.0,18.0,57.0,30.0,37.0,2.0,26.0,40.0,94.0,77.0,12.0,22.0,16.0,14.0,9.0,23.0,41.0,10.0,33.0
396,0.0,7.0,1.0,3.0,8.0,12.0,5.0,2.0,6.0,11.0,35.0,33.0,18.0,23.0,20.0,10.0,9.0,25.0,127.0,76.0,26.0,4.0,64.0,28.0,16.0,34.0,13.0,61.0,37.0,19.0
445,8.0,0.0,1.0,10.0,3.0,27.0,26.0,5.0,12.0,2.0,13.0,37.0,7.0,78.0,72.0,17.0,4.0,9.0,66.0,80.0,31.0,23.0,36.0,49.0,6.0,84.0,14.0,43.0,65.0,35.0
494,0.0,3.0,1.0,8.0,6.0,13.0,23.0,15.0,7.0,12.0,9.0,18.0,5.0,2.0,14.0,84.0,46.0,39.0,16.0,4.0,64.0,17.0,10.0,53.0,36.0,35.0,61.0,22.0,28.0,69.0
543,0.0,9.0,3.0,2.0,6.0,4.0,21.0,1.0,14.0,10.0,5.0,20.0,7.0,18.0,15.0,42.0,37.0,55.0,8.0,13.0,22.0,19.0,30.0,16.0,33.0,26.0,110.0,12.0,24.0,58.0
592,3.0,43.0,0.0,6.0,1.0,2.0,39.0,7.0,4.0,9.0,12.0,16.0,15.0,10.0,8.0,17.0,74.0,11.0,18.0,5.0,21.0,22.0,20.0,32.0,23.0,44.0,29.0,24.0,19.0,69.0
641,0.0,6.0,8.0,1.0,4.0,3.0,2.0,9.0,13.0,19.0,5.0,34.0,7.0,14.0,11.0,17.0,98.0,12.0,23.0,10.0,38.0,47.0,18.0,45.0,22.0,96.0,20.0,36.0,26.0,80.0
690,0.0,9.0,7.0,8.0,3.0,4.0,1.0,11.0,2.0,13.0,6.0,25.0,21.0,28.0,12.0,5.0,86.0,22.0,33.0,17.0,23.0,30.0,39.0,16.0,64.0,60.0,94.0,18.0,63.0,85.0
739,0.0,5.0,18.0,6.0,2.0,3.0,13.0,4.0,9.0,12.0,11.0,19.0,7.0,8.0,16.0,21.0,51.0,10.0,33.0,1.0,15.0,39.0,30.0,20.0,34.0,53.0,49.0,28.0,24.0,107.0
788,8.0,23.0,6.0,41.0,0.0,1.0,2.0,36.0,30.0,3.0,13.0,10.0,5.0,35.0,24.0,113.0,17.0,4.0,9.0,52.0,77.0,7.0,12.0,11.0,32.0,22.0,29.0,14.0,16.0,20.0
837,1.0,3.0,6.0,5.0,14.0,8.0,0.0,4.0,10.0,17.0,15.0,12.0,9.0,11.0,16.0,34.0,19.0,71.0,2.0,7.0,39.0,81.0,13.0,33.0,23.0,66.0,148.0,20.0,24.0,72.0
