,LEPREL2,RCOR2,SLFN11,LYPD6B,SEMA3F,RPUSD2,FAM98B,MAGEA6,ZNF215,SPANXD,RCN3,CORO2A,PDLIM4,EVC2,RP11-305M3.2,LIPE,ANPEP,CCZ1B,AP000783.1,ZYG11A,SSRP1,SLC38A5,P2RX5,RTF1,KRT13,TUSC3,CALHM2,LGALS9,FBLN1,ARHGAP4
10,3.0,0.0,21.0,2.0,8.0,42.0,18.0,6.0,23.0,38.0,60.0,10.0,15.0,80.0,17.0,112.0,77.0,19.0,33.0,90.0,13.0,7.0,9.0,445.0,16.0,45.0,28.0,31.0,26.0,1.0
59,0.0,1.0,58.0,2.0,22.0,8.0,3.0,7.0,13.0,35.0,37.0,18.0,114.0,160.0,40.0,15.0,26.0,36.0,19.0,47.0,34.0,25.0,11.0,28.0,16.0,14.0,151.0,21.0,32.0,38.0
108,0.0,7.0,13.0,8.0,14.0,10.0,4.0,12.0,9.0,161.0,5.0,6.0,178.0,191.0,20.0,43.0,61.0,21.0,3.0,75.0,19.0,34.0,31.0,181.0,2.0,29.0,127.0,39.0,40.0,27.0
157,0.0,1.0,63.0,7.0,18.0,23.0,3.0,33.0,2.0,53.0,5.0,16.0,43.0,98.0,66.0,192.0,83.0,17.0,40.0,25.0,27.0,19.0,35.0,136.0,4.0,105.0,189.0,14.0,115.0,12.0
206,5.0,0.0,7.0,20.0,3.0,25.0,1.0,8.0,11.0,32.0,4.0,19.0,24.0,21.0,29.0,45.0,64.0,2.0,40.0,51.0,16.0,35.0,54.0,67.0,49.0,27.0,1093.0,38.0,105.0,28.0
255,3.0,2.0,44.0,26.0,7.0,20.0,6.0,1.0,9.0,23.0,371.0,11.0,0.0,104.0,98.0,13.0,106.0,31.0,72.0,64.0,18.0,16.0,51.0,150.0,10.0,38.0,85.0,32.0,12.0,99.0
304,7.0,10.0,1.0,3.0,0.0,8.0,12.0,9.0,2.0,230.0,27.0,6.0,375.0,167.0,127.0,40.0,81.0,20.0,87.0,4.0,11.0,14.0,37.0,123.0,15.0,22.0,54.0,36.0,5.0,39.0
353,2.0,0.0,1.0,3.0,6.0,4.0,7.0,5.0,10.0,94.0,41.0,8.0,16.0,61.0,26.0,24.0,254.0,86.0,55.0,19.0,20.0,57.0,14.0,95.0,9.0,42.0,87.0,51.0,23.0,45.0
402,2.0,3.0,9.0,5.0,10.0,19.0,4.0,13.0,16.0,66.0,0.0,6.0,60.0,38.0,90.0,61.0,27.0,35.0,107.0,25.0,23.0,20.0,34.0,52.0,8.0,18.0,44.0,22.0,14.0,37.0
451,1.0,2.0,11.0,12.0,3.0,6.0,0.0,4.0,13.0,56.0,8.0,22.0,253.0,69.0,43.0,53.0,261.0,14.0,72.0,47.0,9.0,21.0,15.0,20.0,19.0,17.0,5.0,86.0,16.0,124.0
