,hsa-miR-205,hsa-miR-216a,hsa-miR-9,hsv1-miR-H8,hsa-miR-934,hsa-miR-1266,hsa-miR-99a,hsa-miR-200a,hsa-miR-10a,hsa-miR-1469,hsa-miR-214,hsa-miR-148a,hsa-miR-140-5p,hsa-miR-136,hsa-miR-329,hsa-miR-24,hsa-miR-409-3p,hsa-miR-604,hsa-miR-154,hsa-miR-30e,hsa-miR-137,hsa-miR-508-5p,hsa-miR-10b,hsa-miR-29c,hsa-miR-199b-5p,hsa-miR-631,hsa-miR-518d-3p,hsa-miR-299-5p,hsa-miR-296-5p,hsa-miR-671-3p
14,0.0,1.0,2.0,4.0,3.0,12.0,15.0,19.0,29.0,65.0,14.0,58.0,5.0,7.0,62.0,28.0,252.0,56.0,421.0,322.0,83.0,523.0,23.0,130.0,6.0,234.0,165.0,80.0,21.0,111.0
63,0.0,1.0,11.0,3.0,7.0,8.0,4.0,10.0,5.0,30.0,339.0,68.0,9.0,36.0,23.0,65.0,53.0,66.0,121.0,120.0,59.0,154.0,63.0,13.0,95.0,15.0,50.0,51.0,33.0,97.0
112,0.0,1.0,3.0,6.0,29.0,2.0,4.0,18.0,57.0,28.0,73.0,48.0,10.0,35.0,14.0,77.0,87.0,5.0,141.0,427.0,169.0,521.0,52.0,140.0,11.0,139.0,12.0,208.0,49.0,306.0
161,0.0,1.0,3.0,2.0,19.0,21.0,4.0,37.0,7.0,107.0,114.0,630.0,13.0,28.0,46.0,64.0,149.0,5.0,22.0,90.0,9.0,314.0,145.0,173.0,152.0,12.0,379.0,54.0,94.0,156.0
210,0.0,1.0,6.0,2.0,19.0,3.0,7.0,9.0,15.0,11.0,32.0,211.0,5.0,16.0,409.0,56.0,124.0,33.0,30.0,118.0,135.0,28.0,35.0,36.0,362.0,18.0,275.0,104.0,341.0,14.0
259,1.0,0.0,23.0,2.0,12.0,4.0,3.0,10.0,26.0,7.0,67.0,29.0,100.0,5.0,265.0,48.0,218.0,6.0,131.0,16.0,167.0,71.0,25.0,51.0,78.0,238.0,323.0,15.0,55.0,176.0
308,0.0,1.0,46.0,2.0,7.0,12.0,3.0,4.0,8.0,148.0,40.0,52.0,36.0,342.0,31.0,28.0,222.0,17.0,293.0,101.0,373.0,117.0,584.0,59.0,250.0,403.0,525.0,23.0,380.0,124.0
357,0.0,1.0,9.0,20.0,6.0,14.0,2.0,3.0,5.0,30.0,226.0,7.0,52.0,4.0,352.0,387.0,13.0,24.0,59.0,203.0,69.0,12.0,83.0,61.0,23.0,26.0,21.0,321.0,541.0,22.0
406,0.0,1.0,2.0,6.0,4.0,15.0,28.0,5.0,12.0,80.0,78.0,13.0,17.0,3.0,351.0,53.0,279.0,8.0,100.0,94.0,44.0,245.0,34.0,184.0,10.0,43.0,77.0,79.0,447.0,202.0
455,1.0,0.0,5.0,2.0,4.0,9.0,3.0,6.0,21.0,18.0,47.0,386.0,11.0,12.0,274.0,162.0,441.0,115.0,59.0,76.0,130.0,537.0,217.0,64.0,8.0,91.0,127.0,65.0,96.0,99.0
504,0.0,1.0,8.0,39.0,6.0,9.0,5.0,7.0,13.0,28.0,33.0,11.0,3.0,2.0,77.0,29.0,23.0,238.0,240.0,140.0,41.0,37.0,64.0,277.0,416.0,12.0,378.0,519.0,69.0,16.0
553,0.0,1.0,6.0,25.0,5.0,32.0,10.0,3.0,104.0,14.0,9.0,11.0,4.0,2.0,36.0,239.0,15.0,115.0,424.0,172.0,12.0,18.0,443.0,31.0,234.0,13.0,26.0,432.0,214.0,107.0
602,0.0,1.0,32.0,17.0,3.0,7.0,11.0,28.0,34.0,48.0,150.0,231.0,9.0,10.0,45.0,224.0,56.0,204.0,55.0,458.0,15.0,241.0,59.0,2.0,124.0,101.0,12.0,80.0,201.0,53.0
651,0.0,1.0,5.0,29.0,2.0,4.0,8.0,18.0,14.0,23.0,12.0,21.0,11.0,22.0,6.0,38.0,36.0,149.0,17.0,77.0,20.0,277.0,53.0,33.0,101.0,7.0,16.0,195.0,117.0,205.0
700,1.0,0.0,16.0,240.0,3.0,47.0,57.0,7.0,5.0,6.0,2.0,25.0,42.0,22.0,11.0,35.0,13.0,66.0,431.0,289.0,49.0,139.0,20.0,222.0,103.0,94.0,37.0,100.0,86.0,265.0
749,0.0,1.0,9.0,53.0,6.0,4.0,37.0,2.0,8.0,25.0,12.0,20.0,3.0,21.0,60.0,111.0,97.0,90.0,253.0,387.0,67.0,16.0,13.0,55.0,47.0,14.0,33.0,223.0,127.0,272.0
798,1.0,0.0,2.0,78.0,41.0,6.0,10.0,3.0,27.0,8.0,17.0,34.0,7.0,5.0,72.0,339.0,126.0,87.0,66.0,116.0,11.0,57.0,33.0,134.0,120.0,20.0,419.0,266.0,102.0,604.0
847,1.0,0.0,31.0,283.0,6.0,34.0,5.0,4.0,10.0,23.0,3.0,22.0,104.0,14.0,335.0,73.0,180.0,46.0,70.0,63.0,13.0,131.0,2.0,107.0,177.0,47.0,226.0,281.0,36.0,29.0
896,1.0,0.0,113.0,186.0,32.0,13.0,25.0,10.0,6.0,5.0,2.0,12.0,4.0,9.0,7.0,100.0,35.0,21.0,15.0,392.0,165.0,95.0,225.0,171.0,216.0,145.0,8.0,28.0,56.0,354.0
945,1.0,0.0,9.0,3.0,41.0,6.0,8.0,17.0,5.0,10.0,18.0,15.0,65.0,12.0,4.0,45.0,275.0,34.0,77.0,237.0,103.0,197.0,22.0,37.0,163.0,142.0,84.0,50.0,20.0,609.0
994,0.0,1.0,3.0,382.0,10.0,5.0,31.0,18.0,200.0,597.0,9.0,165.0,138.0,100.0,14.0,205.0,52.0,19.0,182.0,275.0,97.0,33.0,160.0,88.0,2.0,15.0,11.0,70.0,273.0,76.0
1043,0.0,1.0,2.0,105.0,8.0,144.0,44.0,4.0,5.0,11.0,80.0,24.0,62.0,17.0,83.0,79.0,31.0,6.0,63.0,3.0,129.0,28.0,26.0,103.0,10.0,56.0,33.0,18.0,135.0,82.0
1092,1.0,0.0,2.0,14.0,18.0,153.0,68.0,5.0,17.0,3.0,25.0,41.0,80.0,19.0,11.0,54.0,9.0,200.0,45.0,16.0,82.0,330.0,86.0,7.0,6.0,30.0,198.0,23.0,214.0,8.0
1141,1.0,0.0,3.0,587.0,6.0,4.0,9.0,5.0,16.0,2.0,29.0,130.0,67.0,115.0,28.0,101.0,8.0,31.0,183.0,35.0,197.0,486.0,59.0,103.0,20.0,13.0,79.0,223.0,97.0,39.0
1190,2.0,0.0,1.0,4.0,209.0,144.0,5.0,3.0,193.0,26.0,58.0,100.0,51.0,380.0,423.0,50.0,19.0,586.0,48.0,360.0,181.0,213.0,373.0,82.0,36.0,583.0,14.0,263.0,384.0,56.0
1239,0.0,1.0,2.0,19.0,66.0,22.0,17.0,39.0,3.0,4.0,28.0,6.0,96.0,519.0,5.0,38.0,10.0,48.0,233.0,188.0,15.0,46.0,227.0,88.0,8.0,334.0,243.0,419.0,220.0,118.0
1288,1.0,0.0,2.0,114.0,10.0,8.0,12.0,27.0,9.0,16.0,152.0,86.0,15.0,51.0,63.0,43.0,4.0,54.0,13.0,33.0,282.0,3.0,126.0,82.0,6.0,24.0,475.0,560.0,112.0,332.0
1337,0.0,1.0,2.0,3.0,8.0,6.0,7.0,21.0,13.0,20.0,35.0,162.0,102.0,31.0,142.0,24.0,22.0,111.0,11.0,210.0,542.0,223.0,81.0,290.0,30.0,576.0,565.0,220.0,515.0,51.0
1386,0.0,1.0,3.0,6.0,18.0,5.0,45.0,4.0,34.0,20.0,137.0,127.0,57.0,510.0,8.0,364.0,21.0,37.0,26.0,30.0,79.0,245.0,16.0,87.0,7.0,65.0,296.0,326.0,36.0,309.0
1435,0.0,2.0,3.0,50.0,12.0,20.0,43.0,6.0,19.0,1.0,11.0,66.0,182.0,13.0,227.0,307.0,17.0,107.0,5.0,48.0,7.0,47.0,102.0,31.0,4.0,315.0,131.0,433.0,25.0,551.0
1484,1.0,0.0,77.0,5.0,2.0,13.0,37.0,8.0,186.0,591.0,51.0,568.0,30.0,107.0,34.0,9.0,40.0,48.0,3.0,163.0,73.0,268.0,11.0,20.0,225.0,165.0,35.0,52.0,6.0,4.0
1533,1.0,0.0,8.0,84.0,72.0,6.0,2.0,12.0,270.0,141.0,83.0,59.0,101.0,31.0,42.0,25.0,68.0,16.0,131.0,320.0,45.0,4.0,149.0,109.0,209.0,5.0,91.0,49.0,317.0,3.0
1582,1.0,0.0,2.0,3.0,428.0,11.0,7.0,5.0,10.0,32.0,12.0,50.0,22.0,21.0,25.0,92.0,67.0,87.0,8.0,630.0,176.0,19.0,30.0,252.0,60.0,329.0,34.0,409.0,6.0,15.0
