,hsa-miR-222,hsa-miR-34a,hsa-miR-582-5p,hsa-miR-483-3p,hsa-miR-1197,hsa-miR-1307,hsa-miR-671-5p,hsa-miR-10a,hsa-miR-770-5p,hsa-miR-219-2-3p,hsa-miR-877,hsa-miR-581,hsa-miR-591,hsa-miR-425,hsa-miR-574-5p,hsa-miR-135b,hsa-miR-302f,hsa-miR-876-3p,hsa-miR-620,ebv-miR-BART20-5p,hsa-miR-492,hsa-miR-628-5p,hsa-miR-1276,hsa-miR-132,hsa-miR-1256,hsa-miR-133a,hsa-miR-616,hsa-miR-711,hsa-miR-657,hsa-miR-675
15,0.0,1.0,15.0,5.0,12.0,4.0,2.0,10.0,14.0,8.0,3.0,48.0,22.0,51.0,11.0,27.0,40.0,41.0,38.0,9.0,28.0,39.0,13.0,36.0,19.0,16.0,17.0,25.0,6.0,71.0
64,1.0,0.0,2.0,7.0,12.0,3.0,11.0,17.0,13.0,22.0,16.0,21.0,23.0,54.0,4.0,47.0,50.0,5.0,20.0,8.0,39.0,59.0,15.0,31.0,9.0,32.0,19.0,127.0,6.0,40.0
113,0.0,1.0,2.0,16.0,4.0,10.0,6.0,17.0,23.0,9.0,37.0,12.0,39.0,11.0,3.0,33.0,60.0,8.0,13.0,32.0,27.0,51.0,36.0,24.0,18.0,5.0,21.0,66.0,22.0,35.0
162,0.0,1.0,11.0,3.0,5.0,2.0,8.0,10.0,35.0,29.0,22.0,7.0,12.0,14.0,4.0,31.0,37.0,9.0,18.0,15.0,39.0,24.0,23.0,41.0,13.0,6.0,21.0,56.0,16.0,58.0
211,0.0,1.0,6.0,9.0,8.0,3.0,5.0,37.0,12.0,15.0,31.0,2.0,25.0,87.0,7.0,98.0,276.0,11.0,35.0,46.0,73.0,67.0,42.0,81.0,55.0,22.0,4.0,20.0,17.0,19.0
260,0.0,1.0,10.0,12.0,7.0,13.0,18.0,22.0,30.0,19.0,33.0,6.0,26.0,43.0,4.0,2.0,27.0,54.0,17.0,15.0,20.0,49.0,28.0,16.0,3.0,5.0,79.0,21.0,112.0,57.0
309,0.0,1.0,2.0,10.0,47.0,4.0,34.0,18.0,23.0,30.0,32.0,26.0,21.0,119.0,3.0,7.0,9.0,6.0,8.0,37.0,28.0,44.0,15.0,40.0,25.0,11.0,14.0,134.0,111.0,35.0
358,0.0,1.0,4.0,3.0,6.0,8.0,9.0,2.0,17.0,18.0,19.0,27.0,44.0,23.0,7.0,34.0,29.0,14.0,11.0,75.0,38.0,32.0,20.0,40.0,10.0,5.0,15.0,12.0,66.0,37.0
407,0.0,1.0,4.0,2.0,9.0,3.0,10.0,5.0,24.0,31.0,26.0,17.0,6.0,20.0,8.0,108.0,41.0,11.0,27.0,40.0,21.0,22.0,35.0,19.0,23.0,7.0,12.0,61.0,16.0,13.0
456,1.0,0.0,2.0,26.0,8.0,4.0,12.0,33.0,23.0,18.0,21.0,7.0,24.0,82.0,13.0,10.0,28.0,35.0,34.0,20.0,29.0,17.0,55.0,36.0,19.0,3.0,11.0,195.0,67.0,25.0
