,ZNF625,ZSCAN18,NDN,PDE10A,HS3ST3A1,BHLHE41,SNHG18,ZNF502,DACH1,CCND2,GREM1,LPHN2,ZNF334,TSPYL5,CCDC8,ALDH2,UBA6-AS1,AC073052.1,RPL39P6,UBA6,ZNF462,GRIN2A,EPB41L3,MDFI,HOXA11,CXADR,C17orf97,TESK2,SPRY1,XAF1
1185,11.0,5.0,108.0,8.0,4.0,59.0,0.0,167.0,6.0,17.0,27.0,22.0,13.0,14.0,12.0,84.0,168.0,75.0,188.0,272.0,55.0,18.0,38.0,324.0,127.0,28.0,124.0,279.0,20.0,113.0
1234,1.0,4.0,16.0,6.0,0.0,17.0,1510.0,2.0,11.0,3.0,14.0,58.0,7.0,40.0,61.0,199.0,18.0,68.0,341.0,121.0,21.0,12.0,727.0,64.0,112.0,5.0,23.0,321.0,113.0,30.0
1283,6.0,1.0,66.0,38.0,10.0,50.0,12.0,13.0,28.0,61.0,170.0,360.0,8.0,0.0,2.0,161.0,63.0,211.0,188.0,145.0,72.0,7.0,616.0,29.0,88.0,14.0,21.0,379.0,37.0,4.0
1332,1.0,7.0,0.0,30.0,9.0,12.0,10.0,81.0,3.0,126.0,18.0,341.0,17.0,13.0,191.0,151.0,36.0,11.0,143.0,131.0,33.0,16.0,328.0,388.0,369.0,27.0,4.0,112.0,19.0,25.0
1381,6.0,4.0,17.0,2.0,3.0,58.0,32.0,1.0,23.0,29.0,5.0,46.0,14.0,13.0,15.0,251.0,26.0,18.0,149.0,91.0,11.0,35.0,166.0,83.0,37.0,20.0,92.0,267.0,175.0,36.0
1430,2.0,12.0,18.0,39.0,10.0,25.0,28.0,6.0,0.0,7.0,87.0,20.0,3.0,5.0,1.0,179.0,64.0,85.0,56.0,55.0,50.0,946.0,792.0,31.0,75.0,175.0,35.0,255.0,99.0,15.0
1479,4.0,7.0,0.0,2.0,10.0,6.0,13.0,25.0,5.0,26.0,31.0,8.0,17.0,14.0,1466.0,68.0,16.0,53.0,119.0,55.0,468.0,1573.0,1.0,43.0,11.0,175.0,131.0,396.0,35.0,38.0
1528,1.0,0.0,4.0,10.0,7.0,25.0,5.0,1387.0,24.0,41.0,30.0,12.0,53.0,95.0,88.0,18.0,8.0,104.0,459.0,22.0,78.0,140.0,2.0,267.0,149.0,332.0,9.0,407.0,15.0,215.0
1577,2.0,3.0,0.0,17.0,1.0,21.0,10.0,129.0,5.0,26.0,24.0,8.0,66.0,242.0,1106.0,15.0,22.0,99.0,46.0,88.0,253.0,208.0,7.0,178.0,133.0,264.0,18.0,31.0,94.0,307.0
1626,9.0,11.0,0.0,33.0,1.0,4.0,6.0,663.0,7.0,40.0,570.0,2.0,162.0,41.0,1478.0,3.0,5.0,140.0,552.0,39.0,1017.0,276.0,10.0,51.0,111.0,105.0,15.0,94.0,14.0,260.0
