,cis/trans-hydroxyproline,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,pantothenate,leucine,valerylcarnitine,C22:6 LPC,niacinamide,inositol,adenosine,1-methylnicotinamide,pyroglutamic acid,isocitrate,cotinine,dCMP,NADP,taurodeoxycholate,C34:4 PC,5-HIAA,asparagine,phosphocreatine,C36:1 DAG,sarcosine,C22:6 LPE,butyrylcarnitine/isobutyrylcarnitine,GABA,guanosine,serotonin,PEP,N-carbamoyl-beta-alanine
21,0.0,2.0,7.0,1.0,10.0,17.0,3.0,13.0,28.0,11.0,12.0,41.0,19.0,14.0,27.0,4.0,40.0,37.0,57.0,16.0,36.0,22.0,26.0,5.0,25.0,47.0,32.0,30.0,48.0,51.0
70,0.0,6.0,2.0,3.0,9.0,8.0,5.0,1.0,40.0,20.0,11.0,49.0,22.0,23.0,36.0,19.0,4.0,16.0,46.0,25.0,62.0,12.0,33.0,24.0,43.0,31.0,28.0,21.0,10.0,57.0
119,2.0,1.0,4.0,0.0,6.0,21.0,28.0,17.0,22.0,32.0,5.0,19.0,20.0,8.0,13.0,3.0,11.0,16.0,39.0,34.0,47.0,49.0,31.0,45.0,12.0,35.0,18.0,24.0,15.0,9.0
168,2.0,0.0,5.0,1.0,8.0,31.0,9.0,3.0,15.0,10.0,12.0,13.0,7.0,11.0,22.0,6.0,56.0,30.0,20.0,24.0,37.0,14.0,28.0,33.0,25.0,59.0,4.0,51.0,16.0,18.0
217,2.0,3.0,0.0,1.0,10.0,50.0,5.0,22.0,8.0,6.0,9.0,7.0,13.0,26.0,18.0,4.0,43.0,16.0,52.0,55.0,12.0,24.0,11.0,49.0,30.0,66.0,40.0,48.0,19.0,36.0
266,3.0,0.0,2.0,1.0,7.0,33.0,8.0,14.0,22.0,21.0,4.0,23.0,24.0,9.0,6.0,5.0,20.0,19.0,45.0,63.0,25.0,42.0,11.0,37.0,16.0,32.0,12.0,40.0,28.0,10.0
315,0.0,1.0,3.0,2.0,4.0,25.0,5.0,8.0,7.0,17.0,18.0,11.0,22.0,26.0,19.0,10.0,24.0,51.0,35.0,23.0,66.0,33.0,13.0,39.0,43.0,60.0,12.0,34.0,45.0,36.0
364,2.0,3.0,0.0,1.0,4.0,11.0,5.0,9.0,12.0,14.0,26.0,7.0,20.0,31.0,28.0,6.0,19.0,30.0,50.0,59.0,65.0,16.0,18.0,55.0,8.0,38.0,15.0,40.0,33.0,66.0
413,5.0,2.0,1.0,0.0,3.0,9.0,6.0,4.0,64.0,12.0,19.0,33.0,11.0,31.0,59.0,8.0,16.0,25.0,57.0,52.0,39.0,17.0,10.0,29.0,7.0,50.0,20.0,21.0,22.0,47.0
462,0.0,15.0,1.0,2.0,4.0,7.0,5.0,3.0,28.0,49.0,14.0,8.0,30.0,19.0,13.0,27.0,9.0,16.0,33.0,23.0,20.0,18.0,10.0,41.0,36.0,60.0,26.0,24.0,53.0,21.0
