,CDC73_DEL,LPA_AMP,TTTY22_DEL,SMARCA2_DEL,USP32P1_AMP,FAM106CP_AMP,CCDC144A_AMP,MRGPRX1_DEL,ASAH2_DEL,PCCB_DEL,KRT16P2_AMP,LOC649352_DEL,SLC25A37_AMP,LGALS9C_DEL,CCDC144B_DEL,UGT2B17_DEL,LRRC37A2_AMP,SETMAR_DEL,USP32P2_DEL,BRAF_MUT,NSF_AMP,ARL17B_AMP,TMEM132D_DEL,LAMA1_MUT,GALNTL6_DEL,POLR2J3_DEL,ARHGAP22_DEL,TTTY16_DEL,TTTY12_DEL,ACOT1_AMP
31,0.0,3.0,1.0,11.0,12.0,17.0,16.0,4.0,656.0,5.0,13.0,8.0,40.0,26.0,36.0,2.0,6.0,1159.0,22.0,27.0,7.0,14.0,24.0,660.0,128.0,33.0,10.0,155.0,158.0,316.0
80,2.0,22.0,0.0,6.0,4.0,10.0,9.0,20.0,72.0,8.0,1.0,5.0,19.0,12.0,11.0,47.0,162.0,168.0,16.0,33.0,245.0,86.0,25.0,117.0,73.0,43.0,55.0,89.0,90.0,331.0
129,0.0,2.0,3.0,8.0,4.0,13.0,12.0,1.0,284.0,36.0,6.0,10.0,17.0,14.0,18.0,11.0,61.0,671.0,23.0,431.0,87.0,97.0,40.0,244.0,188.0,15.0,37.0,168.0,170.0,59.0
178,1.0,0.0,2.0,6.0,4.0,7.0,8.0,15.0,453.0,13.0,9.0,72.0,10.0,14.0,3.0,29.0,38.0,2333.0,21.0,12.0,65.0,18.0,22.0,70.0,41.0,33.0,57.0,176.0,174.0,19568.0
227,0.0,1.0,8.0,2.0,3.0,6.0,7.0,4.0,25.0,12.0,5.0,30.0,21.0,74.0,51.0,28.0,103.0,142.0,75.0,49.0,137.0,188.0,31.0,29.0,1827.0,56.0,20.0,259.0,260.0,189.0
276,0.0,26.0,2.0,1.0,4.0,16.0,15.0,7.0,377.0,19.0,3.0,29.0,21.0,5.0,10.0,28.0,37.0,216.0,12.0,82.0,61.0,25.0,105.0,8.0,150.0,11.0,64.0,261.0,265.0,276.0
325,0.0,1.0,4.0,16.0,8.0,7.0,6.0,36.0,21.0,2.0,17.0,58.0,41.0,9.0,11.0,10.0,122.0,414.0,12.0,15.0,242.0,94.0,70.0,38.0,10383.0,37.0,66.0,124.0,126.0,43.0
374,0.0,38.0,1.0,3.0,12.0,26.0,27.0,7.0,13.0,14.0,16.0,36.0,214.0,4.0,11.0,8.0,71.0,190.0,34.0,307.0,104.0,28.0,43.0,143.0,59.0,65.0,105.0,89.0,94.0,1304.0
423,0.0,21.0,1.0,2.0,8.0,20.0,19.0,3.0,300.0,4.0,5.0,10.0,35.0,7.0,191.0,30.0,29.0,217.0,16.0,13.0,34.0,69.0,6.0,14.0,10533.0,60.0,17.0,80.0,84.0,970.0
472,0.0,18.0,3.0,7.0,1.0,4.0,5.0,42.0,39.0,9.0,2.0,8.0,46.0,16.0,22.0,68.0,19.0,207.0,29.0,206.0,12.0,20.0,30.0,69.0,155.0,109.0,43.0,439.0,441.0,6.0
521,5.0,7.0,6.0,1.0,2.0,3.0,4.0,15.0,42.0,16.0,11.0,0.0,8.0,7593.0,539.0,93.0,110.0,161.0,2076.0,15728.0,179.0,900.0,108.0,38.0,1179.0,442.0,85.0,28.0,26.0,12.0
570,2.0,0.0,1.0,4.0,5.0,9.0,10.0,8.0,167.0,27.0,22.0,29.0,24.0,49.0,37.0,12.0,19427.0,19.0,266.0,221.0,19259.0,2741.0,106.0,7.0,93.0,228.0,86.0,77.0,78.0,15.0
619,7.0,41.0,1.0,8.0,0.0,3.0,4.0,9.0,59.0,10.0,14.0,15.0,2.0,39.0,81.0,1396.0,21.0,24.0,84.0,42.0,30.0,17.0,33.0,12.0,284.0,1354.0,103.0,54.0,53.0,5.0
668,0.0,2.0,3.0,1.0,9.0,19.0,18.0,5.0,24.0,35.0,37.0,6.0,34.0,7405.0,291.0,15.0,77.0,70.0,2452.0,8.0,92.0,219.0,32.0,12.0,113.0,181.0,124.0,39.0,40.0,27.0
717,1.0,10.0,2.0,3.0,4.0,9.0,8.0,45.0,17.0,15.0,11.0,6.0,14.0,125.0,28.0,71.0,42.0,58.0,163.0,65.0,59.0,251.0,18.0,12.0,250.0,216.0,38.0,33.0,31.0,27.0
766,6.0,3.0,11.0,8.0,0.0,2.0,1.0,14.0,10.0,7.0,12.0,4.0,24.0,16.0,9.0,33.0,43.0,83.0,32.0,21.0,46.0,17.0,29.0,59.0,96.0,1127.0,48.0,35.0,36.0,39.0
815,2.0,9.0,0.0,3.0,8.0,20.0,21.0,5.0,26.0,1.0,7.0,67.0,24.0,90.0,125.0,4.0,274.0,146.0,540.0,18.0,267.0,262.0,14.0,12.0,10582.0,182.0,81.0,30.0,28.0,13.0
864,7.0,0.0,1.0,2.0,10.0,18.0,17.0,4.0,3.0,5.0,16.0,15.0,19.0,503.0,387.0,71.0,148.0,48.0,901.0,127.0,74.0,14585.0,9.0,11.0,82.0,218.0,75.0,41.0,39.0,21.0
913,2.0,0.0,4.0,1.0,3.0,8.0,9.0,21.0,61.0,13.0,11.0,10.0,5.0,19.0,51.0,7040.0,487.0,122.0,34.0,16.0,1196.0,1004.0,60.0,6.0,205.0,766.0,296.0,57.0,59.0,7.0
962,16.0,9.0,7.0,4.0,0.0,3.0,2.0,6.0,85.0,32.0,5.0,11.0,1.0,30.0,57.0,48.0,1121.0,1111.0,74.0,18.0,1587.0,1135.0,17.0,10.0,2072.0,503.0,88.0,40.0,41.0,112.0
1011,2.0,7.0,3.0,0.0,38.0,39.0,37.0,94.0,6.0,9.0,92.0,1.0,10.0,33.0,125.0,148.0,5.0,13.0,63.0,48.0,8.0,28.0,15.0,69.0,24.0,75.0,54.0,130.0,131.0,22.0
1060,0.0,6.0,11.0,7.0,17.0,53.0,54.0,1.0,25.0,62.0,50.0,4.0,24.0,8.0,28.0,103.0,5.0,14.0,15.0,697.0,2.0,26.0,36.0,68.0,12.0,69.0,156.0,57.0,56.0,70.0
1109,14.0,0.0,8.0,3.0,2.0,16.0,17.0,26.0,185.0,15.0,7.0,4.0,1.0,11.0,36.0,13.0,6.0,33.0,24.0,21.0,10.0,25.0,151.0,45.0,53.0,18.0,31.0,39.0,37.0,41.0
1158,0.0,1.0,2.0,7.0,17.0,37.0,38.0,10.0,11.0,9.0,3.0,26.0,6.0,5.0,350.0,4.0,8.0,16.0,45.0,1856.0,12.0,13.0,157.0,25.0,30.0,21.0,20.0,90.0,91.0,59.0
1207,2.0,4.0,0.0,1.0,5.0,11.0,10.0,21.0,48.0,23.0,3.0,7.0,63.0,96.0,19.0,27.0,95.0,8.0,22.0,61.0,102.0,56.0,16.0,77.0,9.0,179.0,6.0,67.0,65.0,124.0
1256,8.0,2.0,1.0,3.0,5.0,13.0,12.0,52.0,4.0,17.0,19.0,11.0,43.0,20.0,16.0,39.0,23.0,35.0,41.0,15.0,38.0,14.0,37.0,127.0,0.0,58.0,51.0,83.0,84.0,32.0
1305,1.0,4.0,0.0,2.0,8.0,19.0,18.0,9.0,41.0,5.0,6.0,13.0,33.0,10.0,66.0,29.0,15.0,21.0,17.0,11.0,28.0,150.0,133.0,30.0,7.0,724.0,48.0,25.0,27.0,578.0
1354,18.0,17.0,3.0,31.0,2.0,6.0,5.0,28.0,27.0,29.0,4.0,20.0,9.0,0.0,19.0,885.0,37.0,39.0,1.0,41.0,54.0,49.0,15.0,10.0,22.0,47.0,35.0,62.0,63.0,14.0
1403,3.0,0.0,2.0,5.0,30.0,77.0,76.0,6.0,46.0,16.0,21.0,13.0,11.0,18.0,59.0,1.0,33.0,9.0,35.0,604.0,43.0,132.0,345.0,47.0,4.0,34.0,31.0,36.0,37.0,52.0
1452,3.0,1.0,5.0,0.0,17.0,52.0,53.0,162.0,71.0,48.0,7.0,9.0,15.0,29.0,96.0,41.0,10.0,36.0,66.0,59.0,16.0,18.0,323.0,12.0,4.0,121.0,112.0,207.0,208.0,611.0
1501,2.0,57.0,20.0,0.0,5.0,9.0,8.0,28.0,11.0,1.0,10.0,4.0,12.0,3.0,14.0,32.0,48.0,30.0,6.0,21.0,36.0,40.0,18.0,231.0,214.0,83.0,17.0,76.0,80.0,23.0
1550,9.0,40.0,10.0,3.0,29.0,67.0,66.0,5.0,4.0,0.0,11.0,1.0,14.0,22.0,143.0,33.0,13.0,85.0,35.0,19.0,8.0,16.0,12.0,225.0,278.0,20.0,6.0,39.0,37.0,629.0
1599,3.0,4.0,6.0,5.0,17.0,26.0,27.0,12.0,0.0,2.0,110.0,11.0,15.0,220.0,188.0,1.0,126.0,31.0,371.0,8.0,105.0,10.0,13.0,170.0,59.0,29.0,19.0,22.0,21.0,125.0
1648,1.0,20.0,15.0,2.0,9.0,10.0,8.0,5.0,28.0,0.0,50.0,4.0,31.0,18.0,36.0,13.0,7.0,24.0,14.0,21.0,3.0,17.0,59.0,69.0,179.0,26.0,11.0,60.0,61.0,211.0
1697,17.0,9.0,18.0,2.0,19.0,28.0,29.0,4.0,1.0,0.0,31.0,6.0,7.0,40.0,96.0,11.0,10.0,56.0,41.0,14.0,5.0,8.0,13.0,1023.0,800.0,47.0,37.0,65.0,64.0,899.0
1746,4.0,14.0,10.0,1.0,15.0,24.0,23.0,6.0,11.0,0.0,20.0,17.0,2.0,19.0,33.0,78.0,8.0,47.0,29.0,44.0,5.0,16.0,18.0,159.0,9.0,7.0,3.0,61.0,59.0,90.0
1795,5.0,57.0,6.0,0.0,13.0,23.0,24.0,29.0,3.0,1.0,17.0,16.0,7.0,44.0,14.0,50.0,15.0,28.0,62.0,12.0,10.0,22.0,2.0,111.0,19.0,65.0,9.0,35.0,36.0,706.0
1844,0.0,73.0,7.0,1.0,78.0,205.0,206.0,19.0,13.0,2.0,32.0,15.0,6.0,47.0,60.0,3.0,9.0,22.0,77.0,27.0,8.0,5.0,12.0,479.0,34.0,20.0,33.0,29.0,30.0,385.0
1893,8.0,26.0,4.0,0.0,5.0,9.0,10.0,14.0,11.0,1.0,22.0,2.0,3.0,56.0,129.0,84.0,27.0,48.0,86.0,92.0,16.0,55.0,6.0,262.0,113.0,51.0,18.0,44.0,42.0,61.0
1942,3.0,6.0,25.0,0.0,2.0,5.0,4.0,10.0,1.0,8.0,13.0,7.0,12.0,46.0,85.0,20.0,23.0,40.0,47.0,14.0,18.0,9.0,28.0,120.0,10701.0,15.0,17.0,36.0,35.0,366.0
1991,5.0,0.0,11.0,6.0,2.0,4.0,3.0,7.0,1.0,22.0,15.0,42.0,90.0,35.0,32.0,68.0,363.0,108.0,21.0,19.0,533.0,13596.0,91.0,284.0,115.0,17.0,18.0,99.0,101.0,62.0
2040,0.0,1.0,2.0,12.0,5.0,3.0,4.0,7.0,28.0,14.0,20.0,6.0,16.0,26.0,37.0,92.0,80.0,77.0,17.0,8.0,169.0,649.0,23.0,383.0,74.0,51.0,24.0,47.0,49.0,36.0
2089,1.0,0.0,3.0,10.0,7.0,6.0,5.0,21.0,2.0,25.0,34.0,72.0,505.0,11.0,28.0,6967.0,13.0,47.0,19.0,23.0,24.0,46.0,17.0,1897.0,31.0,54.0,143.0,50.0,51.0,62.0
2138,1.0,0.0,7.0,4.0,17.0,19.0,18.0,2.0,3.0,15.0,67.0,25.0,127.0,22.0,24.0,30.0,11.0,64.0,10.0,5.0,12.0,34.0,26.0,126.0,13.0,52.0,37.0,166.0,165.0,33.0
2187,3.0,0.0,1.0,24.0,10.0,9.0,8.0,2.0,41.0,14.0,83.0,427.0,18.0,26.0,6.0,1406.0,17.0,137.0,15.0,21.0,23.0,403.0,130.0,526.0,713.0,20.0,157.0,40.0,38.0,48.0
2236,1.0,0.0,11.0,13.0,7.0,5.0,6.0,4.0,12.0,9.0,83.0,264.0,128.0,14.0,10.0,349.0,25.0,29.0,3.0,2.0,41.0,362.0,467.0,8.0,44.0,261.0,208.0,133.0,135.0,23.0
2285,1.0,0.0,4.0,3.0,5.0,7.0,6.0,12.0,8.0,2.0,27.0,41.0,666.0,28.0,30.0,13.0,11.0,36.0,15.0,9.0,16.0,187.0,29.0,34.0,629.0,50.0,155.0,51.0,53.0,14.0
2334,0.0,1.0,8.0,7.0,4.0,3.0,2.0,9.0,5.0,30.0,34.0,33.0,508.0,19.0,15.0,52.0,75.0,29.0,12.0,595.0,51.0,403.0,22.0,159.0,69.0,41.0,35.0,106.0,105.0,39.0
2383,1.0,0.0,10.0,12.0,6.0,7.0,5.0,2.0,4.0,9.0,23.0,71.0,130.0,14.0,3.0,141.0,21.0,65.0,8.0,27.0,29.0,46.0,16.0,124.0,66.0,253.0,61.0,33.0,34.0,78.0
2432,1.0,0.0,9.0,8.0,4.0,6.0,5.0,16.0,7.0,3.0,19.0,15.0,57.0,32.0,2.0,72.0,14.0,169.0,17.0,10.0,18.0,31.0,22.0,80.0,492.0,708.0,27.0,60.0,61.0,189.0
2481,0.0,1.0,5.0,15.0,19.0,35.0,34.0,6.0,253.0,47.0,60.0,27.0,8.0,2.0,7.0,735.0,16.0,26.0,11.0,58.0,23.0,59.0,140.0,38.0,40.0,86.0,10953.0,101.0,99.0,251.0
2530,0.0,48.0,3.0,1.0,61.0,186.0,185.0,15.0,398.0,170.0,22.0,5.0,2.0,24.0,9.0,137.0,6.0,23.0,66.0,4.0,7.0,68.0,57.0,47.0,11.0,67.0,290.0,100.0,98.0,14.0
