,hsa-miR-205,hsa-miR-216a,hsa-miR-99a,hsa-miR-200a,hsa-miR-934,hsa-miR-140-5p,hsa-miR-409-3p,hsa-miR-1266,hsa-miR-9,hsa-miR-299-5p,hsa-miR-136,hsa-let-7e,hsa-miR-329,hsa-miR-199b-5p,hsa-miR-296-5p,hsa-miR-137,hsa-miR-214,hsa-miR-29c,hsv1-miR-H8,hsa-miR-1469,hsa-miR-10a,hsa-miR-24,hsa-miR-148a,hsa-miR-654-3p,hsa-miR-340,hsa-miR-223,hsa-miR-30e,hsa-miR-154,hsa-miR-219-2-3p,hsa-miR-1302
18,0.0,1.0,2.0,3.0,6.0,5.0,7.0,34.0,4.0,37.0,13.0,8.0,15.0,35.0,305.0,141.0,50.0,31.0,10.0,40.0,55.0,383.0,155.0,19.0,9.0,44.0,28.0,602.0,11.0,46.0
67,0.0,1.0,2.0,3.0,7.0,6.0,16.0,12.0,10.0,11.0,4.0,30.0,33.0,17.0,88.0,5.0,143.0,9.0,8.0,71.0,20.0,46.0,21.0,92.0,24.0,111.0,82.0,27.0,136.0,55.0
116,0.0,1.0,2.0,4.0,3.0,56.0,5.0,9.0,6.0,15.0,12.0,49.0,13.0,8.0,270.0,39.0,96.0,44.0,36.0,172.0,11.0,35.0,68.0,116.0,66.0,60.0,22.0,94.0,45.0,10.0
165,0.0,1.0,2.0,3.0,6.0,69.0,4.0,36.0,19.0,39.0,15.0,9.0,67.0,82.0,66.0,5.0,18.0,25.0,7.0,34.0,37.0,170.0,81.0,31.0,48.0,174.0,114.0,16.0,290.0,26.0
214,0.0,1.0,2.0,3.0,14.0,5.0,7.0,6.0,24.0,12.0,4.0,10.0,53.0,17.0,34.0,23.0,18.0,25.0,42.0,15.0,22.0,69.0,375.0,33.0,29.0,9.0,103.0,31.0,51.0,130.0
263,0.0,1.0,7.0,5.0,3.0,2.0,15.0,13.0,14.0,9.0,4.0,27.0,55.0,28.0,11.0,23.0,33.0,98.0,41.0,221.0,8.0,6.0,96.0,17.0,50.0,255.0,47.0,418.0,10.0,73.0
312,0.0,1.0,2.0,4.0,16.0,13.0,24.0,19.0,94.0,12.0,5.0,10.0,8.0,6.0,28.0,25.0,84.0,18.0,3.0,162.0,17.0,21.0,22.0,34.0,7.0,152.0,197.0,128.0,169.0,67.0
361,0.0,1.0,2.0,4.0,3.0,8.0,6.0,23.0,13.0,12.0,33.0,9.0,172.0,128.0,77.0,10.0,59.0,15.0,5.0,19.0,11.0,85.0,7.0,83.0,95.0,107.0,210.0,17.0,257.0,25.0
410,0.0,1.0,2.0,3.0,4.0,8.0,9.0,10.0,5.0,11.0,120.0,231.0,12.0,16.0,32.0,145.0,6.0,42.0,14.0,22.0,33.0,20.0,101.0,195.0,45.0,153.0,142.0,25.0,133.0,15.0
459,0.0,1.0,2.0,3.0,9.0,4.0,15.0,7.0,12.0,5.0,10.0,35.0,72.0,17.0,81.0,14.0,119.0,50.0,11.0,86.0,43.0,106.0,25.0,127.0,277.0,181.0,6.0,118.0,99.0,156.0
