,E-Cadherin,Shc_pY317,Rab25,Claudin-7,HER2_pY1248,ADAR1,EGFR_pY1068,4E-BP1_pS65,VHL,Akt,Syk,4E-BP1_pT70,P-Cadherin,alpha-Catenin,PAI-1,PRAS40_pT246,Bim(EP1036),EGFR,4E-BP1_pT37_T46,MIG-6,Paxillin,NF-kB-p65_pS536,C-Raf(BD610151),HER3,PKC-alpha,RSK1-2-3,N-Cadherin,HER2,GATA3,B-Raf
0,0.0,2.0,1.0,3.0,6.0,9.0,5.0,12.0,4.0,11.0,7.0,17.0,13.0,10.0,14.0,16.0,15.0,19.0,28.0,29.0,18.0,71.0,23.0,8.0,21.0,57.0,31.0,32.0,41.0,38.0
49,1.0,3.0,2.0,0.0,9.0,12.0,5.0,11.0,8.0,17.0,4.0,10.0,7.0,14.0,15.0,19.0,6.0,13.0,22.0,26.0,35.0,39.0,16.0,87.0,21.0,20.0,46.0,42.0,68.0,32.0
98,1.0,0.0,2.0,3.0,8.0,10.0,4.0,5.0,9.0,13.0,11.0,7.0,18.0,6.0,20.0,21.0,12.0,53.0,14.0,52.0,15.0,26.0,16.0,41.0,25.0,34.0,61.0,17.0,19.0,35.0
147,0.0,2.0,1.0,3.0,8.0,5.0,4.0,6.0,12.0,22.0,19.0,10.0,13.0,7.0,24.0,21.0,9.0,37.0,26.0,39.0,15.0,35.0,14.0,36.0,11.0,16.0,77.0,23.0,30.0,80.0
196,0.0,3.0,1.0,2.0,13.0,26.0,14.0,7.0,11.0,21.0,20.0,9.0,4.0,6.0,10.0,18.0,8.0,47.0,24.0,22.0,37.0,12.0,5.0,27.0,28.0,17.0,35.0,16.0,34.0,90.0
245,0.0,1.0,2.0,5.0,14.0,6.0,8.0,3.0,7.0,9.0,12.0,22.0,4.0,13.0,18.0,17.0,10.0,21.0,15.0,25.0,19.0,35.0,33.0,16.0,31.0,11.0,23.0,83.0,81.0,90.0
294,0.0,1.0,2.0,3.0,9.0,12.0,4.0,21.0,5.0,17.0,10.0,13.0,7.0,6.0,16.0,14.0,8.0,74.0,18.0,22.0,25.0,19.0,32.0,15.0,11.0,39.0,23.0,69.0,38.0,88.0
343,0.0,4.0,1.0,2.0,14.0,6.0,11.0,10.0,7.0,18.0,15.0,5.0,8.0,3.0,12.0,42.0,19.0,36.0,17.0,20.0,22.0,39.0,13.0,29.0,9.0,16.0,54.0,65.0,21.0,25.0
392,0.0,1.0,2.0,3.0,6.0,8.0,5.0,9.0,4.0,15.0,16.0,7.0,14.0,10.0,28.0,18.0,11.0,40.0,22.0,29.0,19.0,53.0,20.0,34.0,17.0,12.0,27.0,43.0,25.0,66.0
441,0.0,6.0,1.0,2.0,15.0,4.0,12.0,5.0,8.0,11.0,14.0,13.0,3.0,7.0,19.0,29.0,10.0,106.0,41.0,69.0,50.0,46.0,18.0,16.0,9.0,22.0,37.0,78.0,68.0,36.0
490,0.0,3.0,2.0,4.0,1.0,6.0,10.0,5.0,14.0,22.0,7.0,11.0,19.0,8.0,9.0,21.0,25.0,43.0,17.0,15.0,20.0,18.0,36.0,13.0,23.0,46.0,32.0,12.0,50.0,35.0
539,1.0,2.0,0.0,3.0,7.0,9.0,8.0,4.0,14.0,13.0,11.0,10.0,12.0,6.0,5.0,20.0,15.0,16.0,17.0,21.0,25.0,43.0,49.0,27.0,36.0,30.0,26.0,19.0,90.0,22.0
588,0.0,2.0,1.0,6.0,5.0,8.0,7.0,4.0,17.0,11.0,3.0,13.0,15.0,9.0,26.0,16.0,31.0,12.0,18.0,14.0,10.0,30.0,62.0,49.0,38.0,37.0,22.0,24.0,92.0,25.0
