,LPA_AMP,OR2T11_AMP,CDC73_AMP,ZNF705G_AMP,LOC100506776_DEL,MUC20_AMP,MSTO2P_AMP,DAP3_AMP,HLA-H_DEL,OR2T10_AMP,SIRPB1_AMP,GALNTL6_DEL,HLA-DQB1_DEL,HCG4B_DEL,MLIP_DEL,HERC2P2_AMP,CES1P1_DEL,LCE3C_DEL,PCCB_DEL,CES1_AMP,KIAA1217_DEL,TAG_DEL,SMARCA2_DEL,ARL17A_DEL,USP17L1P_AMP,MIR570_AMP,LOC348120_AMP,NBEAP1_AMP,HEATR4_AMP,FAM106CP_AMP
3509,5.0,0.0,3.0,35.0,10.0,1.0,13.0,12.0,16.0,6.0,179.0,4.0,14.0,18.0,2.0,475.0,262.0,8.0,23.0,7.0,9.0,466.0,46.0,17.0,53.0,37.0,33.0,30.0,9366.0,75.0
3558,27.0,2.0,0.0,6.0,22.0,3.0,18.0,17.0,12.0,11.0,179.0,16.0,4.0,13.0,10.0,1.0,32.0,26.0,23.0,31.0,122.0,5.0,99.0,324.0,43.0,14.0,15.0,51.0,88.0,46.0
3607,6.0,0.0,14.0,29.0,11.0,4.0,9.0,10.0,37.0,3.0,690.0,15.0,21.0,20.0,2.0,68.0,97.0,19.0,12.0,16.0,1.0,7.0,51.0,38.0,55.0,43.0,8.0,48.0,398.0,22.0
3656,15.0,0.0,10.0,22.0,6.0,2.0,5.0,4.0,8.0,1.0,727.0,12.0,28.0,9.0,11.0,33.0,186.0,3.0,26.0,31.0,14.0,7.0,74.0,24.0,35.0,32.0,20.0,17.0,212.0,37.0
3705,19.0,0.0,13.0,4.0,15.0,1.0,6.0,7.0,23.0,2.0,57.0,10.0,27.0,20.0,8.0,53.0,66.0,5.0,16.0,34.0,9.0,28.0,29.0,21.0,11.0,38.0,18.0,33.0,60.0,24.0
3754,13.0,0.0,10.0,16.0,80.0,7.0,8.0,9.0,28.0,1.0,589.0,6.0,40.0,25.0,2.0,82.0,18.0,3.0,137.0,21.0,5.0,11.0,32.0,22.0,37.0,38.0,49.0,14.0,98.0,26.0
3803,2.0,0.0,3.0,29.0,21.0,4.0,11.0,12.0,46.0,18.0,33.0,23.0,48.0,30.0,9.0,26.0,24.0,16.0,10.0,54.0,6.0,1.0,77.0,7.0,72.0,71.0,25.0,28.0,88.0,60.0
3852,1.0,0.0,20.0,64.0,7.0,2.0,3.0,4.0,9.0,8.0,445.0,6.0,18.0,17.0,5.0,85.0,45.0,22.0,14.0,28.0,16.0,25.0,69.0,46.0,155.0,29.0,37.0,24.0,52.0,10.0
3901,11.0,0.0,26.0,10.0,35.0,2.0,8.0,9.0,3.0,1.0,462.0,15.0,14.0,24.0,76.0,31.0,48.0,22.0,4.0,19.0,47.0,30.0,829.0,29.0,33.0,27.0,34.0,43.0,127.0,5.0
3950,6.0,2.0,8.0,10.0,1.0,15.0,4.0,5.0,0.0,25.0,28.0,24.0,23.0,7.0,31.0,12.0,16.0,14.0,27.0,62.0,13.0,30.0,17.0,22.0,36.0,163.0,18.0,11.0,58.0,48.0
