,LEPREL2,TSPYL5,EMR1,AGAP4,ZNF229,PXDN,LDOC1,PTPN13,ZNF518B,ZYG11A,ZNF347,MFAP2,DPY19L2P1,SH3BP1,MRC2,DUSP23,PCK2,S100A4,SLC43A1,HBQ1,ZNF853,M1AP,MEIOB,PALD1,ADD2,WNT5B,HOXA10,SORBS3,ZBTB47,RN7SL49P
10,0.0,1.0,4.0,9.0,12.0,3.0,67.0,6.0,8.0,11.0,18.0,40.0,21.0,13.0,10.0,85.0,20.0,27.0,16.0,28.0,22.0,79.0,44.0,346.0,291.0,41.0,102.0,145.0,53.0,17.0
59,0.0,1.0,3.0,10.0,19.0,6.0,12.0,17.0,5.0,164.0,8.0,375.0,21.0,47.0,11.0,543.0,87.0,2.0,27.0,104.0,41.0,110.0,24.0,9.0,80.0,42.0,252.0,82.0,29.0,16.0
108,0.0,2.0,3.0,1.0,23.0,6.0,39.0,4.0,7.0,55.0,5.0,241.0,17.0,20.0,33.0,57.0,8.0,30.0,97.0,31.0,24.0,50.0,54.0,89.0,34.0,74.0,403.0,118.0,28.0,12.0
157,1.0,0.0,2.0,11.0,10.0,4.0,3.0,85.0,5.0,149.0,6.0,17.0,9.0,14.0,15.0,40.0,45.0,27.0,25.0,54.0,18.0,178.0,23.0,69.0,287.0,20.0,160.0,72.0,60.0,19.0
206,0.0,1.0,3.0,5.0,8.0,2.0,29.0,19.0,4.0,7.0,14.0,55.0,18.0,159.0,13.0,331.0,99.0,12.0,119.0,64.0,33.0,38.0,9.0,26.0,227.0,21.0,309.0,473.0,342.0,23.0
255,0.0,1.0,5.0,7.0,3.0,2.0,119.0,4.0,13.0,15.0,34.0,12.0,16.0,38.0,14.0,37.0,40.0,17.0,41.0,33.0,9.0,83.0,61.0,27.0,191.0,57.0,157.0,18.0,141.0,11.0
304,1.0,0.0,2.0,9.0,7.0,5.0,68.0,6.0,3.0,23.0,18.0,74.0,11.0,13.0,10.0,342.0,17.0,34.0,46.0,42.0,39.0,28.0,32.0,115.0,309.0,66.0,533.0,140.0,327.0,25.0
353,0.0,1.0,5.0,17.0,11.0,4.0,12.0,6.0,2.0,7.0,3.0,65.0,13.0,24.0,23.0,31.0,83.0,10.0,168.0,62.0,21.0,51.0,47.0,30.0,490.0,46.0,205.0,53.0,87.0,28.0
402,0.0,1.0,17.0,2.0,5.0,3.0,419.0,25.0,6.0,7.0,9.0,19.0,20.0,23.0,35.0,88.0,18.0,14.0,71.0,21.0,83.0,58.0,33.0,15.0,281.0,246.0,166.0,289.0,34.0,116.0
451,0.0,1.0,3.0,20.0,66.0,2.0,376.0,6.0,9.0,30.0,5.0,132.0,8.0,149.0,37.0,227.0,25.0,87.0,112.0,38.0,15.0,32.0,205.0,131.0,34.0,24.0,33.0,130.0,29.0,18.0
500,1.0,0.0,3.0,26.0,4.0,7.0,2.0,89.0,65.0,5.0,607.0,359.0,385.0,25.0,124.0,30.0,47.0,12.0,40.0,46.0,15.0,13.0,272.0,79.0,21.0,57.0,23.0,33.0,104.0,16.0
549,0.0,1.0,9.0,4.0,17.0,14.0,2.0,35.0,5.0,7.0,389.0,62.0,399.0,27.0,24.0,144.0,32.0,56.0,74.0,30.0,58.0,34.0,20.0,36.0,39.0,28.0,16.0,6.0,29.0,105.0
598,1.0,0.0,4.0,13.0,6.0,32.0,3.0,10.0,2.0,19.0,130.0,172.0,86.0,9.0,63.0,16.0,7.0,178.0,71.0,94.0,108.0,24.0,33.0,113.0,68.0,117.0,31.0,118.0,37.0,34.0
647,1.0,0.0,2.0,4.0,3.0,6.0,21.0,72.0,9.0,8.0,156.0,574.0,86.0,33.0,55.0,5.0,64.0,34.0,41.0,28.0,30.0,89.0,52.0,47.0,25.0,106.0,48.0,132.0,69.0,95.0
696,0.0,1.0,8.0,5.0,3.0,4.0,6.0,18.0,12.0,29.0,11.0,69.0,116.0,15.0,86.0,16.0,19.0,184.0,20.0,57.0,22.0,51.0,124.0,225.0,445.0,23.0,13.0,40.0,81.0,143.0
745,1.0,0.0,34.0,6.0,10.0,26.0,2.0,15.0,5.0,14.0,40.0,1934.0,116.0,12.0,31.0,27.0,33.0,23.0,22.0,108.0,159.0,32.0,329.0,48.0,13.0,167.0,60.0,55.0,20.0,99.0
794,0.0,1.0,3.0,4.0,5.0,12.0,2.0,7.0,13.0,8.0,422.0,214.0,166.0,9.0,53.0,6.0,28.0,104.0,129.0,29.0,73.0,19.0,261.0,23.0,87.0,94.0,24.0,59.0,50.0,55.0
843,1.0,0.0,6.0,2.0,10.0,4.0,3.0,15.0,13.0,38.0,133.0,142.0,87.0,12.0,27.0,18.0,28.0,8.0,19.0,32.0,16.0,7.0,663.0,5.0,60.0,42.0,17.0,92.0,24.0,251.0
892,0.0,1.0,2.0,18.0,4.0,10.0,3.0,7.0,5.0,28.0,90.0,40.0,635.0,6.0,9.0,78.0,38.0,305.0,37.0,144.0,708.0,32.0,179.0,35.0,51.0,276.0,8.0,13.0,47.0,63.0
941,1.0,0.0,3.0,5.0,33.0,25.0,2.0,10.0,9.0,63.0,350.0,238.0,329.0,8.0,108.0,7.0,93.0,97.0,131.0,86.0,4.0,48.0,16.0,74.0,17.0,14.0,6.0,203.0,19.0,56.0
990,5.0,0.0,2.0,10.0,1.0,8.0,3.0,11.0,12.0,34.0,21.0,22.0,40.0,6.0,16.0,240.0,20.0,323.0,35.0,56.0,93.0,30.0,15.0,130.0,63.0,121.0,14.0,179.0,249.0,49.0
1039,1.0,0.0,3.0,20.0,16.0,13.0,11.0,8.0,2.0,98.0,10.0,6.0,205.0,29.0,4.0,689.0,146.0,18.0,9.0,84.0,5.0,46.0,7.0,24.0,1157.0,623.0,30.0,230.0,221.0,116.0
1088,0.0,5.0,1.0,31.0,2.0,3.0,11.0,6.0,4.0,51.0,9.0,12.0,83.0,63.0,14.0,29.0,94.0,43.0,44.0,247.0,58.0,30.0,27.0,23.0,86.0,121.0,66.0,141.0,32.0,25.0
1137,3.0,0.0,2.0,116.0,17.0,7.0,4.0,22.0,1.0,20.0,5.0,19.0,16.0,84.0,25.0,122.0,125.0,87.0,39.0,226.0,42.0,33.0,18.0,79.0,24.0,72.0,91.0,156.0,118.0,31.0
