,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-10a,hsa-miR-384,hsa-miR-512-3p,hsa-miR-661,hsa-miR-1183,hsa-miR-22,hcmv-miR-UL148D,hsa-miR-133b,hsa-miR-545,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-1294,hsa-miR-616,hsa-miR-103,hsa-miR-340,hsa-miR-148a,hsa-miR-1978,hsa-miR-21,hsa-miR-563,hsa-miR-766,hsa-miR-412,ebv-miR-BART18-3p,hsa-miR-1975,hsa-miR-96,hsv2-miR-H4-5p,hsa-miR-1259,hsa-miR-1299,hsa-miR-890
950,11.0,35.0,60.0,81.0,53.0,313.0,121.0,59.0,255.0,34.0,18.0,30.0,109.0,95.0,22.0,462.0,45.0,385.0,132.0,111.0,117.0,364.0,49.0,270.0,77.0,268.0,163.0,28.0,471.0,65.0
999,2.0,12.0,6.0,14.0,15.0,211.0,149.0,144.0,61.0,123.0,100.0,51.0,169.0,125.0,267.0,41.0,430.0,53.0,156.0,162.0,548.0,0.0,75.0,39.0,91.0,116.0,58.0,219.0,544.0,124.0
1048,4.0,16.0,21.0,68.0,19.0,2.0,35.0,586.0,265.0,151.0,187.0,17.0,383.0,31.0,30.0,90.0,612.0,375.0,155.0,61.0,175.0,6.0,76.0,130.0,56.0,124.0,137.0,492.0,398.0,259.0
1097,9.0,13.0,2.0,5.0,53.0,12.0,364.0,451.0,283.0,99.0,178.0,80.0,90.0,52.0,218.0,31.0,123.0,507.0,505.0,47.0,237.0,347.0,586.0,120.0,37.0,115.0,171.0,58.0,16.0,83.0
1146,1.0,3.0,6.0,31.0,11.0,19.0,12.0,487.0,295.0,44.0,517.0,25.0,64.0,100.0,34.0,75.0,111.0,432.0,145.0,35.0,398.0,284.0,66.0,137.0,38.0,72.0,162.0,222.0,148.0,170.0
1195,8.0,10.0,3.0,19.0,25.0,205.0,284.0,511.0,289.0,76.0,568.0,142.0,78.0,90.0,255.0,23.0,71.0,446.0,26.0,457.0,22.0,147.0,127.0,35.0,82.0,80.0,46.0,140.0,556.0,104.0
1244,11.0,2.0,13.0,17.0,15.0,39.0,61.0,4.0,355.0,47.0,222.0,77.0,63.0,89.0,329.0,1.0,611.0,90.0,152.0,84.0,243.0,268.0,135.0,94.0,168.0,287.0,71.0,101.0,18.0,120.0
1293,13.0,40.0,15.0,28.0,54.0,332.0,93.0,586.0,91.0,83.0,155.0,153.0,88.0,99.0,177.0,64.0,94.0,375.0,404.0,103.0,199.0,14.0,526.0,45.0,126.0,34.0,113.0,92.0,128.0,23.0
1342,16.0,544.0,5.0,53.0,81.0,34.0,324.0,7.0,266.0,107.0,549.0,51.0,65.0,27.0,182.0,280.0,69.0,502.0,154.0,72.0,52.0,323.0,20.0,26.0,111.0,19.0,33.0,591.0,142.0,128.0
1391,17.0,7.0,2.0,37.0,0.0,87.0,457.0,593.0,157.0,61.0,536.0,145.0,21.0,150.0,84.0,463.0,79.0,78.0,126.0,54.0,235.0,52.0,118.0,34.0,82.0,57.0,161.0,35.0,472.0,3.0
1440,14.0,186.0,28.0,11.0,37.0,15.0,108.0,592.0,90.0,64.0,181.0,9.0,75.0,39.0,166.0,455.0,614.0,376.0,101.0,121.0,222.0,10.0,133.0,123.0,117.0,56.0,19.0,93.0,465.0,45.0
1489,2.0,7.0,49.0,1.0,21.0,316.0,14.0,594.0,9.0,109.0,179.0,33.0,19.0,119.0,325.0,124.0,622.0,384.0,60.0,36.0,228.0,304.0,600.0,108.0,100.0,207.0,82.0,463.0,155.0,106.0
1538,5.0,203.0,16.0,605.0,17.0,65.0,13.0,593.0,22.0,72.0,597.0,61.0,131.0,128.0,213.0,47.0,620.0,7.0,39.0,64.0,193.0,60.0,158.0,171.0,177.0,45.0,118.0,66.0,81.0,82.0
1587,17.0,19.0,48.0,28.0,6.0,13.0,27.0,111.0,96.0,117.0,29.0,60.0,63.0,22.0,46.0,36.0,51.0,373.0,97.0,20.0,98.0,12.0,94.0,162.0,138.0,25.0,108.0,491.0,15.0,336.0
1636,19.0,0.0,84.0,40.0,13.0,72.0,452.0,4.0,65.0,113.0,236.0,93.0,388.0,145.0,330.0,68.0,79.0,31.0,59.0,405.0,5.0,293.0,94.0,60.0,92.0,41.0,32.0,73.0,470.0,155.0
1685,7.0,19.0,126.0,5.0,67.0,15.0,102.0,14.0,51.0,163.0,3.0,304.0,12.0,96.0,255.0,55.0,58.0,495.0,9.0,510.0,245.0,18.0,591.0,61.0,84.0,34.0,43.0,204.0,621.0,39.0
1734,9.0,20.0,458.0,16.0,32.0,35.0,1.0,2.0,340.0,70.0,0.0,365.0,49.0,47.0,268.0,75.0,42.0,382.0,178.0,411.0,59.0,131.0,93.0,48.0,103.0,84.0,161.0,128.0,165.0,46.0
1783,5.0,88.0,22.0,11.0,112.0,0.0,26.0,594.0,13.0,75.0,367.0,32.0,387.0,100.0,94.0,460.0,61.0,6.0,73.0,71.0,7.0,108.0,44.0,262.0,92.0,15.0,288.0,496.0,433.0,120.0
1832,17.0,14.0,59.0,0.0,81.0,4.0,22.0,15.0,297.0,73.0,44.0,39.0,38.0,91.0,186.0,98.0,77.0,11.0,93.0,76.0,1.0,354.0,118.0,247.0,96.0,259.0,25.0,493.0,136.0,86.0
1881,10.0,33.0,45.0,5.0,43.0,7.0,83.0,589.0,346.0,88.0,149.0,41.0,71.0,68.0,151.0,147.0,44.0,166.0,158.0,403.0,240.0,261.0,23.0,295.0,86.0,48.0,81.0,464.0,465.0,89.0
1930,102.0,194.0,50.0,88.0,61.0,70.0,450.0,592.0,104.0,113.0,201.0,10.0,67.0,32.0,193.0,59.0,35.0,383.0,74.0,63.0,215.0,8.0,114.0,165.0,418.0,73.0,291.0,495.0,471.0,19.0
1979,29.0,17.0,11.0,566.0,23.0,21.0,452.0,5.0,214.0,82.0,307.0,55.0,70.0,77.0,38.0,138.0,153.0,35.0,113.0,19.0,75.0,309.0,102.0,129.0,136.0,83.0,264.0,492.0,73.0,119.0
2028,20.0,200.0,2.0,58.0,24.0,30.0,157.0,1.0,27.0,56.0,169.0,248.0,96.0,95.0,29.0,46.0,90.0,376.0,67.0,399.0,113.0,352.0,112.0,250.0,45.0,105.0,280.0,83.0,467.0,150.0
2077,37.0,561.0,290.0,595.0,25.0,44.0,35.0,20.0,67.0,50.0,164.0,55.0,92.0,45.0,61.0,304.0,21.0,451.0,162.0,111.0,22.0,29.0,592.0,363.0,115.0,66.0,142.0,252.0,623.0,14.0
2126,23.0,50.0,55.0,72.0,1.0,38.0,99.0,41.0,182.0,58.0,370.0,32.0,130.0,49.0,150.0,77.0,110.0,26.0,412.0,66.0,255.0,86.0,163.0,149.0,136.0,91.0,98.0,117.0,51.0,133.0
2175,1.0,218.0,452.0,25.0,9.0,29.0,449.0,34.0,28.0,36.0,224.0,20.0,120.0,42.0,50.0,454.0,102.0,69.0,405.0,395.0,49.0,45.0,103.0,346.0,117.0,73.0,145.0,492.0,463.0,137.0
2224,40.0,183.0,31.0,600.0,39.0,2.0,456.0,10.0,80.0,52.0,85.0,58.0,57.0,43.0,51.0,460.0,56.0,63.0,25.0,97.0,24.0,13.0,138.0,165.0,109.0,101.0,103.0,90.0,0.0,342.0
2273,13.0,242.0,8.0,564.0,559.0,15.0,454.0,18.0,145.0,37.0,9.0,96.0,76.0,102.0,324.0,61.0,616.0,105.0,414.0,404.0,11.0,35.0,139.0,167.0,161.0,166.0,235.0,496.0,50.0,131.0
2322,9.0,121.0,456.0,528.0,25.0,31.0,92.0,0.0,73.0,85.0,32.0,111.0,384.0,84.0,203.0,459.0,37.0,7.0,52.0,402.0,51.0,14.0,63.0,260.0,413.0,33.0,22.0,123.0,464.0,75.0
2371,29.0,311.0,4.0,156.0,516.0,30.0,31.0,11.0,78.0,108.0,157.0,72.0,79.0,62.0,0.0,110.0,97.0,402.0,420.0,18.0,93.0,67.0,134.0,60.0,112.0,46.0,265.0,12.0,88.0,166.0
2420,35.0,12.0,339.0,0.0,4.0,67.0,18.0,5.0,96.0,63.0,523.0,401.0,15.0,95.0,49.0,39.0,89.0,60.0,144.0,48.0,88.0,99.0,436.0,377.0,129.0,126.0,117.0,51.0,544.0,166.0
2469,77.0,63.0,457.0,14.0,70.0,76.0,0.0,593.0,114.0,128.0,88.0,103.0,125.0,75.0,199.0,56.0,151.0,383.0,112.0,122.0,7.0,71.0,110.0,21.0,148.0,175.0,287.0,46.0,5.0,346.0
2518,8.0,135.0,1.0,17.0,82.0,313.0,103.0,6.0,73.0,157.0,54.0,18.0,388.0,55.0,331.0,78.0,143.0,148.0,100.0,404.0,247.0,264.0,50.0,158.0,160.0,324.0,242.0,24.0,139.0,123.0
2567,14.0,68.0,461.0,3.0,76.0,367.0,4.0,595.0,34.0,116.0,55.0,140.0,57.0,94.0,27.0,97.0,80.0,399.0,84.0,411.0,230.0,279.0,132.0,22.0,117.0,146.0,153.0,161.0,109.0,86.0
2616,6.0,99.0,13.0,58.0,11.0,8.0,49.0,39.0,122.0,71.0,135.0,90.0,77.0,151.0,46.0,93.0,612.0,373.0,141.0,398.0,175.0,44.0,128.0,42.0,410.0,264.0,131.0,56.0,465.0,167.0
2665,4.0,173.0,49.0,6.0,20.0,361.0,61.0,78.0,59.0,112.0,27.0,19.0,391.0,73.0,81.0,43.0,2.0,70.0,50.0,404.0,248.0,343.0,64.0,113.0,417.0,120.0,238.0,496.0,21.0,168.0
