,beta-alanine,GABA,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,C22:6 LPE,DHAP/glyceraldehyde 3P,adenosine,leucine,valerylcarnitine,1-methylnicotinamide,2-deoxycytidine,N-carbamoyl-beta-alanine,creatinine,cotinine,palmitoylcarnitine,SDMA/ADMA,putrescine,malondialdehyde,cis/trans-hydroxyproline,alpha-glycerophosphate,3-phosphoglycerate,isocitrate,pantothenate,alpha-hydroxybutyrate,NADP,C36:4 PC-B,UMP,C18:0 LPC,C22:6 LPC
1301,0.0,12.0,2.0,1.0,5.0,21.0,32.0,15.0,51.0,18.0,17.0,22.0,57.0,61.0,64.0,34.0,13.0,56.0,23.0,8.0,4.0,16.0,29.0,11.0,28.0,9.0,40.0,62.0,19.0,20.0
1350,4.0,2.0,0.0,5.0,1.0,22.0,27.0,12.0,3.0,40.0,16.0,24.0,9.0,7.0,15.0,19.0,8.0,17.0,28.0,52.0,33.0,13.0,34.0,62.0,31.0,30.0,42.0,26.0,20.0,21.0
1399,1.0,7.0,2.0,13.0,0.0,18.0,33.0,11.0,22.0,15.0,21.0,12.0,9.0,5.0,64.0,37.0,57.0,14.0,39.0,53.0,44.0,8.0,27.0,29.0,28.0,24.0,4.0,63.0,16.0,40.0
1448,0.0,5.0,11.0,1.0,6.0,30.0,25.0,21.0,19.0,14.0,15.0,9.0,62.0,65.0,2.0,40.0,13.0,35.0,58.0,18.0,10.0,41.0,23.0,33.0,12.0,29.0,7.0,51.0,32.0,31.0
1497,3.0,6.0,0.0,19.0,30.0,27.0,14.0,18.0,57.0,37.0,45.0,16.0,20.0,15.0,5.0,4.0,21.0,25.0,28.0,7.0,24.0,1.0,23.0,12.0,9.0,46.0,42.0,11.0,2.0,43.0
1546,0.0,57.0,4.0,8.0,15.0,14.0,1.0,13.0,18.0,48.0,63.0,7.0,5.0,2.0,11.0,20.0,51.0,64.0,10.0,62.0,24.0,3.0,25.0,6.0,9.0,60.0,38.0,52.0,12.0,43.0
1595,1.0,16.0,2.0,17.0,6.0,5.0,9.0,19.0,59.0,35.0,14.0,0.0,12.0,18.0,10.0,4.0,21.0,13.0,20.0,60.0,46.0,44.0,24.0,30.0,29.0,51.0,28.0,33.0,43.0,23.0
1644,0.0,19.0,4.0,15.0,17.0,11.0,1.0,8.0,21.0,33.0,13.0,3.0,5.0,16.0,22.0,34.0,57.0,14.0,12.0,20.0,2.0,23.0,43.0,7.0,26.0,9.0,41.0,6.0,46.0,47.0
1693,7.0,61.0,8.0,16.0,34.0,22.0,5.0,4.0,12.0,38.0,42.0,20.0,6.0,55.0,0.0,14.0,13.0,17.0,15.0,58.0,2.0,21.0,3.0,9.0,37.0,30.0,40.0,32.0,11.0,43.0
1742,0.0,11.0,12.0,15.0,9.0,21.0,2.0,13.0,61.0,31.0,5.0,8.0,64.0,14.0,3.0,27.0,63.0,34.0,57.0,62.0,40.0,20.0,41.0,1.0,55.0,48.0,28.0,23.0,6.0,33.0
1791,2.0,0.0,3.0,4.0,7.0,8.0,29.0,17.0,59.0,36.0,39.0,5.0,63.0,1.0,12.0,37.0,62.0,33.0,56.0,60.0,22.0,41.0,24.0,49.0,9.0,23.0,35.0,10.0,13.0,32.0
1840,2.0,16.0,1.0,13.0,9.0,30.0,0.0,3.0,60.0,12.0,14.0,19.0,18.0,4.0,39.0,11.0,17.0,15.0,5.0,21.0,25.0,23.0,44.0,10.0,56.0,34.0,24.0,8.0,31.0,41.0
1889,2.0,1.0,4.0,16.0,7.0,6.0,3.0,13.0,22.0,20.0,15.0,5.0,17.0,14.0,0.0,40.0,18.0,37.0,65.0,21.0,10.0,45.0,19.0,33.0,25.0,28.0,38.0,32.0,24.0,39.0
1938,0.0,5.0,6.0,45.0,1.0,12.0,2.0,3.0,21.0,11.0,22.0,9.0,7.0,8.0,63.0,32.0,19.0,56.0,23.0,20.0,42.0,66.0,28.0,29.0,49.0,27.0,40.0,65.0,15.0,36.0
1987,2.0,5.0,12.0,7.0,4.0,1.0,38.0,61.0,10.0,18.0,24.0,23.0,14.0,60.0,63.0,19.0,13.0,17.0,0.0,52.0,30.0,66.0,42.0,3.0,37.0,49.0,22.0,33.0,39.0,47.0
2036,0.0,13.0,2.0,6.0,10.0,9.0,34.0,62.0,50.0,11.0,14.0,16.0,3.0,61.0,15.0,23.0,21.0,46.0,26.0,51.0,28.0,66.0,29.0,4.0,55.0,8.0,42.0,64.0,45.0,12.0
2085,10.0,0.0,1.0,3.0,2.0,7.0,26.0,64.0,15.0,5.0,30.0,65.0,12.0,28.0,13.0,6.0,32.0,34.0,57.0,16.0,4.0,35.0,46.0,20.0,17.0,22.0,24.0,52.0,43.0,36.0
2134,11.0,5.0,2.0,0.0,22.0,18.0,12.0,19.0,3.0,10.0,16.0,7.0,57.0,61.0,48.0,13.0,21.0,4.0,27.0,50.0,6.0,25.0,8.0,45.0,53.0,29.0,24.0,56.0,14.0,36.0
2183,5.0,7.0,8.0,0.0,3.0,4.0,40.0,53.0,17.0,20.0,50.0,15.0,9.0,54.0,18.0,6.0,13.0,65.0,29.0,11.0,2.0,10.0,27.0,1.0,28.0,52.0,44.0,57.0,48.0,42.0
2232,6.0,3.0,10.0,8.0,4.0,5.0,13.0,2.0,25.0,7.0,15.0,9.0,20.0,63.0,29.0,1.0,61.0,42.0,26.0,22.0,38.0,0.0,44.0,47.0,11.0,17.0,39.0,49.0,24.0,28.0
2281,7.0,1.0,13.0,0.0,3.0,4.0,6.0,22.0,12.0,9.0,19.0,17.0,57.0,15.0,18.0,8.0,14.0,65.0,23.0,53.0,2.0,11.0,40.0,10.0,51.0,33.0,42.0,30.0,39.0,21.0
2330,0.0,11.0,12.0,3.0,1.0,2.0,44.0,61.0,4.0,19.0,16.0,63.0,13.0,60.0,64.0,20.0,6.0,17.0,23.0,9.0,35.0,8.0,32.0,30.0,36.0,28.0,46.0,55.0,41.0,40.0
2379,6.0,2.0,16.0,4.0,8.0,7.0,33.0,12.0,24.0,0.0,18.0,23.0,14.0,15.0,11.0,20.0,13.0,65.0,27.0,51.0,1.0,17.0,10.0,26.0,29.0,34.0,9.0,63.0,38.0,5.0
2428,25.0,0.0,1.0,4.0,9.0,7.0,24.0,3.0,21.0,40.0,13.0,65.0,17.0,64.0,11.0,6.0,5.0,37.0,30.0,20.0,12.0,2.0,15.0,31.0,26.0,52.0,22.0,32.0,27.0,42.0
2477,8.0,11.0,0.0,6.0,4.0,35.0,5.0,1.0,13.0,16.0,19.0,29.0,62.0,2.0,36.0,20.0,61.0,18.0,15.0,58.0,24.0,45.0,47.0,30.0,22.0,10.0,32.0,33.0,3.0,38.0
2526,5.0,0.0,12.0,9.0,10.0,36.0,7.0,25.0,15.0,4.0,32.0,24.0,17.0,21.0,40.0,35.0,23.0,22.0,1.0,62.0,2.0,43.0,3.0,13.0,11.0,29.0,27.0,31.0,6.0,30.0
2575,5.0,0.0,9.0,6.0,3.0,42.0,13.0,17.0,15.0,21.0,16.0,26.0,62.0,8.0,7.0,22.0,61.0,19.0,52.0,65.0,14.0,2.0,24.0,28.0,1.0,18.0,40.0,32.0,4.0,25.0
2624,5.0,20.0,13.0,7.0,0.0,23.0,31.0,11.0,17.0,16.0,10.0,21.0,62.0,18.0,30.0,6.0,12.0,15.0,19.0,59.0,22.0,43.0,24.0,50.0,8.0,28.0,26.0,51.0,40.0,3.0
2673,1.0,21.0,10.0,41.0,7.0,4.0,11.0,45.0,16.0,0.0,35.0,3.0,63.0,18.0,8.0,5.0,62.0,39.0,20.0,59.0,12.0,23.0,46.0,29.0,32.0,51.0,30.0,27.0,19.0,22.0
2722,2.0,3.0,8.0,33.0,5.0,43.0,24.0,11.0,59.0,15.0,17.0,65.0,14.0,18.0,4.0,42.0,9.0,38.0,55.0,60.0,0.0,20.0,22.0,30.0,54.0,27.0,31.0,50.0,1.0,37.0
2771,2.0,3.0,5.0,0.0,1.0,19.0,37.0,8.0,52.0,15.0,21.0,48.0,11.0,12.0,13.0,16.0,10.0,22.0,4.0,53.0,33.0,66.0,32.0,25.0,46.0,31.0,20.0,62.0,38.0,17.0
2820,1.0,0.0,17.0,15.0,28.0,26.0,8.0,11.0,57.0,38.0,35.0,55.0,61.0,12.0,7.0,39.0,16.0,13.0,22.0,58.0,18.0,24.0,19.0,6.0,3.0,50.0,44.0,31.0,21.0,40.0
2869,4.0,3.0,6.0,17.0,21.0,20.0,7.0,12.0,16.0,34.0,15.0,13.0,11.0,0.0,22.0,35.0,10.0,9.0,23.0,53.0,27.0,14.0,2.0,49.0,52.0,65.0,42.0,30.0,18.0,19.0
2918,0.0,2.0,5.0,15.0,9.0,27.0,3.0,31.0,16.0,6.0,34.0,12.0,13.0,1.0,33.0,17.0,62.0,32.0,20.0,59.0,25.0,43.0,11.0,7.0,22.0,8.0,18.0,26.0,10.0,38.0
2967,10.0,5.0,21.0,6.0,9.0,31.0,14.0,1.0,23.0,32.0,2.0,8.0,3.0,16.0,11.0,44.0,4.0,22.0,7.0,62.0,12.0,45.0,18.0,29.0,58.0,27.0,24.0,53.0,39.0,35.0
3016,9.0,6.0,5.0,7.0,15.0,0.0,14.0,17.0,26.0,8.0,3.0,29.0,20.0,2.0,12.0,38.0,4.0,36.0,27.0,23.0,13.0,44.0,19.0,11.0,1.0,24.0,37.0,32.0,42.0,41.0
3065,2.0,3.0,1.0,6.0,11.0,14.0,9.0,16.0,0.0,12.0,23.0,4.0,58.0,17.0,13.0,7.0,19.0,49.0,26.0,5.0,34.0,24.0,33.0,28.0,53.0,27.0,36.0,29.0,39.0,38.0
3114,1.0,9.0,3.0,6.0,0.0,32.0,26.0,24.0,2.0,10.0,21.0,19.0,7.0,20.0,17.0,22.0,64.0,12.0,14.0,11.0,4.0,42.0,5.0,8.0,29.0,30.0,31.0,52.0,39.0,34.0
3163,19.0,2.0,13.0,16.0,3.0,4.0,31.0,7.0,0.0,17.0,11.0,10.0,5.0,14.0,23.0,8.0,56.0,24.0,1.0,52.0,42.0,66.0,35.0,12.0,34.0,33.0,39.0,28.0,6.0,20.0
3212,0.0,5.0,18.0,10.0,20.0,19.0,11.0,8.0,14.0,1.0,12.0,2.0,17.0,7.0,23.0,34.0,56.0,15.0,26.0,22.0,28.0,3.0,43.0,27.0,51.0,63.0,39.0,57.0,47.0,46.0
3261,22.0,1.0,6.0,5.0,23.0,30.0,9.0,12.0,3.0,38.0,15.0,2.0,7.0,18.0,36.0,19.0,16.0,20.0,14.0,17.0,0.0,43.0,24.0,52.0,31.0,32.0,8.0,53.0,41.0,39.0
3310,0.0,15.0,16.0,12.0,31.0,33.0,2.0,3.0,13.0,11.0,18.0,24.0,1.0,43.0,20.0,10.0,17.0,14.0,4.0,21.0,25.0,23.0,26.0,9.0,56.0,8.0,35.0,50.0,41.0,34.0
3359,11.0,8.0,4.0,2.0,7.0,29.0,24.0,10.0,6.0,5.0,12.0,37.0,64.0,0.0,18.0,16.0,15.0,39.0,3.0,61.0,43.0,19.0,21.0,31.0,57.0,50.0,33.0,1.0,26.0,20.0
3408,4.0,2.0,9.0,8.0,25.0,0.0,31.0,20.0,1.0,14.0,40.0,11.0,62.0,30.0,17.0,16.0,61.0,10.0,5.0,58.0,24.0,42.0,29.0,6.0,54.0,26.0,27.0,22.0,13.0,19.0
3457,1.0,3.0,8.0,2.0,7.0,0.0,29.0,12.0,17.0,18.0,15.0,13.0,58.0,11.0,22.0,19.0,57.0,16.0,26.0,53.0,41.0,14.0,33.0,27.0,52.0,31.0,6.0,28.0,20.0,37.0
3506,3.0,17.0,6.0,0.0,8.0,2.0,5.0,1.0,12.0,7.0,4.0,13.0,63.0,23.0,14.0,10.0,18.0,15.0,9.0,60.0,24.0,22.0,25.0,50.0,56.0,48.0,31.0,52.0,33.0,38.0
3555,4.0,13.0,17.0,2.0,27.0,5.0,26.0,14.0,1.0,3.0,11.0,9.0,63.0,30.0,0.0,33.0,62.0,7.0,55.0,59.0,10.0,32.0,12.0,25.0,54.0,46.0,6.0,23.0,38.0,21.0
3604,0.0,7.0,6.0,1.0,31.0,2.0,24.0,32.0,10.0,20.0,11.0,36.0,17.0,65.0,8.0,27.0,63.0,13.0,58.0,61.0,3.0,40.0,42.0,50.0,56.0,48.0,28.0,52.0,30.0,34.0
3653,25.0,17.0,18.0,6.0,7.0,8.0,1.0,20.0,12.0,9.0,10.0,4.0,64.0,23.0,5.0,16.0,63.0,2.0,14.0,60.0,0.0,40.0,43.0,11.0,3.0,29.0,32.0,52.0,26.0,27.0
3702,0.0,6.0,15.0,11.0,34.0,10.0,47.0,28.0,13.0,5.0,7.0,39.0,64.0,22.0,16.0,26.0,63.0,35.0,58.0,60.0,23.0,42.0,44.0,8.0,2.0,31.0,27.0,53.0,1.0,4.0
3751,1.0,15.0,0.0,3.0,12.0,25.0,45.0,39.0,2.0,13.0,18.0,28.0,20.0,65.0,31.0,8.0,30.0,14.0,16.0,19.0,29.0,32.0,42.0,50.0,17.0,24.0,11.0,52.0,21.0,35.0
3800,0.0,4.0,11.0,2.0,8.0,3.0,10.0,21.0,12.0,15.0,1.0,13.0,63.0,31.0,23.0,20.0,5.0,18.0,16.0,61.0,30.0,33.0,29.0,51.0,58.0,24.0,25.0,53.0,34.0,35.0
3849,3.0,13.0,10.0,2.0,22.0,1.0,11.0,21.0,7.0,0.0,8.0,32.0,16.0,9.0,17.0,18.0,15.0,37.0,56.0,60.0,12.0,41.0,24.0,50.0,5.0,27.0,30.0,52.0,29.0,35.0
3898,0.0,7.0,10.0,3.0,8.0,9.0,11.0,5.0,4.0,36.0,13.0,42.0,63.0,26.0,23.0,18.0,12.0,41.0,57.0,60.0,2.0,34.0,14.0,49.0,56.0,30.0,28.0,51.0,1.0,38.0
3947,0.0,2.0,3.0,7.0,4.0,6.0,5.0,11.0,25.0,20.0,50.0,55.0,8.0,15.0,17.0,37.0,14.0,19.0,28.0,18.0,33.0,12.0,1.0,10.0,30.0,53.0,21.0,36.0,39.0,40.0
3996,0.0,15.0,16.0,6.0,13.0,1.0,27.0,2.0,9.0,11.0,14.0,33.0,17.0,5.0,20.0,24.0,12.0,7.0,22.0,23.0,26.0,4.0,3.0,10.0,57.0,50.0,35.0,8.0,31.0,39.0
4045,0.0,20.0,13.0,5.0,9.0,7.0,6.0,4.0,3.0,16.0,28.0,19.0,62.0,17.0,65.0,12.0,15.0,41.0,21.0,10.0,24.0,2.0,25.0,37.0,22.0,30.0,8.0,32.0,45.0,44.0
4094,3.0,0.0,5.0,4.0,17.0,38.0,33.0,1.0,10.0,32.0,44.0,64.0,57.0,9.0,45.0,16.0,65.0,36.0,19.0,53.0,23.0,13.0,24.0,26.0,29.0,22.0,18.0,25.0,7.0,43.0
4143,1.0,0.0,3.0,5.0,10.0,9.0,8.0,18.0,7.0,23.0,14.0,16.0,57.0,19.0,15.0,12.0,56.0,49.0,26.0,52.0,29.0,2.0,30.0,35.0,32.0,6.0,43.0,31.0,11.0,22.0
4192,2.0,4.0,1.0,6.0,12.0,13.0,24.0,8.0,22.0,27.0,5.0,34.0,17.0,14.0,3.0,0.0,18.0,20.0,33.0,21.0,16.0,26.0,19.0,29.0,28.0,10.0,32.0,53.0,42.0,41.0
4241,1.0,5.0,14.0,7.0,28.0,10.0,0.0,23.0,19.0,12.0,16.0,21.0,4.0,3.0,15.0,24.0,13.0,42.0,6.0,18.0,27.0,2.0,45.0,30.0,60.0,32.0,26.0,8.0,40.0,29.0
4290,1.0,0.0,6.0,11.0,7.0,8.0,5.0,28.0,10.0,9.0,17.0,3.0,63.0,19.0,38.0,22.0,16.0,36.0,12.0,61.0,45.0,43.0,24.0,32.0,21.0,30.0,27.0,4.0,34.0,2.0
4339,6.0,10.0,11.0,3.0,24.0,17.0,32.0,16.0,8.0,23.0,57.0,18.0,61.0,0.0,19.0,25.0,12.0,20.0,53.0,21.0,30.0,1.0,9.0,29.0,2.0,54.0,22.0,59.0,26.0,49.0
4388,1.0,61.0,15.0,16.0,43.0,7.0,2.0,5.0,59.0,13.0,20.0,8.0,17.0,55.0,31.0,14.0,62.0,19.0,28.0,12.0,3.0,24.0,47.0,9.0,0.0,52.0,44.0,33.0,25.0,4.0
4437,14.0,4.0,3.0,0.0,2.0,26.0,33.0,44.0,11.0,15.0,36.0,21.0,16.0,64.0,31.0,20.0,59.0,37.0,56.0,19.0,6.0,42.0,23.0,8.0,65.0,29.0,30.0,27.0,38.0,12.0
4486,19.0,0.0,20.0,5.0,1.0,9.0,6.0,18.0,58.0,17.0,65.0,2.0,16.0,4.0,10.0,44.0,8.0,36.0,56.0,59.0,3.0,14.0,24.0,27.0,55.0,30.0,40.0,25.0,42.0,7.0
4535,6.0,5.0,16.0,40.0,2.0,8.0,49.0,64.0,19.0,39.0,9.0,7.0,14.0,0.0,46.0,38.0,59.0,12.0,21.0,18.0,13.0,45.0,47.0,3.0,4.0,51.0,26.0,30.0,37.0,42.0
4584,4.0,2.0,9.0,15.0,8.0,6.0,12.0,45.0,19.0,38.0,33.0,3.0,11.0,20.0,7.0,16.0,61.0,34.0,0.0,18.0,46.0,43.0,47.0,1.0,55.0,28.0,10.0,5.0,41.0,37.0
4633,3.0,8.0,1.0,13.0,42.0,21.0,11.0,6.0,12.0,14.0,24.0,5.0,17.0,7.0,47.0,4.0,57.0,39.0,29.0,54.0,20.0,0.0,16.0,9.0,34.0,26.0,32.0,28.0,38.0,37.0
4682,1.0,2.0,8.0,10.0,0.0,9.0,30.0,44.0,14.0,13.0,18.0,21.0,6.0,4.0,20.0,11.0,16.0,34.0,5.0,19.0,45.0,42.0,27.0,25.0,57.0,26.0,38.0,7.0,29.0,23.0
4731,0.0,1.0,3.0,16.0,2.0,7.0,10.0,29.0,59.0,13.0,15.0,65.0,62.0,26.0,43.0,12.0,33.0,34.0,4.0,60.0,31.0,20.0,30.0,22.0,55.0,49.0,23.0,21.0,36.0,37.0
4780,3.0,8.0,14.0,4.0,7.0,1.0,10.0,25.0,18.0,0.0,37.0,21.0,20.0,2.0,11.0,9.0,63.0,16.0,15.0,17.0,28.0,23.0,44.0,6.0,32.0,51.0,31.0,27.0,26.0,5.0
4829,14.0,3.0,2.0,15.0,1.0,6.0,12.0,30.0,17.0,32.0,39.0,10.0,16.0,44.0,40.0,18.0,61.0,38.0,22.0,21.0,25.0,43.0,26.0,7.0,24.0,9.0,31.0,5.0,42.0,0.0
4878,28.0,13.0,0.0,43.0,3.0,32.0,9.0,11.0,16.0,1.0,38.0,8.0,12.0,10.0,31.0,17.0,21.0,37.0,20.0,61.0,47.0,45.0,25.0,53.0,23.0,6.0,29.0,5.0,41.0,33.0
