,BRAF.V600E_MUT,BRAF_MUT,ESPNP_DEL,LOC390660_AMP,FLT1_MUT,MCTP1_DEL,DIAPH2_DEL,NRXN3_DEL,TBL1X_DEL,FAM86DP_DEL,ALK_MUT,DPP6_DEL,MLL3_MUT,OR51A2_DEL,PTPRC_MUT,C10orf11_DEL,LOC728875_DEL,ME3_DEL,YY1AP1_AMP,PRH1-PRR4_DEL,PTPRD_DEL,OR2T34_AMP,FAM190A_DEL,LCE3C_DEL,ERBB2_AMP,FGFR1_DEL,KRTAP9-3_AMP,HIST2H2BF_AMP,OR4N4_DEL,ARHGEF5_AMP
33,9.0,3.0,25.0,13921.0,16182.0,6121.0,127.0,15.0,55.0,7220.0,15923.0,37.0,16614.0,53.0,7.0,74.0,78.0,131.0,122.0,106.0,146.0,82.0,94.0,52.0,42.0,4884.0,19501.0,137.0,60.0,132.0
82,26.0,0.0,34.0,60.0,6.0,6117.0,153.0,23.0,21.0,50.0,15926.0,84.0,16615.0,56.0,16.0,61.0,143.0,73.0,184.0,71.0,96.0,159.0,1838.0,120.0,13037.0,4864.0,19500.0,128.0,72.0,115.0
131,9.0,14.0,37.0,18.0,16183.0,6127.0,83.0,7734.0,92.0,40.0,1.0,99.0,75.0,55.0,16599.0,81.0,84.0,95.0,174.0,74.0,90.0,16953.0,45.0,115.0,66.0,4886.0,113.0,88.0,117.0,63.0
180,9.0,12.0,18.0,11.0,16183.0,6122.0,44.0,7729.0,71.0,7215.0,1.0,84.0,78.0,49.0,68.0,60.0,50.0,103.0,59.0,92.0,82.0,148.0,131.0,178.0,54.0,185.0,19499.0,93.0,100.0,117.0
229,4.0,10.0,28.0,21.0,16179.0,6109.0,72.0,7720.0,39.0,36.0,15920.0,70.0,109.0,53.0,16613.0,67.0,150.0,76.0,68.0,156.0,126.0,64.0,119.0,51.0,13038.0,4870.0,19497.0,159.0,105.0,103.0
278,6.0,14.0,17.0,38.0,12.0,6123.0,53.0,16.0,25.0,28.0,15926.0,75.0,16620.0,62.0,1.0,151.0,118.0,48.0,180.0,125.0,103.0,129.0,65.0,124.0,40.0,4886.0,19505.0,116.0,107.0,102.0
327,5.0,8.0,14.0,28.0,16180.0,6114.0,66.0,48.0,13.0,114.0,0.0,128.0,69.0,61.0,16614.0,90.0,108.0,112.0,184.0,130.0,83.0,78.0,36.0,169.0,13031.0,175.0,70.0,109.0,1270.0,106.0
376,0.0,16.0,33.0,11.0,16184.0,6125.0,118.0,25.0,75.0,10.0,15925.0,107.0,16615.0,60.0,16618.0,173.0,7472.0,89.0,191.0,87.0,85.0,149.0,1824.0,86.0,93.0,4867.0,19504.0,101.0,53.0,99.0
425,0.0,10.0,42.0,2.0,16179.0,6112.0,27.0,34.0,29.0,88.0,15920.0,93.0,65.0,49.0,16597.0,38.0,41.0,26.0,111.0,76.0,102.0,114.0,139.0,170.0,7.0,4867.0,80.0,94.0,82.0,84.0
474,2.0,32.0,28.0,26.0,16180.0,6112.0,71.0,50.0,31.0,7211.0,15921.0,65.0,64.0,86.0,16616.0,89.0,84.0,4047.0,178.0,54.0,74.0,148.0,46.0,187.0,27.0,42.0,19496.0,108.0,142.0,44.0
523,7.0,11.0,26.0,12.0,16177.0,0.0,37.0,7975.0,66.0,7210.0,15918.0,25.0,73.0,61.0,5.0,116.0,99.0,55.0,93.0,100.0,145.0,44.0,174.0,115.0,21.0,34.0,39.0,153.0,120.0,27.0
572,11.0,3.0,48.0,13.0,31.0,0.0,42.0,7789.0,50.0,7212.0,21.0,59.0,36.0,76.0,16597.0,63.0,65.0,57.0,84.0,141.0,128.0,153.0,158.0,92.0,77.0,4873.0,87.0,124.0,1266.0,19140.0
621,0.0,8.0,17.0,59.0,16179.0,1.0,80.0,7978.0,43.0,7208.0,30.0,69.0,16613.0,50.0,28.0,114.0,36.0,91.0,125.0,159.0,145.0,98.0,119.0,127.0,56.0,144.0,32.0,65.0,110.0,96.0
670,0.0,20.0,28.0,22.0,15.0,1.0,5437.0,7733.0,78.0,41.0,36.0,52.0,118.0,55.0,61.0,72.0,104.0,40.0,125.0,103.0,175.0,102.0,67.0,158.0,13044.0,4890.0,190.0,122.0,1238.0,180.0
719,3.0,12.0,32.0,4.0,31.0,1.0,5372.0,7726.0,60.0,7230.0,25.0,65.0,16616.0,41.0,14.0,37.0,7457.0,35.0,116.0,109.0,79.0,22.0,94.0,73.0,13040.0,4876.0,97.0,86.0,64.0,137.0
768,5.0,29.0,27.0,54.0,3.0,7.0,5376.0,7729.0,104.0,49.0,19.0,78.0,110.0,114.0,16597.0,118.0,56.0,93.0,74.0,120.0,72.0,131.0,33.0,164.0,89.0,17.0,47.0,76.0,1267.0,140.0
817,1.0,52.0,19.0,33.0,16176.0,6111.0,5362.0,7719.0,63.0,16.0,15917.0,50.0,20.0,56.0,9.0,43.0,48.0,40.0,53.0,127.0,92.0,108.0,60.0,30.0,13037.0,4866.0,34.0,117.0,139.0,121.0
866,1.0,81.0,25.0,84.0,36.0,9.0,40.0,7725.0,55.0,42.0,15922.0,52.0,47.0,70.0,10.0,104.0,93.0,30.0,100.0,142.0,136.0,127.0,169.0,50.0,65.0,4877.0,5.0,158.0,86.0,138.0
915,3.0,95.0,9.0,56.0,44.0,6114.0,40.0,7886.0,77.0,7213.0,15923.0,36.0,34.0,53.0,58.0,101.0,119.0,43.0,126.0,103.0,143.0,147.0,135.0,176.0,13040.0,4878.0,19501.0,113.0,137.0,75.0
964,7.0,6.0,50.0,15.0,16180.0,4.0,19.0,7721.0,7184.0,48.0,32.0,61.0,90.0,60.0,39.0,111.0,41.0,58.0,140.0,141.0,152.0,92.0,151.0,126.0,81.0,4869.0,10.0,145.0,84.0,54.0
1013,11.0,2.0,22.0,18.0,21.0,6111.0,36.0,85.0,37.0,34.0,15923.0,88.0,16594.0,140.0,8.0,40.0,7446.0,35.0,135.0,93.0,156.0,98.0,116.0,76.0,31.0,33.0,63.0,80.0,134.0,120.0
1062,13.0,4.0,18.0,39.0,27.0,49.0,44.0,40.0,7206.0,42.0,15924.0,76.0,16615.0,79.0,16618.0,155.0,53.0,48.0,135.0,84.0,131.0,95.0,143.0,100.0,52.0,159.0,78.0,175.0,1232.0,19138.0
1111,11.0,2.0,16.0,26.0,34.0,5.0,32.0,48.0,15.0,39.0,15923.0,25.0,62.0,99.0,3.0,104.0,78.0,84.0,77.0,133.0,11953.0,107.0,177.0,109.0,111.0,46.0,131.0,90.0,110.0,19140.0
1160,6.0,4.0,21.0,13900.0,28.0,45.0,113.0,10.0,7191.0,32.0,13.0,105.0,14.0,139.0,12.0,130.0,47.0,94.0,29.0,54.0,142.0,70.0,178.0,149.0,13047.0,33.0,75.0,62.0,1273.0,163.0
1209,10.0,3.0,27.0,13916.0,28.0,6116.0,64.0,19.0,15.0,7214.0,15918.0,66.0,112.0,106.0,16594.0,148.0,169.0,4043.0,47.0,121.0,156.0,25.0,74.0,165.0,13040.0,61.0,30.0,116.0,1263.0,19133.0
