,GABA,C56:5 TAG,niacinamide,beta-alanine,alpha-glycerophosphate,C18:0 LPE,pantothenate,serotonin,adenosine,UMP,DHAP/glyceraldehyde 3P,isocitrate,inositol,putrescine,cystathionine,dCMP,alpha-glycerophosphocholine,C22:6 LPE,oxalate,C34:4 PC,acetylcholine,creatine,C18:0 LPC,C34:2 DAG,creatinine,2-deoxycytidine,valerylcarnitine,N-carbamoyl-beta-alanine,C36:4 PC-B,2-deoxyadenosine
24,0.0,1.0,4.0,5.0,7.0,9.0,2.0,11.0,12.0,6.0,3.0,8.0,18.0,10.0,14.0,15.0,27.0,20.0,19.0,17.0,48.0,23.0,25.0,24.0,22.0,55.0,26.0,50.0,16.0,42.0
73,0.0,1.0,4.0,3.0,14.0,17.0,2.0,12.0,5.0,15.0,9.0,10.0,43.0,11.0,31.0,6.0,27.0,24.0,18.0,7.0,52.0,20.0,13.0,38.0,21.0,49.0,19.0,48.0,8.0,55.0
122,0.0,1.0,3.0,7.0,41.0,8.0,10.0,19.0,13.0,5.0,2.0,6.0,14.0,12.0,4.0,39.0,27.0,17.0,34.0,18.0,57.0,21.0,11.0,24.0,22.0,26.0,49.0,54.0,9.0,48.0
171,0.0,1.0,3.0,12.0,5.0,9.0,2.0,7.0,8.0,15.0,6.0,16.0,11.0,4.0,10.0,14.0,13.0,24.0,29.0,18.0,45.0,26.0,19.0,31.0,20.0,46.0,25.0,21.0,17.0,62.0
220,0.0,1.0,3.0,5.0,12.0,10.0,7.0,13.0,30.0,18.0,6.0,2.0,11.0,8.0,17.0,15.0,16.0,24.0,19.0,4.0,22.0,25.0,20.0,32.0,55.0,46.0,38.0,53.0,14.0,51.0
269,0.0,1.0,3.0,4.0,10.0,8.0,11.0,7.0,5.0,6.0,2.0,9.0,18.0,27.0,12.0,17.0,21.0,23.0,15.0,14.0,51.0,28.0,16.0,41.0,29.0,25.0,24.0,52.0,19.0,57.0
318,0.0,3.0,1.0,2.0,11.0,7.0,5.0,12.0,6.0,9.0,4.0,8.0,16.0,13.0,10.0,18.0,19.0,36.0,35.0,15.0,45.0,48.0,24.0,28.0,25.0,51.0,20.0,56.0,14.0,57.0
367,0.0,1.0,2.0,3.0,11.0,5.0,7.0,6.0,15.0,10.0,4.0,12.0,33.0,13.0,8.0,37.0,16.0,24.0,41.0,22.0,52.0,17.0,26.0,47.0,27.0,20.0,25.0,56.0,9.0,43.0
416,0.0,1.0,2.0,5.0,18.0,10.0,3.0,9.0,20.0,8.0,11.0,16.0,12.0,7.0,6.0,15.0,17.0,27.0,42.0,4.0,30.0,47.0,29.0,32.0,46.0,25.0,28.0,21.0,14.0,64.0
465,0.0,1.0,8.0,4.0,21.0,12.0,2.0,5.0,6.0,3.0,18.0,20.0,7.0,19.0,11.0,17.0,10.0,14.0,15.0,29.0,28.0,24.0,16.0,49.0,23.0,55.0,30.0,22.0,38.0,62.0
514,1.0,3.0,0.0,5.0,7.0,18.0,37.0,11.0,4.0,14.0,6.0,31.0,19.0,13.0,17.0,8.0,27.0,2.0,16.0,20.0,15.0,22.0,26.0,10.0,23.0,54.0,25.0,45.0,9.0,24.0
563,0.0,2.0,1.0,19.0,7.0,9.0,37.0,4.0,3.0,12.0,17.0,5.0,11.0,10.0,6.0,13.0,14.0,15.0,18.0,16.0,23.0,22.0,28.0,40.0,21.0,51.0,25.0,26.0,20.0,50.0
612,0.0,3.0,1.0,8.0,4.0,7.0,18.0,5.0,2.0,14.0,16.0,11.0,12.0,9.0,17.0,10.0,21.0,6.0,38.0,30.0,29.0,24.0,28.0,15.0,25.0,52.0,27.0,22.0,20.0,58.0
661,1.0,2.0,0.0,16.0,3.0,15.0,8.0,14.0,6.0,13.0,38.0,43.0,41.0,10.0,4.0,5.0,19.0,11.0,33.0,17.0,20.0,21.0,28.0,30.0,22.0,25.0,27.0,18.0,24.0,52.0
710,0.0,4.0,1.0,7.0,3.0,16.0,6.0,30.0,2.0,8.0,13.0,18.0,9.0,10.0,33.0,12.0,14.0,5.0,11.0,40.0,29.0,22.0,17.0,25.0,23.0,21.0,26.0,20.0,27.0,24.0
759,0.0,1.0,2.0,14.0,11.0,10.0,4.0,7.0,9.0,22.0,40.0,13.0,43.0,6.0,41.0,5.0,17.0,3.0,20.0,42.0,32.0,31.0,33.0,8.0,30.0,27.0,35.0,23.0,36.0,54.0
808,0.0,2.0,1.0,5.0,4.0,27.0,14.0,11.0,3.0,7.0,35.0,43.0,9.0,6.0,10.0,13.0,17.0,12.0,33.0,16.0,23.0,22.0,8.0,19.0,21.0,28.0,24.0,25.0,15.0,47.0
857,0.0,2.0,1.0,4.0,9.0,10.0,8.0,12.0,3.0,39.0,7.0,16.0,44.0,14.0,17.0,11.0,6.0,5.0,38.0,41.0,28.0,29.0,21.0,23.0,22.0,52.0,25.0,19.0,27.0,55.0
906,1.0,2.0,0.0,11.0,12.0,7.0,3.0,5.0,10.0,36.0,33.0,6.0,43.0,8.0,13.0,4.0,14.0,9.0,28.0,22.0,25.0,19.0,15.0,45.0,20.0,53.0,24.0,16.0,18.0,60.0
955,0.0,1.0,2.0,20.0,18.0,7.0,9.0,5.0,4.0,11.0,10.0,33.0,6.0,3.0,19.0,13.0,17.0,15.0,16.0,8.0,14.0,55.0,27.0,23.0,28.0,48.0,26.0,22.0,24.0,25.0
1004,1.0,0.0,2.0,16.0,7.0,3.0,10.0,14.0,6.0,5.0,8.0,29.0,42.0,41.0,30.0,32.0,9.0,4.0,36.0,11.0,51.0,19.0,28.0,13.0,20.0,23.0,18.0,58.0,15.0,22.0
1053,0.0,2.0,1.0,5.0,7.0,27.0,3.0,15.0,12.0,8.0,20.0,11.0,17.0,9.0,18.0,32.0,6.0,4.0,36.0,38.0,24.0,22.0,10.0,14.0,29.0,21.0,16.0,52.0,37.0,30.0
1102,1.0,0.0,2.0,3.0,15.0,5.0,9.0,8.0,6.0,7.0,11.0,10.0,16.0,25.0,32.0,17.0,4.0,14.0,31.0,23.0,18.0,19.0,13.0,12.0,28.0,22.0,26.0,47.0,39.0,21.0
1151,0.0,1.0,2.0,16.0,11.0,3.0,4.0,9.0,21.0,5.0,12.0,8.0,10.0,15.0,13.0,17.0,14.0,6.0,19.0,33.0,25.0,24.0,27.0,7.0,22.0,32.0,23.0,28.0,26.0,20.0
1200,1.0,0.0,2.0,8.0,10.0,9.0,37.0,5.0,3.0,18.0,12.0,4.0,17.0,25.0,32.0,20.0,7.0,6.0,36.0,16.0,22.0,28.0,13.0,11.0,24.0,23.0,30.0,52.0,21.0,55.0
1249,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,15.0,14.0,12.0,9.0,42.0,22.0,32.0,10.0,17.0,7.0,36.0,19.0,26.0,24.0,16.0,13.0,23.0,21.0,25.0,46.0,20.0,52.0
1298,0.0,2.0,1.0,3.0,7.0,4.0,9.0,5.0,15.0,10.0,17.0,11.0,13.0,22.0,14.0,32.0,6.0,12.0,30.0,43.0,27.0,28.0,16.0,8.0,23.0,26.0,24.0,51.0,37.0,25.0
1347,1.0,2.0,0.0,4.0,14.0,3.0,11.0,9.0,10.0,17.0,5.0,7.0,42.0,6.0,19.0,32.0,18.0,8.0,13.0,43.0,25.0,26.0,29.0,12.0,22.0,27.0,30.0,50.0,38.0,55.0
1396,0.0,1.0,2.0,4.0,17.0,9.0,5.0,11.0,14.0,7.0,16.0,13.0,10.0,18.0,34.0,6.0,3.0,8.0,44.0,27.0,21.0,30.0,26.0,12.0,22.0,25.0,23.0,48.0,29.0,24.0
1445,2.0,1.0,0.0,3.0,13.0,4.0,8.0,5.0,6.0,10.0,38.0,11.0,29.0,7.0,14.0,16.0,12.0,9.0,18.0,33.0,15.0,23.0,21.0,20.0,24.0,40.0,41.0,50.0,34.0,31.0
1494,0.0,2.0,1.0,9.0,4.0,34.0,7.0,6.0,19.0,3.0,10.0,27.0,25.0,21.0,8.0,29.0,5.0,45.0,36.0,22.0,46.0,17.0,11.0,37.0,18.0,54.0,39.0,16.0,24.0,20.0
1543,0.0,2.0,1.0,8.0,6.0,5.0,4.0,3.0,10.0,7.0,12.0,22.0,17.0,16.0,13.0,14.0,9.0,37.0,15.0,18.0,25.0,24.0,29.0,40.0,23.0,20.0,19.0,57.0,31.0,21.0
1592,0.0,2.0,1.0,3.0,12.0,14.0,4.0,7.0,9.0,10.0,5.0,13.0,43.0,16.0,11.0,40.0,6.0,8.0,15.0,23.0,17.0,18.0,27.0,36.0,28.0,22.0,25.0,52.0,31.0,21.0
1641,0.0,4.0,2.0,7.0,11.0,5.0,1.0,6.0,13.0,12.0,3.0,9.0,15.0,25.0,10.0,41.0,8.0,27.0,14.0,24.0,19.0,48.0,44.0,43.0,20.0,22.0,28.0,18.0,23.0,30.0
1690,0.0,2.0,1.0,16.0,12.0,14.0,4.0,3.0,10.0,7.0,6.0,5.0,44.0,24.0,8.0,25.0,13.0,11.0,9.0,38.0,33.0,32.0,18.0,37.0,31.0,28.0,15.0,41.0,47.0,29.0
1739,1.0,2.0,0.0,9.0,14.0,10.0,3.0,11.0,7.0,12.0,5.0,17.0,15.0,16.0,6.0,8.0,4.0,19.0,13.0,29.0,23.0,22.0,18.0,36.0,24.0,26.0,28.0,20.0,38.0,50.0
1788,0.0,2.0,1.0,5.0,11.0,3.0,7.0,8.0,19.0,10.0,4.0,13.0,45.0,23.0,12.0,14.0,9.0,31.0,6.0,40.0,16.0,17.0,21.0,47.0,18.0,20.0,25.0,52.0,27.0,28.0
1837,0.0,1.0,2.0,4.0,9.0,6.0,3.0,11.0,13.0,12.0,5.0,8.0,19.0,14.0,10.0,37.0,7.0,40.0,15.0,33.0,25.0,26.0,22.0,44.0,23.0,24.0,20.0,55.0,18.0,27.0
1886,0.0,2.0,1.0,8.0,9.0,14.0,4.0,7.0,22.0,11.0,3.0,10.0,16.0,12.0,6.0,15.0,5.0,32.0,17.0,31.0,19.0,20.0,28.0,40.0,29.0,24.0,27.0,50.0,25.0,23.0
1935,0.0,4.0,1.0,11.0,9.0,10.0,2.0,3.0,12.0,15.0,6.0,16.0,17.0,28.0,5.0,8.0,7.0,34.0,18.0,31.0,24.0,25.0,21.0,41.0,26.0,30.0,23.0,19.0,43.0,29.0
1984,0.0,1.0,2.0,8.0,7.0,12.0,9.0,3.0,10.0,5.0,41.0,6.0,11.0,4.0,42.0,43.0,19.0,24.0,33.0,14.0,27.0,53.0,26.0,13.0,50.0,22.0,25.0,17.0,18.0,46.0
2033,1.0,0.0,2.0,11.0,3.0,5.0,9.0,4.0,12.0,8.0,15.0,30.0,43.0,6.0,31.0,33.0,26.0,7.0,37.0,46.0,16.0,49.0,14.0,13.0,51.0,18.0,24.0,19.0,29.0,17.0
2082,2.0,0.0,1.0,8.0,5.0,6.0,15.0,3.0,13.0,9.0,18.0,7.0,4.0,17.0,19.0,25.0,11.0,20.0,14.0,37.0,21.0,44.0,35.0,10.0,42.0,38.0,51.0,56.0,30.0,33.0
2131,0.0,1.0,2.0,12.0,7.0,4.0,6.0,5.0,11.0,8.0,10.0,3.0,43.0,9.0,14.0,29.0,25.0,37.0,36.0,44.0,15.0,50.0,42.0,16.0,21.0,23.0,35.0,19.0,47.0,22.0
2180,0.0,1.0,3.0,14.0,15.0,5.0,11.0,6.0,7.0,4.0,35.0,8.0,9.0,2.0,40.0,37.0,12.0,10.0,34.0,22.0,20.0,48.0,24.0,26.0,19.0,27.0,17.0,23.0,21.0,16.0
2229,0.0,2.0,1.0,14.0,7.0,34.0,12.0,17.0,6.0,3.0,13.0,8.0,4.0,5.0,9.0,25.0,16.0,36.0,35.0,41.0,15.0,60.0,19.0,31.0,45.0,22.0,48.0,20.0,32.0,21.0
2278,0.0,1.0,2.0,3.0,4.0,18.0,11.0,10.0,7.0,6.0,12.0,5.0,9.0,14.0,40.0,42.0,16.0,8.0,38.0,39.0,20.0,30.0,27.0,15.0,22.0,24.0,26.0,19.0,32.0,23.0
2327,1.0,0.0,2.0,12.0,4.0,3.0,7.0,5.0,6.0,8.0,31.0,9.0,16.0,13.0,28.0,30.0,10.0,11.0,15.0,43.0,19.0,59.0,22.0,36.0,51.0,21.0,27.0,17.0,35.0,20.0
2376,2.0,1.0,0.0,9.0,8.0,3.0,6.0,4.0,7.0,5.0,14.0,11.0,15.0,12.0,34.0,36.0,13.0,10.0,40.0,24.0,21.0,22.0,29.0,17.0,23.0,26.0,50.0,19.0,20.0,25.0
2425,0.0,2.0,1.0,15.0,7.0,9.0,4.0,8.0,5.0,3.0,36.0,10.0,6.0,11.0,12.0,35.0,16.0,22.0,41.0,18.0,21.0,52.0,28.0,32.0,30.0,25.0,19.0,20.0,42.0,50.0
2474,2.0,1.0,3.0,10.0,5.0,4.0,8.0,7.0,21.0,14.0,22.0,18.0,6.0,16.0,9.0,0.0,17.0,20.0,19.0,15.0,11.0,28.0,26.0,43.0,24.0,46.0,49.0,25.0,40.0,27.0
2523,4.0,3.0,0.0,17.0,1.0,6.0,7.0,2.0,12.0,8.0,22.0,13.0,5.0,21.0,10.0,11.0,18.0,42.0,14.0,15.0,30.0,29.0,9.0,37.0,28.0,26.0,33.0,48.0,40.0,27.0
2572,0.0,3.0,1.0,11.0,18.0,2.0,6.0,12.0,10.0,5.0,14.0,9.0,4.0,26.0,7.0,8.0,20.0,34.0,21.0,16.0,19.0,22.0,29.0,23.0,49.0,24.0,28.0,44.0,27.0,32.0
2621,1.0,2.0,0.0,4.0,5.0,3.0,13.0,16.0,20.0,12.0,9.0,7.0,6.0,17.0,10.0,11.0,8.0,25.0,39.0,14.0,23.0,22.0,15.0,37.0,21.0,18.0,48.0,26.0,44.0,30.0
2670,3.0,0.0,2.0,5.0,7.0,4.0,8.0,1.0,21.0,11.0,9.0,6.0,13.0,34.0,14.0,12.0,10.0,15.0,36.0,19.0,20.0,24.0,17.0,30.0,25.0,42.0,45.0,27.0,23.0,56.0
2719,2.0,1.0,0.0,7.0,9.0,12.0,5.0,4.0,13.0,15.0,6.0,18.0,3.0,26.0,8.0,10.0,11.0,27.0,20.0,41.0,14.0,33.0,19.0,42.0,32.0,29.0,43.0,50.0,17.0,53.0
2768,3.0,0.0,1.0,13.0,6.0,2.0,10.0,8.0,25.0,35.0,5.0,31.0,9.0,22.0,4.0,7.0,16.0,18.0,15.0,11.0,14.0,24.0,42.0,17.0,50.0,21.0,45.0,27.0,43.0,26.0
2817,2.0,0.0,1.0,15.0,4.0,10.0,6.0,8.0,17.0,11.0,12.0,7.0,3.0,16.0,13.0,5.0,22.0,20.0,21.0,43.0,19.0,29.0,31.0,39.0,49.0,23.0,26.0,25.0,40.0,50.0
2866,6.0,1.0,0.0,7.0,2.0,3.0,9.0,14.0,18.0,5.0,15.0,10.0,4.0,24.0,8.0,11.0,12.0,33.0,16.0,35.0,20.0,45.0,13.0,37.0,44.0,22.0,28.0,47.0,36.0,21.0
2915,4.0,1.0,0.0,9.0,2.0,11.0,3.0,10.0,15.0,7.0,18.0,14.0,5.0,23.0,8.0,6.0,27.0,20.0,39.0,45.0,12.0,25.0,13.0,28.0,24.0,22.0,46.0,29.0,21.0,50.0
2964,1.0,0.0,5.0,4.0,14.0,8.0,7.0,9.0,3.0,11.0,6.0,35.0,38.0,26.0,36.0,10.0,13.0,2.0,12.0,23.0,21.0,30.0,27.0,25.0,58.0,24.0,29.0,19.0,28.0,22.0
3013,2.0,1.0,0.0,4.0,5.0,15.0,6.0,10.0,3.0,8.0,12.0,30.0,7.0,24.0,13.0,17.0,16.0,11.0,9.0,21.0,26.0,53.0,29.0,14.0,20.0,23.0,25.0,18.0,40.0,22.0
3062,0.0,4.0,1.0,7.0,2.0,11.0,5.0,12.0,3.0,9.0,10.0,17.0,6.0,20.0,30.0,15.0,13.0,8.0,36.0,25.0,19.0,18.0,23.0,14.0,54.0,47.0,21.0,22.0,26.0,27.0
3111,2.0,0.0,1.0,6.0,7.0,13.0,4.0,10.0,3.0,11.0,9.0,41.0,39.0,15.0,12.0,8.0,24.0,5.0,16.0,32.0,19.0,18.0,29.0,28.0,20.0,46.0,23.0,17.0,31.0,47.0
3160,3.0,1.0,5.0,2.0,7.0,13.0,8.0,12.0,4.0,14.0,6.0,42.0,11.0,10.0,17.0,18.0,9.0,0.0,47.0,28.0,19.0,21.0,30.0,15.0,31.0,32.0,26.0,16.0,24.0,23.0
3209,2.0,1.0,3.0,7.0,5.0,13.0,8.0,9.0,0.0,12.0,10.0,18.0,38.0,17.0,14.0,6.0,16.0,4.0,15.0,34.0,21.0,22.0,28.0,11.0,31.0,48.0,30.0,20.0,26.0,25.0
3258,0.0,2.0,10.0,4.0,12.0,8.0,9.0,7.0,6.0,5.0,3.0,14.0,11.0,15.0,17.0,16.0,26.0,1.0,38.0,43.0,13.0,20.0,18.0,33.0,22.0,24.0,46.0,47.0,37.0,23.0
