,DPP6_DEL,MIR548AI_DEL,HERC2P2_AMP,GSTTP1_AMP,HEATR4_DEL,ACOT1_DEL,FAM66A_DEL,GSTM1_DEL,DEFB109P1_DEL,DOCK10_AMP,APBA1_AMP,JAK2_AMP,NF1P2_AMP,POTEB_AMP,CERS6_DEL,LRMP_AMP,FAM86DP_DEL,MYO3B_MUT,PRAMEF2_DEL,CTNND2_DEL,DLC1_MUT,MYH1_MUT,SHROOM2_DEL,OR51A4_DEL,LOC643650_DEL,LOC348120_AMP,CCDC144B_DEL,EP300_MUT,NRXN1_DEL,GUSBP3_DEL
31,0.0,2.0,9.0,10.0,70.0,121.0,19.0,210.0,30.0,91.0,34.0,732.0,11.0,12.0,7.0,44.0,29.0,140.0,28.0,14.0,820.0,56.0,98.0,152.0,13.0,8.0,26.0,41.0,73.0,33.0
80,2.0,3.0,18.0,5.0,7.0,11.0,200.0,25.0,492.0,1.0,66.0,55.0,61.0,62.0,6.0,32.0,30.0,115.0,38.0,16.0,37.0,73.0,31.0,28.0,15.0,41.0,95.0,85.0,36.0,9.0
129,5.0,0.0,28.0,10.0,29.0,51.0,4.0,20.0,3.0,6.0,9.0,112.0,71.0,70.0,18.0,44.0,24.0,73.0,77.0,11.0,15.0,19.0,46.0,92.0,69.0,48.0,97.0,47.0,129.0,114.0
178,6.0,2.0,0.0,9.0,20.0,38.0,8.0,19.0,17.0,3.0,5.0,87.0,78.0,79.0,18.0,28.0,64.0,16.0,26.0,13.0,33.0,11.0,56.0,12.0,119.0,42.0,30.0,232.0,1673.0,1136.0
227,0.0,1.0,12.0,2.0,18.0,8.0,75.0,243.0,44.0,31.0,21.0,253.0,10.0,11.0,45.0,13.0,32.0,7.0,79.0,19.0,3.0,39.0,48.0,34.0,84.0,20.0,36.0,28.0,29.0,90.0
276,7.0,0.0,1.0,14.0,11.0,30.0,4.0,316.0,5.0,2.0,31.0,66.0,39.0,40.0,8.0,60.0,51.0,826.0,122.0,13.0,24.0,19.0,68.0,9.0,166.0,18.0,1592.0,74.0,2299.0,2421.0
325,2.0,0.0,1.0,7.0,10.0,24.0,3.0,244.0,5.0,17.0,18.0,57.0,45.0,44.0,34.0,39.0,20.0,77.0,42.0,96.0,13.0,33.0,81.0,106.0,58.0,28.0,87.0,25.0,90.0,37.0
374,0.0,5.0,7.0,11.0,8.0,18.0,12.0,48.0,3.0,2.0,10.0,39.0,65.0,66.0,4.0,63.0,64.0,31.0,38.0,44.0,13.0,201.0,21.0,139.0,32.0,42.0,101.0,20.0,342.0,58.0
423,16.0,4.0,0.0,50.0,6.0,10.0,3.0,593.0,7.0,27.0,40.0,66.0,62.0,61.0,18.0,48.0,9.0,74.0,73.0,35.0,25.0,33.0,23.0,102.0,227.0,44.0,1.0,21.0,2503.0,405.0
472,0.0,1.0,48.0,20.0,28.0,37.0,30.0,2067.0,4.0,19.0,18.0,171.0,87.0,88.0,24.0,495.0,97.0,130.0,135.0,44.0,17.0,56.0,53.0,32.0,75.0,50.0,105.0,139.0,1129.0,301.0
