,RAD51,EGFR,4E-BP1,PKC-delta_pS664,Bap1 c-4,HER2,Chk2,C-Raf_pS338,P-Cadherin,Smac,Cyclin_D1,Notch1,FoxM1,Shc_pY317,VHL,MEK1_pS217_S221,Bcl-2,Rb_pS807_S811,RSK1-2-3,p38_pT180_Y182,p70S6K_pT389,CD31,XBP1,Annexin 1,TAZ,beta Actin,Transglutaminase,alpha-Catenin,MYH11,HER2_pY1248
1,11.0,20.0,3.0,32.0,14.0,6.0,9.0,15.0,5.0,1.0,8.0,19.0,17.0,4.0,26.0,54.0,13.0,38.0,25.0,30.0,2.0,10.0,50.0,7.0,16.0,29.0,59.0,46.0,0.0,35.0
50,15.0,3.0,0.0,6.0,9.0,28.0,22.0,47.0,5.0,2.0,11.0,72.0,1.0,23.0,14.0,7.0,10.0,8.0,42.0,19.0,30.0,18.0,49.0,13.0,69.0,17.0,67.0,24.0,12.0,71.0
99,3.0,15.0,0.0,4.0,19.0,10.0,46.0,27.0,2.0,30.0,14.0,42.0,7.0,16.0,1.0,8.0,9.0,31.0,23.0,13.0,25.0,26.0,39.0,55.0,21.0,64.0,5.0,12.0,17.0,24.0
148,1.0,26.0,0.0,10.0,5.0,32.0,12.0,45.0,3.0,7.0,4.0,47.0,21.0,2.0,9.0,11.0,6.0,16.0,8.0,29.0,38.0,31.0,27.0,22.0,14.0,37.0,54.0,13.0,36.0,85.0
197,3.0,1.0,5.0,6.0,44.0,29.0,10.0,2.0,4.0,16.0,7.0,27.0,8.0,0.0,9.0,31.0,11.0,18.0,53.0,22.0,25.0,48.0,37.0,32.0,28.0,75.0,40.0,13.0,20.0,54.0
246,6.0,0.0,1.0,5.0,12.0,4.0,38.0,47.0,14.0,8.0,20.0,2.0,11.0,3.0,15.0,36.0,7.0,22.0,51.0,25.0,40.0,28.0,50.0,37.0,23.0,39.0,87.0,9.0,10.0,52.0
295,0.0,4.0,2.0,3.0,7.0,8.0,5.0,9.0,10.0,16.0,15.0,24.0,22.0,23.0,1.0,37.0,50.0,13.0,40.0,14.0,64.0,11.0,39.0,36.0,6.0,30.0,43.0,21.0,25.0,45.0
344,0.0,9.0,4.0,8.0,5.0,21.0,36.0,15.0,1.0,23.0,6.0,40.0,71.0,11.0,10.0,2.0,19.0,3.0,25.0,20.0,68.0,7.0,14.0,33.0,90.0,34.0,74.0,13.0,54.0,70.0
393,2.0,7.0,0.0,14.0,25.0,19.0,16.0,17.0,1.0,8.0,20.0,52.0,9.0,13.0,3.0,5.0,11.0,18.0,33.0,38.0,32.0,12.0,23.0,10.0,40.0,53.0,27.0,6.0,4.0,49.0
442,2.0,3.0,26.0,63.0,10.0,40.0,12.0,34.0,62.0,23.0,0.0,58.0,27.0,1.0,42.0,7.0,4.0,13.0,30.0,53.0,78.0,55.0,5.0,21.0,110.0,29.0,77.0,17.0,43.0,65.0
491,4.0,0.0,7.0,15.0,33.0,35.0,1.0,2.0,16.0,24.0,8.0,21.0,6.0,19.0,5.0,9.0,10.0,11.0,17.0,14.0,65.0,27.0,70.0,63.0,13.0,20.0,68.0,48.0,26.0,41.0
540,7.0,3.0,43.0,14.0,21.0,26.0,0.0,1.0,17.0,10.0,12.0,4.0,13.0,27.0,50.0,11.0,2.0,15.0,49.0,9.0,75.0,31.0,76.0,32.0,5.0,89.0,65.0,51.0,30.0,22.0
589,0.0,3.0,4.0,31.0,28.0,46.0,2.0,1.0,61.0,6.0,11.0,38.0,18.0,12.0,7.0,16.0,14.0,9.0,17.0,57.0,80.0,39.0,67.0,23.0,13.0,52.0,53.0,15.0,22.0,49.0
638,1.0,2.0,12.0,14.0,16.0,20.0,3.0,0.0,11.0,19.0,44.0,45.0,23.0,41.0,10.0,9.0,37.0,5.0,31.0,15.0,67.0,18.0,17.0,8.0,4.0,104.0,87.0,28.0,52.0,24.0
687,1.0,8.0,2.0,5.0,31.0,16.0,9.0,0.0,6.0,32.0,15.0,30.0,18.0,21.0,20.0,7.0,14.0,11.0,4.0,34.0,25.0,29.0,50.0,78.0,3.0,10.0,35.0,57.0,33.0,13.0
736,5.0,0.0,2.0,4.0,8.0,26.0,20.0,17.0,65.0,43.0,1.0,13.0,62.0,25.0,11.0,14.0,3.0,15.0,75.0,6.0,82.0,18.0,48.0,41.0,10.0,61.0,69.0,94.0,55.0,34.0
785,0.0,2.0,1.0,22.0,38.0,43.0,4.0,3.0,9.0,16.0,40.0,23.0,8.0,13.0,7.0,10.0,12.0,14.0,32.0,18.0,24.0,61.0,70.0,19.0,6.0,69.0,78.0,42.0,25.0,17.0
834,0.0,1.0,9.0,14.0,28.0,57.0,7.0,3.0,24.0,6.0,39.0,46.0,12.0,16.0,2.0,30.0,4.0,11.0,19.0,45.0,56.0,25.0,33.0,29.0,10.0,52.0,43.0,60.0,32.0,34.0
883,0.0,3.0,13.0,24.0,10.0,47.0,1.0,2.0,58.0,11.0,16.0,46.0,37.0,26.0,18.0,9.0,21.0,23.0,54.0,6.0,85.0,76.0,77.0,14.0,5.0,29.0,116.0,19.0,83.0,8.0
932,0.0,2.0,13.0,6.0,5.0,19.0,12.0,3.0,11.0,9.0,4.0,36.0,37.0,7.0,8.0,17.0,26.0,27.0,15.0,55.0,45.0,42.0,40.0,44.0,21.0,47.0,86.0,20.0,32.0,30.0
981,0.0,1.0,3.0,8.0,11.0,17.0,19.0,43.0,41.0,36.0,9.0,12.0,22.0,6.0,75.0,4.0,21.0,7.0,100.0,50.0,23.0,38.0,30.0,5.0,54.0,126.0,13.0,47.0,51.0,18.0
1030,8.0,1.0,5.0,17.0,23.0,10.0,25.0,7.0,24.0,53.0,6.0,0.0,40.0,9.0,3.0,14.0,12.0,4.0,87.0,18.0,45.0,60.0,2.0,27.0,33.0,70.0,16.0,41.0,52.0,30.0
1079,0.0,5.0,8.0,4.0,6.0,3.0,26.0,29.0,21.0,49.0,1.0,17.0,23.0,9.0,2.0,13.0,19.0,32.0,69.0,27.0,51.0,33.0,12.0,37.0,45.0,92.0,7.0,41.0,20.0,34.0
1128,8.0,0.0,7.0,1.0,3.0,14.0,25.0,37.0,11.0,17.0,4.0,15.0,13.0,10.0,39.0,20.0,24.0,58.0,128.0,78.0,27.0,38.0,2.0,18.0,23.0,73.0,19.0,16.0,35.0,31.0
1177,3.0,1.0,5.0,13.0,8.0,10.0,22.0,66.0,14.0,4.0,2.0,12.0,45.0,33.0,24.0,0.0,6.0,36.0,40.0,29.0,25.0,26.0,7.0,18.0,80.0,41.0,17.0,34.0,51.0,46.0
1226,0.0,1.0,17.0,5.0,28.0,4.0,8.0,14.0,23.0,20.0,2.0,6.0,26.0,27.0,18.0,38.0,11.0,29.0,57.0,67.0,47.0,34.0,3.0,16.0,49.0,95.0,13.0,32.0,21.0,55.0
1275,0.0,1.0,32.0,19.0,5.0,24.0,21.0,39.0,31.0,11.0,2.0,13.0,62.0,22.0,10.0,3.0,18.0,30.0,73.0,33.0,27.0,16.0,8.0,41.0,89.0,47.0,4.0,51.0,26.0,29.0
