,1-methylnicotinamide,C16:0 LPE,C36:1 DAG,C34:2 DAG,pantothenate,C22:6 CE,hypoxanthine,alpha-glycerophosphocholine,guanosine,C22:6 LPE,creatine,2-deoxyadenosine,carnitine,niacinamide,C18:0 LPE,GABA,cytidine,2-deoxycytidine,adenosine,NADP,C18:0 LPC,inosine,N-carbamoyl-beta-alanine,beta-alanine,UMP,C34:4 PC,butyrylcarnitine/isobutyrylcarnitine,3-phosphoglycerate,DHAP/glyceraldehyde 3P,inositol
25,0.0,1.0,5.0,6.0,4.0,21.0,2.0,3.0,12.0,56.0,29.0,51.0,33.0,18.0,47.0,24.0,7.0,28.0,14.0,16.0,11.0,59.0,22.0,15.0,39.0,35.0,30.0,10.0,13.0,58.0
74,5.0,1.0,2.0,0.0,3.0,7.0,4.0,8.0,16.0,10.0,55.0,14.0,18.0,46.0,34.0,39.0,17.0,32.0,6.0,31.0,37.0,9.0,12.0,29.0,20.0,35.0,11.0,22.0,57.0,51.0
123,3.0,7.0,1.0,0.0,4.0,8.0,19.0,6.0,12.0,16.0,26.0,56.0,39.0,15.0,11.0,33.0,2.0,18.0,21.0,10.0,17.0,54.0,29.0,23.0,42.0,13.0,14.0,9.0,5.0,30.0
172,0.0,3.0,2.0,1.0,4.0,7.0,6.0,10.0,8.0,23.0,17.0,45.0,22.0,28.0,18.0,20.0,5.0,24.0,26.0,33.0,43.0,25.0,9.0,62.0,37.0,35.0,14.0,49.0,29.0,66.0
221,0.0,3.0,4.0,2.0,1.0,6.0,5.0,13.0,9.0,27.0,14.0,16.0,7.0,37.0,61.0,12.0,18.0,39.0,8.0,15.0,10.0,19.0,11.0,21.0,53.0,34.0,57.0,23.0,17.0,52.0
270,0.0,4.0,2.0,3.0,1.0,6.0,5.0,7.0,8.0,26.0,12.0,35.0,22.0,14.0,59.0,64.0,17.0,15.0,18.0,10.0,13.0,31.0,32.0,37.0,19.0,49.0,11.0,58.0,25.0,53.0
319,14.0,3.0,1.0,2.0,0.0,38.0,7.0,13.0,4.0,5.0,49.0,53.0,6.0,59.0,21.0,22.0,8.0,61.0,24.0,25.0,10.0,15.0,17.0,37.0,23.0,20.0,44.0,28.0,12.0,31.0
368,1.0,2.0,4.0,0.0,3.0,7.0,6.0,12.0,20.0,9.0,27.0,10.0,22.0,21.0,13.0,45.0,33.0,35.0,5.0,47.0,15.0,32.0,49.0,8.0,31.0,34.0,50.0,51.0,38.0,58.0
417,1.0,0.0,2.0,3.0,7.0,11.0,4.0,14.0,13.0,16.0,44.0,12.0,8.0,26.0,23.0,36.0,5.0,22.0,6.0,9.0,45.0,28.0,18.0,54.0,37.0,17.0,21.0,31.0,38.0,47.0
466,0.0,1.0,2.0,3.0,8.0,6.0,7.0,11.0,4.0,65.0,14.0,16.0,33.0,12.0,23.0,20.0,49.0,28.0,10.0,21.0,35.0,22.0,42.0,9.0,27.0,43.0,34.0,5.0,32.0,61.0
