,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,NRAS_MUT,ERBB4_DEL,GSTM1_DEL,STRA13_AMP,KRAS_MUT,FAM153C_AMP,TTN_MUT,OR4N4_DEL,LOC727924_DEL,ARL16_AMP,LINC00442_DEL,UNC13C_MUT,SIRT7_AMP,RAC3_AMP,ARHGDIA_AMP,SLC25A10_AMP,RNU6-52_DEL,RAD50_MUT,OR4M2_DEL,LOC284344_DEL,P4HB_AMP,N4BP3_AMP,ANKRD20A9P_DEL,INHBA_MUT,NSFP1_AMP,EYA1_DEL
32,0.0,2.0,1.0,3.0,58.0,24.0,5.0,349.0,29.0,21809.0,9.0,55.0,37.0,651.0,60.0,7.0,278.0,21636.0,15697.0,234.0,20959.0,6.0,8.0,15.0,2988.0,108.0,214.0,22.0,46.0,741.0
81,0.0,2.0,5.0,1.0,3.0,285.0,133.0,52.0,7.0,115.0,6.0,51.0,4.0,345.0,21.0,18.0,86.0,214.0,100.0,14.0,15.0,17.0,19.0,67.0,224.0,33.0,31.0,74.0,433.0,1291.0
130,1.0,2.0,6.0,3.0,51.0,38.0,2512.0,5.0,4.0,122.0,0.0,12.0,44.0,47.0,42.0,285.0,127.0,1025.0,863.0,198.0,20727.0,417.0,130.0,1425.0,865.0,120.0,152.0,22.0,896.0,2595.0
179,1.0,0.0,2.0,3.0,39.0,52.0,55.0,112.0,4.0,408.0,48.0,14.0,396.0,109.0,59.0,15.0,592.0,21666.0,236.0,17280.0,20972.0,164.0,89.0,72.0,218.0,410.0,6475.0,251.0,197.0,6214.0
228,1.0,4.0,0.0,3.0,668.0,39.0,207.0,122.0,13.0,21.0,2.0,138.0,1201.0,68.0,38.0,32.0,18.0,144.0,37.0,237.0,368.0,536.0,5069.0,25.0,110.0,23.0,924.0,94.0,131.0,288.0
277,0.0,1.0,6.0,2.0,18.0,121.0,5.0,22.0,3.0,46.0,9.0,14.0,2050.0,102.0,185.0,4.0,564.0,859.0,758.0,17530.0,169.0,54.0,16.0,3061.0,208.0,376.0,49.0,57.0,689.0,1195.0
326,0.0,2.0,3.0,1.0,11.0,43.0,3433.0,27.0,6.0,23680.0,4.0,139.0,201.0,54.0,4235.0,5.0,61.0,87.0,122.0,31.0,737.0,216.0,13.0,6715.0,15.0,13768.0,6728.0,7.0,476.0,3251.0
375,1.0,0.0,2.0,3.0,138.0,103.0,1093.0,6.0,4.0,248.0,27.0,69.0,162.0,64.0,115.0,222.0,233.0,30.0,11.0,21.0,61.0,10.0,12.0,396.0,66.0,434.0,24.0,223.0,1775.0,336.0
424,0.0,4.0,5.0,2.0,26.0,5412.0,23.0,50.0,1.0,54.0,6.0,76.0,80.0,69.0,144.0,8.0,31.0,111.0,79.0,41.0,1918.0,32.0,55.0,260.0,9.0,124.0,7455.0,3265.0,128.0,19.0
473,0.0,1.0,3.0,2.0,45.0,24.0,33.0,11.0,16.0,28.0,310.0,143.0,266.0,49.0,338.0,232.0,18.0,119.0,123.0,37.0,101.0,257.0,388.0,3532.0,48.0,13858.0,234.0,8.0,355.0,3582.0
