,XXbac-BPG181B23.7,SLC6A15,PDE9A,RP11-408B11.2,CORO2A,SLC25A24P1,GPR158,PALM2,RP11-734I18.1,WNT5A,BTBD11,LRRIQ1,CTB-88F18.3,SLC38A9,ZNF732,LPAR3,PRR5L,TSPAN18,TYW1B,RP11-23P13.7,RP11-151A6.4,NR4A2,BEND6,OOEP,RP11-152F13.7,RP11-430L17.1,COL5A2,CLSTN3,SERTAD4-AS1,TRIM58
9,0.0,18.0,12.0,20.0,2.0,7.0,5.0,15.0,400.0,10.0,131.0,32.0,29.0,35.0,25.0,217.0,4.0,128.0,1.0,119.0,19.0,30.0,36.0,8.0,49.0,51.0,53.0,72.0,91.0,600.0
58,1.0,7.0,2.0,16.0,17.0,6.0,4.0,29.0,270.0,47.0,91.0,88.0,15.0,42.0,0.0,3043.0,5.0,12.0,8.0,591.0,101.0,63.0,23.0,170.0,49.0,41.0,46.0,37.0,22.0,417.0
107,1.0,6.0,2.0,8.0,0.0,5.0,14.0,13.0,499.0,70.0,56.0,113.0,10.0,35.0,33.0,75.0,3.0,17.0,15.0,171.0,19.0,11.0,24.0,53.0,38.0,51.0,25.0,83.0,84.0,533.0
156,1.0,7.0,5.0,6.0,10.0,3.0,0.0,19.0,330.0,123.0,26.0,100.0,29.0,12.0,147.0,471.0,30.0,4.0,31.0,419.0,25.0,34.0,37.0,22.0,9.0,93.0,32.0,71.0,27.0,377.0
205,0.0,33.0,2.0,4.0,201.0,1.0,5.0,10.0,156.0,39.0,125.0,167.0,22.0,176.0,20.0,893.0,6.0,145.0,26.0,229.0,41.0,88.0,45.0,54.0,170.0,25.0,12.0,96.0,19.0,349.0
254,1.0,3.0,5.0,4.0,6.0,0.0,14.0,15.0,18.0,8.0,376.0,20.0,17.0,37.0,23.0,126.0,2.0,40.0,68.0,64.0,42.0,36.0,85.0,28.0,9.0,39.0,12.0,88.0,127.0,121.0
303,6.0,4.0,18.0,28.0,36.0,116.0,0.0,147.0,229.0,2.0,9.0,112.0,58.0,32.0,60.0,91.0,1.0,10.0,5.0,73.0,121.0,21.0,13.0,3.0,72.0,26.0,33.0,56.0,191.0,37.0
352,0.0,46.0,2.0,3.0,6.0,4.0,9.0,5.0,189.0,1.0,26.0,53.0,23.0,51.0,21.0,367.0,13.0,14.0,8.0,96.0,104.0,56.0,10.0,15.0,64.0,37.0,31.0,35.0,49.0,403.0
401,0.0,29.0,1.0,7.0,13.0,3.0,181.0,12.0,1339.0,33.0,324.0,49.0,8.0,19.0,17.0,1414.0,27.0,24.0,4.0,45.0,25.0,61.0,2.0,153.0,70.0,50.0,15.0,42.0,21.0,122.0
450,0.0,7.0,3.0,4.0,34.0,5.0,85.0,28.0,167.0,1.0,9.0,88.0,74.0,13.0,320.0,4916.0,22.0,16.0,72.0,130.0,21.0,10.0,43.0,52.0,11.0,55.0,45.0,44.0,25.0,388.0
499,12.0,1.0,2.0,4.0,5.0,275.0,8.0,36.0,0.0,13.0,110.0,29.0,100.0,20.0,207.0,26.0,558.0,315.0,240.0,82.0,21.0,43.0,245.0,6.0,87.0,23.0,76.0,53.0,61.0,210.0
548,6.0,4.0,5.0,1.0,0.0,17.0,147.0,23.0,3.0,2.0,49.0,12.0,38.0,53.0,229.0,128.0,29.0,176.0,163.0,54.0,28.0,48.0,59.0,81.0,16.0,14.0,11.0,85.0,26.0,51.0
597,0.0,4.0,1.0,10.0,2.0,28.0,157.0,9.0,6.0,8.0,91.0,29.0,68.0,32.0,149.0,3.0,42.0,92.0,64.0,283.0,17.0,5.0,75.0,7.0,183.0,46.0,16.0,26.0,148.0,41.0
646,6.0,2.0,7.0,0.0,3.0,21.0,348.0,5.0,9.0,13.0,57.0,16.0,18.0,66.0,229.0,12.0,48.0,544.0,248.0,42.0,65.0,51.0,10.0,14.0,67.0,19.0,54.0,240.0,11.0,39.0
695,0.0,1.0,5.0,3.0,2.0,15.0,768.0,25.0,44.0,12.0,54.0,34.0,64.0,30.0,236.0,38.0,135.0,123.0,72.0,36.0,31.0,32.0,10.0,59.0,37.0,67.0,17.0,168.0,45.0,7.0
744,1.0,3.0,6.0,0.0,13.0,2.0,141.0,4.0,7.0,9.0,153.0,31.0,38.0,68.0,246.0,167.0,49.0,279.0,580.0,60.0,10.0,158.0,238.0,163.0,100.0,70.0,25.0,101.0,55.0,26.0
793,4.0,0.0,28.0,2.0,3.0,18.0,504.0,14.0,1.0,10.0,417.0,29.0,96.0,42.0,229.0,496.0,93.0,213.0,39.0,177.0,16.0,21.0,59.0,12.0,78.0,15.0,11.0,332.0,17.0,5.0
842,1.0,6.0,4.0,3.0,2.0,34.0,24.0,7.0,17.0,0.0,55.0,32.0,82.0,9.0,60.0,62.0,33.0,110.0,84.0,42.0,61.0,97.0,28.0,535.0,139.0,29.0,135.0,152.0,100.0,30.0
891,7.0,1.0,3.0,2.0,0.0,207.0,19.0,60.0,8.0,116.0,5.0,17.0,44.0,41.0,80.0,28.0,25.0,269.0,163.0,548.0,13.0,62.0,39.0,103.0,59.0,31.0,144.0,83.0,121.0,117.0
940,6.0,7.0,8.0,52.0,3.0,34.0,30.0,1.0,362.0,12.0,1426.0,35.0,111.0,254.0,71.0,407.0,10.0,478.0,28.0,318.0,51.0,45.0,29.0,19.0,33.0,16.0,37.0,43.0,57.0,36.0
989,0.0,1.0,63.0,20.0,10.0,62.0,40.0,14.0,1843.0,12.0,2.0,16.0,17.0,41.0,8.0,11.0,7.0,74.0,34.0,43.0,3.0,9.0,190.0,6.0,358.0,44.0,500.0,79.0,24.0,195.0
1038,0.0,24.0,7.0,38.0,16.0,1.0,23.0,48.0,152.0,1743.0,33.0,58.0,22.0,118.0,10.0,25.0,21.0,258.0,68.0,395.0,37.0,18.0,43.0,89.0,15.0,100.0,5.0,20.0,835.0,42.0
1087,35.0,1.0,60.0,3.0,10.0,16.0,2.0,214.0,0.0,58.0,70.0,19.0,66.0,21.0,236.0,320.0,14.0,328.0,39.0,76.0,9.0,129.0,37.0,6.0,169.0,42.0,619.0,40.0,63.0,144.0
1136,0.0,3.0,67.0,2.0,8.0,4.0,76.0,6.0,35.0,191.0,14.0,11.0,13.0,15.0,51.0,5.0,33.0,44.0,1.0,41.0,88.0,29.0,54.0,17.0,1018.0,84.0,24.0,42.0,39.0,28.0
1185,3.0,0.0,94.0,19.0,1.0,2.0,6.0,4.0,38.0,159.0,37.0,15.0,51.0,11.0,55.0,30.0,23.0,334.0,16.0,10.0,14.0,56.0,13.0,181.0,129.0,67.0,76.0,31.0,168.0,71.0
1234,31.0,2.0,59.0,0.0,1.0,8.0,11.0,39.0,13.0,5.0,4.0,27.0,48.0,92.0,9.0,485.0,46.0,329.0,16.0,7.0,26.0,17.0,117.0,12.0,825.0,18.0,77.0,23.0,43.0,3.0
1283,9.0,4.0,3.0,23.0,5.0,13.0,15.0,19.0,1.0,47.0,61.0,6.0,16.0,70.0,190.0,11.0,7.0,403.0,0.0,29.0,62.0,2.0,37.0,69.0,853.0,93.0,18.0,54.0,39.0,34.0
1332,1.0,0.0,33.0,3.0,6.0,9.0,73.0,13.0,25.0,27.0,7.0,10.0,26.0,77.0,46.0,17.0,39.0,74.0,4.0,22.0,14.0,58.0,63.0,12.0,562.0,5.0,53.0,81.0,54.0,47.0
1381,0.0,9.0,8.0,3.0,6.0,5.0,919.0,23.0,49.0,245.0,7.0,22.0,1.0,57.0,101.0,17.0,206.0,44.0,341.0,24.0,182.0,28.0,4.0,43.0,42.0,66.0,168.0,75.0,31.0,110.0
1430,1.0,0.0,16.0,7.0,3.0,4.0,572.0,10.0,12.0,48.0,9.0,27.0,6.0,40.0,33.0,29.0,19.0,55.0,2.0,18.0,77.0,5.0,66.0,36.0,169.0,51.0,45.0,111.0,54.0,24.0
1479,0.0,1.0,8.0,14.0,4.0,190.0,7.0,29.0,13.0,12.0,58.0,54.0,19.0,129.0,201.0,2.0,11.0,23.0,6.0,84.0,147.0,10.0,77.0,3.0,85.0,47.0,99.0,89.0,812.0,16.0
1528,1.0,71.0,4.0,3.0,19.0,5.0,105.0,240.0,0.0,49.0,48.0,26.0,207.0,45.0,56.0,2.0,11.0,129.0,220.0,50.0,44.0,41.0,112.0,321.0,20.0,42.0,78.0,27.0,164.0,21.0
1577,2.0,1.0,4.0,10.0,12.0,0.0,188.0,15.0,8.0,7.0,629.0,28.0,74.0,41.0,103.0,3.0,16.0,824.0,11.0,112.0,32.0,24.0,36.0,65.0,37.0,27.0,20.0,9.0,23.0,26.0
1626,0.0,1.0,3.0,5.0,7.0,2.0,341.0,114.0,6.0,50.0,233.0,27.0,34.0,15.0,16.0,4.0,9.0,33.0,11.0,39.0,243.0,10.0,124.0,49.0,45.0,52.0,22.0,78.0,99.0,61.0
1675,3.0,0.0,42.0,1.0,4.0,2.0,5.0,94.0,9.0,39.0,65.0,10.0,92.0,19.0,118.0,37.0,14.0,175.0,30.0,75.0,47.0,11.0,16.0,20.0,25.0,425.0,198.0,18.0,231.0,40.0
1724,1.0,3.0,78.0,0.0,15.0,2.0,13.0,10.0,4.0,5.0,143.0,11.0,39.0,126.0,46.0,9.0,8.0,207.0,21.0,24.0,456.0,115.0,72.0,48.0,17.0,64.0,27.0,51.0,75.0,26.0
1773,0.0,11.0,7.0,6.0,40.0,8.0,64.0,19.0,3.0,24.0,78.0,68.0,26.0,27.0,457.0,1.0,10.0,9.0,4.0,60.0,71.0,13.0,153.0,5.0,101.0,57.0,23.0,49.0,260.0,287.0
1822,0.0,42.0,181.0,1.0,5.0,25.0,68.0,31.0,2.0,35.0,93.0,136.0,24.0,33.0,56.0,6.0,7.0,318.0,3.0,26.0,60.0,113.0,117.0,193.0,19.0,51.0,135.0,18.0,14.0,21.0
1871,0.0,7.0,39.0,4.0,30.0,8.0,163.0,260.0,35.0,28.0,57.0,21.0,27.0,42.0,103.0,1.0,26.0,23.0,41.0,143.0,85.0,10.0,59.0,13.0,9.0,58.0,3.0,591.0,140.0,45.0
