,CDK1,HSP70,MSH6,Beclin,MIG-6,P-Cadherin,C-Raf_pS338,MAPK_pT202_Y204,STAT5-alpha,MEK1_pS217_S221,Caspase-7_cleavedD198,p38_pT180_Y182,IRS1,SHP-2_pY542,Myosin IIa pS1943,Cyclin_D1,p90RSK_pT359_S363,Porin,VAV1,GSK-3-BETA,p38_MAPK,AMPK_pT172,TIGAR,p90RSK_pT573,p53,Src_pY416,Shc_pY317,Rb_pS807_S811,YB-1_pS102,Bcl-2
3,1.0,2.0,14.0,3.0,6.0,13.0,7.0,0.0,5.0,4.0,15.0,28.0,21.0,10.0,46.0,19.0,22.0,34.0,12.0,8.0,16.0,25.0,29.0,17.0,26.0,75.0,9.0,31.0,27.0,90.0
52,0.0,3.0,2.0,1.0,12.0,7.0,21.0,4.0,6.0,5.0,15.0,19.0,45.0,13.0,14.0,18.0,10.0,16.0,31.0,25.0,11.0,79.0,23.0,30.0,9.0,55.0,17.0,26.0,76.0,98.0
101,0.0,4.0,2.0,1.0,8.0,27.0,3.0,6.0,5.0,10.0,30.0,36.0,18.0,11.0,26.0,24.0,16.0,28.0,21.0,7.0,12.0,20.0,15.0,17.0,23.0,58.0,9.0,25.0,118.0,94.0
150,2.0,1.0,5.0,4.0,6.0,19.0,0.0,3.0,12.0,8.0,16.0,17.0,13.0,9.0,31.0,27.0,29.0,10.0,15.0,11.0,21.0,18.0,20.0,14.0,26.0,56.0,7.0,22.0,121.0,90.0
199,5.0,2.0,9.0,0.0,7.0,14.0,6.0,1.0,8.0,11.0,13.0,20.0,30.0,4.0,17.0,21.0,75.0,12.0,25.0,3.0,19.0,10.0,47.0,18.0,15.0,38.0,16.0,31.0,82.0,102.0
248,3.0,1.0,14.0,4.0,27.0,28.0,2.0,0.0,5.0,9.0,31.0,18.0,15.0,6.0,39.0,25.0,20.0,8.0,26.0,7.0,21.0,23.0,55.0,12.0,17.0,22.0,11.0,32.0,126.0,92.0
297,0.0,1.0,5.0,3.0,16.0,7.0,4.0,2.0,12.0,10.0,13.0,32.0,17.0,6.0,14.0,123.0,18.0,9.0,24.0,8.0,27.0,23.0,22.0,21.0,29.0,53.0,15.0,33.0,121.0,90.0
346,4.0,2.0,8.0,0.0,5.0,10.0,1.0,3.0,7.0,12.0,20.0,15.0,11.0,6.0,16.0,17.0,43.0,13.0,18.0,9.0,21.0,28.0,23.0,19.0,38.0,55.0,14.0,31.0,107.0,88.0
395,3.0,2.0,9.0,1.0,12.0,20.0,4.0,0.0,16.0,22.0,13.0,36.0,17.0,5.0,30.0,28.0,33.0,18.0,6.0,15.0,23.0,19.0,21.0,10.0,11.0,56.0,7.0,64.0,79.0,100.0
444,2.0,0.0,4.0,1.0,8.0,11.0,5.0,3.0,7.0,26.0,21.0,10.0,20.0,6.0,16.0,15.0,13.0,18.0,39.0,12.0,14.0,22.0,32.0,17.0,19.0,44.0,9.0,27.0,107.0,90.0
493,0.0,17.0,7.0,4.0,1.0,12.0,20.0,22.0,8.0,3.0,9.0,25.0,11.0,77.0,6.0,2.0,16.0,37.0,66.0,95.0,15.0,18.0,5.0,61.0,28.0,10.0,78.0,13.0,33.0,32.0
542,0.0,3.0,4.0,2.0,7.0,20.0,9.0,6.0,1.0,8.0,14.0,10.0,15.0,11.0,16.0,5.0,17.0,39.0,35.0,27.0,19.0,18.0,26.0,49.0,62.0,23.0,21.0,80.0,38.0,116.0
591,0.0,22.0,5.0,1.0,2.0,18.0,4.0,11.0,12.0,3.0,21.0,28.0,25.0,7.0,19.0,23.0,16.0,61.0,24.0,9.0,33.0,32.0,8.0,36.0,60.0,10.0,14.0,29.0,35.0,31.0
640,1.0,6.0,3.0,0.0,10.0,11.0,12.0,30.0,15.0,18.0,28.0,8.0,14.0,19.0,5.0,4.0,9.0,66.0,35.0,20.0,32.0,17.0,21.0,13.0,29.0,7.0,38.0,16.0,85.0,33.0
689,0.0,16.0,14.0,5.0,10.0,1.0,7.0,21.0,9.0,22.0,8.0,24.0,32.0,4.0,30.0,2.0,27.0,17.0,90.0,6.0,31.0,13.0,3.0,43.0,26.0,11.0,19.0,20.0,29.0,89.0
738,1.0,16.0,5.0,4.0,0.0,17.0,11.0,18.0,23.0,2.0,14.0,6.0,8.0,7.0,20.0,15.0,19.0,25.0,31.0,12.0,45.0,103.0,10.0,33.0,9.0,3.0,36.0,35.0,29.0,34.0
787,2.0,14.0,18.0,1.0,0.0,8.0,16.0,4.0,21.0,12.0,6.0,13.0,20.0,17.0,3.0,35.0,33.0,52.0,34.0,115.0,32.0,10.0,38.0,28.0,54.0,7.0,26.0,5.0,36.0,96.0
836,0.0,6.0,7.0,9.0,2.0,29.0,1.0,20.0,4.0,18.0,10.0,24.0,8.0,3.0,17.0,12.0,40.0,71.0,14.0,15.0,35.0,26.0,16.0,25.0,19.0,5.0,13.0,28.0,112.0,93.0
885,0.0,12.0,3.0,4.0,6.0,8.0,10.0,19.0,14.0,7.0,87.0,9.0,31.0,16.0,22.0,5.0,21.0,37.0,52.0,17.0,27.0,18.0,13.0,20.0,25.0,2.0,30.0,11.0,32.0,33.0
934,0.0,5.0,30.0,18.0,10.0,3.0,9.0,33.0,1.0,8.0,4.0,19.0,20.0,13.0,31.0,15.0,35.0,28.0,34.0,36.0,6.0,14.0,27.0,29.0,23.0,2.0,32.0,26.0,12.0,91.0
983,2.0,9.0,5.0,4.0,16.0,0.0,1.0,3.0,7.0,27.0,30.0,6.0,91.0,31.0,10.0,11.0,21.0,33.0,12.0,8.0,23.0,28.0,13.0,15.0,68.0,18.0,19.0,35.0,25.0,22.0
1032,1.0,0.0,7.0,11.0,3.0,4.0,2.0,8.0,16.0,9.0,19.0,14.0,22.0,5.0,40.0,24.0,15.0,27.0,18.0,13.0,30.0,6.0,10.0,20.0,21.0,56.0,17.0,63.0,26.0,12.0
1081,0.0,12.0,8.0,4.0,6.0,2.0,10.0,5.0,14.0,3.0,15.0,17.0,21.0,16.0,37.0,22.0,28.0,13.0,27.0,1.0,40.0,7.0,18.0,38.0,58.0,9.0,70.0,11.0,24.0,19.0
1130,0.0,2.0,4.0,10.0,14.0,15.0,8.0,1.0,23.0,25.0,11.0,5.0,17.0,13.0,18.0,16.0,12.0,67.0,3.0,6.0,9.0,31.0,29.0,26.0,64.0,32.0,33.0,20.0,7.0,27.0
1179,2.0,0.0,9.0,7.0,12.0,1.0,3.0,4.0,16.0,10.0,15.0,13.0,23.0,5.0,44.0,20.0,14.0,69.0,6.0,19.0,25.0,8.0,52.0,33.0,22.0,18.0,58.0,17.0,124.0,27.0
1228,0.0,16.0,6.0,2.0,14.0,4.0,1.0,7.0,10.0,3.0,24.0,26.0,15.0,13.0,12.0,32.0,28.0,22.0,18.0,23.0,29.0,11.0,9.0,34.0,71.0,19.0,20.0,8.0,37.0,30.0
1277,0.0,12.0,5.0,15.0,23.0,3.0,1.0,7.0,4.0,10.0,11.0,8.0,9.0,16.0,2.0,30.0,29.0,35.0,6.0,13.0,27.0,22.0,14.0,19.0,53.0,17.0,34.0,33.0,20.0,24.0
1326,4.0,6.0,1.0,8.0,11.0,7.0,0.0,2.0,15.0,10.0,34.0,5.0,16.0,23.0,9.0,25.0,18.0,17.0,3.0,13.0,42.0,14.0,36.0,30.0,31.0,77.0,32.0,12.0,20.0,104.0
1375,2.0,11.0,0.0,10.0,13.0,1.0,5.0,6.0,16.0,14.0,3.0,8.0,25.0,9.0,24.0,124.0,15.0,22.0,12.0,4.0,31.0,7.0,28.0,70.0,73.0,21.0,27.0,18.0,32.0,23.0
1424,0.0,9.0,3.0,5.0,15.0,1.0,2.0,6.0,30.0,4.0,8.0,7.0,11.0,20.0,10.0,29.0,13.0,35.0,12.0,16.0,14.0,18.0,17.0,64.0,47.0,23.0,34.0,28.0,25.0,93.0
1473,0.0,7.0,20.0,15.0,6.0,1.0,18.0,16.0,13.0,2.0,3.0,8.0,17.0,14.0,5.0,9.0,22.0,67.0,41.0,10.0,4.0,19.0,26.0,32.0,23.0,21.0,52.0,58.0,12.0,91.0
