,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,LOC391322_AMP,GSTT1_AMP,HDHD1_DEL,LOC100506776_DEL,SIRPB1_AMP,ADCY8_DEL,DUSP22_DEL,USP32P2_DEL,LRRK1_MUT,PTCH1_AMP,GSTTP2_AMP,NSFP1_DEL,PBX1_MUT,RHD_DEL,HERC2P2_AMP,RBFOX1_DEL,UNC13C_MUT,LOC284260_DEL,RABGAP1L_DEL,SORD_AMP,FMN2_AMP,ARHGEF5_AMP,KIF26B_DEL,HLA-DQB1_AMP
29,0.0,2.0,1.0,4.0,60.0,18.0,45.0,44.0,110.0,14.0,9.0,78.0,93.0,61.0,30.0,5.0,70.0,31.0,43.0,81.0,23.0,27.0,8.0,36.0,89.0,28.0,63.0,106.0,17.0,71.0
78,0.0,3.0,5.0,6.0,7.0,22.0,124.0,125.0,135.0,10.0,141.0,38.0,45.0,46.0,31.0,11.0,182.0,59.0,40.0,27.0,49.0,29.0,126.0,37.0,54.0,60.0,344.0,77.0,21.0,180.0
127,0.0,1.0,2.0,3.0,9.0,10.0,20.0,19.0,92.0,48.0,15.0,58.0,21.0,59.0,17.0,18.0,33.0,6.0,167.0,32.0,297.0,26.0,66.0,87.0,23.0,43.0,89.0,29.0,34.0,88.0
176,0.0,2.0,9.0,1.0,10.0,43.0,12.0,11.0,605.0,7.0,163.0,25.0,129.0,28.0,23.0,5.0,14.0,30.0,29.0,84.0,31.0,54.0,53.0,18.0,59.0,16255.0,119.0,20.0,70.0,209.0
225,0.0,1.0,2.0,4.0,35.0,18.0,33.0,34.0,152.0,19.0,82.0,41.0,64.0,56.0,17.0,7.0,59.0,6.0,32.0,39.0,25.0,23.0,20.0,57.0,43.0,497.0,10.0,38.0,40.0,144.0
274,0.0,2.0,3.0,1.0,6.0,54.0,35.0,36.0,201.0,11.0,34.0,57.0,7.0,108.0,21.0,10.0,51.0,22.0,53.0,70.0,32.0,23.0,12.0,41.0,31.0,181.0,5.0,66.0,49.0,119.0
323,0.0,1.0,3.0,4.0,21.0,648.0,7.0,8.0,161.0,12.0,288.0,2110.0,40.0,3815.0,1268.0,65.0,6.0,23.0,25.0,636.0,11076.0,18.0,16.0,31.0,10.0,20652.0,9.0,768.0,20.0,49.0
372,0.0,1.0,2.0,3.0,9.0,10.0,34.0,35.0,118.0,4.0,31.0,44.0,93.0,26.0,17.0,18.0,55.0,42.0,32.0,47.0,25.0,11.0,6.0,33.0,149.0,122.0,13.0,46.0,64.0,58.0
421,1.0,3.0,0.0,5.0,16.0,12.0,157.0,158.0,148.0,9.0,35.0,51.0,10.0,69.0,29.0,7.0,249.0,30.0,36.0,41.0,184.0,27.0,26.0,83.0,163.0,130.0,8.0,77.0,20.0,346.0
470,0.0,9.0,8.0,1.0,41.0,18.0,3.0,2.0,179.0,151.0,99.0,92.0,19.0,43.0,13.0,84.0,5.0,211.0,97.0,52.0,62.0,45.0,83.0,68.0,48.0,7.0,6.0,377.0,81.0,91.0
519,0.0,1.0,2.0,5.0,35.0,980.0,7.0,6.0,24.0,53.0,3.0,40.0,21.0,1674.0,36.0,4.0,10.0,23.0,32.0,27.0,14.0,49.0,74.0,83.0,105.0,96.0,18.0,61.0,30.0,16.0
568,0.0,1.0,2.0,17.0,21.0,5.0,59.0,60.0,14.0,183.0,3.0,48.0,51.0,29.0,248.0,657.0,83.0,4.0,79.0,20.0,26.0,30.0,175.0,106.0,7.0,28.0,324.0,111.0,22.0,10.0
617,0.0,1.0,2.0,3.0,12.0,42.0,6.0,7.0,14.0,37.0,8.0,16.0,31.0,105.0,66.0,30.0,5.0,51.0,17.0,15.0,11.0,52.0,87.0,25.0,24.0,59.0,29.0,21.0,33.0,9.0
666,0.0,1.0,4.0,3.0,23.0,134.0,39.0,40.0,30.0,119.0,5.0,9.0,95.0,71.0,43.0,47.0,49.0,14.0,37.0,11.0,8.0,17.0,128.0,34.0,202.0,6.0,31.0,42.0,35.0,41.0
715,0.0,2.0,1.0,9.0,37.0,8.0,29.0,30.0,21.0,5.0,36.0,12.0,50.0,39.0,32.0,26.0,42.0,137.0,7.0,6.0,4.0,23.0,84.0,51.0,34.0,22.0,18.0,10.0,107.0,262.0
764,0.0,4.0,1.0,10.0,8.0,14.0,3.0,2.0,17.0,63.0,9.0,27.0,7.0,33.0,50.0,59.0,5.0,60.0,23.0,89.0,24.0,93.0,35.0,22.0,25.0,19.0,79.0,40.0,70.0,20.0
813,0.0,1.0,4.0,2.0,13.0,782.0,6.0,5.0,553.0,10.0,21.0,60.0,37.0,1697.0,138.0,7.0,8.0,90.0,11.0,72.0,486.0,342.0,114.0,23.0,93.0,53.0,28.0,65.0,15.0,30.0
862,0.0,1.0,2.0,6.0,3.0,16.0,4.0,5.0,12.0,40.0,7.0,19.0,63.0,60.0,43.0,31.0,9.0,81.0,15.0,28.0,25.0,37.0,84.0,22.0,45.0,27.0,13.0,11.0,64.0,10.0
911,0.0,1.0,4.0,3.0,15.0,25.0,7.0,6.0,16.0,69.0,2.0,11.0,41.0,92.0,58.0,31.0,9.0,22.0,52.0,14.0,10.0,38.0,133.0,24.0,18.0,66.0,26.0,13.0,23.0,19.0
960,0.0,1.0,2.0,3.0,4.0,33.0,21.0,22.0,7.0,532.0,39.0,6.0,44.0,424.0,74.0,23.0,29.0,45.0,19.0,25.0,56.0,52.0,276.0,31.0,58.0,113.0,2098.0,20.0,46.0,5.0
1009,2.0,1.0,0.0,28.0,5.0,3.0,13.0,14.0,20.0,19.0,91.0,47.0,9.0,18.0,2026.0,43.0,21.0,11.0,6.0,66.0,51.0,8.0,25.0,10.0,48.0,427.0,22.0,36.0,182.0,30.0
1058,2.0,1.0,4.0,13.0,6.0,0.0,47.0,48.0,23.0,134.0,3.0,52.0,34.0,7.0,112.0,929.0,78.0,30.0,39.0,131.0,6202.0,26.0,63.0,9.0,27.0,31.0,11.0,41.0,28.0,18.0
1107,3.0,4.0,1.0,24.0,6.0,0.0,123.0,124.0,17.0,130.0,2.0,157.0,79.0,5.0,94.0,2798.0,195.0,10.0,73.0,41.0,158.0,9.0,57.0,58.0,14.0,11.0,302.0,48.0,33.0,23.0
1156,0.0,1.0,3.0,19.0,20.0,2.0,7.0,8.0,21.0,17.0,9.0,63.0,81.0,6.0,126.0,110.0,10.0,22.0,15.0,51.0,113.0,34.0,25.0,30.0,48.0,134.0,106.0,79.0,41.0,23.0
1205,2.0,1.0,0.0,11.0,63.0,3.0,16.0,15.0,21.0,54.0,26.0,100.0,6.0,25.0,161.0,69.0,23.0,9.0,29.0,190.0,141.0,43.0,13.0,35.0,5.0,32.0,60.0,82.0,120.0,33.0
1254,1.0,0.0,3.0,22.0,5.0,2.0,11.0,12.0,137.0,61.0,102.0,59.0,6.0,4.0,237.0,60.0,24.0,27.0,33.0,211.0,28.0,76.0,55.0,13.0,176.0,185.0,234.0,224.0,54.0,20.0
1303,4.0,5.0,0.0,93.0,2.0,1.0,39.0,40.0,17.0,15.0,18.0,109.0,121.0,10.0,153.0,61.0,71.0,44.0,11.0,59.0,224.0,33.0,23.0,9.0,12.0,250.0,292.0,66.0,36.0,16.0
1352,2.0,1.0,0.0,23.0,8.0,3.0,35.0,34.0,14.0,30.0,4.0,83.0,42.0,6.0,127.0,46.0,36.0,18.0,9.0,130.0,315.0,15.0,40.0,7.0,19.0,510.0,22.0,49.0,48.0,21.0
1401,1.0,0.0,2.0,3.0,40.0,5.0,17.0,16.0,55.0,21.0,4.0,195.0,44.0,35.0,96.0,45.0,24.0,10.0,13.0,175.0,893.0,15.0,31.0,20.0,41.0,21079.0,33.0,48.0,68.0,166.0
1450,0.0,1.0,8.0,19.0,7.0,2.0,22.0,23.0,28.0,4.0,43.0,36.0,25.0,3.0,151.0,56.0,49.0,12.0,27.0,38.0,5.0,57.0,16.0,46.0,74.0,10815.0,21613.0,77.0,40.0,11.0
1499,0.0,6.0,136.0,9.0,1.0,51.0,3.0,2.0,36.0,24.0,12.0,18.0,9770.0,96.0,13.0,14.0,4.0,33.0,34.0,19.0,29.0,64.0,30.0,43.0,11.0,10.0,98.0,102.0,26.0,62.0
1548,0.0,7.0,14.0,13.0,5.0,29.0,3.0,2.0,15.0,1.0,25.0,21.0,158.0,66.0,20.0,28.0,4.0,34.0,18.0,8.0,527.0,114.0,40.0,56.0,6.0,244.0,2372.0,49.0,16.0,41.0
1597,0.0,1.0,17.0,4.0,3.0,29.0,7.0,6.0,19.0,2.0,24.0,11.0,83.0,70.0,86.0,15.0,8.0,31.0,13.0,9.0,110.0,59.0,16.0,36.0,5.0,1945.0,57.0,12.0,35.0,26.0
1646,0.0,1.0,74.0,2.0,11.0,13.0,19.0,18.0,27.0,3.0,64.0,4.0,77.0,8.0,14.0,7.0,20.0,200.0,10.0,16.0,12.0,150.0,33.0,41.0,30.0,495.0,192.0,9.0,38.0,285.0
1695,0.0,1.0,14.0,2.0,21.0,62.0,11.0,12.0,3.0,25.0,20.0,15.0,169.0,177.0,22.0,5.0,13.0,58.0,29.0,37.0,180.0,108.0,8.0,120.0,4.0,33.0,90.0,31.0,26.0,16.0
1744,0.0,4.0,30.0,2.0,5.0,9.0,17.0,16.0,8.0,91.0,1.0,12.0,292.0,15.0,18.0,127.0,19.0,89.0,67.0,71.0,1017.0,64.0,88.0,33.0,3.0,24.0,177.0,23.0,6.0,52.0
