,ebv-miR-BART19-5p,hsa-miR-199b-5p,hsa-miR-1910,hsa-miR-378,hsa-miR-877,hsa-miR-22,hsa-miR-600,hsa-miR-589,hsa-miR-586,hsa-miR-584,hsa-miR-583,hsa-miR-616,hsa-miR-587,hsa-miR-582-5p,hsa-miR-582-3p,hsa-miR-581,hsa-miR-580,hsa-miR-579,hsa-miR-588,hsa-miR-577,hsa-miR-578,hsa-miR-576-3p,hsa-miR-576-5p,hsa-miR-592,hsa-miR-574-5p,hsa-miR-628-5p,hsa-miR-627,hsa-miR-629,hsa-miR-590-3p,hsa-miR-590-5p
20,178.0,2.0,0.0,13.0,308.0,44.0,9.0,51.0,1.0,61.0,26.0,37.0,55.0,64.0,65.0,66.0,67.0,47.0,52.0,59.0,62.0,54.0,56.0,30.0,53.0,68.0,57.0,58.0,50.0,97.0
69,192.0,2.0,367.0,11.0,323.0,43.0,4.0,83.0,52.0,53.0,22.0,39.0,48.0,58.0,63.0,64.0,67.0,45.0,47.0,60.0,68.0,50.0,56.0,93.0,28.0,62.0,59.0,65.0,71.0,95.0
118,22.0,36.0,0.0,486.0,309.0,565.0,87.0,56.0,61.0,52.0,50.0,68.0,62.0,48.0,60.0,64.0,51.0,59.0,58.0,57.0,47.0,90.0,54.0,17.0,100.0,77.0,76.0,78.0,55.0,63.0
167,13.0,22.0,384.0,483.0,326.0,563.0,52.0,76.0,72.0,74.0,49.0,94.0,69.0,75.0,35.0,59.0,56.0,78.0,68.0,111.0,159.0,0.0,110.0,30.0,148.0,82.0,83.0,81.0,65.0,64.0
216,30.0,4.0,367.0,485.0,23.0,564.0,78.0,19.0,48.0,52.0,51.0,90.0,49.0,45.0,2.0,55.0,56.0,57.0,50.0,59.0,58.0,63.0,61.0,8.0,28.0,53.0,54.0,60.0,67.0,92.0
265,185.0,36.0,401.0,43.0,5.0,563.0,89.0,56.0,48.0,47.0,2.0,65.0,55.0,45.0,51.0,53.0,54.0,58.0,57.0,49.0,52.0,4.0,46.0,83.0,39.0,75.0,74.0,76.0,99.0,61.0
314,180.0,0.0,365.0,23.0,30.0,566.0,4.0,48.0,58.0,51.0,52.0,35.0,46.0,56.0,57.0,50.0,49.0,59.0,45.0,54.0,53.0,47.0,55.0,6.0,44.0,73.0,72.0,74.0,95.0,61.0
363,189.0,3.0,7.0,485.0,22.0,8.0,88.0,44.0,46.0,47.0,48.0,39.0,59.0,49.0,50.0,51.0,52.0,53.0,43.0,55.0,54.0,36.0,56.0,4.0,57.0,74.0,73.0,75.0,60.0,78.0
412,16.0,35.0,13.0,10.0,26.0,37.0,9.0,93.0,71.0,84.0,45.0,34.0,96.0,46.0,47.0,48.0,50.0,51.0,95.0,54.0,53.0,69.0,55.0,87.0,57.0,60.0,56.0,49.0,90.0,89.0
461,180.0,0.0,26.0,7.0,21.0,29.0,54.0,71.0,68.0,73.0,66.0,30.0,69.0,64.0,63.0,60.0,59.0,105.0,70.0,110.0,142.0,148.0,176.0,50.0,149.0,80.0,82.0,79.0,72.0,58.0
510,15.0,576.0,365.0,486.0,306.0,565.0,83.0,16.0,48.0,46.0,45.0,79.0,66.0,47.0,49.0,51.0,56.0,57.0,96.0,61.0,28.0,18.0,62.0,92.0,63.0,59.0,58.0,60.0,95.0,94.0
559,15.0,0.0,368.0,482.0,308.0,42.0,2.0,17.0,49.0,52.0,54.0,92.0,48.0,56.0,69.0,60.0,64.0,67.0,62.0,58.0,61.0,50.0,55.0,90.0,136.0,66.0,65.0,57.0,98.0,94.0
608,237.0,578.0,369.0,31.0,205.0,5.0,0.0,38.0,58.0,37.0,55.0,82.0,76.0,54.0,53.0,50.0,49.0,47.0,77.0,45.0,46.0,57.0,44.0,98.0,59.0,278.0,277.0,279.0,96.0,97.0
657,25.0,38.0,369.0,44.0,311.0,39.0,65.0,1.0,61.0,47.0,60.0,77.0,64.0,62.0,50.0,52.0,58.0,57.0,56.0,63.0,55.0,49.0,54.0,90.0,48.0,68.0,69.0,67.0,53.0,51.0
706,23.0,28.0,368.0,19.0,24.0,7.0,88.0,46.0,49.0,61.0,51.0,74.0,48.0,53.0,55.0,56.0,57.0,60.0,47.0,59.0,50.0,54.0,58.0,64.0,52.0,65.0,66.0,43.0,45.0,62.0
755,177.0,575.0,381.0,483.0,307.0,26.0,96.0,44.0,48.0,49.0,50.0,73.0,47.0,61.0,53.0,55.0,57.0,52.0,45.0,62.0,51.0,60.0,56.0,82.0,54.0,90.0,63.0,68.0,59.0,88.0
804,178.0,33.0,382.0,487.0,325.0,565.0,12.0,58.0,48.0,47.0,49.0,97.0,52.0,50.0,51.0,53.0,69.0,70.0,54.0,60.0,59.0,63.0,61.0,17.0,64.0,38.0,57.0,62.0,100.0,18.0
853,212.0,21.0,3.0,9.0,31.0,561.0,34.0,70.0,29.0,71.0,64.0,93.0,68.0,61.0,60.0,59.0,58.0,57.0,69.0,106.0,74.0,108.0,107.0,52.0,143.0,81.0,20.0,80.0,56.0,55.0
