, PI3K_only, VEGF, H2O2, MAPK_only, TGFB, Wnt, MAPK_PI3K, IL-1, TLR, TNFa, JAK-STAT
3324,0.0,1.0,2.0,8.0,5.0,7.0,9.0,10.0,4.0,6.0,3.0
3373,1.0,2.0,0.0,3.0,9.0,6.0,4.0,10.0,8.0,5.0,7.0
3422,0.0,4.0,5.0,6.0,8.0,9.0,7.0,2.0,1.0,10.0,3.0
3471,0.0,1.0,2.0,9.0,3.0,8.0,5.0,10.0,6.0,7.0,4.0
3520,1.0,0.0,5.0,2.0,8.0,4.0,3.0,10.0,7.0,9.0,6.0
3569,1.0,0.0,2.0,3.0,5.0,4.0,7.0,6.0,10.0,8.0,9.0
3618,1.0,0.0,2.0,6.0,3.0,8.0,4.0,10.0,7.0,5.0,9.0
3667,0.0,1.0,3.0,8.0,6.0,5.0,4.0,9.0,10.0,7.0,2.0
3716,2.0,0.0,1.0,10.0,3.0,8.0,6.0,9.0,7.0,4.0,5.0
3765,7.0,0.0,1.0,8.0,9.0,2.0,5.0,10.0,6.0,4.0,3.0
3814,1.0,0.0,2.0,8.0,5.0,3.0,4.0,10.0,9.0,6.0,7.0
3863,0.0,1.0,2.0,9.0,5.0,3.0,7.0,6.0,10.0,8.0,4.0
3912,0.0,3.0,4.0,8.0,6.0,1.0,5.0,7.0,9.0,10.0,2.0
3961,1.0,0.0,6.0,7.0,3.0,2.0,5.0,4.0,10.0,8.0,9.0
4010,3.0,0.0,9.0,4.0,10.0,1.0,2.0,5.0,7.0,8.0,6.0
4059,0.0,1.0,6.0,3.0,4.0,2.0,9.0,7.0,10.0,5.0,8.0
4108,1.0,0.0,5.0,2.0,3.0,4.0,7.0,8.0,9.0,10.0,6.0
4157,0.0,1.0,2.0,8.0,10.0,3.0,5.0,7.0,9.0,6.0,4.0
4206,1.0,0.0,5.0,2.0,4.0,7.0,6.0,8.0,10.0,9.0,3.0
4255,4.0,0.0,5.0,3.0,7.0,9.0,6.0,1.0,10.0,8.0,2.0
4304,1.0,0.0,4.0,2.0,3.0,8.0,5.0,9.0,6.0,7.0,10.0
4353,0.0,2.0,1.0,4.0,6.0,3.0,5.0,9.0,10.0,7.0,8.0
4402,0.0,1.0,2.0,6.0,3.0,10.0,7.0,4.0,8.0,9.0,5.0
