,hsa-miR-921,hsa-miR-574-5p,hsa-miR-1233,hsv2-miR-H3,hsa-miR-885-3p,hsa-miR-223,hsa-miR-34a,hsa-miR-616,hsa-miR-548j,hsa-miR-548d-3p,hsa-miR-126,hsa-miR-550,hsa-miR-186,hsa-miR-134,hsa-miR-628-5p,hsa-miR-1284,hsa-miR-143,hsa-miR-1247,hsa-miR-450a,hsa-miR-299-3p,hsa-miR-892a,hsa-miR-212,hsa-miR-33b,hsa-miR-877,hsa-miR-657,hsa-miR-31,hsa-miR-744,hsa-miR-888,hsa-miR-638,hsa-miR-222
16,0.0,1.0,2.0,3.0,4.0,27.0,25.0,10.0,13.0,7.0,60.0,19.0,46.0,15.0,16.0,49.0,40.0,23.0,11.0,24.0,22.0,5.0,61.0,171.0,56.0,68.0,8.0,57.0,9.0,20.0
65,0.0,2.0,1.0,9.0,4.0,38.0,6.0,18.0,15.0,40.0,118.0,37.0,17.0,11.0,16.0,46.0,13.0,28.0,25.0,34.0,20.0,3.0,58.0,84.0,43.0,7.0,19.0,36.0,23.0,24.0
114,1.0,0.0,3.0,8.0,5.0,30.0,6.0,4.0,14.0,27.0,33.0,174.0,105.0,2.0,15.0,39.0,16.0,58.0,7.0,26.0,47.0,11.0,57.0,237.0,69.0,34.0,21.0,23.0,13.0,35.0
163,4.0,3.0,0.0,12.0,5.0,11.0,2.0,1.0,6.0,27.0,58.0,22.0,31.0,19.0,24.0,90.0,17.0,7.0,10.0,14.0,36.0,16.0,65.0,119.0,33.0,8.0,38.0,13.0,18.0,28.0
212,2.0,3.0,0.0,24.0,1.0,19.0,16.0,7.0,9.0,38.0,150.0,15.0,36.0,17.0,43.0,35.0,5.0,22.0,11.0,31.0,53.0,12.0,48.0,131.0,133.0,21.0,4.0,109.0,8.0,42.0
261,0.0,2.0,1.0,7.0,16.0,39.0,6.0,11.0,9.0,48.0,21.0,5.0,18.0,22.0,38.0,43.0,4.0,58.0,3.0,8.0,10.0,13.0,30.0,162.0,32.0,29.0,20.0,25.0,14.0,26.0
310,5.0,2.0,0.0,4.0,23.0,7.0,11.0,9.0,12.0,83.0,69.0,15.0,20.0,18.0,13.0,28.0,95.0,39.0,103.0,61.0,10.0,17.0,40.0,98.0,143.0,8.0,1.0,65.0,48.0,30.0
359,0.0,2.0,3.0,29.0,1.0,17.0,6.0,9.0,10.0,65.0,46.0,32.0,57.0,51.0,48.0,122.0,8.0,64.0,20.0,5.0,19.0,7.0,33.0,236.0,21.0,22.0,61.0,16.0,14.0,18.0
408,0.0,2.0,1.0,13.0,8.0,7.0,23.0,31.0,4.0,40.0,92.0,17.0,19.0,5.0,50.0,52.0,6.0,38.0,14.0,18.0,9.0,15.0,34.0,223.0,109.0,12.0,41.0,106.0,27.0,77.0
457,0.0,2.0,3.0,26.0,11.0,9.0,1.0,10.0,14.0,84.0,74.0,8.0,116.0,4.0,28.0,41.0,5.0,18.0,48.0,25.0,15.0,12.0,79.0,58.0,70.0,29.0,17.0,44.0,46.0,7.0
506,0.0,19.0,7.0,49.0,13.0,5.0,1.0,22.0,10.0,8.0,27.0,64.0,40.0,11.0,38.0,26.0,39.0,121.0,16.0,15.0,43.0,30.0,9.0,18.0,6.0,21.0,33.0,36.0,86.0,51.0
555,15.0,1.0,8.0,3.0,21.0,62.0,0.0,30.0,36.0,7.0,11.0,2.0,12.0,32.0,39.0,4.0,41.0,6.0,20.0,5.0,34.0,56.0,10.0,110.0,37.0,279.0,52.0,26.0,16.0,59.0
604,0.0,5.0,21.0,1.0,2.0,6.0,24.0,16.0,8.0,10.0,20.0,15.0,19.0,34.0,57.0,11.0,36.0,22.0,9.0,3.0,17.0,71.0,25.0,26.0,58.0,217.0,100.0,75.0,53.0,37.0
