,hsa-miR-921,hsa-miR-574-5p,hsa-miR-1233,hsv2-miR-H3,hsa-miR-885-3p,hsa-miR-223,hsa-miR-34a,hsa-miR-616,hsa-miR-548j,hsa-miR-548d-3p,hsa-miR-126,hsa-miR-550,hsa-miR-186,hsa-miR-134,hsa-miR-628-5p,hsa-miR-1284,hsa-miR-143,hsa-miR-1247,hsa-miR-450a,hsa-miR-299-3p,hsa-miR-892a,hsa-miR-212,hsa-miR-33b,hsa-miR-877,hsa-miR-657,hsa-miR-31,hsa-miR-744,hsa-miR-888,hsa-miR-638,hsa-miR-222
653,0.0,1.0,17.0,7.0,2.0,14.0,12.0,45.0,27.0,11.0,16.0,23.0,22.0,3.0,32.0,25.0,21.0,6.0,15.0,9.0,35.0,67.0,29.0,69.0,76.0,33.0,48.0,82.0,60.0,34.0
702,4.0,17.0,6.0,0.0,8.0,24.0,27.0,5.0,13.0,3.0,22.0,2.0,21.0,19.0,75.0,1.0,54.0,47.0,43.0,15.0,59.0,45.0,18.0,84.0,72.0,148.0,70.0,42.0,98.0,14.0
751,1.0,11.0,12.0,9.0,7.0,4.0,3.0,26.0,29.0,13.0,31.0,24.0,6.0,0.0,55.0,15.0,17.0,16.0,5.0,8.0,98.0,90.0,18.0,20.0,39.0,115.0,59.0,92.0,263.0,23.0
800,1.0,6.0,57.0,3.0,0.0,33.0,4.0,5.0,72.0,9.0,7.0,16.0,29.0,31.0,61.0,2.0,13.0,19.0,18.0,32.0,36.0,24.0,14.0,12.0,48.0,135.0,23.0,64.0,116.0,20.0
849,1.0,16.0,11.0,0.0,7.0,17.0,10.0,14.0,34.0,9.0,13.0,18.0,56.0,47.0,32.0,3.0,26.0,94.0,41.0,28.0,40.0,49.0,19.0,2.0,6.0,89.0,4.0,30.0,61.0,21.0
898,2.0,0.0,15.0,1.0,9.0,3.0,12.0,7.0,14.0,4.0,6.0,29.0,26.0,35.0,43.0,48.0,16.0,38.0,52.0,30.0,72.0,112.0,13.0,19.0,23.0,130.0,8.0,17.0,50.0,70.0
947,1.0,6.0,17.0,0.0,38.0,39.0,3.0,26.0,65.0,13.0,63.0,4.0,19.0,8.0,122.0,18.0,11.0,24.0,22.0,35.0,54.0,48.0,20.0,60.0,31.0,10.0,21.0,78.0,129.0,202.0
996,1.0,13.0,6.0,3.0,0.0,14.0,78.0,5.0,15.0,32.0,25.0,150.0,36.0,39.0,40.0,4.0,26.0,101.0,56.0,45.0,21.0,12.0,30.0,74.0,143.0,33.0,22.0,144.0,7.0,10.0
1045,0.0,5.0,9.0,1.0,2.0,7.0,16.0,4.0,14.0,22.0,6.0,33.0,30.0,15.0,21.0,11.0,27.0,23.0,49.0,65.0,26.0,120.0,10.0,18.0,12.0,17.0,42.0,72.0,13.0,19.0
1094,1.0,15.0,28.0,0.0,14.0,42.0,11.0,21.0,30.0,3.0,5.0,124.0,18.0,4.0,27.0,9.0,74.0,158.0,19.0,56.0,10.0,69.0,13.0,8.0,139.0,6.0,34.0,122.0,48.0,25.0
1143,0.0,2.0,3.0,7.0,1.0,20.0,4.0,6.0,24.0,9.0,44.0,202.0,52.0,29.0,28.0,15.0,23.0,50.0,34.0,85.0,30.0,13.0,19.0,12.0,66.0,40.0,18.0,43.0,11.0,25.0
1192,1.0,3.0,31.0,0.0,2.0,4.0,7.0,8.0,49.0,14.0,6.0,182.0,28.0,29.0,68.0,19.0,11.0,27.0,39.0,37.0,25.0,85.0,34.0,5.0,33.0,9.0,56.0,13.0,35.0,10.0
1241,0.0,4.0,6.0,2.0,10.0,17.0,33.0,16.0,38.0,1.0,5.0,207.0,20.0,25.0,7.0,3.0,60.0,28.0,47.0,21.0,112.0,49.0,15.0,32.0,37.0,14.0,31.0,82.0,12.0,18.0
1290,2.0,30.0,18.0,0.0,1.0,10.0,67.0,7.0,28.0,9.0,21.0,94.0,29.0,15.0,11.0,19.0,17.0,24.0,62.0,49.0,48.0,59.0,13.0,4.0,70.0,38.0,3.0,104.0,8.0,27.0
1339,8.0,5.0,40.0,0.0,3.0,34.0,2.0,7.0,54.0,4.0,19.0,104.0,25.0,18.0,35.0,14.0,32.0,26.0,27.0,88.0,16.0,61.0,22.0,12.0,30.0,28.0,1.0,47.0,31.0,6.0
1388,2.0,3.0,9.0,0.0,4.0,13.0,69.0,15.0,18.0,14.0,21.0,119.0,33.0,12.0,29.0,1.0,25.0,66.0,11.0,112.0,17.0,16.0,28.0,41.0,5.0,40.0,8.0,42.0,7.0,36.0
1437,0.0,2.0,7.0,8.0,6.0,13.0,31.0,3.0,37.0,24.0,50.0,160.0,9.0,54.0,17.0,5.0,65.0,32.0,1.0,150.0,10.0,79.0,15.0,35.0,19.0,14.0,23.0,81.0,64.0,34.0
1486,7.0,5.0,0.0,12.0,2.0,13.0,16.0,6.0,8.0,19.0,3.0,33.0,24.0,4.0,1.0,22.0,25.0,11.0,31.0,43.0,66.0,10.0,46.0,156.0,94.0,9.0,72.0,125.0,15.0,103.0
1535,25.0,0.0,7.0,11.0,1.0,22.0,29.0,5.0,32.0,26.0,3.0,35.0,36.0,41.0,2.0,4.0,6.0,13.0,49.0,71.0,18.0,10.0,37.0,163.0,44.0,20.0,64.0,45.0,60.0,23.0
1584,4.0,23.0,10.0,2.0,1.0,11.0,0.0,12.0,8.0,17.0,19.0,3.0,91.0,13.0,24.0,14.0,18.0,29.0,16.0,32.0,15.0,22.0,30.0,96.0,157.0,7.0,33.0,66.0,9.0,103.0
1633,1.0,5.0,0.0,21.0,15.0,8.0,12.0,41.0,29.0,27.0,3.0,13.0,30.0,6.0,67.0,4.0,2.0,17.0,31.0,72.0,20.0,28.0,88.0,35.0,54.0,9.0,7.0,26.0,46.0,48.0
1682,0.0,15.0,17.0,1.0,16.0,13.0,23.0,6.0,10.0,31.0,14.0,33.0,21.0,3.0,18.0,2.0,4.0,24.0,27.0,53.0,20.0,11.0,52.0,29.0,116.0,7.0,163.0,124.0,22.0,101.0
1731,13.0,6.0,12.0,10.0,0.0,1.0,23.0,7.0,19.0,78.0,39.0,4.0,57.0,2.0,8.0,9.0,3.0,22.0,14.0,20.0,25.0,40.0,93.0,88.0,106.0,73.0,58.0,59.0,17.0,82.0
1780,17.0,15.0,1.0,11.0,4.0,21.0,0.0,13.0,7.0,5.0,6.0,19.0,76.0,2.0,9.0,8.0,10.0,35.0,26.0,41.0,27.0,25.0,37.0,59.0,61.0,60.0,12.0,91.0,33.0,32.0
1829,13.0,28.0,0.0,11.0,5.0,2.0,24.0,16.0,7.0,10.0,4.0,30.0,89.0,20.0,18.0,6.0,22.0,76.0,19.0,12.0,15.0,3.0,57.0,45.0,47.0,8.0,21.0,98.0,23.0,183.0
1878,3.0,9.0,8.0,5.0,4.0,13.0,17.0,11.0,16.0,22.0,2.0,26.0,30.0,23.0,18.0,0.0,14.0,31.0,7.0,24.0,1.0,6.0,69.0,50.0,41.0,15.0,122.0,29.0,45.0,56.0
1927,16.0,13.0,1.0,12.0,6.0,22.0,0.0,8.0,14.0,47.0,5.0,3.0,46.0,9.0,7.0,11.0,4.0,29.0,49.0,21.0,27.0,2.0,79.0,86.0,333.0,17.0,24.0,53.0,15.0,124.0
1976,8.0,5.0,1.0,12.0,24.0,4.0,2.0,18.0,21.0,51.0,3.0,33.0,9.0,97.0,26.0,35.0,62.0,59.0,57.0,6.0,13.0,10.0,30.0,31.0,0.0,20.0,64.0,50.0,47.0,28.0
2025,3.0,7.0,5.0,1.0,32.0,12.0,9.0,4.0,24.0,17.0,8.0,27.0,22.0,130.0,35.0,6.0,19.0,66.0,51.0,13.0,16.0,2.0,34.0,10.0,0.0,45.0,43.0,29.0,47.0,44.0
2074,14.0,4.0,25.0,0.0,9.0,6.0,8.0,3.0,24.0,27.0,5.0,22.0,19.0,30.0,1.0,31.0,12.0,26.0,39.0,7.0,29.0,23.0,61.0,17.0,2.0,15.0,60.0,13.0,90.0,45.0
2123,1.0,10.0,3.0,6.0,23.0,0.0,25.0,2.0,4.0,13.0,36.0,22.0,32.0,44.0,17.0,11.0,74.0,20.0,34.0,18.0,24.0,8.0,63.0,7.0,5.0,12.0,59.0,14.0,40.0,86.0
2172,0.0,4.0,2.0,37.0,34.0,13.0,3.0,14.0,24.0,6.0,1.0,9.0,7.0,104.0,17.0,57.0,30.0,44.0,63.0,5.0,55.0,23.0,16.0,12.0,8.0,32.0,25.0,10.0,94.0,21.0
2221,1.0,3.0,2.0,6.0,24.0,12.0,15.0,11.0,13.0,19.0,7.0,9.0,5.0,72.0,8.0,28.0,35.0,16.0,10.0,14.0,45.0,23.0,17.0,4.0,0.0,60.0,206.0,18.0,62.0,63.0
2270,9.0,1.0,6.0,0.0,11.0,19.0,30.0,7.0,22.0,29.0,5.0,20.0,15.0,36.0,43.0,38.0,21.0,10.0,75.0,24.0,34.0,8.0,26.0,4.0,2.0,17.0,64.0,16.0,98.0,95.0
2319,6.0,0.0,8.0,11.0,13.0,9.0,20.0,1.0,18.0,12.0,3.0,55.0,49.0,29.0,7.0,19.0,17.0,35.0,4.0,44.0,2.0,14.0,32.0,10.0,5.0,45.0,98.0,25.0,69.0,37.0
2368,38.0,8.0,0.0,6.0,46.0,12.0,13.0,7.0,20.0,14.0,2.0,19.0,21.0,41.0,1.0,61.0,34.0,18.0,15.0,9.0,11.0,3.0,22.0,10.0,4.0,5.0,26.0,39.0,23.0,16.0
2417,5.0,3.0,15.0,7.0,20.0,4.0,11.0,6.0,54.0,16.0,10.0,74.0,13.0,17.0,9.0,62.0,23.0,18.0,84.0,19.0,33.0,86.0,21.0,2.0,0.0,71.0,85.0,1.0,135.0,70.0
2466,16.0,3.0,7.0,46.0,5.0,4.0,2.0,60.0,8.0,19.0,0.0,10.0,1.0,33.0,24.0,29.0,53.0,12.0,25.0,11.0,17.0,30.0,13.0,34.0,48.0,15.0,35.0,21.0,66.0,57.0
2515,5.0,3.0,2.0,7.0,8.0,11.0,0.0,25.0,15.0,45.0,6.0,1.0,4.0,44.0,65.0,21.0,92.0,37.0,32.0,12.0,14.0,17.0,20.0,31.0,88.0,9.0,59.0,40.0,18.0,49.0
2564,7.0,0.0,2.0,28.0,35.0,10.0,1.0,13.0,12.0,16.0,4.0,3.0,14.0,15.0,17.0,82.0,45.0,37.0,9.0,78.0,34.0,71.0,32.0,73.0,135.0,22.0,19.0,41.0,31.0,127.0
2613,4.0,6.0,1.0,5.0,28.0,10.0,7.0,17.0,12.0,18.0,0.0,3.0,2.0,62.0,30.0,35.0,65.0,42.0,68.0,13.0,27.0,9.0,20.0,24.0,47.0,14.0,52.0,51.0,56.0,69.0
2662,0.0,5.0,8.0,53.0,30.0,3.0,1.0,20.0,41.0,7.0,11.0,2.0,12.0,88.0,56.0,36.0,58.0,13.0,17.0,16.0,4.0,14.0,10.0,35.0,76.0,26.0,24.0,57.0,32.0,25.0
2711,1.0,4.0,5.0,90.0,112.0,6.0,0.0,12.0,44.0,13.0,3.0,11.0,2.0,32.0,61.0,25.0,87.0,8.0,10.0,18.0,47.0,30.0,21.0,17.0,95.0,36.0,28.0,26.0,129.0,52.0
2760,0.0,1.0,4.0,2.0,43.0,10.0,6.0,49.0,15.0,7.0,3.0,11.0,9.0,41.0,90.0,47.0,55.0,17.0,25.0,33.0,14.0,36.0,12.0,22.0,32.0,5.0,40.0,28.0,70.0,34.0
2809,4.0,6.0,1.0,11.0,23.0,7.0,3.0,16.0,20.0,2.0,8.0,0.0,5.0,40.0,48.0,47.0,56.0,13.0,57.0,25.0,15.0,46.0,9.0,39.0,105.0,33.0,53.0,22.0,29.0,28.0
2858,4.0,1.0,13.0,15.0,68.0,0.0,12.0,33.0,23.0,3.0,2.0,8.0,9.0,30.0,157.0,41.0,38.0,64.0,17.0,11.0,28.0,25.0,16.0,22.0,84.0,34.0,5.0,31.0,18.0,120.0
2907,3.0,6.0,5.0,25.0,2.0,24.0,7.0,13.0,31.0,65.0,9.0,0.0,1.0,16.0,27.0,29.0,26.0,14.0,70.0,11.0,10.0,35.0,39.0,21.0,126.0,62.0,112.0,19.0,57.0,28.0
2956,4.0,8.0,1.0,18.0,6.0,3.0,0.0,10.0,22.0,14.0,40.0,13.0,100.0,65.0,2.0,35.0,9.0,7.0,43.0,25.0,115.0,12.0,29.0,11.0,5.0,55.0,219.0,19.0,36.0,30.0
3005,11.0,1.0,3.0,2.0,6.0,7.0,17.0,0.0,10.0,28.0,27.0,5.0,20.0,60.0,9.0,22.0,30.0,4.0,47.0,66.0,15.0,59.0,24.0,21.0,8.0,19.0,29.0,34.0,145.0,99.0
3054,27.0,1.0,10.0,4.0,6.0,5.0,0.0,7.0,14.0,40.0,23.0,2.0,36.0,56.0,12.0,31.0,3.0,11.0,16.0,26.0,28.0,66.0,24.0,13.0,17.0,41.0,87.0,39.0,25.0,68.0
3103,41.0,13.0,68.0,1.0,8.0,0.0,3.0,2.0,7.0,30.0,44.0,6.0,9.0,15.0,4.0,12.0,14.0,10.0,22.0,19.0,59.0,82.0,29.0,5.0,24.0,78.0,128.0,18.0,60.0,37.0
3152,0.0,18.0,17.0,4.0,2.0,7.0,39.0,6.0,13.0,9.0,20.0,29.0,19.0,41.0,42.0,40.0,8.0,31.0,21.0,37.0,55.0,129.0,57.0,23.0,3.0,11.0,132.0,15.0,69.0,83.0
3201,1.0,3.0,6.0,0.0,8.0,22.0,7.0,5.0,13.0,77.0,30.0,14.0,33.0,161.0,2.0,26.0,21.0,10.0,67.0,99.0,38.0,90.0,18.0,4.0,20.0,71.0,156.0,12.0,9.0,36.0
3250,25.0,12.0,4.0,1.0,9.0,10.0,2.0,0.0,13.0,43.0,47.0,5.0,29.0,59.0,3.0,53.0,19.0,6.0,14.0,21.0,41.0,15.0,32.0,16.0,18.0,189.0,8.0,11.0,36.0,28.0
3299,10.0,12.0,9.0,0.0,13.0,5.0,4.0,2.0,46.0,30.0,56.0,32.0,8.0,60.0,3.0,25.0,6.0,15.0,37.0,16.0,27.0,39.0,64.0,80.0,18.0,42.0,102.0,63.0,20.0,28.0
3348,22.0,12.0,8.0,13.0,4.0,16.0,2.0,14.0,15.0,47.0,35.0,17.0,5.0,123.0,6.0,33.0,28.0,25.0,11.0,59.0,23.0,1.0,46.0,9.0,7.0,79.0,292.0,18.0,26.0,50.0
3397,57.0,5.0,16.0,2.0,3.0,11.0,4.0,1.0,10.0,83.0,24.0,7.0,36.0,23.0,20.0,0.0,6.0,9.0,78.0,43.0,96.0,74.0,53.0,34.0,21.0,236.0,87.0,13.0,28.0,181.0
3446,2.0,13.0,25.0,0.0,12.0,14.0,92.0,15.0,4.0,7.0,28.0,1.0,9.0,29.0,49.0,23.0,31.0,43.0,22.0,42.0,173.0,21.0,59.0,47.0,16.0,17.0,69.0,37.0,62.0,51.0
3495,10.0,26.0,72.0,1.0,15.0,2.0,48.0,28.0,3.0,11.0,78.0,42.0,14.0,18.0,46.0,7.0,8.0,20.0,19.0,49.0,94.0,135.0,89.0,13.0,44.0,53.0,4.0,6.0,34.0,29.0
3544,3.0,4.0,32.0,0.0,15.0,1.0,81.0,20.0,6.0,25.0,61.0,34.0,7.0,11.0,57.0,17.0,13.0,54.0,9.0,97.0,96.0,47.0,29.0,10.0,66.0,53.0,28.0,26.0,21.0,33.0
3593,9.0,0.0,14.0,13.0,41.0,2.0,48.0,5.0,3.0,28.0,19.0,40.0,29.0,32.0,12.0,15.0,18.0,16.0,62.0,80.0,109.0,38.0,37.0,56.0,10.0,4.0,33.0,7.0,11.0,31.0
3642,3.0,9.0,8.0,0.0,44.0,12.0,129.0,4.0,1.0,63.0,118.0,20.0,19.0,11.0,50.0,6.0,18.0,32.0,29.0,46.0,108.0,31.0,58.0,121.0,22.0,7.0,2.0,25.0,73.0,78.0
3691,1.0,3.0,12.0,15.0,20.0,7.0,93.0,8.0,0.0,22.0,9.0,58.0,31.0,5.0,29.0,6.0,42.0,18.0,25.0,57.0,171.0,55.0,41.0,34.0,63.0,17.0,23.0,28.0,51.0,14.0
3740,6.0,9.0,8.0,2.0,24.0,1.0,3.0,13.0,4.0,17.0,16.0,0.0,28.0,15.0,36.0,21.0,30.0,25.0,26.0,64.0,140.0,169.0,49.0,47.0,32.0,51.0,20.0,7.0,19.0,18.0
3789,2.0,8.0,1.0,9.0,11.0,10.0,30.0,12.0,5.0,55.0,38.0,7.0,34.0,13.0,179.0,24.0,14.0,33.0,17.0,59.0,19.0,43.0,62.0,31.0,110.0,6.0,25.0,18.0,58.0,87.0
3838,3.0,10.0,7.0,0.0,9.0,1.0,85.0,31.0,4.0,86.0,19.0,12.0,24.0,21.0,30.0,83.0,22.0,17.0,25.0,50.0,46.0,27.0,62.0,92.0,32.0,6.0,39.0,11.0,23.0,45.0
3887,1.0,2.0,18.0,3.0,0.0,5.0,83.0,12.0,15.0,16.0,22.0,62.0,36.0,4.0,24.0,26.0,30.0,41.0,17.0,221.0,88.0,27.0,23.0,55.0,14.0,9.0,72.0,7.0,8.0,33.0
3936,0.0,13.0,3.0,28.0,41.0,8.0,10.0,17.0,22.0,26.0,6.0,39.0,25.0,59.0,5.0,16.0,30.0,35.0,27.0,49.0,9.0,1.0,20.0,2.0,50.0,18.0,7.0,144.0,88.0,60.0
3985,9.0,6.0,0.0,40.0,3.0,18.0,33.0,2.0,14.0,28.0,30.0,15.0,5.0,16.0,1.0,24.0,27.0,46.0,84.0,21.0,7.0,23.0,17.0,4.0,22.0,95.0,8.0,96.0,66.0,50.0
4034,7.0,41.0,16.0,43.0,0.0,4.0,40.0,1.0,13.0,10.0,5.0,18.0,17.0,3.0,2.0,9.0,39.0,21.0,30.0,38.0,36.0,6.0,19.0,8.0,12.0,105.0,70.0,109.0,24.0,64.0
4083,3.0,4.0,6.0,38.0,1.0,5.0,10.0,0.0,25.0,11.0,57.0,28.0,26.0,30.0,12.0,83.0,16.0,19.0,47.0,34.0,8.0,13.0,17.0,23.0,35.0,92.0,31.0,93.0,21.0,66.0
4132,1.0,8.0,0.0,69.0,15.0,10.0,26.0,13.0,19.0,9.0,11.0,2.0,20.0,3.0,4.0,29.0,16.0,7.0,65.0,24.0,6.0,5.0,17.0,30.0,98.0,61.0,44.0,138.0,14.0,100.0
4181,5.0,4.0,1.0,42.0,27.0,19.0,29.0,16.0,7.0,17.0,14.0,9.0,10.0,44.0,6.0,59.0,22.0,15.0,18.0,76.0,0.0,12.0,11.0,2.0,24.0,43.0,41.0,116.0,21.0,52.0
4230,3.0,1.0,5.0,84.0,4.0,7.0,15.0,8.0,11.0,37.0,17.0,0.0,19.0,18.0,21.0,33.0,25.0,23.0,46.0,34.0,2.0,36.0,9.0,64.0,47.0,95.0,58.0,123.0,44.0,62.0
4279,5.0,2.0,10.0,4.0,0.0,11.0,9.0,17.0,16.0,27.0,8.0,1.0,25.0,32.0,12.0,38.0,20.0,31.0,69.0,35.0,40.0,42.0,21.0,3.0,19.0,54.0,37.0,67.0,7.0,53.0
4328,17.0,2.0,53.0,7.0,1.0,3.0,8.0,16.0,35.0,15.0,0.0,22.0,21.0,23.0,80.0,25.0,39.0,6.0,26.0,43.0,56.0,9.0,19.0,10.0,27.0,31.0,14.0,106.0,12.0,144.0
4377,0.0,1.0,18.0,21.0,2.0,30.0,171.0,7.0,23.0,4.0,12.0,34.0,32.0,19.0,6.0,28.0,46.0,66.0,27.0,43.0,16.0,15.0,22.0,24.0,8.0,26.0,10.0,164.0,17.0,96.0
4426,30.0,1.0,2.0,35.0,19.0,4.0,21.0,20.0,23.0,5.0,54.0,14.0,17.0,22.0,31.0,11.0,16.0,9.0,3.0,18.0,34.0,29.0,28.0,51.0,8.0,78.0,40.0,32.0,37.0,0.0
4475,3.0,2.0,5.0,68.0,18.0,6.0,1.0,52.0,106.0,25.0,7.0,116.0,8.0,16.0,13.0,19.0,28.0,11.0,12.0,10.0,58.0,63.0,20.0,39.0,15.0,66.0,9.0,17.0,72.0,4.0
4524,25.0,0.0,2.0,26.0,29.0,5.0,12.0,18.0,6.0,3.0,33.0,24.0,4.0,8.0,23.0,15.0,46.0,10.0,13.0,31.0,77.0,55.0,40.0,70.0,16.0,49.0,9.0,30.0,19.0,1.0
4573,22.0,5.0,0.0,83.0,9.0,3.0,15.0,13.0,27.0,6.0,71.0,17.0,20.0,4.0,10.0,21.0,19.0,58.0,8.0,7.0,35.0,37.0,16.0,64.0,2.0,85.0,12.0,24.0,53.0,14.0
4622,5.0,3.0,6.0,76.0,19.0,17.0,9.0,21.0,61.0,0.0,85.0,72.0,7.0,26.0,64.0,22.0,13.0,15.0,2.0,18.0,20.0,86.0,14.0,41.0,33.0,53.0,8.0,58.0,70.0,1.0
4671,8.0,24.0,2.0,37.0,59.0,15.0,7.0,45.0,12.0,0.0,100.0,70.0,11.0,1.0,20.0,3.0,56.0,13.0,4.0,5.0,26.0,77.0,19.0,27.0,16.0,21.0,14.0,22.0,40.0,6.0
4720,2.0,3.0,5.0,28.0,12.0,15.0,25.0,24.0,37.0,13.0,35.0,34.0,6.0,1.0,14.0,19.0,17.0,27.0,18.0,21.0,22.0,20.0,64.0,33.0,0.0,42.0,9.0,11.0,87.0,4.0
4769,79.0,3.0,1.0,40.0,12.0,5.0,0.0,11.0,34.0,13.0,50.0,20.0,15.0,21.0,4.0,16.0,33.0,8.0,23.0,19.0,37.0,69.0,70.0,86.0,7.0,32.0,88.0,25.0,42.0,6.0
4818,24.0,2.0,1.0,120.0,16.0,4.0,71.0,10.0,22.0,7.0,125.0,63.0,26.0,0.0,3.0,14.0,29.0,8.0,32.0,28.0,19.0,45.0,59.0,53.0,15.0,122.0,9.0,30.0,35.0,6.0
4867,59.0,9.0,25.0,19.0,2.0,14.0,87.0,11.0,43.0,20.0,18.0,17.0,6.0,3.0,16.0,1.0,23.0,8.0,15.0,10.0,62.0,44.0,52.0,58.0,5.0,78.0,37.0,24.0,167.0,27.0
