,C34:2 DAG,C36:1 DAG,cotinine,creatine,carnitine,C18:0 LPC,niacinamide,N-carbamoyl-beta-alanine,dCMP,taurodeoxycholate,homocysteine,palmitoylcarnitine,serotonin,malondialdehyde,1-methylnicotinamide,GABA,hypoxanthine,C22:6 CE,alpha-glycerophosphocholine,C36:4 PC-B,phosphocreatine,beta-alanine,PEP,glutamine,C56:5 TAG,inositol,sarcosine,serine,2-deoxyadenosine,C16:0 LPE
25,4.0,2.0,3.0,8.0,0.0,6.0,19.0,21.0,44.0,27.0,12.0,7.0,45.0,5.0,30.0,36.0,1.0,15.0,10.0,16.0,25.0,20.0,37.0,18.0,40.0,59.0,31.0,13.0,26.0,50.0
74,2.0,4.0,0.0,5.0,3.0,1.0,10.0,11.0,50.0,18.0,32.0,7.0,31.0,12.0,49.0,9.0,28.0,14.0,30.0,26.0,16.0,17.0,44.0,25.0,24.0,51.0,34.0,29.0,13.0,53.0
123,13.0,2.0,0.0,15.0,16.0,17.0,8.0,33.0,43.0,23.0,25.0,1.0,20.0,4.0,21.0,58.0,41.0,22.0,60.0,39.0,46.0,5.0,31.0,32.0,19.0,14.0,52.0,11.0,44.0,6.0
172,8.0,5.0,3.0,27.0,4.0,1.0,22.0,12.0,11.0,35.0,38.0,6.0,37.0,9.0,23.0,40.0,0.0,7.0,55.0,2.0,20.0,62.0,52.0,10.0,31.0,25.0,39.0,15.0,21.0,44.0
221,2.0,4.0,1.0,21.0,7.0,3.0,6.0,18.0,10.0,20.0,17.0,23.0,19.0,5.0,58.0,35.0,0.0,56.0,36.0,34.0,25.0,9.0,64.0,28.0,41.0,12.0,49.0,11.0,40.0,15.0
270,12.0,2.0,1.0,16.0,4.0,7.0,5.0,9.0,8.0,55.0,10.0,20.0,27.0,0.0,33.0,30.0,17.0,6.0,48.0,19.0,14.0,11.0,38.0,36.0,3.0,26.0,24.0,37.0,22.0,59.0
319,0.0,1.0,30.0,7.0,22.0,2.0,5.0,15.0,40.0,34.0,28.0,4.0,44.0,8.0,46.0,16.0,23.0,57.0,50.0,12.0,3.0,19.0,55.0,29.0,45.0,11.0,38.0,13.0,36.0,14.0
368,8.0,0.0,1.0,17.0,3.0,6.0,10.0,55.0,22.0,15.0,35.0,2.0,7.0,5.0,11.0,51.0,52.0,19.0,30.0,37.0,16.0,14.0,42.0,23.0,39.0,12.0,45.0,25.0,32.0,13.0
417,3.0,0.0,5.0,11.0,2.0,6.0,13.0,9.0,48.0,18.0,14.0,8.0,51.0,7.0,19.0,24.0,17.0,21.0,39.0,49.0,30.0,10.0,41.0,1.0,58.0,33.0,32.0,4.0,45.0,62.0
466,7.0,0.0,11.0,8.0,6.0,13.0,2.0,15.0,18.0,4.0,27.0,3.0,1.0,17.0,19.0,42.0,5.0,31.0,23.0,33.0,12.0,30.0,29.0,10.0,34.0,25.0,45.0,16.0,40.0,55.0
515,0.0,9.0,2.0,8.0,36.0,17.0,13.0,4.0,1.0,23.0,12.0,11.0,5.0,18.0,37.0,28.0,38.0,30.0,6.0,29.0,24.0,32.0,7.0,3.0,19.0,25.0,51.0,43.0,41.0,15.0
564,1.0,5.0,0.0,4.0,18.0,7.0,25.0,9.0,3.0,14.0,2.0,33.0,40.0,20.0,41.0,26.0,29.0,10.0,16.0,27.0,44.0,13.0,37.0,35.0,11.0,61.0,28.0,24.0,23.0,12.0
613,1.0,3.0,0.0,5.0,9.0,14.0,31.0,7.0,4.0,6.0,8.0,32.0,27.0,16.0,61.0,2.0,43.0,12.0,10.0,42.0,18.0,35.0,13.0,39.0,11.0,22.0,45.0,47.0,52.0,19.0
662,1.0,7.0,0.0,9.0,25.0,4.0,2.0,34.0,5.0,6.0,58.0,43.0,14.0,33.0,24.0,17.0,52.0,29.0,26.0,22.0,39.0,41.0,62.0,36.0,3.0,19.0,38.0,61.0,56.0,10.0
711,1.0,2.0,0.0,6.0,13.0,12.0,3.0,4.0,11.0,17.0,14.0,46.0,33.0,9.0,20.0,10.0,47.0,18.0,8.0,42.0,5.0,30.0,19.0,41.0,31.0,15.0,32.0,63.0,21.0,40.0
760,1.0,6.0,0.0,7.0,32.0,8.0,5.0,16.0,2.0,9.0,28.0,36.0,13.0,21.0,22.0,46.0,44.0,11.0,18.0,14.0,37.0,10.0,19.0,33.0,12.0,35.0,60.0,43.0,41.0,31.0
809,1.0,9.0,0.0,5.0,10.0,13.0,7.0,12.0,14.0,6.0,35.0,15.0,26.0,2.0,23.0,51.0,24.0,49.0,4.0,16.0,21.0,42.0,8.0,11.0,3.0,43.0,65.0,45.0,19.0,36.0
858,2.0,1.0,0.0,4.0,5.0,30.0,20.0,7.0,8.0,3.0,12.0,22.0,26.0,49.0,31.0,16.0,27.0,44.0,9.0,25.0,13.0,34.0,11.0,21.0,10.0,23.0,62.0,36.0,15.0,29.0
907,6.0,1.0,0.0,3.0,4.0,5.0,11.0,2.0,7.0,28.0,36.0,14.0,15.0,13.0,29.0,12.0,37.0,19.0,24.0,48.0,8.0,20.0,17.0,59.0,23.0,30.0,42.0,47.0,32.0,63.0
956,1.0,3.0,0.0,7.0,15.0,2.0,13.0,4.0,19.0,5.0,30.0,29.0,17.0,16.0,26.0,18.0,48.0,14.0,28.0,33.0,23.0,44.0,20.0,31.0,24.0,51.0,60.0,49.0,32.0,6.0
1005,3.0,19.0,4.0,0.0,2.0,7.0,42.0,10.0,46.0,8.0,12.0,9.0,21.0,17.0,6.0,16.0,1.0,27.0,22.0,13.0,11.0,5.0,45.0,18.0,15.0,25.0,30.0,51.0,38.0,59.0
1054,11.0,3.0,10.0,1.0,2.0,20.0,33.0,9.0,4.0,49.0,42.0,16.0,6.0,53.0,15.0,55.0,0.0,34.0,44.0,18.0,28.0,21.0,7.0,14.0,41.0,50.0,12.0,54.0,46.0,62.0
1103,3.0,2.0,1.0,5.0,0.0,13.0,12.0,22.0,30.0,10.0,63.0,41.0,24.0,48.0,4.0,56.0,9.0,37.0,18.0,44.0,19.0,16.0,6.0,7.0,46.0,29.0,20.0,40.0,11.0,32.0
1152,1.0,4.0,12.0,3.0,5.0,37.0,14.0,6.0,32.0,15.0,13.0,21.0,8.0,26.0,2.0,7.0,0.0,50.0,20.0,38.0,10.0,23.0,9.0,18.0,11.0,46.0,25.0,42.0,17.0,33.0
1201,40.0,4.0,0.0,1.0,19.0,8.0,13.0,17.0,15.0,9.0,39.0,6.0,25.0,54.0,11.0,26.0,14.0,12.0,27.0,7.0,51.0,32.0,18.0,5.0,22.0,33.0,31.0,57.0,20.0,59.0
1250,17.0,6.0,0.0,2.0,9.0,8.0,4.0,14.0,31.0,7.0,23.0,11.0,18.0,24.0,40.0,10.0,3.0,1.0,20.0,44.0,21.0,47.0,41.0,5.0,35.0,43.0,27.0,55.0,32.0,42.0
1299,6.0,2.0,0.0,4.0,26.0,3.0,7.0,14.0,46.0,31.0,60.0,40.0,11.0,13.0,5.0,18.0,1.0,24.0,22.0,50.0,9.0,36.0,27.0,30.0,28.0,8.0,16.0,17.0,25.0,23.0
1348,0.0,16.0,15.0,6.0,20.0,24.0,7.0,5.0,43.0,4.0,33.0,30.0,14.0,11.0,1.0,18.0,2.0,3.0,10.0,38.0,37.0,19.0,8.0,9.0,59.0,49.0,12.0,44.0,46.0,21.0
