,Src_pY527,MEK1_pS217_S221,Smad3,FRA1,Gab2,CDK1,p53,CD49b,Annexin 1,MIG-6,YB-1_pS102,PKC-pan_BetaII_pS660,Src,Bid,Bax,Transglutaminase,VAV1,Rb,Raptor,Smac,XBP1,Notch1,alpha-Catenin,E-Cadherin,Src_pY416,Cyclin_E1,4E-BP1_pT70,TIGAR,Rab25,NF2
2304,0.0,2.0,39.0,10.0,4.0,5.0,22.0,1.0,20.0,3.0,36.0,13.0,24.0,14.0,40.0,6.0,12.0,42.0,19.0,15.0,18.0,86.0,27.0,59.0,17.0,50.0,33.0,25.0,29.0,23.0
2353,0.0,4.0,26.0,14.0,8.0,2.0,20.0,1.0,11.0,7.0,10.0,17.0,29.0,5.0,30.0,6.0,15.0,28.0,13.0,16.0,25.0,89.0,12.0,37.0,32.0,65.0,56.0,18.0,55.0,23.0
2402,2.0,1.0,22.0,15.0,12.0,6.0,33.0,0.0,28.0,10.0,20.0,13.0,7.0,11.0,29.0,5.0,16.0,27.0,43.0,4.0,34.0,70.0,48.0,72.0,3.0,79.0,39.0,8.0,14.0,18.0
2451,0.0,3.0,17.0,2.0,15.0,1.0,43.0,23.0,22.0,13.0,11.0,28.0,9.0,19.0,45.0,5.0,10.0,24.0,30.0,12.0,29.0,8.0,33.0,34.0,6.0,4.0,25.0,7.0,21.0,46.0
2500,0.0,1.0,7.0,15.0,31.0,21.0,29.0,3.0,30.0,18.0,14.0,33.0,25.0,11.0,27.0,13.0,5.0,10.0,16.0,37.0,22.0,4.0,12.0,6.0,23.0,2.0,17.0,43.0,9.0,47.0
2549,0.0,3.0,25.0,12.0,20.0,9.0,19.0,2.0,10.0,4.0,13.0,29.0,31.0,22.0,17.0,43.0,26.0,6.0,38.0,11.0,23.0,5.0,24.0,16.0,8.0,1.0,15.0,50.0,7.0,72.0
2598,1.0,0.0,22.0,2.0,21.0,6.0,4.0,3.0,18.0,27.0,15.0,29.0,24.0,31.0,33.0,43.0,16.0,23.0,19.0,14.0,35.0,11.0,53.0,17.0,34.0,8.0,13.0,26.0,5.0,45.0
2647,0.0,4.0,17.0,18.0,8.0,2.0,10.0,1.0,42.0,9.0,12.0,67.0,11.0,21.0,24.0,23.0,30.0,20.0,13.0,6.0,27.0,5.0,22.0,31.0,7.0,3.0,19.0,16.0,28.0,45.0
2696,7.0,0.0,1.0,15.0,11.0,18.0,24.0,14.0,10.0,19.0,5.0,22.0,28.0,12.0,32.0,3.0,6.0,13.0,37.0,4.0,16.0,8.0,42.0,25.0,17.0,2.0,33.0,39.0,9.0,21.0
2745,0.0,1.0,35.0,7.0,27.0,5.0,71.0,2.0,14.0,58.0,6.0,17.0,11.0,46.0,47.0,21.0,10.0,20.0,19.0,9.0,15.0,3.0,32.0,22.0,16.0,8.0,13.0,39.0,4.0,66.0
2794,2.0,0.0,42.0,3.0,38.0,5.0,11.0,8.0,6.0,16.0,23.0,40.0,31.0,30.0,25.0,9.0,29.0,13.0,14.0,4.0,35.0,7.0,33.0,10.0,18.0,1.0,27.0,34.0,15.0,41.0
2843,0.0,2.0,27.0,6.0,18.0,5.0,13.0,1.0,11.0,39.0,22.0,43.0,14.0,16.0,35.0,19.0,9.0,3.0,26.0,12.0,29.0,25.0,15.0,7.0,49.0,4.0,8.0,32.0,10.0,17.0
2892,0.0,2.0,20.0,14.0,15.0,7.0,39.0,1.0,19.0,9.0,13.0,36.0,35.0,24.0,37.0,33.0,3.0,26.0,8.0,16.0,12.0,5.0,17.0,25.0,28.0,4.0,23.0,45.0,6.0,40.0
2941,0.0,9.0,6.0,3.0,5.0,4.0,12.0,10.0,1.0,7.0,28.0,17.0,8.0,11.0,33.0,16.0,18.0,2.0,36.0,23.0,25.0,34.0,35.0,14.0,20.0,29.0,30.0,21.0,37.0,13.0
2990,0.0,3.0,11.0,6.0,5.0,9.0,1.0,16.0,2.0,18.0,7.0,17.0,10.0,24.0,20.0,42.0,14.0,4.0,13.0,25.0,34.0,28.0,26.0,8.0,60.0,12.0,35.0,29.0,56.0,39.0
3039,3.0,7.0,24.0,6.0,4.0,9.0,12.0,0.0,13.0,30.0,5.0,19.0,27.0,49.0,17.0,8.0,25.0,1.0,14.0,10.0,44.0,43.0,52.0,32.0,20.0,2.0,23.0,51.0,28.0,38.0
3088,1.0,5.0,0.0,11.0,4.0,14.0,6.0,2.0,18.0,10.0,8.0,20.0,12.0,30.0,13.0,26.0,7.0,15.0,56.0,42.0,29.0,28.0,24.0,45.0,19.0,3.0,9.0,40.0,36.0,23.0
3137,0.0,8.0,22.0,5.0,3.0,10.0,11.0,2.0,1.0,20.0,4.0,16.0,9.0,23.0,6.0,54.0,21.0,14.0,38.0,25.0,15.0,62.0,26.0,17.0,61.0,18.0,12.0,65.0,43.0,7.0
3186,0.0,1.0,10.0,5.0,4.0,19.0,7.0,2.0,3.0,8.0,15.0,12.0,20.0,46.0,11.0,37.0,17.0,6.0,49.0,31.0,13.0,52.0,33.0,23.0,30.0,9.0,14.0,66.0,36.0,28.0
3235,1.0,4.0,5.0,29.0,37.0,0.0,10.0,3.0,18.0,7.0,6.0,22.0,28.0,20.0,36.0,13.0,11.0,17.0,19.0,15.0,70.0,14.0,2.0,38.0,24.0,43.0,9.0,34.0,40.0,16.0
3284,0.0,4.0,19.0,25.0,8.0,7.0,10.0,1.0,2.0,9.0,13.0,30.0,21.0,6.0,11.0,39.0,18.0,5.0,37.0,31.0,28.0,3.0,26.0,17.0,12.0,16.0,20.0,38.0,15.0,35.0
3333,0.0,4.0,17.0,8.0,13.0,14.0,2.0,7.0,1.0,12.0,9.0,19.0,24.0,6.0,15.0,33.0,27.0,3.0,28.0,31.0,25.0,38.0,10.0,34.0,37.0,5.0,11.0,58.0,35.0,18.0
3382,2.0,6.0,20.0,9.0,8.0,7.0,0.0,3.0,4.0,29.0,18.0,24.0,11.0,27.0,19.0,5.0,17.0,1.0,33.0,14.0,13.0,28.0,41.0,46.0,23.0,16.0,12.0,32.0,56.0,21.0
3431,1.0,2.0,11.0,4.0,0.0,20.0,7.0,3.0,5.0,14.0,21.0,23.0,27.0,10.0,6.0,34.0,17.0,13.0,74.0,19.0,28.0,12.0,56.0,37.0,50.0,38.0,18.0,42.0,8.0,36.0
3480,2.0,5.0,15.0,0.0,6.0,12.0,14.0,11.0,18.0,3.0,8.0,1.0,16.0,13.0,4.0,10.0,21.0,9.0,32.0,28.0,79.0,7.0,41.0,47.0,34.0,22.0,37.0,33.0,27.0,44.0
3529,2.0,0.0,6.0,10.0,11.0,19.0,8.0,14.0,7.0,5.0,24.0,16.0,20.0,3.0,13.0,22.0,18.0,1.0,54.0,4.0,43.0,12.0,25.0,21.0,41.0,31.0,44.0,47.0,9.0,33.0
3578,3.0,0.0,15.0,1.0,2.0,4.0,14.0,6.0,27.0,17.0,13.0,16.0,37.0,24.0,9.0,29.0,5.0,7.0,8.0,39.0,33.0,10.0,22.0,12.0,38.0,21.0,35.0,18.0,20.0,25.0
3627,4.0,7.0,15.0,3.0,8.0,2.0,25.0,10.0,1.0,32.0,21.0,9.0,37.0,23.0,6.0,17.0,18.0,42.0,16.0,43.0,46.0,22.0,35.0,29.0,19.0,14.0,13.0,30.0,26.0,77.0
3676,0.0,4.0,8.0,2.0,7.0,10.0,19.0,3.0,15.0,6.0,1.0,14.0,30.0,29.0,17.0,48.0,31.0,23.0,34.0,13.0,33.0,24.0,56.0,18.0,28.0,12.0,27.0,35.0,9.0,46.0
3725,0.0,20.0,13.0,2.0,1.0,19.0,25.0,4.0,5.0,22.0,12.0,17.0,14.0,6.0,7.0,8.0,3.0,10.0,39.0,16.0,23.0,75.0,28.0,37.0,24.0,38.0,9.0,30.0,21.0,27.0
3774,0.0,1.0,8.0,4.0,2.0,5.0,25.0,3.0,12.0,7.0,11.0,6.0,39.0,15.0,61.0,35.0,13.0,10.0,27.0,19.0,24.0,9.0,54.0,45.0,43.0,23.0,20.0,48.0,18.0,30.0
3823,0.0,1.0,6.0,13.0,3.0,19.0,4.0,2.0,26.0,11.0,24.0,7.0,39.0,14.0,9.0,20.0,18.0,8.0,25.0,17.0,16.0,43.0,38.0,40.0,37.0,12.0,15.0,47.0,5.0,36.0
3872,0.0,5.0,21.0,1.0,3.0,34.0,10.0,7.0,8.0,23.0,24.0,2.0,55.0,17.0,14.0,18.0,9.0,11.0,22.0,16.0,33.0,25.0,50.0,13.0,46.0,6.0,27.0,73.0,4.0,15.0
3921,15.0,14.0,2.0,0.0,11.0,20.0,6.0,10.0,17.0,5.0,1.0,7.0,31.0,27.0,8.0,3.0,9.0,24.0,19.0,23.0,79.0,22.0,13.0,18.0,4.0,44.0,12.0,21.0,37.0,29.0
3970,3.0,9.0,6.0,1.0,7.0,34.0,4.0,15.0,30.0,16.0,2.0,0.0,13.0,21.0,10.0,23.0,39.0,28.0,12.0,20.0,50.0,36.0,5.0,24.0,25.0,26.0,18.0,22.0,37.0,11.0
4019,14.0,2.0,10.0,12.0,13.0,4.0,6.0,20.0,15.0,3.0,0.0,9.0,8.0,48.0,1.0,19.0,18.0,23.0,7.0,32.0,42.0,11.0,5.0,21.0,26.0,57.0,31.0,16.0,25.0,22.0
4068,7.0,23.0,0.0,33.0,19.0,45.0,2.0,3.0,5.0,20.0,6.0,17.0,4.0,42.0,9.0,8.0,28.0,16.0,34.0,15.0,24.0,60.0,31.0,22.0,11.0,13.0,35.0,37.0,29.0,27.0
4117,10.0,5.0,3.0,0.0,43.0,2.0,4.0,18.0,9.0,21.0,1.0,11.0,12.0,27.0,7.0,23.0,37.0,28.0,39.0,52.0,38.0,14.0,17.0,16.0,26.0,24.0,30.0,6.0,36.0,33.0
4166,8.0,4.0,0.0,2.0,20.0,21.0,3.0,6.0,15.0,10.0,1.0,9.0,7.0,33.0,5.0,34.0,40.0,23.0,16.0,18.0,26.0,14.0,22.0,12.0,13.0,30.0,19.0,25.0,56.0,39.0
4215,3.0,15.0,0.0,5.0,30.0,21.0,11.0,36.0,17.0,9.0,4.0,41.0,12.0,19.0,1.0,6.0,18.0,23.0,7.0,33.0,49.0,2.0,8.0,10.0,25.0,42.0,13.0,27.0,24.0,16.0
4264,16.0,10.0,0.0,5.0,6.0,14.0,3.0,13.0,9.0,4.0,2.0,17.0,7.0,23.0,1.0,22.0,26.0,27.0,21.0,37.0,34.0,12.0,20.0,8.0,15.0,30.0,19.0,11.0,24.0,32.0
4313,2.0,25.0,5.0,3.0,18.0,28.0,6.0,24.0,29.0,4.0,0.0,10.0,1.0,30.0,7.0,8.0,32.0,34.0,9.0,15.0,52.0,11.0,16.0,20.0,12.0,13.0,22.0,21.0,31.0,41.0
4362,17.0,6.0,1.0,8.0,20.0,7.0,10.0,2.0,22.0,13.0,0.0,5.0,16.0,18.0,3.0,30.0,19.0,46.0,4.0,12.0,31.0,28.0,11.0,25.0,29.0,41.0,27.0,15.0,14.0,48.0
4411,0.0,19.0,4.0,18.0,1.0,8.0,3.0,2.0,13.0,9.0,12.0,17.0,10.0,42.0,7.0,29.0,11.0,34.0,14.0,38.0,6.0,22.0,30.0,41.0,15.0,5.0,31.0,36.0,33.0,86.0
4460,0.0,21.0,1.0,13.0,2.0,16.0,3.0,4.0,8.0,15.0,9.0,5.0,12.0,14.0,11.0,18.0,7.0,31.0,23.0,55.0,19.0,29.0,36.0,32.0,33.0,6.0,20.0,10.0,34.0,61.0
4509,0.0,13.0,1.0,4.0,3.0,5.0,7.0,27.0,2.0,14.0,15.0,11.0,21.0,39.0,28.0,40.0,17.0,48.0,8.0,57.0,6.0,33.0,24.0,16.0,51.0,23.0,20.0,10.0,12.0,114.0
4558,0.0,14.0,2.0,8.0,1.0,15.0,3.0,7.0,21.0,20.0,37.0,4.0,22.0,13.0,18.0,29.0,12.0,28.0,10.0,43.0,62.0,31.0,24.0,35.0,50.0,6.0,17.0,33.0,11.0,49.0
4607,0.0,14.0,4.0,5.0,2.0,10.0,3.0,1.0,12.0,17.0,38.0,6.0,31.0,20.0,7.0,28.0,15.0,60.0,16.0,30.0,43.0,23.0,24.0,50.0,27.0,11.0,41.0,26.0,9.0,52.0
4656,0.0,18.0,1.0,23.0,3.0,24.0,2.0,49.0,4.0,17.0,15.0,5.0,14.0,6.0,16.0,10.0,7.0,55.0,12.0,30.0,11.0,27.0,19.0,8.0,35.0,9.0,22.0,13.0,36.0,59.0
4705,1.0,5.0,0.0,19.0,2.0,15.0,28.0,17.0,4.0,22.0,14.0,26.0,29.0,11.0,23.0,9.0,18.0,37.0,3.0,53.0,10.0,38.0,31.0,8.0,56.0,25.0,27.0,16.0,35.0,67.0
4754,0.0,16.0,1.0,5.0,15.0,20.0,2.0,24.0,6.0,34.0,10.0,13.0,12.0,18.0,31.0,11.0,14.0,32.0,4.0,39.0,19.0,36.0,33.0,44.0,51.0,3.0,8.0,29.0,28.0,67.0
4803,0.0,8.0,14.0,1.0,9.0,23.0,2.0,20.0,6.0,18.0,31.0,13.0,3.0,4.0,15.0,28.0,42.0,26.0,7.0,46.0,11.0,32.0,36.0,19.0,24.0,12.0,5.0,30.0,43.0,40.0
4852,0.0,3.0,2.0,30.0,1.0,9.0,4.0,12.0,5.0,18.0,20.0,16.0,10.0,17.0,11.0,8.0,15.0,45.0,6.0,29.0,21.0,34.0,22.0,32.0,33.0,7.0,13.0,26.0,23.0,77.0
