,hsa-miR-30a,hsa-miR-766,hsa-miR-607,hsa-miR-1246,hsa-miR-1825,hsa-miR-378,hsa-miR-22,hsa-miR-643,hsa-miR-30e,hsa-miR-499-5p,hsa-miR-488,hsa-miR-589,hsa-miR-591,hsa-miR-590-5p,hsa-miR-578,hsa-miR-590-3p,hsa-miR-588,hsa-miR-587,hsa-miR-583,hsa-miR-586,hsa-miR-584,hsa-miR-582-3p,hsa-miR-580,hsa-miR-579,hsa-miR-581,hsa-miR-582-5p,hsa-miR-577,hsa-miR-576-5p,hsa-miR-592,hsa-miR-576-3p
1147,5.0,4.0,12.0,441.0,398.0,486.0,1.0,276.0,596.0,33.0,536.0,49.0,22.0,46.0,2.0,48.0,58.0,54.0,53.0,56.0,42.0,43.0,44.0,47.0,59.0,24.0,52.0,55.0,76.0,51.0
1196,0.0,2.0,7.0,1.0,11.0,12.0,563.0,278.0,595.0,34.0,551.0,48.0,68.0,69.0,65.0,97.0,51.0,46.0,54.0,50.0,66.0,57.0,63.0,64.0,59.0,53.0,82.0,98.0,95.0,165.0
1245,1.0,0.0,77.0,33.0,20.0,13.0,23.0,29.0,4.0,524.0,38.0,65.0,60.0,61.0,8.0,62.0,66.0,69.0,109.0,72.0,73.0,144.0,147.0,148.0,146.0,176.0,149.0,152.0,58.0,153.0
1294,0.0,3.0,17.0,416.0,392.0,4.0,564.0,274.0,597.0,526.0,533.0,44.0,41.0,21.0,14.0,43.0,46.0,47.0,50.0,58.0,59.0,57.0,52.0,42.0,48.0,55.0,53.0,54.0,77.0,56.0
1343,1.0,23.0,0.0,422.0,22.0,482.0,565.0,28.0,39.0,522.0,33.0,54.0,47.0,59.0,96.0,53.0,56.0,58.0,57.0,60.0,50.0,51.0,52.0,88.0,37.0,55.0,163.0,98.0,49.0,151.0
1392,1.0,9.0,0.0,41.0,398.0,28.0,3.0,260.0,31.0,22.0,533.0,97.0,100.0,99.0,47.0,98.0,96.0,95.0,74.0,76.0,75.0,34.0,45.0,46.0,43.0,20.0,49.0,52.0,102.0,53.0
1441,0.0,17.0,2.0,420.0,398.0,22.0,24.0,4.0,41.0,525.0,1.0,59.0,80.0,61.0,51.0,77.0,45.0,46.0,52.0,48.0,50.0,57.0,47.0,53.0,56.0,54.0,58.0,49.0,81.0,55.0
1490,1.0,3.0,9.0,8.0,30.0,486.0,566.0,36.0,27.0,37.0,43.0,69.0,23.0,71.0,61.0,70.0,46.0,50.0,54.0,51.0,53.0,57.0,59.0,60.0,58.0,56.0,62.0,63.0,93.0,64.0
1539,0.0,28.0,3.0,7.0,6.0,13.0,29.0,5.0,23.0,32.0,36.0,19.0,90.0,64.0,25.0,56.0,44.0,46.0,51.0,48.0,50.0,55.0,61.0,62.0,58.0,53.0,57.0,54.0,89.0,47.0
1588,4.0,6.0,11.0,10.0,398.0,485.0,36.0,18.0,7.0,3.0,2.0,29.0,89.0,90.0,53.0,62.0,43.0,40.0,45.0,42.0,44.0,50.0,51.0,52.0,49.0,41.0,55.0,56.0,88.0,57.0
1637,2.0,4.0,11.0,9.0,15.0,17.0,566.0,5.0,597.0,525.0,34.0,47.0,57.0,43.0,23.0,46.0,49.0,50.0,53.0,51.0,52.0,56.0,63.0,41.0,62.0,55.0,61.0,60.0,67.0,59.0
1686,0.0,3.0,2.0,4.0,393.0,484.0,565.0,32.0,39.0,525.0,536.0,41.0,94.0,58.0,51.0,43.0,42.0,44.0,48.0,57.0,47.0,6.0,37.0,50.0,49.0,46.0,52.0,53.0,60.0,54.0
1735,1.0,6.0,0.0,2.0,17.0,7.0,3.0,5.0,41.0,28.0,38.0,44.0,43.0,42.0,55.0,45.0,61.0,48.0,50.0,22.0,49.0,51.0,53.0,54.0,52.0,47.0,56.0,57.0,62.0,58.0
1784,0.0,21.0,11.0,14.0,395.0,485.0,565.0,5.0,25.0,40.0,39.0,68.0,10.0,92.0,29.0,67.0,50.0,49.0,51.0,48.0,47.0,43.0,53.0,57.0,65.0,44.0,60.0,61.0,89.0,62.0
1833,4.0,18.0,7.0,2.0,5.0,488.0,27.0,1.0,3.0,33.0,37.0,19.0,58.0,46.0,53.0,48.0,54.0,55.0,65.0,56.0,57.0,60.0,64.0,43.0,62.0,59.0,52.0,47.0,80.0,44.0
1882,0.0,314.0,2.0,441.0,398.0,487.0,13.0,3.0,597.0,35.0,553.0,46.0,62.0,48.0,56.0,47.0,49.0,45.0,52.0,50.0,61.0,11.0,54.0,55.0,51.0,53.0,57.0,58.0,78.0,59.0
1931,0.0,15.0,4.0,5.0,9.0,13.0,41.0,1.0,17.0,32.0,535.0,67.0,92.0,93.0,53.0,66.0,65.0,52.0,44.0,46.0,45.0,48.0,64.0,51.0,43.0,49.0,55.0,56.0,91.0,58.0
1980,0.0,17.0,1.0,22.0,394.0,21.0,6.0,30.0,33.0,36.0,37.0,9.0,52.0,54.0,28.0,56.0,51.0,58.0,53.0,42.0,50.0,41.0,47.0,45.0,57.0,55.0,83.0,94.0,49.0,134.0
2029,0.0,2.0,4.0,17.0,392.0,7.0,563.0,32.0,610.0,525.0,536.0,3.0,42.0,9.0,51.0,40.0,56.0,44.0,46.0,45.0,57.0,48.0,50.0,36.0,49.0,47.0,52.0,53.0,39.0,54.0
2078,0.0,18.0,15.0,14.0,394.0,488.0,566.0,4.0,22.0,528.0,536.0,68.0,16.0,19.0,57.0,93.0,66.0,54.0,43.0,50.0,48.0,46.0,53.0,56.0,51.0,44.0,60.0,61.0,90.0,62.0
2127,0.0,5.0,4.0,11.0,393.0,486.0,9.0,31.0,33.0,29.0,39.0,49.0,61.0,95.0,57.0,43.0,50.0,51.0,12.0,52.0,59.0,53.0,47.0,42.0,48.0,54.0,56.0,55.0,21.0,58.0
2176,25.0,0.0,9.0,5.0,396.0,484.0,31.0,276.0,2.0,523.0,40.0,58.0,57.0,46.0,49.0,43.0,50.0,48.0,47.0,56.0,59.0,54.0,52.0,51.0,53.0,55.0,45.0,44.0,95.0,83.0
2225,0.0,4.0,1.0,17.0,394.0,10.0,566.0,27.0,16.0,525.0,36.0,61.0,42.0,21.0,103.0,47.0,70.0,68.0,64.0,67.0,65.0,59.0,56.0,55.0,57.0,60.0,138.0,105.0,43.0,104.0
2274,0.0,313.0,3.0,17.0,394.0,27.0,563.0,274.0,30.0,525.0,31.0,45.0,41.0,58.0,54.0,44.0,46.0,47.0,49.0,48.0,59.0,51.0,53.0,37.0,52.0,50.0,55.0,56.0,40.0,57.0
2323,0.0,1.0,4.0,16.0,393.0,484.0,563.0,276.0,2.0,34.0,23.0,60.0,44.0,11.0,56.0,45.0,47.0,48.0,51.0,61.0,50.0,52.0,54.0,55.0,53.0,39.0,57.0,58.0,42.0,59.0
2372,3.0,0.0,2.0,1.0,397.0,485.0,6.0,277.0,7.0,34.0,31.0,90.0,86.0,87.0,51.0,88.0,91.0,65.0,41.0,49.0,45.0,42.0,46.0,63.0,43.0,47.0,54.0,55.0,85.0,57.0
2421,0.0,3.0,1.0,2.0,393.0,484.0,565.0,274.0,4.0,6.0,552.0,42.0,62.0,49.0,57.0,43.0,41.0,40.0,51.0,45.0,48.0,53.0,55.0,56.0,54.0,52.0,58.0,59.0,78.0,60.0
2470,1.0,5.0,71.0,3.0,33.0,483.0,564.0,38.0,0.0,35.0,552.0,48.0,67.0,53.0,62.0,49.0,51.0,50.0,55.0,44.0,66.0,57.0,59.0,60.0,58.0,56.0,63.0,64.0,95.0,155.0
2519,2.0,5.0,3.0,419.0,20.0,24.0,28.0,279.0,598.0,35.0,552.0,51.0,61.0,47.0,56.0,49.0,60.0,57.0,44.0,45.0,48.0,55.0,58.0,59.0,46.0,52.0,54.0,53.0,87.0,50.0
2568,0.0,5.0,6.0,1.0,18.0,25.0,23.0,277.0,3.0,35.0,535.0,48.0,46.0,45.0,31.0,43.0,50.0,51.0,56.0,52.0,55.0,47.0,54.0,53.0,58.0,60.0,49.0,59.0,57.0,42.0
2617,3.0,0.0,26.0,23.0,397.0,9.0,564.0,35.0,2.0,526.0,537.0,65.0,62.0,63.0,147.0,64.0,66.0,67.0,106.0,68.0,70.0,142.0,145.0,146.0,143.0,141.0,148.0,150.0,61.0,152.0
2666,24.0,5.0,3.0,9.0,15.0,28.0,563.0,40.0,25.0,34.0,38.0,44.0,67.0,68.0,64.0,57.0,45.0,46.0,23.0,47.0,48.0,54.0,60.0,62.0,55.0,66.0,53.0,63.0,94.0,58.0
2715,0.0,13.0,2.0,4.0,8.0,14.0,561.0,33.0,3.0,522.0,549.0,48.0,68.0,30.0,82.0,50.0,45.0,65.0,57.0,54.0,53.0,60.0,62.0,64.0,61.0,59.0,176.0,98.0,67.0,154.0
2764,0.0,3.0,4.0,415.0,8.0,2.0,561.0,279.0,26.0,525.0,32.0,52.0,92.0,74.0,27.0,53.0,51.0,50.0,54.0,55.0,48.0,44.0,49.0,73.0,42.0,45.0,57.0,72.0,75.0,71.0
2813,0.0,1.0,76.0,419.0,15.0,483.0,40.0,279.0,4.0,523.0,41.0,49.0,96.0,51.0,64.0,50.0,48.0,52.0,55.0,45.0,47.0,58.0,61.0,63.0,60.0,54.0,97.0,156.0,68.0,99.0
2862,0.0,1.0,5.0,3.0,13.0,487.0,9.0,275.0,596.0,527.0,35.0,40.0,14.0,61.0,59.0,53.0,42.0,43.0,50.0,47.0,49.0,20.0,56.0,58.0,54.0,51.0,60.0,39.0,90.0,57.0
2911,21.0,4.0,0.0,422.0,2.0,16.0,43.0,31.0,610.0,524.0,551.0,67.0,92.0,70.0,63.0,94.0,45.0,47.0,55.0,49.0,54.0,59.0,61.0,62.0,60.0,57.0,64.0,65.0,91.0,74.0
2960,2.0,5.0,13.0,11.0,21.0,489.0,1.0,40.0,0.0,4.0,41.0,49.0,46.0,23.0,54.0,47.0,52.0,53.0,59.0,55.0,58.0,44.0,63.0,45.0,50.0,60.0,57.0,61.0,80.0,56.0
3009,0.0,4.0,10.0,13.0,17.0,486.0,564.0,276.0,597.0,3.0,552.0,48.0,82.0,67.0,60.0,49.0,47.0,51.0,52.0,43.0,45.0,53.0,57.0,59.0,56.0,54.0,61.0,62.0,95.0,63.0
3058,36.0,4.0,2.0,11.0,398.0,0.0,8.0,33.0,3.0,32.0,43.0,56.0,61.0,59.0,30.0,52.0,53.0,60.0,42.0,46.0,57.0,51.0,49.0,47.0,50.0,58.0,89.0,94.0,55.0,133.0
3107,7.0,0.0,79.0,8.0,396.0,485.0,564.0,275.0,595.0,30.0,36.0,39.0,58.0,48.0,22.0,40.0,41.0,42.0,45.0,57.0,44.0,47.0,50.0,51.0,49.0,46.0,52.0,53.0,75.0,54.0
3156,0.0,3.0,5.0,34.0,394.0,484.0,25.0,30.0,33.0,37.0,42.0,62.0,59.0,60.0,144.0,61.0,63.0,64.0,17.0,67.0,68.0,165.0,142.0,143.0,106.0,105.0,145.0,146.0,57.0,147.0
3205,0.0,22.0,74.0,38.0,3.0,13.0,563.0,34.0,596.0,41.0,39.0,21.0,57.0,60.0,11.0,61.0,64.0,65.0,20.0,66.0,67.0,71.0,107.0,140.0,105.0,69.0,108.0,143.0,58.0,144.0
3254,11.0,0.0,4.0,6.0,392.0,483.0,561.0,3.0,26.0,37.0,38.0,56.0,51.0,53.0,49.0,54.0,14.0,59.0,60.0,44.0,47.0,42.0,55.0,52.0,58.0,57.0,43.0,96.0,50.0,135.0
3303,0.0,2.0,26.0,3.0,398.0,23.0,9.0,4.0,34.0,5.0,32.0,18.0,45.0,48.0,38.0,59.0,51.0,52.0,8.0,54.0,57.0,58.0,55.0,53.0,56.0,50.0,49.0,43.0,46.0,44.0
3352,0.0,1.0,93.0,3.0,29.0,489.0,567.0,2.0,598.0,5.0,4.0,52.0,42.0,40.0,89.0,39.0,68.0,53.0,58.0,54.0,56.0,63.0,66.0,67.0,64.0,60.0,104.0,164.0,43.0,142.0
3401,20.0,21.0,25.0,33.0,23.0,16.0,3.0,279.0,17.0,39.0,38.0,61.0,56.0,57.0,6.0,59.0,62.0,63.0,18.0,64.0,65.0,70.0,72.0,102.0,71.0,68.0,108.0,107.0,55.0,144.0
3450,0.0,22.0,83.0,9.0,16.0,23.0,26.0,4.0,40.0,38.0,550.0,59.0,47.0,54.0,15.0,58.0,56.0,53.0,51.0,48.0,45.0,55.0,60.0,50.0,52.0,57.0,93.0,152.0,46.0,95.0
3499,0.0,40.0,5.0,3.0,8.0,17.0,10.0,27.0,35.0,524.0,32.0,48.0,41.0,44.0,59.0,60.0,49.0,50.0,53.0,51.0,52.0,55.0,57.0,58.0,56.0,54.0,87.0,95.0,46.0,154.0
3548,3.0,317.0,90.0,2.0,397.0,37.0,562.0,26.0,8.0,523.0,551.0,58.0,50.0,51.0,48.0,52.0,59.0,60.0,47.0,45.0,56.0,55.0,53.0,61.0,57.0,62.0,97.0,156.0,49.0,99.0
3597,1.0,3.0,12.0,11.0,16.0,2.0,9.0,4.0,0.0,525.0,38.0,46.0,76.0,44.0,59.0,45.0,58.0,49.0,52.0,50.0,51.0,48.0,53.0,43.0,57.0,54.0,56.0,55.0,61.0,47.0
3646,0.0,313.0,89.0,3.0,396.0,6.0,23.0,31.0,598.0,524.0,552.0,45.0,43.0,7.0,51.0,41.0,57.0,46.0,55.0,49.0,50.0,42.0,53.0,52.0,54.0,56.0,48.0,47.0,44.0,82.0
3695,0.0,1.0,82.0,458.0,5.0,15.0,567.0,27.0,35.0,28.0,22.0,51.0,40.0,42.0,36.0,41.0,44.0,58.0,55.0,57.0,56.0,53.0,52.0,50.0,59.0,54.0,49.0,48.0,60.0,47.0
3744,9.0,24.0,1.0,13.0,3.0,21.0,7.0,38.0,8.0,527.0,553.0,26.0,90.0,91.0,53.0,92.0,46.0,42.0,10.0,48.0,40.0,45.0,64.0,51.0,47.0,43.0,55.0,56.0,88.0,57.0
3793,5.0,3.0,18.0,16.0,6.0,1.0,8.0,2.0,0.0,524.0,40.0,59.0,50.0,43.0,56.0,42.0,46.0,47.0,45.0,48.0,49.0,52.0,54.0,55.0,53.0,51.0,57.0,58.0,60.0,96.0
3842,3.0,13.0,0.0,2.0,18.0,11.0,7.0,34.0,8.0,524.0,551.0,50.0,47.0,48.0,60.0,63.0,51.0,52.0,54.0,53.0,64.0,56.0,58.0,59.0,57.0,55.0,61.0,62.0,45.0,97.0
3891,0.0,16.0,80.0,458.0,14.0,19.0,3.0,30.0,38.0,33.0,535.0,40.0,45.0,43.0,47.0,44.0,57.0,49.0,52.0,50.0,51.0,56.0,53.0,46.0,48.0,55.0,41.0,42.0,54.0,87.0
3940,0.0,312.0,10.0,8.0,12.0,485.0,17.0,1.0,24.0,3.0,41.0,43.0,65.0,18.0,2.0,51.0,44.0,48.0,46.0,49.0,50.0,55.0,58.0,60.0,57.0,53.0,62.0,63.0,93.0,79.0
3989,0.0,311.0,4.0,14.0,394.0,487.0,568.0,275.0,38.0,527.0,40.0,48.0,85.0,47.0,35.0,44.0,58.0,18.0,52.0,50.0,51.0,56.0,49.0,54.0,57.0,53.0,45.0,59.0,7.0,55.0
4038,0.0,5.0,13.0,12.0,17.0,484.0,3.0,6.0,610.0,31.0,27.0,48.0,41.0,61.0,47.0,49.0,51.0,52.0,57.0,53.0,54.0,60.0,56.0,55.0,50.0,59.0,44.0,42.0,46.0,43.0
4087,0.0,313.0,20.0,421.0,4.0,485.0,10.0,276.0,40.0,32.0,2.0,23.0,44.0,36.0,1.0,43.0,45.0,46.0,49.0,58.0,48.0,51.0,53.0,54.0,52.0,50.0,55.0,56.0,59.0,57.0
4136,5.0,19.0,0.0,6.0,399.0,488.0,11.0,7.0,598.0,32.0,37.0,44.0,47.0,46.0,34.0,43.0,42.0,58.0,48.0,49.0,50.0,57.0,54.0,53.0,55.0,56.0,52.0,51.0,77.0,45.0
4185,0.0,24.0,29.0,34.0,25.0,486.0,30.0,18.0,33.0,40.0,2.0,54.0,45.0,44.0,106.0,49.0,58.0,59.0,64.0,60.0,62.0,67.0,73.0,139.0,69.0,66.0,142.0,143.0,46.0,144.0
4234,2.0,316.0,32.0,21.0,394.0,487.0,33.0,0.0,34.0,44.0,536.0,71.0,48.0,47.0,74.0,46.0,57.0,59.0,64.0,62.0,63.0,67.0,69.0,70.0,68.0,65.0,105.0,106.0,55.0,107.0
4283,0.0,11.0,2.0,4.0,8.0,487.0,36.0,39.0,31.0,24.0,1.0,93.0,97.0,96.0,45.0,76.0,75.0,60.0,53.0,56.0,54.0,49.0,47.0,46.0,48.0,51.0,44.0,57.0,98.0,58.0
4332,2.0,0.0,1.0,33.0,22.0,485.0,27.0,275.0,595.0,37.0,38.0,60.0,57.0,58.0,141.0,59.0,62.0,63.0,67.0,64.0,66.0,87.0,105.0,106.0,104.0,68.0,142.0,143.0,34.0,144.0
4381,0.0,21.0,89.0,437.0,394.0,18.0,17.0,275.0,31.0,527.0,3.0,83.0,77.0,2.0,9.0,59.0,57.0,41.0,44.0,42.0,43.0,49.0,52.0,53.0,47.0,40.0,46.0,50.0,78.0,55.0
4430,0.0,2.0,83.0,1.0,3.0,488.0,4.0,31.0,34.0,43.0,41.0,52.0,60.0,51.0,46.0,49.0,53.0,54.0,25.0,55.0,58.0,57.0,50.0,45.0,56.0,59.0,47.0,90.0,48.0,94.0
4479,0.0,2.0,1.0,14.0,10.0,39.0,4.0,36.0,596.0,37.0,5.0,45.0,46.0,47.0,58.0,44.0,60.0,49.0,52.0,50.0,51.0,54.0,56.0,57.0,55.0,20.0,59.0,95.0,53.0,175.0
4528,3.0,4.0,7.0,6.0,0.0,486.0,39.0,281.0,596.0,42.0,536.0,47.0,97.0,67.0,22.0,52.0,49.0,44.0,48.0,50.0,45.0,53.0,55.0,56.0,54.0,51.0,58.0,61.0,96.0,62.0
4577,0.0,2.0,3.0,9.0,20.0,7.0,564.0,28.0,598.0,34.0,537.0,48.0,46.0,19.0,56.0,45.0,51.0,52.0,57.0,53.0,55.0,59.0,61.0,50.0,60.0,58.0,54.0,62.0,63.0,44.0
4626,1.0,0.0,4.0,19.0,2.0,28.0,13.0,286.0,598.0,30.0,536.0,40.0,43.0,39.0,53.0,41.0,42.0,45.0,48.0,59.0,47.0,16.0,51.0,52.0,50.0,49.0,54.0,55.0,44.0,56.0
4675,7.0,0.0,6.0,12.0,17.0,21.0,8.0,275.0,595.0,4.0,552.0,59.0,45.0,20.0,52.0,58.0,54.0,56.0,51.0,57.0,55.0,1.0,47.0,41.0,53.0,50.0,49.0,46.0,44.0,42.0
4724,0.0,14.0,2.0,11.0,18.0,6.0,569.0,279.0,38.0,33.0,26.0,57.0,43.0,45.0,49.0,47.0,55.0,50.0,56.0,42.0,51.0,46.0,54.0,52.0,53.0,44.0,48.0,84.0,76.0,95.0
4773,0.0,4.0,15.0,5.0,20.0,2.0,7.0,34.0,597.0,524.0,36.0,58.0,44.0,42.0,47.0,45.0,49.0,48.0,54.0,51.0,52.0,6.0,53.0,50.0,55.0,56.0,41.0,57.0,59.0,43.0
4822,3.0,1.0,6.0,13.0,0.0,18.0,33.0,273.0,612.0,38.0,552.0,55.0,50.0,51.0,97.0,52.0,57.0,62.0,45.0,63.0,65.0,64.0,53.0,47.0,59.0,67.0,32.0,154.0,49.0,100.0
4871,2.0,3.0,12.0,10.0,0.0,484.0,25.0,29.0,11.0,27.0,537.0,47.0,63.0,80.0,57.0,61.0,60.0,50.0,53.0,51.0,52.0,5.0,49.0,58.0,59.0,55.0,56.0,54.0,83.0,46.0
