,CWF19L2_AMP,CNTN5_DEL,EIF5AL1_DEL,CHD1_MUT,FBXO31_DEL,LOC653786_DEL,GALC_DEL,ETS1_DEL,UPK3B_AMP,GLI3_MUT,AATK_AMP,KCNK13_DEL,FGFR1_DEL,MLL3_MUT,MAST4_MUT,SGCZ_DEL,PRB1_AMP,SMARCA4_MUT,AGAP8_AMP,TAS2R43_AMP,TAS2R43_DEL,AMHR2_MUT,TPTE2P3_DEL,LCE1C_AMP,FAM91A2_AMP,CT45A1_AMP,GSTTP1_AMP,LOC728407_AMP,INADL_AMP,SCAPER_DEL
28,57.0,2.0,338.0,4.0,13.0,11886.0,1054.0,394.0,22842.0,16421.0,3.0,107.0,5477.0,26.0,16368.0,759.0,22617.0,16924.0,23844.0,2622.0,30.0,6.0,389.0,14991.0,351.0,22325.0,197.0,182.0,8.0,115.0
77,17365.0,47.0,9.0,15.0,7.0,8329.0,133.0,517.0,2305.0,884.0,125.0,14.0,5653.0,589.0,16382.0,55.0,40.0,1210.0,24060.0,2779.0,1761.0,22.0,5804.0,329.0,36.0,11.0,13975.0,24059.0,580.0,8.0
126,3.0,6.0,80.0,16654.0,4.0,2.0,278.0,10.0,22886.0,1358.0,2219.0,12230.0,4957.0,1532.0,400.0,5474.0,1.0,773.0,68.0,2851.0,2849.0,156.0,2727.0,15060.0,21552.0,665.0,108.0,390.0,16136.0,2454.0
175,2.0,3.0,0.0,203.0,169.0,45.0,2102.0,6349.0,23689.0,75.0,287.0,690.0,815.0,270.0,86.0,174.0,54.0,92.0,21756.0,18108.0,7416.0,306.0,227.0,97.0,204.0,332.0,763.0,30.0,1010.0,219.0
224,3.0,40.0,325.0,472.0,115.0,85.0,1339.0,974.0,2767.0,54.0,1.0,12202.0,275.0,16943.0,0.0,439.0,170.0,30.0,172.0,14055.0,2349.0,101.0,4971.0,14961.0,510.0,94.0,2264.0,912.0,74.0,305.0
273,0.0,29.0,15.0,197.0,10.0,872.0,1829.0,1068.0,23306.0,33.0,19548.0,12178.0,36.0,16950.0,6.0,1356.0,356.0,16891.0,23867.0,601.0,1616.0,423.0,12.0,396.0,1.0,22298.0,1307.0,932.0,16113.0,7.0
322,9.0,15.0,8.0,0.0,78.0,7790.0,6371.0,4.0,22862.0,51.0,119.0,214.0,6966.0,1441.0,7.0,198.0,231.0,16931.0,692.0,14067.0,281.0,1131.0,105.0,1422.0,2.0,85.0,1159.0,208.0,311.0,11380.0
371,2.0,3.0,52.0,6.0,9.0,588.0,7379.0,6231.0,312.0,486.0,80.0,12617.0,169.0,13.0,180.0,1105.0,15.0,1422.0,51.0,13944.0,124.0,187.0,681.0,1363.0,5.0,34.0,291.0,28.0,4.0,0.0
420,1.0,5.0,2.0,6.0,12.0,246.0,56.0,37.0,23311.0,565.0,85.0,1338.0,215.0,16967.0,16371.0,1921.0,22564.0,195.0,24133.0,148.0,5225.0,16652.0,371.0,1673.0,2178.0,725.0,151.0,23958.0,0.0,1459.0
469,0.0,135.0,6517.0,8.0,661.0,11904.0,31.0,346.0,566.0,28.0,198.0,12192.0,476.0,428.0,4.0,84.0,478.0,1414.0,299.0,13911.0,432.0,16633.0,66.0,15012.0,21568.0,22330.0,236.0,23959.0,80.0,348.0
518,0.0,871.0,4.0,846.0,77.0,2.0,7009.0,5142.0,403.0,543.0,19621.0,313.0,2366.0,7.0,52.0,79.0,2393.0,1.0,1928.0,2599.0,2326.0,46.0,4877.0,2292.0,195.0,22317.0,2363.0,2346.0,2321.0,136.0
