,hsa-miR-600,hsa-miR-1976,hsa-miR-541,hsa-miR-214,hsa-miR-574-5p,hsa-miR-581,hsa-miR-199b-5p,hsa-miR-761,hsa-miR-891a,hsa-miR-222,hsa-miR-935,hsa-miR-1977,hsa-miR-744,hsa-miR-453,hsa-miR-921,hsv1-miR-H2-3p,hsa-miR-656,hsa-miR-616,hsa-miR-1200,hsa-miR-450b-3p,hsa-miR-604,hsa-miR-615-3p,hsa-miR-555,hsa-miR-125a-3p,hsa-miR-1256,hsa-miR-1197,ebv-miR-BART2-5p,hsa-miR-1254,hsa-miR-223,hsa-miR-615-5p
15,0.0,10.0,5.0,29.0,65.0,56.0,1.0,3.0,6.0,8.0,44.0,12.0,24.0,48.0,20.0,11.0,86.0,9.0,45.0,27.0,4.0,38.0,136.0,37.0,137.0,2.0,26.0,103.0,50.0,16.0
64,0.0,11.0,2.0,18.0,37.0,8.0,16.0,1.0,5.0,6.0,54.0,9.0,19.0,3.0,35.0,4.0,12.0,14.0,22.0,7.0,20.0,104.0,10.0,41.0,58.0,24.0,106.0,42.0,91.0,25.0
113,0.0,5.0,6.0,3.0,1.0,9.0,11.0,2.0,4.0,20.0,34.0,12.0,16.0,46.0,14.0,114.0,40.0,93.0,7.0,19.0,18.0,158.0,13.0,28.0,43.0,17.0,98.0,55.0,69.0,23.0
162,1.0,0.0,13.0,12.0,53.0,7.0,2.0,17.0,10.0,79.0,21.0,9.0,16.0,4.0,38.0,54.0,25.0,18.0,5.0,23.0,29.0,67.0,3.0,24.0,56.0,39.0,118.0,28.0,15.0,66.0
211,1.0,0.0,11.0,14.0,61.0,60.0,2.0,31.0,25.0,15.0,5.0,3.0,57.0,63.0,8.0,6.0,52.0,17.0,9.0,89.0,7.0,103.0,4.0,12.0,36.0,79.0,48.0,55.0,42.0,19.0
260,0.0,1.0,7.0,6.0,4.0,15.0,2.0,16.0,14.0,46.0,12.0,34.0,18.0,23.0,8.0,48.0,33.0,27.0,91.0,68.0,45.0,83.0,9.0,10.0,92.0,184.0,58.0,30.0,11.0,79.0
309,0.0,1.0,5.0,8.0,6.0,11.0,3.0,9.0,10.0,35.0,42.0,4.0,22.0,7.0,49.0,24.0,57.0,13.0,34.0,19.0,51.0,166.0,2.0,15.0,209.0,37.0,78.0,40.0,70.0,68.0
358,1.0,6.0,2.0,9.0,13.0,3.0,0.0,62.0,4.0,26.0,12.0,5.0,74.0,36.0,7.0,38.0,25.0,15.0,27.0,11.0,87.0,37.0,32.0,48.0,232.0,19.0,69.0,28.0,59.0,116.0
407,0.0,1.0,37.0,6.0,7.0,35.0,3.0,5.0,9.0,13.0,27.0,4.0,29.0,19.0,31.0,21.0,52.0,16.0,33.0,93.0,25.0,48.0,2.0,36.0,112.0,81.0,140.0,77.0,32.0,50.0
456,1.0,5.0,7.0,3.0,2.0,15.0,0.0,58.0,28.0,50.0,29.0,4.0,8.0,16.0,143.0,55.0,22.0,12.0,59.0,23.0,102.0,56.0,18.0,153.0,31.0,277.0,39.0,21.0,33.0,84.0
505,2.0,3.0,0.0,4.0,17.0,7.0,14.0,59.0,11.0,10.0,5.0,113.0,53.0,106.0,238.0,9.0,15.0,110.0,67.0,8.0,23.0,71.0,37.0,43.0,51.0,1.0,27.0,33.0,119.0,58.0
554,1.0,6.0,3.0,13.0,0.0,7.0,4.0,50.0,24.0,8.0,10.0,35.0,11.0,60.0,112.0,9.0,20.0,27.0,99.0,43.0,39.0,87.0,92.0,5.0,17.0,2.0,21.0,33.0,15.0,75.0
603,0.0,1.0,8.0,6.0,2.0,11.0,10.0,3.0,4.0,69.0,19.0,22.0,12.0,30.0,34.0,24.0,26.0,86.0,78.0,20.0,37.0,239.0,150.0,47.0,48.0,7.0,38.0,76.0,13.0,33.0
652,0.0,1.0,5.0,3.0,6.0,4.0,29.0,11.0,7.0,12.0,41.0,18.0,2.0,24.0,237.0,33.0,22.0,51.0,31.0,10.0,57.0,26.0,84.0,56.0,39.0,8.0,58.0,72.0,27.0,16.0
