,BRAF_MUT,BRAF.V600E_MUT,DPP6_DEL,BRAF.MC_MUT,TTN_MUT,OR51A2_DEL,ZBTB20_AMP,OR2T34_AMP,HLA-H_DEL,ODZ3_DEL,KIAA1217_DEL,MAML3_MUT,NRXN3_DEL,ARHGEF5_AMP,PTPRC_MUT,KRTAP9-8_AMP,SORD_AMP,PTPRD_DEL,KRTAP9-3_AMP,ZNF705G_AMP,ARHGAP22_DEL,BMPR2_AMP,AMY2A_DEL,UBE2Q2P3_AMP,RPS17_AMP,GOLGA6L9_AMP,UBE2Q2P2_AMP,RPS17L_AMP,LOC390660_AMP,GOLGA6L10_AMP
31,0.0,1.0,8.0,6.0,5.0,3.0,20.0,2.0,1746.0,21.0,4.0,71.0,11.0,16.0,37.0,10.0,321.0,7.0,18.0,633.0,163.0,66.0,39.0,206.0,204.0,202.0,205.0,203.0,198.0,197.0
80,0.0,1.0,5.0,8.0,2.0,4.0,20.0,12.0,171.0,6.0,3.0,137.0,7.0,10.0,47.0,36.0,19333.0,9.0,44.0,35.0,26.0,143.0,33.0,63.0,62.0,61.0,60.0,59.0,28.0,27.0
129,0.0,1.0,11.0,7.0,2.0,3.0,26.0,78.0,248.0,21.0,6.0,52.0,24.0,4.0,31.0,8.0,20048.0,5.0,9.0,16.0,45.0,62.0,120.0,64.0,65.0,63.0,67.0,66.0,40.0,41.0
178,0.0,1.0,5.0,6.0,3.0,2.0,110.0,7.0,472.0,53.0,8.0,34.0,18.0,14.0,17.0,11.0,19123.0,4.0,15.0,99.0,118.0,39.0,451.0,22.0,21.0,23.0,24.0,25.0,30.0,29.0
227,0.0,1.0,2.0,7.0,4.0,3.0,16.0,6.0,324.0,14.0,10.0,54.0,41.0,8.0,18.0,27.0,18829.0,5.0,38.0,28.0,113.0,19.0,104.0,106.0,108.0,109.0,110.0,107.0,33.0,32.0
276,0.0,1.0,2.0,5.0,6.0,3.0,23.0,12.0,42.0,13.0,4.0,52.0,9.0,10.0,53.0,26.0,519.0,14.0,21.0,51.0,66.0,8.0,84.0,36.0,39.0,37.0,38.0,40.0,30.0,29.0
325,0.0,1.0,4.0,7.0,5.0,2.0,6.0,8.0,43.0,10.0,9.0,76.0,17.0,21.0,30.0,12.0,56.0,3.0,13.0,41.0,201.0,63.0,59.0,69.0,67.0,71.0,70.0,68.0,46.0,45.0
374,0.0,1.0,9.0,8.0,2.0,4.0,12.0,5.0,123.0,100.0,13.0,45.0,14.0,6.0,23.0,16.0,403.0,7.0,21.0,46.0,47.0,33.0,276.0,56.0,58.0,55.0,57.0,54.0,18.0,19.0
423,0.0,1.0,6.0,4.0,2.0,3.0,12.0,8.0,39.0,10.0,5.0,35.0,22.0,19.0,69.0,33.0,1151.0,11.0,48.0,23.0,43.0,36.0,65.0,16.0,15.0,18.0,17.0,14.0,30.0,29.0
472,0.0,1.0,6.0,3.0,5.0,17.0,485.0,58.0,81.0,9.0,24.0,65.0,31.0,32.0,30.0,46.0,43.0,2.0,64.0,7.0,447.0,114.0,273.0,14.0,15.0,16.0,13.0,12.0,41.0,40.0
521,0.0,1.0,4.0,14.0,2.0,3.0,5.0,22.0,35.0,41.0,25.0,32.0,33.0,61.0,18.0,9.0,13.0,159.0,6.0,94.0,12.0,36.0,75.0,97.0,99.0,98.0,100.0,96.0,38.0,37.0
570,0.0,1.0,5.0,6.0,2.0,3.0,9.0,27.0,17.0,24.0,16.0,31.0,46.0,71.0,133.0,7.0,8.0,368.0,4.0,215.0,12.0,11.0,37.0,135.0,137.0,138.0,134.0,136.0,44.0,45.0
619,0.0,1.0,7.0,11.0,3.0,4.0,16.0,21.0,8.0,22.0,2.0,33.0,160.0,34.0,31.0,20.0,12.0,102.0,19.0,154.0,18.0,28.0,90.0,40.0,42.0,41.0,39.0,43.0,49.0,50.0
668,0.0,1.0,3.0,9.0,2.0,4.0,15.0,49.0,6.0,13.0,11.0,17.0,66.0,54.0,36.0,10.0,5.0,1385.0,8.0,182.0,19.0,12.0,38.0,70.0,73.0,72.0,74.0,71.0,46.0,47.0
717,0.0,1.0,2.0,8.0,3.0,7.0,14.0,125.0,20.0,30.0,103.0,38.0,74.0,58.0,25.0,5.0,64.0,17.0,4.0,26.0,19.0,9.0,155.0,45.0,43.0,42.0,41.0,44.0,51.0,52.0
766,0.0,1.0,2.0,8.0,3.0,6.0,9.0,36.0,25.0,38.0,10.0,15.0,66.0,22.0,32.0,5.0,14.0,29.0,4.0,37.0,11.0,12.0,49.0,55.0,54.0,52.0,51.0,53.0,45.0,46.0
815,0.0,1.0,11.0,9.0,2.0,10.0,32.0,40.0,24.0,21.0,22.0,18.0,55.0,25.0,26.0,7.0,3.0,38.0,6.0,74.0,19.0,16.0,130.0,89.0,93.0,92.0,90.0,91.0,36.0,35.0
864,0.0,1.0,3.0,8.0,2.0,4.0,20.0,18.0,31.0,10.0,5.0,14.0,33.0,40.0,12.0,7.0,9.0,17.0,6.0,209.0,30.0,81.0,101.0,120.0,121.0,118.0,122.0,119.0,63.0,64.0
913,0.0,1.0,3.0,12.0,2.0,6.0,15.0,59.0,18.0,25.0,7.0,116.0,103.0,34.0,63.0,4.0,26.0,13.0,5.0,64.0,11.0,19.0,49.0,51.0,54.0,50.0,53.0,52.0,28.0,27.0
962,0.0,3.0,1.0,25.0,2.0,4.0,11.0,12.0,41.0,19.0,10.0,37.0,53.0,57.0,20.0,8.0,6.0,246.0,9.0,38.0,29.0,34.0,45.0,79.0,80.0,81.0,77.0,78.0,32.0,33.0
1011,0.0,1.0,6.0,3.0,2.0,21.0,20.0,4.0,43.0,5.0,38.0,7.0,13.0,35.0,36.0,11.0,22.0,223.0,8.0,23.0,66.0,175.0,19.0,16.0,15.0,18.0,17.0,14.0,28.0,27.0
1060,0.0,1.0,59.0,3.0,2.0,10.0,11.0,6.0,4.0,28.0,9.0,8.0,7.0,55.0,54.0,62.0,264.0,36.0,42.0,16.0,13.0,182.0,74.0,23.0,20.0,24.0,22.0,21.0,26.0,25.0
1109,0.0,1.0,5.0,6.0,2.0,18.0,147.0,3.0,11.0,7.0,8.0,15.0,9.0,530.0,13.0,26.0,269.0,105.0,19.0,56.0,27.0,68.0,30.0,80.0,79.0,78.0,81.0,77.0,33.0,34.0
1158,0.0,1.0,127.0,4.0,2.0,7.0,106.0,3.0,5.0,12.0,19.0,11.0,22.0,36.0,15.0,35.0,404.0,37.0,20.0,10.0,8.0,156.0,23.0,30.0,33.0,31.0,32.0,29.0,50.0,49.0
1207,0.0,1.0,11.0,4.0,5.0,12.0,8.0,3.0,2.0,7.0,13.0,22.0,30.0,80.0,63.0,9.0,123.0,61.0,6.0,113.0,136.0,184.0,45.0,52.0,55.0,54.0,51.0,53.0,68.0,67.0
1256,0.0,1.0,12.0,3.0,2.0,14.0,5.0,7.0,4.0,6.0,8.0,11.0,17.0,241.0,29.0,31.0,142.0,10359.0,26.0,13.0,30.0,330.0,28.0,23.0,19.0,21.0,20.0,22.0,15.0,16.0
1305,0.0,1.0,12.0,4.0,2.0,35.0,68.0,3.0,5.0,26.0,7.0,13.0,11.0,71.0,19.0,8.0,270.0,50.0,6.0,9.0,49.0,85.0,18.0,22.0,25.0,21.0,23.0,24.0,61.0,60.0
1354,0.0,1.0,9.0,5.0,2.0,55.0,46.0,3.0,6.0,7.0,14.0,12.0,30.0,90.0,25.0,10.0,42.0,1099.0,11.0,57.0,41.0,37.0,29.0,31.0,34.0,35.0,33.0,32.0,40.0,39.0
1403,0.0,1.0,213.0,4.0,2.0,29.0,6.0,3.0,8.0,25.0,7.0,10.0,19.0,30.0,21.0,36.0,108.0,395.0,27.0,48.0,9.0,187.0,35.0,81.0,84.0,82.0,80.0,83.0,55.0,54.0
1452,0.0,1.0,8.0,4.0,5.0,7.0,12401.0,2.0,18.0,14.0,6.0,36.0,9.0,51.0,52.0,16.0,889.0,60.0,11.0,71.0,50.0,17549.0,56.0,143.0,142.0,144.0,141.0,145.0,30.0,31.0
1501,0.0,1.0,2.0,5.0,4.0,21.0,29.0,27.0,3960.0,19.0,712.0,8.0,28.0,7.0,9.0,22.0,3.0,11.0,18.0,17.0,62.0,25.0,138.0,15.0,14.0,12.0,13.0,16.0,41.0,42.0
1550,0.0,1.0,4.0,3.0,2.0,9.0,8.0,20.0,94.0,5.0,46.0,7.0,21.0,14.0,26.0,29.0,6.0,303.0,28.0,43.0,45.0,12.0,91.0,16.0,18.0,19.0,17.0,15.0,49.0,50.0
1599,0.0,1.0,2.0,4.0,3.0,20.0,26.0,7.0,258.0,6.0,540.0,12.0,11.0,39.0,23.0,21.0,5.0,19.0,22.0,28.0,8.0,24.0,42.0,18.0,17.0,16.0,15.0,14.0,30.0,29.0
1648,0.0,1.0,2.0,3.0,7.0,4.0,9.0,6.0,49.0,5.0,154.0,18.0,15.0,33.0,31.0,38.0,11.0,26.0,70.0,61.0,51.0,17.0,27.0,22.0,20.0,21.0,19.0,23.0,29.0,30.0
1697,0.0,1.0,17.0,2.0,25.0,21.0,52.0,26.0,28.0,4.0,204.0,18.0,22.0,24.0,34.0,5.0,3.0,41.0,6.0,19.0,39.0,383.0,93.0,10.0,9.0,7.0,11.0,8.0,14.0,15.0
1746,0.0,1.0,4.0,5.0,16.0,3.0,7.0,18.0,26.0,9.0,53.0,6.0,22.0,21.0,50.0,36.0,2.0,23.0,42.0,115.0,46.0,39.0,622.0,11.0,12.0,10.0,13.0,14.0,30.0,31.0
1795,0.0,1.0,2.0,4.0,5.0,6.0,25.0,7.0,48.0,18.0,11707.0,9.0,10.0,17.0,22.0,13.0,3.0,64.0,8.0,14.0,186.0,27.0,40.0,88.0,87.0,91.0,90.0,89.0,107.0,108.0
1844,0.0,1.0,7.0,3.0,2.0,4.0,30.0,60.0,156.0,25.0,131.0,10.0,21.0,5.0,9.0,51.0,8.0,6.0,74.0,13.0,56.0,12.0,43.0,19.0,16.0,15.0,17.0,18.0,41.0,42.0
1893,0.0,1.0,2.0,5.0,4.0,26.0,62.0,9.0,48.0,3.0,37.0,17.0,32.0,18.0,10.0,36.0,8.0,6.0,40.0,30.0,123.0,24.0,181.0,15.0,12.0,13.0,14.0,11.0,42.0,43.0
1942,0.0,1.0,3.0,4.0,10.0,2.0,60.0,6.0,3026.0,24.0,58.0,17.0,42.0,7.0,20.0,32.0,18.0,9.0,43.0,23.0,63.0,31.0,25.0,13.0,16.0,14.0,12.0,15.0,26.0,27.0
1991,1.0,2.0,0.0,8.0,3.0,6.0,9.0,10.0,11.0,36.0,13.0,23.0,5.0,66.0,104.0,18.0,22.0,31.0,26.0,33.0,12.0,21.0,25.0,82.0,78.0,80.0,81.0,79.0,40.0,39.0
2040,0.0,1.0,3.0,5.0,4.0,16.0,9.0,6.0,21.0,30.0,13.0,65.0,7.0,29.0,15.0,56.0,22.0,2.0,76.0,44.0,51.0,32.0,10.0,78.0,80.0,79.0,82.0,81.0,55.0,54.0
2089,0.0,1.0,2.0,3.0,13.0,4.0,23.0,15.0,17.0,5.0,19.0,24.0,56.0,8.0,21.0,12.0,45.0,20.0,16.0,6.0,48.0,7.0,18.0,33.0,32.0,30.0,34.0,31.0,52.0,51.0
2138,0.0,1.0,2.0,3.0,8.0,7.0,48.0,6.0,23.0,18.0,4.0,42.0,20.0,19.0,29.0,43.0,26.0,5.0,59.0,94.0,61.0,24.0,22.0,13.0,10.0,12.0,14.0,11.0,16.0,17.0
2187,0.0,2.0,1.0,9.0,5.0,3.0,6.0,12.0,14.0,7.0,4.0,73.0,13.0,20.0,88.0,133.0,199.0,39.0,219.0,155.0,37.0,42.0,21.0,52.0,48.0,50.0,49.0,51.0,35.0,36.0
2236,0.0,1.0,2.0,3.0,4.0,6.0,101.0,19.0,138.0,10.0,37.0,18.0,9.0,7.0,41.0,29.0,5.0,8.0,39.0,13.0,14.0,91.0,12.0,43.0,46.0,47.0,45.0,44.0,48.0,49.0
2285,0.0,1.0,3.0,4.0,2.0,32.0,25.0,10.0,20.0,11.0,6.0,29.0,13.0,43.0,31.0,83.0,45.0,8.0,82.0,12.0,33.0,19.0,104.0,35.0,37.0,36.0,34.0,38.0,17.0,16.0
2334,0.0,1.0,2.0,3.0,6.0,31.0,12.0,13.0,18.0,10.0,7.0,14.0,9.0,40.0,29.0,60.0,21.0,55.0,80.0,11.0,39.0,20.0,15.0,36.0,38.0,37.0,34.0,35.0,32.0,33.0
2383,0.0,1.0,2.0,5.0,3.0,6.0,23.0,12.0,9.0,4.0,10.0,122.0,14.0,29.0,22.0,105.0,135.0,8.0,151.0,21.0,30.0,25.0,28.0,38.0,37.0,35.0,36.0,34.0,17.0,16.0
2432,0.0,1.0,2.0,5.0,3.0,7.0,28.0,34.0,96.0,4.0,23.0,38.0,33.0,46.0,50.0,73.0,36.0,130.0,121.0,17.0,44.0,21.0,37.0,12.0,13.0,11.0,10.0,9.0,20.0,19.0
2481,0.0,1.0,3.0,5.0,7.0,2.0,8.0,117.0,40.0,61.0,19.0,29.0,24.0,4.0,23.0,56.0,104.0,48.0,54.0,9.0,22.0,60.0,36.0,12.0,13.0,11.0,10.0,14.0,18.0,17.0
2530,0.0,1.0,3.0,8.0,32.0,2.0,11.0,148.0,7.0,90.0,9.0,30.0,12.0,83.0,36.0,70.0,14.0,5.0,64.0,4.0,43.0,203.0,47.0,24.0,27.0,25.0,26.0,23.0,15.0,16.0
2579,0.0,1.0,2.0,4.0,5.0,3.0,6.0,8.0,32.0,133.0,119.0,31.0,20.0,9.0,11.0,17.0,43.0,14.0,15.0,7.0,82.0,18.0,41.0,25.0,23.0,26.0,27.0,24.0,38.0,37.0
2628,0.0,1.0,6.0,5.0,2.0,4.0,8.0,77.0,9.0,100.0,11312.0,13.0,12.0,10.0,41.0,18.0,3.0,16.0,19.0,7.0,36.0,70.0,30.0,25.0,22.0,21.0,24.0,23.0,32.0,31.0
2677,0.0,1.0,6.0,4.0,7.0,2.0,3.0,27.0,10.0,50.0,125.0,26.0,37.0,11.0,28.0,69.0,491.0,12.0,63.0,5.0,35.0,145.0,24.0,19.0,15.0,18.0,16.0,17.0,23.0,22.0
2726,0.0,1.0,8.0,3.0,4.0,2.0,6.0,37.0,9.0,30.0,77.0,18.0,10.0,17.0,16.0,21.0,50.0,7.0,20.0,5.0,14.0,130.0,12.0,27.0,24.0,26.0,25.0,28.0,22.0,23.0
2775,0.0,1.0,12.0,5.0,7.0,3.0,16.0,23.0,9.0,110.0,20.0,17.0,35.0,8.0,14.0,26.0,97.0,11.0,27.0,4.0,43.0,141.0,88.0,50.0,48.0,52.0,49.0,51.0,139.0,140.0
2824,0.0,1.0,3.0,4.0,6.0,2.0,5.0,85.0,9.0,44.0,51.0,18.0,22.0,23.0,21.0,33.0,7.0,28.0,30.0,8.0,37.0,31.0,46.0,12.0,16.0,14.0,13.0,15.0,26.0,25.0
2873,0.0,1.0,4.0,9.0,11.0,2.0,8.0,24.0,28.0,19.0,222.0,17.0,30.0,5.0,33.0,12.0,14.0,3.0,13.0,6.0,21.0,152.0,53.0,38.0,37.0,36.0,39.0,40.0,66.0,67.0
2922,0.0,1.0,3.0,4.0,12.0,2.0,11.0,19.0,97.0,34.0,10.0,48.0,82.0,18.0,21.0,7.0,20.0,71.0,6.0,5.0,24.0,70.0,8.0,59.0,60.0,61.0,57.0,58.0,30.0,29.0
2971,0.0,2.0,1.0,6.0,9.0,5.0,8.0,3.0,4.0,72.0,54.0,10.0,20.0,13.0,7.0,34.0,18.0,11.0,52.0,58.0,40.0,25.0,94.0,46.0,43.0,47.0,45.0,44.0,29.0,30.0
3020,0.0,1.0,4.0,5.0,3.0,2.0,12.0,6.0,10.0,54.0,173.0,19.0,15.0,27.0,9.0,84.0,30.0,13.0,122.0,67.0,17.0,94.0,178.0,45.0,44.0,42.0,43.0,46.0,33.0,32.0
