,BRAF_MUT,BRAF.V600E_MUT,DPP6_DEL,BRAF.MC_MUT,TTN_MUT,OR51A2_DEL,ZBTB20_AMP,OR2T34_AMP,HLA-H_DEL,ODZ3_DEL,KIAA1217_DEL,MAML3_MUT,NRXN3_DEL,ARHGEF5_AMP,PTPRC_MUT,KRTAP9-8_AMP,SORD_AMP,PTPRD_DEL,KRTAP9-3_AMP,ZNF705G_AMP,ARHGAP22_DEL,BMPR2_AMP,AMY2A_DEL,UBE2Q2P3_AMP,RPS17_AMP,GOLGA6L9_AMP,UBE2Q2P2_AMP,RPS17L_AMP,LOC390660_AMP,GOLGA6L10_AMP
3069,0.0,1.0,2.0,3.0,8.0,11.0,12.0,5.0,4.0,92.0,103.0,14.0,15.0,39.0,9.0,58.0,23.0,13.0,93.0,38.0,10.0,26.0,25.0,30.0,32.0,34.0,31.0,33.0,75.0,76.0
3118,0.0,1.0,2.0,4.0,6.0,15.0,7.0,3.0,9.0,16.0,27.0,34.0,29.0,12.0,8.0,26.0,28.0,5.0,30.0,76.0,13.0,221.0,71.0,57.0,56.0,55.0,54.0,58.0,21.0,22.0
3167,0.0,1.0,5.0,9.0,2.0,7.0,20.0,21.0,3.0,37.0,27.0,25.0,23.0,10.0,12.0,42.0,14.0,13.0,45.0,24.0,28.0,79.0,51.0,31.0,30.0,32.0,33.0,34.0,16.0,15.0
3216,0.0,1.0,2.0,3.0,5.0,7.0,9.0,8.0,6.0,37.0,11.0,33.0,27.0,20.0,13.0,21.0,36.0,55.0,42.0,65.0,61.0,10.0,346.0,102.0,101.0,104.0,103.0,100.0,77.0,78.0
3265,0.0,2.0,1.0,4.0,5.0,12.0,19.0,6.0,7.0,11.0,167.0,32.0,10.0,35.0,8.0,38.0,20.0,9.0,30.0,27.0,13.0,88.0,26.0,23.0,22.0,21.0,24.0,25.0,16.0,17.0
3314,0.0,1.0,2.0,4.0,6.0,27.0,7.0,9.0,3.0,13.0,181.0,24.0,15.0,25.0,14.0,19.0,11.0,18.0,26.0,40.0,12.0,34.0,130.0,62.0,64.0,60.0,63.0,61.0,31.0,32.0
3363,0.0,1.0,2.0,6.0,3.0,24.0,7.0,14.0,4.0,15.0,255.0,13.0,25.0,5.0,17.0,143.0,77.0,11.0,228.0,172.0,26.0,80.0,91.0,33.0,34.0,31.0,30.0,32.0,36.0,37.0
3412,0.0,2.0,7.0,4.0,3.0,17.0,15.0,6.0,1.0,13.0,105.0,16.0,14.0,338.0,476.0,18.0,5.0,8.0,23.0,72.0,31.0,80.0,28.0,565.0,564.0,561.0,562.0,563.0,77.0,76.0
3461,0.0,1.0,2.0,3.0,38.0,6.0,4.0,199.0,55.0,16.0,41.0,30.0,82.0,31.0,1056.0,22.0,19.0,34.0,29.0,50.0,44.0,27.0,60.0,14.0,13.0,10.0,12.0,11.0,24.0,23.0
3510,0.0,1.0,2.0,4.0,31.0,53.0,3.0,121.0,8.0,11.0,10.0,34.0,72.0,168.0,119.0,24.0,221.0,7.0,29.0,13.0,70.0,59.0,61.0,41.0,43.0,42.0,44.0,45.0,51.0,52.0
3559,0.0,1.0,2.0,5.0,6.0,16.0,3.0,36.0,4.0,12.0,10.0,9.0,54.0,34.0,457.0,7.0,23.0,156.0,8.0,297.0,207.0,164.0,55.0,46.0,45.0,44.0,48.0,47.0,26.0,25.0
3608,0.0,1.0,4.0,2.0,23.0,39.0,3.0,168.0,19.0,28.0,11.0,56.0,147.0,14.0,122.0,5.0,176.0,9.0,6.0,21.0,51.0,35.0,27.0,46.0,45.0,43.0,44.0,42.0,86.0,87.0
3657,0.0,1.0,2.0,4.0,5.0,7.0,3.0,169.0,8.0,36.0,44.0,26.0,61.0,31.0,187.0,27.0,67.0,78.0,33.0,48.0,57.0,139.0,17.0,10.0,14.0,11.0,12.0,13.0,55.0,56.0
3706,0.0,1.0,2.0,4.0,14.0,7.0,3.0,94.0,31.0,37.0,5.0,20.0,34.0,28.0,200.0,16.0,15.0,109.0,19.0,35.0,38.0,23.0,24.0,59.0,57.0,58.0,61.0,60.0,46.0,45.0
3755,0.0,1.0,2.0,3.0,18.0,100.0,5.0,140.0,31.0,39.0,11.0,21.0,45.0,83.0,116.0,47.0,42.0,19.0,50.0,138.0,16.0,101.0,113.0,26.0,28.0,25.0,27.0,29.0,58.0,57.0
3804,0.0,1.0,2.0,3.0,27.0,19.0,4.0,16.0,6.0,12.0,8.0,21.0,55.0,25.0,142.0,11.0,74.0,118.0,13.0,93.0,86.0,115.0,14.0,43.0,40.0,44.0,42.0,41.0,124.0,123.0
3853,0.0,1.0,2.0,3.0,12.0,5.0,4.0,179.0,35.0,9.0,18.0,14.0,41.0,86.0,472.0,22.0,88.0,189.0,36.0,27.0,76.0,108.0,30.0,898.0,902.0,899.0,900.0,901.0,356.0,355.0
3902,0.0,1.0,2.0,4.0,5.0,22.0,3.0,55.0,6.0,10.0,13.0,11.0,17.0,105.0,103.0,40.0,7.0,41.0,32.0,47.0,31.0,15.0,38.0,67.0,69.0,70.0,66.0,68.0,89.0,90.0
3951,0.0,1.0,2.0,3.0,9.0,46.0,37.0,21.0,11.0,28.0,60.0,26.0,49.0,27.0,69.0,71.0,4.0,78.0,83.0,10.0,8.0,48.0,15.0,18.0,16.0,20.0,17.0,19.0,23.0,24.0
4000,0.0,1.0,2.0,4.0,9.0,5.0,32.0,10.0,3.0,8.0,64.0,18.0,16.0,23.0,19.0,122.0,17.0,31.0,134.0,36.0,22.0,273.0,46.0,38.0,39.0,40.0,42.0,41.0,84.0,85.0
4049,0.0,1.0,2.0,3.0,8.0,17.0,16.0,9.0,4.0,41.0,407.0,35.0,98.0,6.0,24.0,36.0,5.0,77.0,37.0,29.0,15.0,28.0,19.0,68.0,69.0,67.0,70.0,66.0,194.0,193.0
4098,0.0,1.0,2.0,3.0,15.0,11.0,8.0,32.0,6.0,9.0,28.0,25.0,21.0,34.0,47.0,78.0,4.0,225.0,87.0,74.0,19.0,45.0,7.0,95.0,96.0,98.0,97.0,99.0,102.0,103.0
4147,0.0,1.0,2.0,5.0,3.0,11.0,73.0,13.0,10.0,70.0,82.0,24.0,15.0,8.0,56.0,17.0,4.0,27.0,20.0,191.0,49.0,81.0,53.0,39.0,37.0,40.0,41.0,38.0,45.0,44.0
4196,0.0,1.0,2.0,3.0,6.0,9.0,40.0,25.0,8.0,7.0,28.0,18.0,22.0,12.0,53.0,21.0,10.0,62.0,30.0,26.0,14.0,19.0,13.0,34.0,33.0,37.0,36.0,35.0,119.0,120.0
4245,0.0,1.0,6.0,4.0,3.0,8.0,45.0,5.0,11.0,23.0,160.0,10.0,34.0,12.0,30.0,49.0,2.0,43.0,48.0,191.0,9.0,133.0,31.0,18.0,21.0,19.0,20.0,22.0,33.0,32.0
4294,0.0,1.0,2.0,3.0,4.0,12.0,129.0,11.0,14.0,10.0,35.0,29.0,23.0,17.0,26.0,28.0,5.0,13.0,33.0,74.0,15.0,82.0,19.0,36.0,38.0,40.0,37.0,39.0,75.0,76.0
4343,0.0,1.0,3.0,4.0,2.0,7.0,11.0,64.0,27.0,16.0,831.0,14.0,48.0,8.0,29.0,47.0,5.0,101.0,38.0,57.0,13.0,109.0,40.0,52.0,54.0,51.0,50.0,53.0,62.0,61.0
4392,0.0,1.0,3.0,6.0,12.0,2.0,1122.0,101.0,28.0,7.0,32.0,20.0,53.0,14.0,23.0,107.0,13.0,60.0,142.0,68.0,46.0,783.0,34.0,73.0,70.0,71.0,74.0,72.0,120.0,119.0
4441,0.0,1.0,10.0,4.0,2.0,15.0,7.0,16.0,19.0,71.0,9.0,21.0,140.0,14.0,8.0,24.0,72.0,5.0,25.0,18.0,22.0,17.0,11.0,121.0,120.0,118.0,122.0,119.0,745.0,746.0
4490,0.0,1.0,4.0,6.0,2.0,3.0,12.0,19.0,9.0,14.0,5.0,7.0,26.0,57.0,10.0,70.0,19901.0,101.0,78.0,46.0,43.0,113.0,45.0,35.0,32.0,33.0,36.0,34.0,59.0,60.0
4539,0.0,1.0,6.0,3.0,2.0,4.0,5.0,7.0,11.0,85.0,37.0,43.0,24.0,40.0,13.0,497.0,187.0,105.0,538.0,10.0,8.0,18.0,12.0,29.0,26.0,28.0,27.0,25.0,42.0,41.0
4588,0.0,1.0,3.0,5.0,2.0,4.0,22.0,12.0,1085.0,35.0,7.0,9.0,34.0,21.0,11.0,74.0,197.0,121.0,68.0,67.0,54.0,18.0,23.0,50.0,48.0,47.0,49.0,51.0,60.0,61.0
4637,0.0,1.0,6.0,4.0,2.0,5.0,11.0,12.0,20.0,274.0,29.0,25.0,24.0,48.0,8.0,157.0,33.0,100.0,158.0,55.0,15.0,7.0,19.0,42.0,43.0,45.0,46.0,44.0,102.0,103.0
4686,0.0,1.0,4.0,7.0,2.0,5.0,8.0,56.0,6.0,20.0,15.0,13.0,21.0,28.0,12.0,100.0,314.0,16.0,103.0,81.0,50.0,25.0,48.0,66.0,68.0,67.0,70.0,69.0,274.0,273.0
4735,0.0,1.0,4.0,6.0,3.0,2.0,5.0,7.0,43.0,57.0,24.0,11.0,118.0,10.0,26.0,17.0,99.0,289.0,28.0,8.0,27.0,23.0,49.0,18.0,20.0,19.0,21.0,22.0,69.0,70.0
4784,0.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,83.0,30.0,8.0,24.0,36.0,206.0,10.0,20.0,121.0,141.0,15.0,19.0,40.0,28.0,12.0,80.0,78.0,79.0,77.0,81.0,464.0,465.0
4833,0.0,1.0,24.0,3.0,2.0,4.0,28.0,48.0,5.0,11.0,14.0,10.0,52.0,47.0,6.0,57.0,51.0,157.0,70.0,22.0,53.0,8.0,12.0,18.0,19.0,17.0,16.0,20.0,155.0,156.0
4882,0.0,1.0,2.0,3.0,7.0,5.0,4.0,6.0,21.0,22.0,9.0,10.0,32.0,17.0,8.0,71.0,48.0,88.0,83.0,25.0,34.0,12.0,16.0,121.0,120.0,117.0,119.0,118.0,137.0,138.0
