,YAP_pS127,PTEN,Akt_pS473,Porin,Caveolin-1,G6PD,SETD2,alpha-Catenin,E-Cadherin,GAPDH,AR,CD49b,Bcl-2,Tuberin_pT1462,Annexin 1,A-Raf_pS299,MIG-6,VEGFR2,beta-Catenin,Src,Fibronectin,PDCD4,Transglutaminase,XBP1,FOXO3a,Smac,PRAS40_pT246,MAPK_pT202_Y204,PAI-1,RBM15
494,0.0,1.0,5.0,78.0,22.0,8.0,23.0,25.0,7.0,32.0,27.0,13.0,21.0,2.0,29.0,4.0,6.0,26.0,16.0,12.0,103.0,17.0,86.0,19.0,66.0,33.0,10.0,63.0,34.0,47.0
543,3.0,4.0,2.0,47.0,14.0,19.0,9.0,17.0,16.0,94.0,22.0,54.0,5.0,1.0,27.0,8.0,12.0,11.0,26.0,13.0,37.0,25.0,41.0,7.0,10.0,38.0,24.0,156.0,34.0,45.0
592,0.0,7.0,3.0,55.0,5.0,48.0,31.0,19.0,1.0,126.0,14.0,60.0,11.0,2.0,13.0,50.0,53.0,6.0,4.0,8.0,120.0,20.0,51.0,49.0,142.0,9.0,24.0,15.0,45.0,74.0
641,0.0,2.0,5.0,4.0,13.0,37.0,36.0,3.0,14.0,38.0,8.0,18.0,20.0,32.0,12.0,10.0,6.0,28.0,21.0,40.0,135.0,15.0,11.0,9.0,19.0,114.0,7.0,84.0,29.0,17.0
690,1.0,0.0,2.0,31.0,24.0,21.0,5.0,38.0,4.0,33.0,39.0,32.0,22.0,9.0,34.0,12.0,10.0,6.0,16.0,69.0,19.0,3.0,86.0,25.0,68.0,66.0,18.0,7.0,141.0,40.0
739,1.0,0.0,5.0,2.0,13.0,7.0,6.0,67.0,19.0,159.0,39.0,23.0,44.0,4.0,14.0,30.0,34.0,17.0,65.0,12.0,72.0,57.0,16.0,15.0,36.0,60.0,73.0,22.0,79.0,24.0
788,0.0,3.0,14.0,57.0,5.0,10.0,12.0,4.0,18.0,17.0,8.0,9.0,35.0,121.0,47.0,34.0,19.0,2.0,22.0,6.0,13.0,72.0,1.0,39.0,31.0,38.0,67.0,58.0,7.0,118.0
837,0.0,2.0,15.0,38.0,5.0,76.0,12.0,11.0,30.0,18.0,72.0,64.0,7.0,25.0,16.0,9.0,94.0,1.0,39.0,66.0,4.0,27.0,92.0,50.0,59.0,3.0,23.0,69.0,54.0,41.0
886,9.0,1.0,3.0,18.0,0.0,14.0,2.0,29.0,7.0,75.0,13.0,107.0,10.0,5.0,26.0,24.0,4.0,12.0,23.0,30.0,53.0,16.0,67.0,11.0,127.0,33.0,8.0,42.0,130.0,59.0
935,2.0,9.0,6.0,13.0,0.0,7.0,4.0,18.0,31.0,69.0,15.0,25.0,65.0,5.0,8.0,19.0,12.0,1.0,22.0,110.0,109.0,3.0,40.0,87.0,54.0,24.0,17.0,10.0,76.0,23.0
984,1.0,31.0,9.0,7.0,3.0,5.0,0.0,2.0,20.0,8.0,36.0,23.0,25.0,86.0,17.0,16.0,59.0,34.0,10.0,74.0,40.0,19.0,13.0,24.0,127.0,64.0,12.0,84.0,18.0,29.0
1033,5.0,1.0,0.0,7.0,33.0,12.0,8.0,9.0,102.0,15.0,6.0,13.0,24.0,56.0,11.0,39.0,30.0,3.0,14.0,16.0,2.0,23.0,18.0,17.0,32.0,29.0,42.0,52.0,21.0,74.0
1082,0.0,52.0,22.0,27.0,24.0,16.0,12.0,4.0,8.0,1.0,3.0,44.0,31.0,7.0,133.0,2.0,38.0,79.0,60.0,42.0,47.0,32.0,48.0,25.0,117.0,14.0,10.0,9.0,15.0,35.0
1131,3.0,73.0,5.0,14.0,4.0,1.0,10.0,9.0,17.0,76.0,26.0,31.0,7.0,20.0,41.0,86.0,39.0,42.0,70.0,78.0,54.0,8.0,11.0,15.0,143.0,63.0,0.0,16.0,34.0,13.0
1180,0.0,1.0,3.0,22.0,6.0,23.0,17.0,13.0,4.0,8.0,41.0,9.0,2.0,79.0,54.0,5.0,40.0,24.0,19.0,44.0,94.0,20.0,70.0,56.0,107.0,151.0,7.0,98.0,16.0,25.0
1229,0.0,11.0,6.0,10.0,13.0,3.0,12.0,18.0,7.0,36.0,17.0,16.0,9.0,8.0,120.0,15.0,30.0,83.0,54.0,126.0,1.0,26.0,50.0,102.0,32.0,33.0,21.0,14.0,46.0,40.0
1278,0.0,50.0,28.0,51.0,41.0,18.0,4.0,7.0,43.0,13.0,8.0,25.0,60.0,26.0,14.0,16.0,21.0,31.0,27.0,29.0,9.0,5.0,11.0,42.0,53.0,6.0,2.0,3.0,115.0,1.0
1327,0.0,18.0,5.0,1.0,17.0,93.0,11.0,13.0,35.0,2.0,23.0,4.0,7.0,21.0,33.0,24.0,28.0,20.0,16.0,19.0,3.0,12.0,9.0,66.0,60.0,39.0,14.0,10.0,121.0,22.0
1376,0.0,11.0,1.0,8.0,21.0,7.0,14.0,4.0,2.0,9.0,16.0,6.0,5.0,19.0,132.0,3.0,64.0,75.0,44.0,90.0,12.0,77.0,15.0,27.0,29.0,45.0,35.0,26.0,91.0,17.0
1425,0.0,7.0,5.0,1.0,9.0,21.0,37.0,10.0,4.0,38.0,3.0,6.0,2.0,30.0,28.0,119.0,16.0,36.0,20.0,52.0,22.0,13.0,78.0,74.0,11.0,73.0,14.0,58.0,50.0,18.0
1474,0.0,50.0,6.0,44.0,2.0,15.0,18.0,16.0,4.0,31.0,11.0,9.0,8.0,20.0,74.0,69.0,92.0,28.0,10.0,60.0,57.0,89.0,45.0,17.0,42.0,35.0,72.0,29.0,21.0,115.0
1523,0.0,34.0,10.0,11.0,4.0,24.0,1.0,5.0,2.0,12.0,46.0,7.0,3.0,21.0,43.0,98.0,13.0,74.0,14.0,73.0,31.0,33.0,20.0,50.0,53.0,56.0,87.0,6.0,17.0,76.0
1572,2.0,0.0,5.0,44.0,34.0,71.0,6.0,9.0,8.0,20.0,10.0,7.0,1.0,66.0,60.0,38.0,18.0,30.0,3.0,26.0,99.0,88.0,93.0,11.0,46.0,27.0,17.0,33.0,51.0,72.0
1621,6.0,12.0,9.0,14.0,0.0,4.0,7.0,3.0,13.0,17.0,45.0,1.0,8.0,10.0,11.0,123.0,86.0,5.0,20.0,19.0,31.0,55.0,16.0,2.0,23.0,30.0,84.0,158.0,26.0,71.0
1670,3.0,16.0,5.0,22.0,17.0,20.0,11.0,1.0,0.0,6.0,27.0,19.0,45.0,18.0,92.0,44.0,42.0,14.0,15.0,24.0,132.0,33.0,93.0,10.0,81.0,40.0,82.0,51.0,115.0,12.0
1719,3.0,52.0,21.0,88.0,1.0,63.0,10.0,0.0,2.0,19.0,17.0,11.0,4.0,90.0,156.0,14.0,12.0,6.0,13.0,5.0,57.0,40.0,103.0,9.0,116.0,53.0,58.0,33.0,62.0,7.0
1768,0.0,40.0,7.0,9.0,1.0,30.0,5.0,28.0,2.0,3.0,19.0,16.0,15.0,29.0,94.0,52.0,12.0,21.0,38.0,39.0,77.0,43.0,126.0,4.0,64.0,18.0,86.0,62.0,96.0,54.0
1817,0.0,10.0,2.0,85.0,16.0,95.0,3.0,6.0,13.0,15.0,7.0,18.0,28.0,43.0,80.0,101.0,8.0,42.0,1.0,27.0,5.0,22.0,47.0,4.0,12.0,21.0,153.0,88.0,84.0,38.0
1866,3.0,5.0,15.0,11.0,29.0,10.0,17.0,2.0,0.0,1.0,44.0,8.0,18.0,6.0,106.0,37.0,19.0,22.0,34.0,25.0,113.0,7.0,77.0,36.0,57.0,132.0,64.0,72.0,59.0,45.0
1915,3.0,46.0,22.0,12.0,29.0,49.0,7.0,2.0,5.0,0.0,55.0,4.0,8.0,24.0,71.0,15.0,23.0,6.0,40.0,63.0,54.0,62.0,64.0,1.0,32.0,16.0,36.0,27.0,127.0,77.0
1964,2.0,76.0,26.0,0.0,1.0,6.0,3.0,4.0,14.0,50.0,44.0,11.0,47.0,9.0,5.0,28.0,71.0,10.0,17.0,8.0,7.0,94.0,98.0,46.0,15.0,19.0,38.0,96.0,43.0,39.0
2013,0.0,5.0,9.0,1.0,7.0,3.0,10.0,2.0,16.0,130.0,17.0,20.0,90.0,6.0,12.0,53.0,93.0,66.0,15.0,28.0,24.0,86.0,8.0,99.0,72.0,45.0,13.0,47.0,67.0,97.0
2062,0.0,22.0,18.0,6.0,1.0,16.0,44.0,13.0,9.0,15.0,14.0,5.0,12.0,7.0,4.0,60.0,56.0,31.0,2.0,98.0,10.0,54.0,63.0,35.0,28.0,42.0,115.0,107.0,45.0,23.0
2111,0.0,22.0,7.0,18.0,1.0,2.0,6.0,47.0,76.0,38.0,77.0,33.0,27.0,3.0,9.0,126.0,74.0,10.0,105.0,140.0,12.0,54.0,75.0,20.0,50.0,13.0,11.0,4.0,117.0,44.0
2160,0.0,10.0,48.0,3.0,1.0,31.0,15.0,34.0,13.0,92.0,28.0,29.0,4.0,7.0,2.0,52.0,9.0,24.0,62.0,40.0,26.0,21.0,39.0,20.0,14.0,6.0,36.0,35.0,12.0,5.0
2209,0.0,7.0,12.0,10.0,1.0,66.0,19.0,4.0,23.0,51.0,57.0,14.0,2.0,3.0,6.0,68.0,28.0,17.0,9.0,64.0,20.0,106.0,30.0,70.0,53.0,8.0,83.0,71.0,27.0,46.0
2258,0.0,32.0,3.0,2.0,6.0,15.0,12.0,5.0,11.0,98.0,43.0,53.0,28.0,26.0,1.0,17.0,120.0,25.0,21.0,8.0,52.0,140.0,64.0,40.0,42.0,34.0,83.0,62.0,37.0,13.0
2307,0.0,39.0,7.0,5.0,6.0,8.0,28.0,46.0,10.0,82.0,35.0,51.0,3.0,2.0,1.0,38.0,70.0,4.0,29.0,106.0,42.0,68.0,26.0,14.0,52.0,12.0,11.0,15.0,48.0,31.0
2356,0.0,8.0,26.0,1.0,5.0,2.0,72.0,10.0,34.0,68.0,52.0,33.0,11.0,19.0,4.0,22.0,32.0,3.0,50.0,61.0,27.0,48.0,25.0,28.0,69.0,38.0,18.0,42.0,9.0,73.0
2405,1.0,16.0,4.0,0.0,10.0,6.0,12.0,14.0,44.0,13.0,9.0,7.0,96.0,8.0,5.0,35.0,81.0,20.0,40.0,15.0,2.0,33.0,24.0,51.0,31.0,23.0,27.0,54.0,22.0,11.0
2454,6.0,3.0,10.0,2.0,13.0,60.0,26.0,14.0,41.0,44.0,43.0,20.0,21.0,17.0,36.0,39.0,9.0,40.0,4.0,18.0,32.0,127.0,8.0,15.0,35.0,24.0,11.0,104.0,12.0,48.0
2503,0.0,4.0,3.0,7.0,2.0,94.0,1.0,14.0,11.0,10.0,25.0,99.0,17.0,9.0,8.0,45.0,28.0,36.0,12.0,22.0,16.0,32.0,6.0,37.0,21.0,59.0,13.0,29.0,5.0,64.0
2552,3.0,4.0,62.0,0.0,1.0,9.0,2.0,20.0,31.0,41.0,30.0,8.0,14.0,33.0,15.0,13.0,34.0,43.0,32.0,38.0,12.0,48.0,18.0,74.0,10.0,104.0,21.0,55.0,5.0,42.0
2601,5.0,6.0,7.0,1.0,2.0,8.0,13.0,72.0,74.0,43.0,20.0,19.0,25.0,4.0,51.0,30.0,14.0,88.0,11.0,27.0,63.0,36.0,33.0,69.0,29.0,37.0,102.0,35.0,0.0,16.0
2650,0.0,2.0,5.0,4.0,13.0,15.0,1.0,14.0,3.0,10.0,83.0,89.0,53.0,20.0,63.0,23.0,12.0,33.0,19.0,65.0,47.0,8.0,29.0,31.0,21.0,128.0,6.0,26.0,25.0,92.0
2699,5.0,0.0,2.0,3.0,1.0,8.0,20.0,24.0,4.0,12.0,22.0,9.0,10.0,57.0,25.0,85.0,71.0,17.0,15.0,59.0,31.0,27.0,53.0,11.0,109.0,62.0,48.0,26.0,6.0,45.0
2748,1.0,23.0,3.0,0.0,80.0,25.0,5.0,9.0,4.0,24.0,52.0,7.0,46.0,6.0,30.0,22.0,18.0,87.0,27.0,44.0,21.0,88.0,11.0,34.0,47.0,127.0,72.0,12.0,58.0,56.0
2797,0.0,17.0,3.0,7.0,4.0,24.0,1.0,30.0,46.0,8.0,80.0,41.0,42.0,11.0,21.0,105.0,28.0,37.0,15.0,13.0,29.0,86.0,88.0,14.0,122.0,96.0,55.0,34.0,9.0,89.0
2846,10.0,8.0,4.0,1.0,16.0,61.0,22.0,0.0,12.0,13.0,11.0,65.0,5.0,20.0,152.0,24.0,9.0,29.0,30.0,37.0,67.0,40.0,111.0,25.0,21.0,19.0,51.0,39.0,47.0,91.0
2895,4.0,0.0,1.0,10.0,3.0,14.0,2.0,12.0,32.0,13.0,16.0,134.0,68.0,9.0,59.0,47.0,50.0,21.0,43.0,29.0,147.0,8.0,82.0,7.0,18.0,61.0,63.0,74.0,17.0,104.0
2944,0.0,1.0,13.0,7.0,36.0,2.0,21.0,10.0,14.0,70.0,23.0,5.0,80.0,20.0,11.0,17.0,8.0,4.0,15.0,71.0,102.0,3.0,92.0,85.0,29.0,44.0,6.0,49.0,9.0,34.0
2993,1.0,9.0,105.0,0.0,8.0,5.0,20.0,52.0,6.0,49.0,2.0,29.0,19.0,34.0,16.0,65.0,10.0,96.0,39.0,14.0,21.0,23.0,44.0,13.0,4.0,27.0,70.0,7.0,11.0,41.0
3042,2.0,3.0,53.0,6.0,10.0,0.0,58.0,1.0,5.0,69.0,14.0,17.0,59.0,13.0,46.0,11.0,36.0,90.0,8.0,32.0,65.0,16.0,27.0,142.0,72.0,152.0,108.0,18.0,19.0,42.0
3091,1.0,12.0,104.0,0.0,68.0,4.0,10.0,2.0,25.0,13.0,3.0,48.0,107.0,11.0,66.0,19.0,26.0,88.0,40.0,45.0,5.0,8.0,46.0,50.0,44.0,100.0,20.0,28.0,74.0,32.0
3140,0.0,23.0,104.0,4.0,2.0,7.0,13.0,8.0,9.0,3.0,19.0,63.0,26.0,5.0,17.0,10.0,1.0,15.0,62.0,20.0,36.0,6.0,30.0,54.0,140.0,101.0,33.0,32.0,25.0,42.0
3189,0.0,18.0,74.0,1.0,16.0,3.0,8.0,7.0,36.0,34.0,2.0,46.0,59.0,26.0,82.0,38.0,20.0,23.0,19.0,75.0,95.0,35.0,24.0,67.0,51.0,21.0,112.0,4.0,11.0,29.0
3238,1.0,4.0,110.0,11.0,75.0,0.0,15.0,10.0,5.0,46.0,2.0,71.0,40.0,3.0,7.0,13.0,29.0,9.0,51.0,39.0,58.0,8.0,62.0,21.0,89.0,134.0,60.0,99.0,19.0,20.0
3287,0.0,1.0,8.0,3.0,42.0,2.0,33.0,28.0,19.0,9.0,5.0,122.0,58.0,38.0,56.0,6.0,104.0,128.0,25.0,37.0,67.0,40.0,57.0,4.0,89.0,91.0,102.0,13.0,18.0,21.0
3336,3.0,18.0,49.0,0.0,7.0,1.0,38.0,24.0,2.0,67.0,16.0,63.0,10.0,126.0,32.0,17.0,8.0,81.0,12.0,11.0,58.0,23.0,57.0,72.0,56.0,14.0,55.0,46.0,47.0,41.0
3385,0.0,3.0,16.0,2.0,4.0,32.0,36.0,7.0,1.0,17.0,22.0,65.0,81.0,10.0,35.0,74.0,9.0,59.0,5.0,46.0,50.0,26.0,42.0,43.0,31.0,34.0,21.0,114.0,29.0,20.0
3434,1.0,8.0,5.0,24.0,15.0,4.0,13.0,21.0,75.0,57.0,3.0,10.0,22.0,0.0,7.0,25.0,16.0,51.0,63.0,20.0,69.0,28.0,33.0,91.0,29.0,11.0,6.0,117.0,84.0,2.0
3483,0.0,8.0,3.0,25.0,20.0,4.0,157.0,75.0,51.0,2.0,44.0,6.0,24.0,9.0,35.0,12.0,1.0,15.0,52.0,36.0,155.0,30.0,82.0,89.0,10.0,21.0,50.0,79.0,13.0,23.0
3532,0.0,8.0,46.0,40.0,53.0,5.0,45.0,38.0,62.0,17.0,1.0,27.0,56.0,13.0,20.0,4.0,18.0,85.0,51.0,118.0,26.0,23.0,6.0,35.0,14.0,55.0,71.0,90.0,19.0,72.0
3581,2.0,12.0,44.0,5.0,7.0,0.0,8.0,19.0,32.0,28.0,9.0,4.0,39.0,52.0,25.0,10.0,56.0,49.0,22.0,3.0,18.0,16.0,20.0,66.0,24.0,15.0,26.0,75.0,14.0,40.0
3630,1.0,33.0,0.0,29.0,15.0,2.0,51.0,83.0,9.0,3.0,90.0,7.0,10.0,4.0,65.0,5.0,16.0,19.0,119.0,50.0,45.0,40.0,108.0,17.0,18.0,8.0,13.0,36.0,42.0,57.0
3679,16.0,9.0,1.0,3.0,18.0,2.0,22.0,46.0,56.0,29.0,13.0,68.0,40.0,47.0,38.0,24.0,36.0,90.0,65.0,21.0,136.0,5.0,97.0,14.0,10.0,28.0,4.0,25.0,6.0,7.0
3728,0.0,11.0,2.0,84.0,29.0,22.0,4.0,5.0,19.0,40.0,58.0,7.0,28.0,6.0,18.0,25.0,35.0,20.0,109.0,3.0,38.0,12.0,50.0,9.0,1.0,15.0,17.0,90.0,52.0,8.0
3777,3.0,13.0,1.0,40.0,26.0,35.0,2.0,57.0,119.0,18.0,5.0,14.0,54.0,11.0,21.0,52.0,22.0,6.0,116.0,31.0,82.0,8.0,9.0,46.0,20.0,30.0,4.0,17.0,91.0,0.0
3826,1.0,24.0,0.0,7.0,3.0,42.0,2.0,91.0,51.0,5.0,13.0,8.0,21.0,34.0,17.0,27.0,44.0,29.0,45.0,4.0,52.0,6.0,15.0,61.0,66.0,11.0,85.0,18.0,28.0,31.0
3875,0.0,4.0,67.0,26.0,8.0,1.0,5.0,35.0,14.0,2.0,6.0,47.0,11.0,36.0,16.0,32.0,58.0,27.0,148.0,13.0,54.0,3.0,24.0,31.0,33.0,25.0,20.0,22.0,15.0,12.0
3924,1.0,3.0,4.0,13.0,35.0,7.0,20.0,0.0,12.0,2.0,21.0,17.0,23.0,83.0,15.0,113.0,34.0,77.0,28.0,6.0,24.0,16.0,30.0,70.0,26.0,5.0,36.0,130.0,8.0,44.0
3973,11.0,0.0,3.0,1.0,33.0,17.0,29.0,2.0,22.0,7.0,20.0,53.0,19.0,6.0,12.0,15.0,59.0,25.0,69.0,74.0,32.0,18.0,38.0,157.0,10.0,63.0,13.0,117.0,4.0,16.0
4022,13.0,6.0,23.0,7.0,8.0,11.0,4.0,3.0,2.0,1.0,9.0,36.0,14.0,41.0,30.0,31.0,28.0,87.0,15.0,66.0,19.0,16.0,0.0,5.0,10.0,86.0,84.0,153.0,24.0,20.0
4071,6.0,3.0,16.0,13.0,27.0,32.0,18.0,0.0,1.0,2.0,19.0,10.0,12.0,56.0,41.0,63.0,8.0,40.0,7.0,26.0,95.0,37.0,20.0,46.0,49.0,127.0,91.0,17.0,105.0,64.0
4120,2.0,3.0,19.0,23.0,6.0,1.0,12.0,5.0,34.0,0.0,9.0,39.0,11.0,60.0,56.0,68.0,20.0,31.0,70.0,8.0,28.0,89.0,15.0,73.0,16.0,27.0,142.0,148.0,44.0,50.0
4169,5.0,4.0,57.0,1.0,16.0,14.0,24.0,0.0,11.0,2.0,10.0,3.0,75.0,29.0,23.0,110.0,7.0,106.0,12.0,32.0,77.0,18.0,45.0,34.0,13.0,115.0,51.0,93.0,17.0,67.0
4218,34.0,7.0,4.0,10.0,5.0,15.0,23.0,0.0,8.0,1.0,30.0,11.0,2.0,57.0,14.0,12.0,117.0,31.0,17.0,38.0,48.0,49.0,28.0,45.0,3.0,43.0,155.0,25.0,53.0,6.0
4267,1.0,8.0,17.0,9.0,15.0,0.0,5.0,6.0,40.0,2.0,7.0,57.0,27.0,23.0,60.0,14.0,98.0,42.0,72.0,20.0,41.0,45.0,25.0,30.0,4.0,16.0,19.0,67.0,51.0,11.0
4316,5.0,1.0,4.0,9.0,104.0,3.0,6.0,0.0,2.0,20.0,14.0,7.0,10.0,23.0,102.0,57.0,47.0,29.0,35.0,40.0,44.0,13.0,92.0,21.0,11.0,94.0,31.0,87.0,53.0,61.0
4365,4.0,0.0,7.0,20.0,12.0,1.0,49.0,14.0,16.0,28.0,15.0,36.0,25.0,124.0,22.0,9.0,8.0,44.0,43.0,67.0,27.0,5.0,83.0,61.0,13.0,50.0,84.0,38.0,19.0,78.0
4414,0.0,1.0,136.0,46.0,8.0,16.0,39.0,6.0,2.0,40.0,9.0,4.0,7.0,27.0,10.0,60.0,17.0,31.0,28.0,12.0,5.0,47.0,64.0,22.0,14.0,20.0,85.0,3.0,56.0,24.0
4463,0.0,4.0,31.0,25.0,16.0,1.0,2.0,14.0,6.0,51.0,3.0,5.0,19.0,27.0,48.0,40.0,15.0,87.0,13.0,17.0,46.0,102.0,18.0,56.0,39.0,9.0,76.0,29.0,34.0,7.0
4512,0.0,15.0,7.0,1.0,9.0,12.0,8.0,3.0,6.0,130.0,20.0,25.0,22.0,2.0,48.0,109.0,27.0,24.0,87.0,57.0,5.0,29.0,4.0,17.0,33.0,32.0,44.0,11.0,80.0,31.0
4561,0.0,4.0,14.0,6.0,2.0,25.0,1.0,17.0,20.0,35.0,41.0,22.0,27.0,45.0,5.0,7.0,19.0,9.0,140.0,15.0,49.0,32.0,23.0,110.0,69.0,28.0,146.0,40.0,37.0,33.0
4610,0.0,6.0,82.0,2.0,11.0,10.0,3.0,4.0,33.0,45.0,18.0,15.0,20.0,16.0,21.0,38.0,51.0,44.0,25.0,14.0,5.0,61.0,1.0,32.0,24.0,12.0,49.0,48.0,7.0,94.0
4659,0.0,1.0,4.0,19.0,16.0,5.0,2.0,14.0,32.0,17.0,18.0,12.0,8.0,103.0,23.0,30.0,77.0,3.0,115.0,80.0,10.0,35.0,9.0,62.0,97.0,27.0,25.0,22.0,41.0,28.0
4708,0.0,1.0,35.0,30.0,10.0,5.0,19.0,3.0,28.0,6.0,15.0,42.0,24.0,9.0,75.0,68.0,46.0,8.0,17.0,26.0,2.0,32.0,7.0,36.0,45.0,44.0,63.0,12.0,47.0,55.0
4757,0.0,4.0,125.0,12.0,47.0,8.0,13.0,7.0,23.0,26.0,6.0,15.0,1.0,18.0,3.0,60.0,2.0,5.0,91.0,46.0,19.0,24.0,49.0,67.0,105.0,64.0,21.0,10.0,16.0,20.0
4806,0.0,2.0,68.0,56.0,4.0,1.0,3.0,82.0,50.0,30.0,6.0,18.0,13.0,60.0,8.0,48.0,11.0,52.0,58.0,46.0,10.0,49.0,15.0,34.0,44.0,65.0,32.0,59.0,100.0,112.0
4855,0.0,11.0,36.0,15.0,2.0,17.0,6.0,19.0,51.0,16.0,4.0,5.0,12.0,20.0,9.0,30.0,35.0,7.0,49.0,14.0,10.0,37.0,1.0,33.0,59.0,89.0,137.0,3.0,38.0,42.0
