,YAP_pS127,PTEN,Akt_pS473,Porin,Caveolin-1,G6PD,SETD2,alpha-Catenin,E-Cadherin,GAPDH,AR,CD49b,Bcl-2,Tuberin_pT1462,Annexin 1,A-Raf_pS299,MIG-6,VEGFR2,beta-Catenin,Src,Fibronectin,PDCD4,Transglutaminase,XBP1,FOXO3a,Smac,PRAS40_pT246,MAPK_pT202_Y204,PAI-1,RBM15
4,1.0,6.0,41.0,3.0,5.0,68.0,2.0,4.0,19.0,0.0,21.0,25.0,64.0,52.0,35.0,15.0,14.0,62.0,115.0,73.0,11.0,109.0,50.0,27.0,67.0,30.0,75.0,26.0,51.0,113.0
53,1.0,6.0,0.0,28.0,3.0,13.0,12.0,45.0,24.0,10.0,16.0,63.0,17.0,5.0,21.0,8.0,57.0,7.0,19.0,35.0,11.0,36.0,60.0,50.0,4.0,54.0,14.0,65.0,68.0,15.0
102,0.0,3.0,15.0,14.0,11.0,2.0,7.0,16.0,8.0,5.0,85.0,9.0,36.0,77.0,20.0,4.0,34.0,6.0,78.0,24.0,1.0,40.0,19.0,41.0,33.0,22.0,56.0,30.0,27.0,23.0
151,10.0,2.0,1.0,18.0,54.0,24.0,3.0,12.0,6.0,0.0,47.0,34.0,14.0,22.0,26.0,19.0,5.0,41.0,127.0,9.0,29.0,25.0,43.0,23.0,15.0,4.0,13.0,11.0,28.0,20.0
200,10.0,3.0,7.0,13.0,1.0,18.0,26.0,0.0,131.0,2.0,46.0,16.0,6.0,8.0,42.0,9.0,14.0,4.0,65.0,5.0,11.0,89.0,101.0,12.0,29.0,87.0,72.0,17.0,15.0,54.0
249,0.0,3.0,10.0,5.0,109.0,11.0,6.0,31.0,19.0,1.0,2.0,27.0,37.0,24.0,18.0,13.0,33.0,137.0,107.0,4.0,16.0,132.0,15.0,76.0,78.0,22.0,9.0,43.0,95.0,55.0
298,0.0,3.0,2.0,5.0,17.0,43.0,4.0,6.0,7.0,1.0,78.0,47.0,11.0,143.0,113.0,21.0,9.0,15.0,46.0,19.0,10.0,25.0,34.0,104.0,52.0,91.0,60.0,45.0,38.0,36.0
347,0.0,4.0,31.0,21.0,53.0,3.0,6.0,12.0,10.0,1.0,28.0,109.0,2.0,13.0,61.0,27.0,19.0,16.0,97.0,9.0,8.0,60.0,30.0,11.0,46.0,117.0,89.0,23.0,47.0,32.0
396,0.0,7.0,3.0,8.0,1.0,40.0,5.0,39.0,15.0,2.0,45.0,19.0,16.0,11.0,6.0,31.0,49.0,28.0,48.0,4.0,51.0,44.0,20.0,10.0,23.0,57.0,77.0,35.0,56.0,18.0
445,0.0,8.0,33.0,9.0,4.0,5.0,12.0,38.0,11.0,3.0,86.0,2.0,46.0,23.0,49.0,7.0,10.0,6.0,19.0,20.0,1.0,84.0,32.0,16.0,59.0,58.0,113.0,81.0,53.0,25.0
