,Shc_pY317,P-Cadherin,SETD2,p21,ADAR1,Rictor_pT1135,4E-BP1,RSK1-2-3,EGFR,C-Raf(BD610151),HER3,PRAS40_pT246,PAI-1,RAD51,Bad_pS112,Akt_pS473,VHL,Acetyl-a-Tubulin (Lys40),AR,p27_pT157,Smac,MDMX_MDM4(BetIHC-00108),N-Cadherin,PDK1,PDK1_pS241,Paxillin,PEA15,PDCD4,PEA15_pS116,p90RSK_pT359_S363
6,1.0,8.0,3.0,0.0,9.0,25.0,18.0,15.0,21.0,14.0,134.0,29.0,55.0,82.0,5.0,32.0,61.0,13.0,26.0,6.0,20.0,19.0,53.0,38.0,37.0,17.0,36.0,39.0,35.0,43.0
55,4.0,1.0,11.0,0.0,36.0,5.0,7.0,14.0,24.0,16.0,32.0,21.0,25.0,84.0,38.0,121.0,28.0,119.0,125.0,54.0,76.0,29.0,83.0,56.0,46.0,23.0,45.0,48.0,44.0,10.0
104,8.0,3.0,0.0,1.0,5.0,18.0,2.0,17.0,7.0,100.0,28.0,25.0,49.0,83.0,110.0,122.0,37.0,120.0,34.0,4.0,16.0,40.0,15.0,48.0,45.0,42.0,46.0,43.0,47.0,52.0
153,0.0,1.0,3.0,2.0,5.0,10.0,33.0,9.0,29.0,105.0,25.0,78.0,44.0,11.0,111.0,40.0,34.0,36.0,39.0,56.0,41.0,141.0,30.0,66.0,67.0,64.0,89.0,65.0,18.0,23.0
202,3.0,0.0,4.0,2.0,32.0,20.0,30.0,80.0,6.0,1.0,10.0,12.0,51.0,84.0,5.0,120.0,35.0,29.0,39.0,53.0,92.0,41.0,23.0,44.0,48.0,60.0,42.0,47.0,43.0,61.0
251,0.0,1.0,5.0,7.0,6.0,74.0,2.0,15.0,25.0,16.0,24.0,20.0,44.0,78.0,107.0,32.0,3.0,116.0,124.0,14.0,9.0,143.0,52.0,41.0,40.0,21.0,73.0,42.0,59.0,47.0
300,0.0,5.0,4.0,6.0,30.0,8.0,2.0,7.0,1.0,104.0,37.0,19.0,45.0,77.0,98.0,31.0,60.0,117.0,109.0,14.0,10.0,34.0,27.0,41.0,43.0,21.0,72.0,42.0,57.0,47.0
349,76.0,2.0,9.0,1.0,29.0,3.0,113.0,12.0,25.0,14.0,4.0,23.0,15.0,84.0,110.0,121.0,27.0,7.0,126.0,31.0,75.0,30.0,0.0,55.0,18.0,45.0,43.0,46.0,39.0,49.0
398,0.0,1.0,6.0,10.0,9.0,13.0,29.0,8.0,3.0,103.0,34.0,86.0,56.0,18.0,4.0,36.0,62.0,118.0,125.0,5.0,15.0,142.0,43.0,45.0,40.0,23.0,41.0,44.0,42.0,25.0
447,11.0,28.0,14.0,31.0,29.0,3.0,7.0,5.0,8.0,23.0,131.0,22.0,9.0,15.0,6.0,120.0,64.0,117.0,1.0,32.0,79.0,141.0,128.0,50.0,49.0,12.0,59.0,53.0,46.0,18.0
496,90.0,3.0,12.0,44.0,30.0,7.0,2.0,87.0,35.0,6.0,25.0,79.0,13.0,16.0,39.0,26.0,0.0,28.0,37.0,34.0,5.0,29.0,95.0,52.0,51.0,55.0,49.0,54.0,46.0,50.0
545,49.0,1.0,18.0,3.0,32.0,5.0,0.0,9.0,17.0,105.0,132.0,14.0,43.0,75.0,37.0,120.0,4.0,38.0,125.0,52.0,65.0,27.0,30.0,46.0,47.0,42.0,77.0,48.0,88.0,45.0
594,4.0,12.0,5.0,27.0,29.0,86.0,0.0,87.0,21.0,104.0,25.0,76.0,9.0,56.0,8.0,7.0,69.0,120.0,3.0,6.0,75.0,140.0,128.0,45.0,54.0,14.0,43.0,46.0,37.0,51.0
643,10.0,0.0,2.0,24.0,5.0,8.0,35.0,7.0,154.0,12.0,3.0,17.0,20.0,82.0,39.0,34.0,32.0,118.0,123.0,1.0,16.0,141.0,28.0,41.0,42.0,46.0,44.0,43.0,45.0,49.0
692,0.0,27.0,2.0,4.0,9.0,12.0,37.0,5.0,155.0,103.0,25.0,3.0,23.0,75.0,8.0,120.0,58.0,7.0,6.0,26.0,33.0,142.0,11.0,22.0,41.0,43.0,90.0,42.0,63.0,46.0
741,0.0,23.0,3.0,54.0,37.0,11.0,1.0,73.0,156.0,108.0,21.0,82.0,16.0,90.0,34.0,38.0,2.0,5.0,36.0,52.0,69.0,142.0,25.0,17.0,77.0,45.0,65.0,46.0,89.0,41.0
