,GABA,beta-alanine,C56:5 TAG,2-deoxycytidine,alpha-glycerophosphate,C22:6 LPE,butyrylcarnitine/isobutyrylcarnitine,DHAP/glyceraldehyde 3P,C34:4 PC,N-carbamoyl-beta-alanine,1-methylnicotinamide,C36:4 PC-B,UMP,palmitoylcarnitine,acetylcholine,adenosine,uridine,cystathionine,cytidine,niacinamide,valerylcarnitine,hypoxanthine,homocysteine,C18:0 LPC,2-deoxyadenosine,PEP,NADP,SDMA/ADMA,pantothenate,putrescine
25,1.0,4.0,0.0,20.0,2.0,11.0,5.0,9.0,3.0,6.0,14.0,25.0,18.0,12.0,10.0,21.0,16.0,7.0,24.0,39.0,28.0,36.0,8.0,26.0,15.0,23.0,52.0,13.0,29.0,60.0
74,0.0,7.0,3.0,23.0,10.0,9.0,16.0,6.0,1.0,28.0,4.0,5.0,36.0,2.0,13.0,35.0,22.0,19.0,20.0,21.0,15.0,24.0,54.0,39.0,29.0,26.0,41.0,8.0,17.0,50.0
123,0.0,3.0,1.0,50.0,2.0,13.0,12.0,21.0,10.0,4.0,31.0,5.0,15.0,6.0,8.0,18.0,11.0,26.0,14.0,27.0,23.0,62.0,54.0,19.0,37.0,16.0,65.0,7.0,38.0,58.0
172,2.0,9.0,1.0,20.0,10.0,3.0,38.0,4.0,5.0,31.0,33.0,11.0,21.0,6.0,8.0,22.0,0.0,18.0,19.0,13.0,26.0,17.0,48.0,14.0,37.0,34.0,50.0,16.0,15.0,51.0
221,0.0,5.0,1.0,6.0,3.0,14.0,9.0,11.0,2.0,13.0,4.0,7.0,12.0,16.0,10.0,55.0,8.0,15.0,30.0,31.0,27.0,37.0,52.0,34.0,18.0,17.0,45.0,39.0,42.0,33.0
270,0.0,2.0,3.0,1.0,6.0,22.0,19.0,5.0,4.0,36.0,13.0,9.0,7.0,20.0,11.0,49.0,40.0,15.0,30.0,33.0,29.0,55.0,17.0,10.0,21.0,50.0,46.0,14.0,16.0,24.0
319,4.0,5.0,10.0,3.0,0.0,8.0,1.0,6.0,11.0,7.0,14.0,9.0,12.0,16.0,20.0,21.0,2.0,25.0,38.0,24.0,17.0,18.0,50.0,34.0,36.0,23.0,56.0,45.0,33.0,57.0
368,1.0,5.0,8.0,14.0,0.0,3.0,4.0,9.0,6.0,2.0,7.0,27.0,38.0,10.0,12.0,21.0,18.0,17.0,55.0,13.0,16.0,66.0,26.0,19.0,46.0,15.0,22.0,45.0,42.0,34.0
417,0.0,10.0,4.0,3.0,1.0,9.0,15.0,11.0,2.0,23.0,5.0,16.0,6.0,37.0,7.0,39.0,30.0,17.0,38.0,12.0,25.0,51.0,26.0,20.0,8.0,44.0,48.0,28.0,13.0,29.0
466,0.0,19.0,3.0,1.0,2.0,8.0,54.0,10.0,5.0,11.0,12.0,9.0,48.0,7.0,4.0,23.0,44.0,46.0,16.0,6.0,27.0,55.0,40.0,37.0,51.0,57.0,32.0,34.0,39.0,35.0
515,0.0,4.0,5.0,11.0,9.0,7.0,2.0,17.0,13.0,3.0,8.0,10.0,1.0,45.0,36.0,20.0,19.0,35.0,15.0,14.0,41.0,24.0,16.0,47.0,64.0,25.0,29.0,27.0,38.0,23.0
564,0.0,1.0,4.0,7.0,15.0,11.0,6.0,3.0,5.0,9.0,13.0,12.0,8.0,2.0,40.0,17.0,26.0,42.0,41.0,24.0,19.0,20.0,10.0,32.0,16.0,14.0,25.0,18.0,60.0,37.0
613,0.0,2.0,5.0,18.0,11.0,4.0,13.0,12.0,14.0,1.0,7.0,15.0,3.0,6.0,35.0,24.0,16.0,29.0,56.0,32.0,47.0,26.0,27.0,9.0,42.0,28.0,23.0,40.0,33.0,50.0
662,0.0,2.0,7.0,8.0,4.0,3.0,6.0,24.0,35.0,17.0,5.0,28.0,1.0,42.0,26.0,14.0,10.0,31.0,15.0,61.0,27.0,9.0,29.0,45.0,13.0,18.0,25.0,12.0,41.0,11.0
711,0.0,6.0,9.0,11.0,3.0,8.0,2.0,22.0,7.0,21.0,5.0,15.0,1.0,4.0,14.0,12.0,20.0,60.0,26.0,32.0,35.0,18.0,10.0,13.0,25.0,36.0,40.0,41.0,29.0,48.0
760,4.0,0.0,16.0,26.0,20.0,1.0,6.0,9.0,59.0,3.0,29.0,28.0,32.0,2.0,8.0,21.0,30.0,27.0,18.0,11.0,25.0,5.0,14.0,7.0,31.0,17.0,12.0,35.0,44.0,46.0
809,0.0,3.0,14.0,2.0,13.0,9.0,5.0,7.0,17.0,8.0,1.0,12.0,4.0,6.0,40.0,32.0,28.0,23.0,19.0,38.0,36.0,25.0,37.0,30.0,31.0,45.0,42.0,24.0,18.0,35.0
858,1.0,2.0,3.0,22.0,40.0,4.0,13.0,17.0,34.0,6.0,15.0,21.0,0.0,5.0,7.0,41.0,28.0,37.0,12.0,14.0,45.0,23.0,11.0,25.0,30.0,51.0,31.0,9.0,18.0,64.0
907,0.0,4.0,16.0,15.0,14.0,6.0,3.0,9.0,20.0,1.0,22.0,12.0,2.0,10.0,11.0,8.0,18.0,48.0,5.0,58.0,44.0,17.0,29.0,33.0,28.0,21.0,42.0,19.0,7.0,59.0
956,0.0,3.0,14.0,17.0,9.0,8.0,4.0,7.0,19.0,5.0,6.0,11.0,2.0,1.0,52.0,29.0,24.0,31.0,56.0,12.0,45.0,27.0,41.0,61.0,35.0,10.0,54.0,15.0,39.0,50.0
1005,0.0,8.0,9.0,13.0,2.0,3.0,20.0,6.0,16.0,11.0,10.0,5.0,15.0,42.0,39.0,26.0,7.0,34.0,4.0,1.0,19.0,35.0,27.0,21.0,31.0,56.0,55.0,58.0,61.0,46.0
1054,0.0,2.0,8.0,4.0,7.0,3.0,22.0,5.0,26.0,18.0,25.0,10.0,35.0,15.0,24.0,16.0,11.0,14.0,1.0,6.0,38.0,23.0,30.0,36.0,20.0,49.0,31.0,9.0,27.0,21.0
1103,0.0,3.0,12.0,2.0,1.0,9.0,8.0,19.0,4.0,24.0,10.0,18.0,15.0,55.0,63.0,30.0,22.0,16.0,7.0,5.0,25.0,49.0,43.0,34.0,13.0,51.0,36.0,41.0,27.0,32.0
1152,1.0,2.0,4.0,0.0,3.0,34.0,13.0,11.0,26.0,6.0,12.0,16.0,15.0,38.0,30.0,48.0,8.0,14.0,5.0,9.0,20.0,46.0,19.0,57.0,7.0,42.0,35.0,45.0,29.0,39.0
1201,0.0,24.0,6.0,1.0,4.0,2.0,16.0,12.0,8.0,30.0,15.0,5.0,9.0,41.0,11.0,7.0,18.0,13.0,23.0,3.0,17.0,36.0,56.0,37.0,19.0,14.0,27.0,29.0,20.0,22.0
1250,1.0,4.0,0.0,20.0,3.0,6.0,7.0,2.0,11.0,15.0,19.0,9.0,30.0,47.0,28.0,12.0,8.0,17.0,21.0,5.0,13.0,41.0,50.0,34.0,18.0,59.0,26.0,51.0,16.0,27.0
1299,0.0,9.0,7.0,6.0,5.0,1.0,8.0,10.0,4.0,34.0,11.0,3.0,14.0,46.0,52.0,20.0,17.0,18.0,12.0,2.0,23.0,21.0,28.0,16.0,15.0,57.0,26.0,41.0,48.0,32.0
1348,0.0,1.0,11.0,7.0,4.0,2.0,12.0,5.0,13.0,18.0,14.0,6.0,23.0,47.0,43.0,10.0,16.0,44.0,17.0,3.0,19.0,46.0,32.0,8.0,28.0,37.0,42.0,59.0,9.0,34.0
1397,0.0,7.0,3.0,5.0,10.0,2.0,8.0,9.0,14.0,20.0,24.0,21.0,11.0,52.0,36.0,4.0,13.0,6.0,19.0,1.0,40.0,22.0,35.0,28.0,31.0,37.0,18.0,38.0,45.0,27.0
1446,0.0,6.0,8.0,9.0,4.0,3.0,7.0,10.0,5.0,22.0,20.0,1.0,18.0,55.0,42.0,14.0,11.0,31.0,21.0,2.0,16.0,26.0,43.0,53.0,17.0,52.0,57.0,25.0,23.0,44.0
1495,0.0,1.0,4.0,11.0,6.0,9.0,27.0,30.0,8.0,2.0,13.0,5.0,52.0,18.0,7.0,12.0,10.0,3.0,32.0,43.0,24.0,55.0,15.0,44.0,23.0,16.0,22.0,40.0,47.0,14.0
