,hsa-miR-34a,hsa-miR-579,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-223,hsa-miR-591,hsa-miR-26a,hsa-miR-675,hsa-miR-155,hsa-miR-1256,hsa-miR-142-5p,hsa-miR-892a,hsa-miR-614,hsa-miR-934,hsa-miR-582-5p,hsa-miR-519e,hsa-miR-133b,hsa-miR-220a,hsa-miR-449b,hsa-miR-891a,hsa-miR-581,hsa-miR-1286,kshv-miR-K12-7,hsa-miR-654-3p,hsa-miR-298,hsa-miR-921,hsa-miR-150,hsa-miR-568,hsa-miR-551b,hsa-miR-132
17,0.0,2.0,1.0,4.0,15.0,17.0,33.0,10.0,22.0,20.0,28.0,18.0,6.0,9.0,13.0,7.0,30.0,26.0,12.0,32.0,105.0,5.0,3.0,75.0,14.0,19.0,36.0,61.0,16.0,31.0
66,0.0,2.0,1.0,39.0,10.0,20.0,84.0,12.0,8.0,48.0,17.0,4.0,21.0,3.0,29.0,23.0,13.0,78.0,6.0,27.0,92.0,35.0,5.0,59.0,9.0,38.0,7.0,70.0,16.0,15.0
115,0.0,2.0,1.0,6.0,3.0,17.0,42.0,13.0,9.0,8.0,34.0,44.0,14.0,4.0,58.0,26.0,39.0,104.0,7.0,31.0,55.0,18.0,5.0,32.0,41.0,15.0,16.0,21.0,10.0,54.0
164,1.0,2.0,0.0,25.0,8.0,29.0,65.0,11.0,3.0,9.0,30.0,28.0,21.0,18.0,19.0,12.0,32.0,22.0,23.0,10.0,39.0,27.0,31.0,61.0,41.0,4.0,16.0,67.0,5.0,42.0
213,1.0,3.0,0.0,2.0,4.0,6.0,18.0,8.0,10.0,22.0,9.0,12.0,29.0,53.0,36.0,5.0,23.0,47.0,7.0,59.0,44.0,41.0,28.0,31.0,17.0,32.0,11.0,52.0,76.0,43.0
262,1.0,2.0,0.0,26.0,10.0,15.0,37.0,11.0,4.0,21.0,43.0,36.0,16.0,3.0,65.0,13.0,17.0,29.0,6.0,14.0,68.0,32.0,7.0,102.0,41.0,24.0,28.0,47.0,8.0,35.0
311,0.0,4.0,1.0,34.0,21.0,23.0,15.0,20.0,2.0,5.0,87.0,25.0,37.0,29.0,17.0,10.0,22.0,93.0,9.0,36.0,140.0,7.0,3.0,53.0,45.0,8.0,16.0,6.0,13.0,77.0
360,1.0,2.0,0.0,42.0,9.0,14.0,29.0,5.0,60.0,25.0,48.0,23.0,43.0,3.0,44.0,10.0,12.0,52.0,7.0,21.0,90.0,15.0,35.0,24.0,11.0,17.0,20.0,34.0,19.0,32.0
409,0.0,2.0,1.0,4.0,28.0,18.0,17.0,29.0,12.0,21.0,11.0,6.0,39.0,8.0,62.0,16.0,15.0,93.0,3.0,25.0,44.0,14.0,7.0,87.0,5.0,49.0,34.0,38.0,42.0,41.0
458,0.0,3.0,1.0,12.0,2.0,11.0,38.0,10.0,24.0,6.0,13.0,63.0,15.0,39.0,31.0,26.0,9.0,72.0,4.0,34.0,28.0,18.0,5.0,57.0,67.0,8.0,7.0,44.0,16.0,387.0
507,0.0,20.0,1.0,3.0,21.0,2.0,25.0,6.0,5.0,4.0,35.0,47.0,15.0,8.0,7.0,26.0,22.0,18.0,24.0,17.0,13.0,14.0,44.0,23.0,75.0,37.0,9.0,10.0,186.0,64.0
556,0.0,32.0,7.0,1.0,2.0,4.0,3.0,25.0,35.0,6.0,22.0,81.0,30.0,9.0,61.0,18.0,13.0,38.0,21.0,33.0,19.0,14.0,96.0,15.0,59.0,12.0,31.0,8.0,101.0,83.0
605,0.0,2.0,3.0,6.0,9.0,14.0,13.0,8.0,30.0,24.0,72.0,32.0,5.0,21.0,50.0,18.0,17.0,16.0,4.0,44.0,36.0,23.0,54.0,12.0,57.0,7.0,47.0,1.0,27.0,62.0
654,0.0,8.0,1.0,4.0,3.0,9.0,5.0,37.0,28.0,24.0,64.0,7.0,14.0,22.0,6.0,13.0,21.0,29.0,26.0,36.0,30.0,20.0,78.0,38.0,16.0,2.0,57.0,51.0,84.0,45.0
703,0.0,8.0,2.0,1.0,3.0,9.0,14.0,6.0,4.0,5.0,29.0,12.0,13.0,17.0,62.0,22.0,19.0,71.0,43.0,30.0,36.0,34.0,63.0,54.0,81.0,7.0,31.0,21.0,41.0,24.0
752,0.0,44.0,1.0,12.0,3.0,2.0,4.0,11.0,7.0,41.0,30.0,48.0,9.0,5.0,19.0,16.0,26.0,31.0,13.0,102.0,25.0,15.0,36.0,52.0,8.0,20.0,28.0,23.0,167.0,17.0
801,0.0,29.0,1.0,15.0,13.0,6.0,22.0,10.0,14.0,3.0,7.0,74.0,52.0,40.0,2.0,21.0,12.0,36.0,4.0,42.0,32.0,9.0,223.0,46.0,25.0,5.0,33.0,23.0,31.0,24.0
850,0.0,9.0,4.0,3.0,1.0,5.0,2.0,14.0,53.0,7.0,32.0,10.0,73.0,29.0,20.0,15.0,19.0,49.0,8.0,23.0,17.0,37.0,94.0,22.0,43.0,55.0,36.0,6.0,166.0,35.0
899,0.0,24.0,7.0,5.0,4.0,40.0,10.0,32.0,31.0,1.0,27.0,18.0,14.0,2.0,23.0,33.0,39.0,25.0,28.0,37.0,8.0,45.0,80.0,15.0,29.0,9.0,3.0,6.0,177.0,51.0
948,0.0,22.0,5.0,1.0,3.0,6.0,2.0,10.0,39.0,12.0,122.0,101.0,37.0,4.0,48.0,45.0,26.0,25.0,18.0,41.0,14.0,15.0,85.0,23.0,16.0,17.0,20.0,9.0,30.0,47.0
997,0.0,1.0,16.0,2.0,8.0,38.0,33.0,7.0,13.0,10.0,4.0,30.0,9.0,31.0,28.0,37.0,59.0,57.0,23.0,14.0,86.0,21.0,20.0,27.0,43.0,25.0,65.0,35.0,12.0,384.0
1046,1.0,0.0,4.0,3.0,16.0,12.0,43.0,6.0,326.0,10.0,5.0,47.0,7.0,65.0,91.0,32.0,57.0,13.0,27.0,14.0,29.0,31.0,30.0,15.0,113.0,2.0,39.0,17.0,111.0,48.0
1095,0.0,2.0,1.0,4.0,7.0,22.0,14.0,24.0,3.0,20.0,5.0,44.0,15.0,8.0,17.0,37.0,103.0,6.0,81.0,10.0,11.0,13.0,12.0,49.0,34.0,19.0,56.0,43.0,23.0,428.0
1144,0.0,2.0,12.0,1.0,6.0,29.0,7.0,4.0,24.0,25.0,10.0,58.0,31.0,62.0,19.0,18.0,55.0,3.0,42.0,15.0,13.0,8.0,11.0,72.0,28.0,5.0,33.0,175.0,20.0,59.0
1193,0.0,5.0,4.0,1.0,15.0,12.0,11.0,8.0,10.0,43.0,14.0,20.0,16.0,90.0,2.0,25.0,56.0,31.0,9.0,13.0,7.0,3.0,66.0,24.0,30.0,6.0,17.0,52.0,33.0,82.0
1242,0.0,3.0,2.0,7.0,4.0,28.0,10.0,1.0,32.0,12.0,22.0,34.0,11.0,210.0,5.0,23.0,106.0,8.0,51.0,62.0,16.0,19.0,27.0,40.0,17.0,13.0,37.0,61.0,67.0,55.0
1291,0.0,3.0,1.0,7.0,17.0,29.0,15.0,11.0,45.0,18.0,26.0,12.0,13.0,24.0,2.0,34.0,62.0,39.0,64.0,5.0,14.0,47.0,16.0,23.0,8.0,82.0,19.0,83.0,70.0,43.0
1340,0.0,1.0,10.0,25.0,7.0,12.0,48.0,2.0,27.0,4.0,15.0,252.0,17.0,40.0,13.0,26.0,373.0,9.0,32.0,23.0,33.0,8.0,21.0,16.0,50.0,5.0,410.0,14.0,122.0,34.0
1389,0.0,2.0,40.0,1.0,17.0,12.0,14.0,15.0,28.0,10.0,5.0,43.0,42.0,30.0,9.0,35.0,45.0,7.0,27.0,6.0,39.0,24.0,16.0,18.0,20.0,4.0,21.0,19.0,65.0,379.0
1438,0.0,5.0,31.0,7.0,21.0,23.0,72.0,2.0,51.0,19.0,4.0,144.0,12.0,300.0,14.0,16.0,53.0,3.0,86.0,9.0,15.0,10.0,36.0,20.0,26.0,1.0,79.0,35.0,17.0,37.0
1487,0.0,3.0,1.0,9.0,6.0,13.0,15.0,37.0,5.0,40.0,33.0,42.0,7.0,50.0,19.0,38.0,27.0,12.0,11.0,51.0,17.0,70.0,14.0,312.0,2.0,8.0,52.0,20.0,67.0,26.0
1536,0.0,3.0,2.0,1.0,4.0,12.0,8.0,33.0,6.0,7.0,20.0,25.0,10.0,18.0,42.0,36.0,39.0,15.0,11.0,48.0,5.0,35.0,16.0,306.0,43.0,23.0,34.0,62.0,57.0,38.0
1585,0.0,1.0,5.0,11.0,3.0,16.0,10.0,62.0,4.0,8.0,39.0,18.0,72.0,90.0,7.0,28.0,67.0,2.0,9.0,51.0,26.0,24.0,6.0,73.0,21.0,12.0,23.0,14.0,57.0,30.0
1634,0.0,1.0,11.0,5.0,8.0,9.0,15.0,34.0,3.0,4.0,16.0,36.0,17.0,33.0,44.0,22.0,60.0,10.0,2.0,63.0,25.0,55.0,7.0,51.0,12.0,43.0,45.0,13.0,84.0,27.0
