,C16:0 LPE,1-methylnicotinamide,uracil,alpha-hydroxybutyrate,cytidine,palmitoylcarnitine,pantothenate,cis/trans-hydroxyproline,valerylcarnitine,sarcosine,creatinine,pyroglutamic acid,GABA,alpha-glycerophosphocholine,N-carbamoyl-beta-alanine,cystathionine,SDMA/ADMA,malondialdehyde,C36:1 DAG,C18:0 LPC,alpha-glycerophosphate,2-deoxyadenosine,phosphocreatine,3-phosphoglycerate,PEP,inositol,2-deoxycytidine,uridine,DHAP/glyceraldehyde 3P,hypoxanthine
1154,2.0,1.0,24.0,55.0,11.0,0.0,26.0,58.0,33.0,34.0,28.0,16.0,7.0,20.0,63.0,29.0,62.0,18.0,12.0,42.0,45.0,10.0,5.0,43.0,25.0,19.0,38.0,3.0,23.0,4.0
1203,1.0,7.0,0.0,2.0,10.0,15.0,32.0,18.0,13.0,19.0,21.0,9.0,6.0,5.0,62.0,35.0,14.0,23.0,11.0,40.0,48.0,3.0,25.0,45.0,31.0,24.0,47.0,27.0,29.0,8.0
1252,1.0,0.0,9.0,30.0,5.0,20.0,65.0,18.0,40.0,36.0,61.0,8.0,13.0,10.0,23.0,4.0,15.0,52.0,22.0,7.0,31.0,16.0,3.0,25.0,11.0,29.0,63.0,32.0,34.0,66.0
1301,0.0,5.0,6.0,1.0,24.0,36.0,53.0,3.0,15.0,2.0,12.0,8.0,18.0,14.0,60.0,22.0,16.0,4.0,39.0,23.0,19.0,64.0,33.0,45.0,31.0,27.0,46.0,56.0,29.0,7.0
1350,0.0,3.0,7.0,2.0,48.0,1.0,8.0,60.0,21.0,40.0,46.0,27.0,20.0,6.0,18.0,16.0,19.0,65.0,31.0,42.0,47.0,13.0,56.0,24.0,28.0,25.0,55.0,29.0,11.0,9.0
1399,0.0,3.0,4.0,5.0,24.0,14.0,25.0,18.0,15.0,42.0,44.0,1.0,58.0,63.0,61.0,8.0,60.0,10.0,9.0,36.0,45.0,21.0,20.0,43.0,50.0,16.0,34.0,52.0,2.0,48.0
1448,0.0,1.0,4.0,3.0,9.0,45.0,29.0,6.0,16.0,23.0,18.0,7.0,13.0,5.0,56.0,26.0,14.0,8.0,10.0,20.0,46.0,61.0,52.0,2.0,30.0,33.0,19.0,55.0,28.0,32.0
1497,0.0,6.0,34.0,35.0,29.0,4.0,7.0,17.0,19.0,3.0,14.0,24.0,51.0,12.0,65.0,28.0,59.0,37.0,2.0,20.0,1.0,60.0,39.0,66.0,8.0,38.0,5.0,62.0,48.0,52.0
1546,20.0,10.0,30.0,6.0,4.0,1.0,35.0,26.0,16.0,9.0,8.0,64.0,54.0,59.0,58.0,3.0,12.0,56.0,24.0,19.0,2.0,15.0,32.0,11.0,29.0,28.0,25.0,0.0,39.0,31.0
1595,0.0,2.0,7.0,57.0,5.0,1.0,9.0,12.0,3.0,23.0,19.0,24.0,64.0,17.0,15.0,4.0,14.0,33.0,31.0,44.0,47.0,21.0,26.0,45.0,30.0,58.0,8.0,28.0,32.0,51.0
1644,0.0,30.0,10.0,3.0,25.0,46.0,34.0,21.0,7.0,9.0,19.0,12.0,16.0,61.0,18.0,5.0,17.0,6.0,1.0,39.0,49.0,20.0,11.0,47.0,31.0,23.0,4.0,24.0,8.0,52.0
1693,0.0,13.0,6.0,9.0,28.0,23.0,2.0,22.0,7.0,4.0,1.0,41.0,12.0,44.0,14.0,27.0,64.0,20.0,10.0,40.0,45.0,24.0,58.0,43.0,26.0,59.0,19.0,56.0,47.0,50.0
1742,0.0,7.0,5.0,55.0,11.0,16.0,2.0,14.0,6.0,18.0,22.0,34.0,61.0,64.0,10.0,28.0,19.0,13.0,3.0,21.0,27.0,4.0,30.0,41.0,51.0,8.0,1.0,53.0,9.0,29.0
1791,0.0,9.0,26.0,8.0,11.0,5.0,6.0,16.0,1.0,19.0,24.0,10.0,14.0,63.0,21.0,12.0,13.0,4.0,2.0,41.0,25.0,23.0,55.0,42.0,28.0,7.0,20.0,53.0,29.0,47.0
1840,6.0,18.0,3.0,7.0,10.0,29.0,5.0,19.0,22.0,2.0,65.0,33.0,23.0,16.0,14.0,11.0,15.0,1.0,9.0,31.0,44.0,25.0,57.0,24.0,4.0,8.0,12.0,55.0,26.0,50.0
1889,1.0,2.0,0.0,23.0,5.0,3.0,34.0,12.0,21.0,11.0,18.0,31.0,62.0,46.0,15.0,25.0,64.0,22.0,6.0,14.0,47.0,20.0,65.0,45.0,8.0,29.0,24.0,54.0,26.0,51.0
1938,1.0,12.0,2.0,56.0,24.0,0.0,7.0,9.0,3.0,30.0,27.0,18.0,63.0,6.0,15.0,23.0,64.0,57.0,28.0,37.0,42.0,31.0,55.0,40.0,4.0,10.0,13.0,53.0,29.0,47.0
1987,0.0,2.0,30.0,25.0,17.0,5.0,7.0,6.0,40.0,24.0,12.0,35.0,4.0,63.0,61.0,16.0,15.0,56.0,9.0,23.0,13.0,65.0,8.0,43.0,32.0,34.0,1.0,55.0,48.0,29.0
2036,1.0,5.0,9.0,28.0,27.0,21.0,2.0,14.0,17.0,12.0,4.0,19.0,10.0,62.0,60.0,26.0,6.0,65.0,8.0,16.0,24.0,54.0,22.0,13.0,51.0,3.0,30.0,0.0,7.0,29.0
2085,0.0,2.0,1.0,7.0,8.0,21.0,3.0,15.0,11.0,36.0,64.0,22.0,59.0,61.0,5.0,26.0,12.0,20.0,6.0,14.0,24.0,9.0,56.0,44.0,32.0,65.0,29.0,33.0,48.0,30.0
2134,0.0,3.0,31.0,7.0,48.0,1.0,5.0,15.0,11.0,39.0,64.0,18.0,21.0,16.0,61.0,9.0,10.0,19.0,25.0,23.0,46.0,28.0,2.0,22.0,4.0,12.0,65.0,55.0,49.0,29.0
2183,0.0,28.0,2.0,7.0,1.0,35.0,8.0,14.0,5.0,6.0,10.0,31.0,26.0,63.0,62.0,18.0,61.0,19.0,3.0,23.0,13.0,9.0,56.0,34.0,52.0,20.0,22.0,24.0,46.0,50.0
2232,1.0,5.0,30.0,32.0,11.0,7.0,27.0,6.0,8.0,23.0,61.0,20.0,54.0,14.0,0.0,47.0,56.0,52.0,9.0,42.0,34.0,17.0,65.0,2.0,28.0,35.0,3.0,62.0,36.0,29.0
2281,0.0,1.0,7.0,28.0,9.0,19.0,2.0,51.0,6.0,20.0,60.0,63.0,13.0,15.0,55.0,32.0,16.0,27.0,11.0,38.0,45.0,8.0,52.0,17.0,29.0,4.0,23.0,54.0,34.0,47.0
2330,0.0,1.0,30.0,15.0,3.0,7.0,5.0,9.0,34.0,4.0,28.0,32.0,31.0,22.0,17.0,46.0,62.0,58.0,27.0,11.0,29.0,54.0,57.0,33.0,21.0,14.0,42.0,6.0,26.0,50.0
2379,0.0,1.0,34.0,32.0,4.0,38.0,33.0,11.0,39.0,13.0,64.0,65.0,21.0,16.0,61.0,3.0,15.0,22.0,27.0,9.0,48.0,2.0,35.0,23.0,7.0,30.0,20.0,56.0,5.0,52.0
2428,6.0,0.0,8.0,34.0,5.0,7.0,29.0,1.0,19.0,20.0,58.0,54.0,12.0,61.0,9.0,28.0,13.0,26.0,4.0,37.0,27.0,10.0,2.0,15.0,30.0,33.0,23.0,31.0,35.0,52.0
2477,5.0,12.0,1.0,25.0,2.0,4.0,6.0,20.0,0.0,38.0,18.0,17.0,16.0,14.0,13.0,10.0,23.0,58.0,41.0,43.0,11.0,65.0,33.0,24.0,54.0,9.0,3.0,30.0,48.0,28.0
2526,0.0,6.0,27.0,8.0,2.0,1.0,30.0,15.0,13.0,32.0,63.0,43.0,12.0,17.0,60.0,33.0,59.0,20.0,31.0,36.0,40.0,18.0,50.0,3.0,29.0,52.0,7.0,25.0,10.0,11.0
2575,3.0,0.0,7.0,25.0,1.0,9.0,29.0,21.0,15.0,8.0,17.0,2.0,51.0,56.0,18.0,12.0,53.0,23.0,10.0,22.0,13.0,61.0,30.0,24.0,59.0,28.0,62.0,6.0,26.0,33.0
2624,0.0,1.0,8.0,28.0,6.0,11.0,9.0,10.0,12.0,5.0,19.0,36.0,62.0,18.0,63.0,25.0,17.0,56.0,7.0,23.0,24.0,54.0,22.0,13.0,30.0,14.0,29.0,2.0,47.0,49.0
2673,3.0,0.0,8.0,5.0,6.0,16.0,10.0,50.0,15.0,17.0,2.0,13.0,52.0,65.0,11.0,29.0,54.0,27.0,20.0,37.0,26.0,12.0,1.0,25.0,64.0,30.0,9.0,32.0,7.0,31.0
2722,0.0,2.0,9.0,31.0,6.0,1.0,30.0,11.0,16.0,8.0,62.0,47.0,13.0,59.0,14.0,5.0,57.0,27.0,37.0,45.0,3.0,64.0,51.0,10.0,48.0,25.0,22.0,54.0,28.0,35.0
2771,0.0,1.0,2.0,5.0,24.0,18.0,31.0,15.0,17.0,39.0,19.0,10.0,21.0,44.0,64.0,7.0,63.0,57.0,38.0,42.0,45.0,30.0,56.0,22.0,53.0,12.0,6.0,4.0,48.0,23.0
2820,3.0,15.0,32.0,6.0,2.0,0.0,30.0,24.0,20.0,37.0,14.0,17.0,56.0,12.0,59.0,5.0,65.0,53.0,45.0,47.0,1.0,23.0,33.0,10.0,64.0,54.0,16.0,7.0,31.0,26.0
2869,0.0,1.0,34.0,29.0,6.0,9.0,32.0,12.0,11.0,8.0,3.0,17.0,14.0,45.0,64.0,24.0,63.0,57.0,7.0,35.0,46.0,23.0,2.0,44.0,33.0,21.0,30.0,5.0,26.0,50.0
2918,1.0,0.0,5.0,21.0,3.0,2.0,8.0,20.0,16.0,9.0,19.0,28.0,59.0,4.0,62.0,25.0,61.0,11.0,6.0,42.0,45.0,44.0,22.0,10.0,53.0,7.0,54.0,31.0,27.0,49.0
2967,0.0,1.0,3.0,18.0,6.0,16.0,29.0,7.0,15.0,36.0,42.0,14.0,10.0,63.0,13.0,5.0,61.0,55.0,33.0,2.0,23.0,28.0,54.0,20.0,30.0,65.0,38.0,8.0,25.0,48.0
3016,24.0,0.0,2.0,4.0,29.0,6.0,32.0,12.0,5.0,7.0,60.0,20.0,14.0,16.0,55.0,11.0,54.0,33.0,9.0,3.0,10.0,62.0,28.0,1.0,61.0,50.0,63.0,57.0,41.0,35.0
3065,0.0,1.0,2.0,3.0,8.0,13.0,5.0,9.0,16.0,34.0,10.0,44.0,30.0,19.0,64.0,4.0,63.0,57.0,40.0,11.0,28.0,26.0,15.0,33.0,20.0,65.0,14.0,17.0,48.0,6.0
3114,1.0,9.0,6.0,14.0,11.0,4.0,29.0,60.0,21.0,40.0,12.0,20.0,16.0,19.0,63.0,0.0,62.0,56.0,33.0,39.0,25.0,3.0,23.0,42.0,27.0,15.0,35.0,5.0,46.0,49.0
3163,12.0,7.0,5.0,31.0,13.0,2.0,25.0,3.0,14.0,16.0,18.0,17.0,55.0,4.0,58.0,1.0,65.0,15.0,42.0,11.0,44.0,6.0,50.0,0.0,26.0,10.0,63.0,29.0,30.0,9.0
3212,11.0,0.0,4.0,26.0,18.0,8.0,10.0,21.0,38.0,31.0,2.0,15.0,61.0,17.0,63.0,16.0,62.0,29.0,3.0,30.0,14.0,65.0,1.0,24.0,27.0,25.0,12.0,28.0,23.0,51.0
3261,20.0,0.0,2.0,30.0,35.0,18.0,33.0,3.0,7.0,38.0,57.0,25.0,10.0,60.0,12.0,4.0,11.0,64.0,46.0,40.0,47.0,14.0,31.0,8.0,36.0,29.0,54.0,34.0,43.0,6.0
3310,1.0,3.0,9.0,24.0,5.0,15.0,30.0,13.0,14.0,16.0,20.0,44.0,22.0,18.0,62.0,48.0,61.0,23.0,6.0,39.0,29.0,21.0,0.0,45.0,54.0,57.0,26.0,28.0,31.0,51.0
3359,4.0,0.0,3.0,2.0,1.0,8.0,10.0,18.0,17.0,35.0,6.0,31.0,29.0,26.0,62.0,19.0,61.0,56.0,24.0,23.0,14.0,12.0,5.0,43.0,28.0,65.0,25.0,27.0,47.0,13.0
3408,3.0,8.0,29.0,26.0,1.0,15.0,31.0,14.0,23.0,13.0,45.0,5.0,61.0,63.0,62.0,0.0,16.0,56.0,7.0,38.0,27.0,6.0,25.0,43.0,30.0,10.0,4.0,28.0,48.0,2.0
3457,6.0,0.0,2.0,3.0,1.0,23.0,33.0,5.0,22.0,24.0,10.0,13.0,62.0,64.0,15.0,26.0,16.0,31.0,34.0,40.0,17.0,7.0,4.0,42.0,32.0,56.0,54.0,55.0,8.0,29.0
3506,3.0,17.0,10.0,14.0,6.0,1.0,2.0,7.0,0.0,12.0,9.0,8.0,32.0,21.0,13.0,29.0,4.0,57.0,39.0,35.0,30.0,15.0,5.0,33.0,20.0,56.0,65.0,54.0,28.0,24.0
3555,1.0,0.0,25.0,31.0,10.0,2.0,6.0,14.0,7.0,39.0,45.0,18.0,21.0,63.0,20.0,48.0,11.0,12.0,26.0,35.0,46.0,8.0,3.0,43.0,52.0,56.0,22.0,54.0,50.0,30.0
3604,28.0,4.0,9.0,21.0,27.0,14.0,3.0,5.0,2.0,40.0,8.0,19.0,10.0,44.0,18.0,12.0,63.0,13.0,6.0,26.0,25.0,22.0,0.0,42.0,55.0,17.0,11.0,1.0,47.0,50.0
3653,21.0,0.0,8.0,1.0,9.0,2.0,4.0,26.0,3.0,36.0,7.0,19.0,52.0,56.0,15.0,31.0,13.0,10.0,24.0,38.0,11.0,61.0,12.0,16.0,59.0,30.0,62.0,6.0,33.0,32.0
3702,21.0,7.0,0.0,3.0,12.0,2.0,6.0,13.0,5.0,18.0,11.0,25.0,60.0,62.0,15.0,28.0,14.0,65.0,10.0,35.0,1.0,54.0,4.0,33.0,22.0,16.0,42.0,9.0,46.0,50.0
3751,2.0,3.0,1.0,0.0,4.0,8.0,30.0,14.0,5.0,32.0,64.0,12.0,20.0,62.0,10.0,23.0,61.0,6.0,25.0,36.0,11.0,17.0,9.0,21.0,31.0,18.0,55.0,22.0,24.0,52.0
3800,2.0,6.0,5.0,32.0,3.0,10.0,9.0,7.0,13.0,38.0,19.0,20.0,60.0,64.0,15.0,27.0,62.0,21.0,33.0,11.0,25.0,24.0,0.0,43.0,28.0,22.0,23.0,1.0,29.0,51.0
3849,2.0,4.0,5.0,9.0,3.0,16.0,7.0,15.0,14.0,38.0,44.0,17.0,20.0,63.0,13.0,46.0,19.0,6.0,10.0,40.0,12.0,54.0,1.0,42.0,23.0,8.0,21.0,22.0,28.0,50.0
3898,2.0,14.0,0.0,32.0,1.0,10.0,6.0,4.0,12.0,38.0,60.0,9.0,53.0,20.0,21.0,30.0,55.0,48.0,19.0,40.0,11.0,62.0,33.0,66.0,61.0,52.0,7.0,56.0,28.0,29.0
3947,0.0,12.0,3.0,6.0,1.0,15.0,33.0,9.0,14.0,16.0,53.0,13.0,61.0,8.0,17.0,43.0,63.0,55.0,27.0,21.0,23.0,18.0,65.0,41.0,4.0,19.0,39.0,22.0,45.0,2.0
