,Bax,Caspase-7_cleavedD198,VAV1,SHP-2_pY542,p21,XBP1,PI3K-p110-alpha,4E-BP1,FRA1,14-3-3_zeta,MSH6,Cyclin_D1,Annexin 1,TSC1,beta Actin,Porin,JNK_pT183_Y185,GATA3,Cyclin_B1,p38_pT180_Y182,Lck,p70S6K_pT389,HSP70,C-Raf(MP05-739),p27_pT157,Smac,MIG-6,AMPK_pT172,CDK1,IGFBP2
3,2.0,0.0,4.0,3.0,11.0,6.0,10.0,1.0,5.0,32.0,13.0,8.0,34.0,51.0,25.0,35.0,9.0,27.0,84.0,22.0,48.0,16.0,112.0,14.0,20.0,23.0,7.0,101.0,15.0,81.0
52,0.0,2.0,6.0,3.0,15.0,1.0,7.0,9.0,10.0,32.0,23.0,8.0,28.0,24.0,31.0,25.0,12.0,16.0,21.0,33.0,5.0,17.0,112.0,19.0,18.0,30.0,20.0,40.0,27.0,111.0
101,22.0,1.0,6.0,2.0,23.0,4.0,3.0,0.0,13.0,5.0,53.0,9.0,44.0,40.0,15.0,19.0,12.0,11.0,28.0,37.0,26.0,27.0,124.0,10.0,32.0,8.0,30.0,34.0,45.0,14.0
150,3.0,2.0,1.0,5.0,8.0,10.0,18.0,14.0,15.0,43.0,13.0,4.0,7.0,24.0,11.0,19.0,17.0,12.0,23.0,45.0,82.0,20.0,121.0,6.0,34.0,30.0,0.0,38.0,92.0,127.0
199,1.0,0.0,16.0,3.0,4.0,2.0,21.0,9.0,5.0,19.0,12.0,25.0,7.0,41.0,34.0,8.0,20.0,23.0,30.0,18.0,11.0,38.0,45.0,28.0,6.0,10.0,14.0,124.0,26.0,39.0
248,0.0,2.0,5.0,4.0,14.0,1.0,11.0,6.0,8.0,18.0,32.0,17.0,26.0,21.0,22.0,9.0,15.0,128.0,31.0,47.0,37.0,13.0,115.0,12.0,44.0,23.0,3.0,19.0,7.0,24.0
297,1.0,20.0,9.0,10.0,5.0,4.0,3.0,23.0,29.0,47.0,0.0,2.0,13.0,53.0,6.0,45.0,27.0,44.0,38.0,17.0,15.0,25.0,122.0,26.0,32.0,69.0,11.0,105.0,43.0,12.0
346,3.0,1.0,28.0,5.0,6.0,0.0,19.0,4.0,9.0,35.0,2.0,14.0,15.0,31.0,10.0,38.0,33.0,22.0,29.0,17.0,12.0,8.0,110.0,7.0,13.0,11.0,20.0,87.0,27.0,109.0
395,0.0,1.0,5.0,3.0,9.0,2.0,22.0,4.0,19.0,31.0,16.0,10.0,27.0,61.0,14.0,25.0,24.0,26.0,32.0,17.0,76.0,7.0,115.0,8.0,15.0,18.0,6.0,37.0,12.0,114.0
444,5.0,1.0,9.0,2.0,0.0,6.0,10.0,4.0,7.0,24.0,12.0,3.0,27.0,31.0,102.0,65.0,16.0,14.0,21.0,42.0,34.0,26.0,25.0,40.0,15.0,11.0,54.0,30.0,18.0,35.0
493,1.0,4.0,10.0,5.0,2.0,7.0,12.0,22.0,43.0,3.0,25.0,6.0,8.0,34.0,13.0,68.0,37.0,41.0,19.0,47.0,9.0,28.0,29.0,14.0,48.0,0.0,20.0,101.0,11.0,30.0
542,1.0,5.0,0.0,4.0,12.0,8.0,24.0,3.0,35.0,10.0,7.0,13.0,11.0,14.0,30.0,38.0,21.0,25.0,6.0,15.0,48.0,19.0,20.0,32.0,53.0,2.0,34.0,36.0,17.0,31.0
591,0.0,1.0,16.0,2.0,10.0,17.0,6.0,4.0,7.0,9.0,22.0,3.0,23.0,33.0,26.0,11.0,27.0,13.0,21.0,56.0,37.0,29.0,28.0,8.0,36.0,5.0,15.0,32.0,12.0,24.0
640,0.0,1.0,6.0,4.0,2.0,7.0,27.0,3.0,38.0,17.0,32.0,5.0,11.0,33.0,104.0,29.0,35.0,19.0,9.0,14.0,28.0,22.0,37.0,8.0,45.0,10.0,55.0,26.0,12.0,23.0
689,0.0,6.0,9.0,2.0,1.0,10.0,14.0,3.0,4.0,11.0,51.0,5.0,22.0,12.0,21.0,38.0,30.0,24.0,8.0,36.0,42.0,13.0,70.0,18.0,33.0,7.0,27.0,41.0,15.0,17.0
738,0.0,2.0,7.0,13.0,1.0,3.0,66.0,12.0,11.0,6.0,16.0,8.0,4.0,28.0,15.0,21.0,38.0,30.0,5.0,23.0,31.0,32.0,36.0,19.0,18.0,9.0,46.0,100.0,22.0,122.0
787,0.0,1.0,11.0,3.0,2.0,6.0,10.0,5.0,24.0,8.0,16.0,12.0,13.0,18.0,27.0,19.0,26.0,22.0,7.0,35.0,17.0,20.0,105.0,32.0,34.0,4.0,52.0,33.0,25.0,28.0
836,1.0,2.0,0.0,3.0,5.0,14.0,16.0,13.0,11.0,17.0,12.0,4.0,6.0,27.0,20.0,22.0,32.0,19.0,9.0,15.0,10.0,38.0,26.0,35.0,44.0,8.0,49.0,118.0,21.0,25.0
885,0.0,2.0,5.0,3.0,1.0,6.0,19.0,4.0,15.0,7.0,10.0,9.0,13.0,35.0,14.0,42.0,33.0,18.0,34.0,23.0,20.0,12.0,29.0,27.0,43.0,16.0,24.0,36.0,17.0,11.0
934,1.0,0.0,14.0,2.0,17.0,32.0,31.0,3.0,19.0,10.0,12.0,13.0,7.0,23.0,22.0,28.0,11.0,18.0,15.0,26.0,54.0,16.0,6.0,27.0,41.0,8.0,29.0,44.0,4.0,21.0
983,1.0,8.0,0.0,3.0,9.0,14.0,7.0,12.0,27.0,2.0,6.0,84.0,34.0,30.0,10.0,5.0,33.0,20.0,13.0,58.0,69.0,25.0,4.0,17.0,29.0,24.0,28.0,15.0,22.0,37.0
1032,2.0,8.0,1.0,0.0,21.0,15.0,10.0,13.0,20.0,7.0,35.0,17.0,22.0,4.0,11.0,84.0,14.0,9.0,24.0,40.0,12.0,5.0,30.0,18.0,33.0,3.0,42.0,104.0,34.0,25.0
1081,0.0,4.0,1.0,2.0,25.0,9.0,7.0,14.0,12.0,16.0,11.0,35.0,5.0,3.0,26.0,18.0,17.0,31.0,8.0,33.0,22.0,15.0,6.0,34.0,21.0,60.0,13.0,28.0,39.0,19.0
1130,0.0,4.0,1.0,7.0,24.0,6.0,12.0,9.0,15.0,27.0,2.0,20.0,18.0,3.0,5.0,10.0,13.0,17.0,33.0,16.0,40.0,35.0,8.0,25.0,11.0,29.0,47.0,21.0,86.0,26.0
1179,4.0,3.0,2.0,1.0,11.0,5.0,0.0,7.0,16.0,33.0,10.0,14.0,13.0,29.0,6.0,8.0,12.0,26.0,23.0,21.0,36.0,15.0,18.0,24.0,20.0,9.0,27.0,105.0,92.0,32.0
1228,0.0,11.0,2.0,1.0,10.0,20.0,5.0,25.0,9.0,7.0,4.0,28.0,19.0,17.0,15.0,12.0,8.0,34.0,89.0,29.0,18.0,14.0,6.0,26.0,3.0,36.0,31.0,24.0,35.0,129.0
1277,1.0,3.0,2.0,0.0,23.0,11.0,5.0,7.0,4.0,17.0,28.0,21.0,39.0,10.0,16.0,13.0,22.0,41.0,15.0,8.0,38.0,20.0,6.0,37.0,12.0,30.0,18.0,9.0,34.0,14.0
1326,0.0,4.0,2.0,1.0,19.0,14.0,3.0,6.0,24.0,12.0,5.0,28.0,9.0,18.0,8.0,7.0,13.0,30.0,22.0,20.0,40.0,29.0,11.0,32.0,21.0,25.0,31.0,15.0,38.0,34.0
1375,0.0,2.0,1.0,3.0,4.0,24.0,6.0,5.0,15.0,18.0,9.0,10.0,20.0,33.0,11.0,17.0,12.0,32.0,8.0,7.0,19.0,21.0,22.0,30.0,27.0,35.0,25.0,13.0,97.0,31.0
1424,0.0,35.0,3.0,2.0,15.0,22.0,1.0,14.0,16.0,8.0,5.0,11.0,9.0,6.0,18.0,12.0,42.0,36.0,20.0,68.0,21.0,7.0,4.0,33.0,27.0,26.0,29.0,19.0,121.0,17.0
1473,22.0,4.0,5.0,3.0,16.0,26.0,2.0,1.0,8.0,31.0,47.0,15.0,30.0,0.0,19.0,32.0,20.0,13.0,6.0,48.0,33.0,23.0,114.0,36.0,9.0,28.0,45.0,29.0,10.0,7.0
1522,0.0,16.0,2.0,6.0,5.0,14.0,3.0,4.0,8.0,28.0,23.0,20.0,9.0,1.0,32.0,71.0,83.0,120.0,104.0,35.0,27.0,7.0,18.0,26.0,29.0,31.0,12.0,37.0,11.0,19.0
1571,0.0,6.0,2.0,10.0,7.0,17.0,12.0,11.0,25.0,29.0,8.0,15.0,101.0,1.0,94.0,9.0,18.0,24.0,23.0,16.0,46.0,5.0,41.0,31.0,14.0,37.0,48.0,102.0,4.0,126.0
1620,0.0,9.0,2.0,15.0,4.0,18.0,5.0,3.0,7.0,38.0,6.0,13.0,16.0,1.0,17.0,22.0,19.0,29.0,11.0,12.0,20.0,27.0,31.0,39.0,8.0,83.0,40.0,109.0,21.0,10.0
1669,0.0,3.0,4.0,20.0,8.0,17.0,7.0,5.0,6.0,125.0,32.0,1.0,38.0,2.0,24.0,30.0,28.0,14.0,21.0,13.0,83.0,29.0,19.0,31.0,11.0,23.0,53.0,106.0,12.0,10.0
1718,0.0,8.0,1.0,10.0,2.0,44.0,7.0,6.0,3.0,38.0,37.0,4.0,34.0,5.0,27.0,76.0,20.0,18.0,12.0,29.0,32.0,13.0,115.0,15.0,19.0,56.0,23.0,96.0,95.0,114.0
1767,0.0,10.0,5.0,17.0,27.0,12.0,9.0,4.0,7.0,13.0,20.0,26.0,31.0,2.0,25.0,22.0,16.0,14.0,6.0,1.0,69.0,29.0,114.0,19.0,15.0,37.0,54.0,87.0,39.0,18.0
1816,0.0,20.0,28.0,14.0,5.0,16.0,9.0,3.0,1.0,37.0,6.0,19.0,15.0,4.0,103.0,2.0,18.0,17.0,13.0,27.0,12.0,24.0,117.0,48.0,44.0,39.0,41.0,43.0,8.0,11.0
1865,0.0,10.0,7.0,6.0,18.0,9.0,1.0,2.0,3.0,22.0,13.0,14.0,30.0,5.0,8.0,12.0,4.0,28.0,11.0,31.0,40.0,24.0,124.0,92.0,16.0,37.0,54.0,27.0,33.0,38.0
1914,0.0,7.0,23.0,20.0,1.0,11.0,22.0,2.0,14.0,41.0,44.0,6.0,8.0,3.0,5.0,21.0,10.0,26.0,24.0,4.0,119.0,16.0,29.0,34.0,15.0,32.0,42.0,19.0,13.0,38.0
1963,0.0,1.0,6.0,9.0,17.0,26.0,13.0,29.0,10.0,2.0,24.0,14.0,11.0,20.0,16.0,40.0,60.0,32.0,113.0,48.0,23.0,50.0,34.0,18.0,35.0,5.0,7.0,22.0,115.0,39.0
2012,1.0,0.0,4.0,6.0,7.0,18.0,36.0,107.0,19.0,8.0,5.0,23.0,14.0,2.0,39.0,11.0,58.0,31.0,3.0,51.0,102.0,42.0,28.0,9.0,47.0,35.0,46.0,118.0,100.0,111.0
2061,1.0,0.0,3.0,6.0,18.0,54.0,11.0,23.0,2.0,109.0,9.0,86.0,17.0,10.0,27.0,4.0,52.0,15.0,7.0,24.0,30.0,50.0,12.0,5.0,19.0,21.0,44.0,13.0,92.0,32.0
2110,0.0,1.0,17.0,5.0,3.0,8.0,18.0,12.0,7.0,6.0,2.0,22.0,13.0,4.0,19.0,20.0,36.0,11.0,10.0,24.0,34.0,28.0,15.0,14.0,33.0,21.0,38.0,37.0,91.0,112.0
2159,6.0,0.0,3.0,2.0,1.0,15.0,13.0,10.0,14.0,8.0,11.0,7.0,22.0,4.0,35.0,24.0,83.0,5.0,29.0,42.0,28.0,59.0,12.0,9.0,16.0,20.0,53.0,27.0,91.0,115.0
2208,28.0,1.0,0.0,4.0,8.0,11.0,12.0,24.0,33.0,3.0,53.0,89.0,26.0,2.0,93.0,75.0,25.0,9.0,10.0,19.0,13.0,40.0,106.0,17.0,6.0,7.0,21.0,37.0,20.0,27.0
2257,2.0,0.0,3.0,15.0,10.0,5.0,1.0,22.0,4.0,6.0,7.0,31.0,13.0,12.0,35.0,25.0,83.0,14.0,19.0,46.0,34.0,43.0,28.0,26.0,11.0,23.0,27.0,16.0,97.0,128.0
2306,0.0,2.0,7.0,3.0,8.0,32.0,6.0,19.0,1.0,23.0,5.0,15.0,25.0,22.0,30.0,9.0,84.0,4.0,36.0,45.0,31.0,61.0,14.0,24.0,10.0,27.0,26.0,35.0,91.0,124.0
2355,0.0,6.0,1.0,16.0,7.0,49.0,4.0,33.0,2.0,14.0,5.0,10.0,8.0,12.0,22.0,29.0,83.0,27.0,20.0,11.0,18.0,54.0,36.0,3.0,31.0,21.0,44.0,32.0,93.0,112.0
2404,0.0,1.0,2.0,17.0,6.0,19.0,8.0,35.0,37.0,4.0,10.0,31.0,7.0,3.0,23.0,28.0,41.0,5.0,26.0,55.0,22.0,34.0,40.0,45.0,16.0,33.0,49.0,32.0,42.0,39.0
2453,0.0,4.0,12.0,2.0,7.0,6.0,1.0,3.0,19.0,18.0,8.0,16.0,10.0,26.0,31.0,84.0,60.0,29.0,23.0,17.0,11.0,14.0,13.0,22.0,37.0,43.0,5.0,9.0,49.0,33.0
2502,0.0,12.0,6.0,7.0,4.0,23.0,1.0,18.0,24.0,9.0,10.0,43.0,15.0,8.0,98.0,81.0,85.0,113.0,13.0,41.0,11.0,16.0,14.0,26.0,49.0,36.0,5.0,2.0,35.0,3.0
2551,0.0,23.0,8.0,1.0,3.0,39.0,2.0,21.0,38.0,13.0,4.0,28.0,11.0,9.0,26.0,7.0,57.0,18.0,29.0,22.0,17.0,27.0,5.0,25.0,34.0,71.0,15.0,12.0,95.0,6.0
2600,0.0,5.0,18.0,2.0,10.0,7.0,1.0,9.0,30.0,3.0,29.0,24.0,16.0,8.0,110.0,14.0,46.0,117.0,19.0,23.0,39.0,13.0,26.0,37.0,52.0,36.0,43.0,4.0,93.0,12.0
2649,0.0,18.0,20.0,24.0,27.0,35.0,1.0,111.0,123.0,118.0,3.0,11.0,2.0,17.0,12.0,19.0,84.0,40.0,15.0,26.0,25.0,6.0,13.0,23.0,44.0,79.0,16.0,4.0,98.0,5.0
2698,0.0,7.0,5.0,6.0,16.0,43.0,1.0,45.0,30.0,19.0,8.0,18.0,2.0,17.0,36.0,28.0,84.0,123.0,15.0,25.0,12.0,4.0,14.0,21.0,60.0,31.0,11.0,3.0,86.0,9.0
2747,0.0,2.0,14.0,16.0,24.0,9.0,5.0,112.0,90.0,15.0,3.0,19.0,26.0,4.0,32.0,8.0,42.0,124.0,12.0,48.0,38.0,1.0,27.0,41.0,50.0,83.0,7.0,10.0,30.0,22.0
2796,0.0,7.0,22.0,4.0,18.0,6.0,1.0,25.0,127.0,21.0,2.0,17.0,14.0,9.0,3.0,38.0,39.0,24.0,42.0,15.0,41.0,11.0,10.0,37.0,32.0,46.0,8.0,5.0,29.0,12.0
2845,3.0,11.0,18.0,4.0,20.0,34.0,1.0,8.0,40.0,27.0,13.0,29.0,10.0,33.0,26.0,15.0,47.0,9.0,6.0,43.0,0.0,14.0,24.0,22.0,38.0,30.0,25.0,31.0,41.0,2.0
2894,0.0,16.0,14.0,3.0,32.0,12.0,19.0,15.0,118.0,11.0,2.0,9.0,4.0,10.0,36.0,44.0,57.0,124.0,25.0,23.0,18.0,6.0,13.0,24.0,52.0,31.0,8.0,1.0,99.0,5.0
2943,0.0,4.0,1.0,8.0,2.0,3.0,28.0,27.0,6.0,16.0,14.0,17.0,5.0,15.0,24.0,10.0,21.0,25.0,7.0,18.0,12.0,49.0,22.0,101.0,29.0,79.0,34.0,20.0,13.0,108.0
2992,0.0,5.0,1.0,7.0,2.0,3.0,12.0,20.0,24.0,33.0,18.0,14.0,9.0,4.0,94.0,11.0,22.0,31.0,15.0,8.0,27.0,47.0,28.0,29.0,13.0,65.0,10.0,37.0,16.0,124.0
3041,0.0,3.0,2.0,19.0,5.0,1.0,17.0,18.0,4.0,11.0,38.0,15.0,13.0,7.0,106.0,8.0,50.0,120.0,16.0,29.0,20.0,48.0,22.0,24.0,27.0,67.0,21.0,14.0,6.0,116.0
3090,0.0,5.0,2.0,22.0,1.0,3.0,14.0,11.0,8.0,4.0,12.0,15.0,6.0,23.0,101.0,9.0,83.0,17.0,10.0,38.0,13.0,46.0,16.0,30.0,35.0,61.0,43.0,21.0,93.0,113.0
3139,0.0,3.0,2.0,9.0,1.0,4.0,30.0,21.0,7.0,24.0,5.0,33.0,6.0,14.0,31.0,23.0,55.0,27.0,8.0,17.0,22.0,50.0,18.0,28.0,13.0,35.0,25.0,104.0,12.0,124.0
3188,1.0,0.0,2.0,30.0,3.0,4.0,20.0,8.0,5.0,9.0,7.0,90.0,13.0,31.0,27.0,14.0,12.0,123.0,11.0,15.0,33.0,41.0,10.0,22.0,24.0,32.0,19.0,25.0,17.0,109.0
3237,0.0,7.0,1.0,18.0,2.0,4.0,21.0,14.0,3.0,6.0,26.0,25.0,13.0,20.0,34.0,36.0,11.0,122.0,12.0,19.0,27.0,47.0,16.0,32.0,17.0,30.0,5.0,33.0,10.0,109.0
3286,0.0,4.0,3.0,7.0,1.0,2.0,18.0,5.0,16.0,9.0,22.0,32.0,17.0,12.0,99.0,8.0,11.0,121.0,89.0,27.0,14.0,57.0,118.0,37.0,26.0,80.0,36.0,19.0,6.0,119.0
3335,2.0,3.0,0.0,7.0,13.0,1.0,14.0,28.0,21.0,4.0,6.0,29.0,15.0,10.0,27.0,35.0,82.0,112.0,16.0,26.0,12.0,50.0,20.0,91.0,36.0,31.0,11.0,8.0,9.0,121.0
3384,0.0,7.0,2.0,6.0,3.0,1.0,17.0,5.0,8.0,12.0,19.0,42.0,39.0,41.0,16.0,40.0,18.0,10.0,36.0,22.0,13.0,52.0,11.0,102.0,30.0,34.0,81.0,9.0,15.0,116.0
3433,0.0,4.0,2.0,1.0,7.0,3.0,13.0,108.0,20.0,8.0,22.0,15.0,17.0,14.0,11.0,12.0,16.0,37.0,25.0,5.0,35.0,38.0,39.0,9.0,10.0,29.0,28.0,32.0,30.0,43.0
3482,2.0,3.0,1.0,0.0,5.0,12.0,20.0,36.0,8.0,7.0,16.0,27.0,9.0,22.0,4.0,15.0,19.0,41.0,13.0,14.0,77.0,6.0,107.0,10.0,32.0,80.0,18.0,11.0,31.0,106.0
3531,1.0,3.0,0.0,4.0,5.0,2.0,21.0,12.0,7.0,6.0,38.0,10.0,13.0,15.0,23.0,31.0,19.0,11.0,29.0,24.0,41.0,16.0,43.0,9.0,50.0,35.0,32.0,8.0,25.0,17.0
3580,1.0,2.0,17.0,3.0,10.0,0.0,20.0,12.0,7.0,6.0,9.0,11.0,35.0,14.0,4.0,13.0,39.0,24.0,90.0,8.0,82.0,5.0,23.0,25.0,34.0,16.0,19.0,18.0,29.0,112.0
3629,0.0,2.0,1.0,4.0,6.0,3.0,12.0,18.0,8.0,5.0,31.0,16.0,14.0,27.0,7.0,10.0,20.0,32.0,24.0,39.0,25.0,13.0,28.0,15.0,17.0,65.0,22.0,9.0,38.0,23.0
3678,0.0,3.0,2.0,4.0,10.0,1.0,32.0,18.0,12.0,9.0,14.0,7.0,25.0,6.0,15.0,8.0,19.0,41.0,13.0,37.0,35.0,5.0,40.0,11.0,21.0,34.0,39.0,23.0,29.0,108.0
3727,0.0,1.0,2.0,5.0,16.0,6.0,54.0,4.0,7.0,30.0,36.0,10.0,19.0,22.0,99.0,27.0,11.0,9.0,12.0,17.0,23.0,8.0,107.0,3.0,37.0,33.0,47.0,15.0,13.0,106.0
3776,5.0,3.0,0.0,1.0,4.0,2.0,23.0,17.0,19.0,14.0,36.0,9.0,12.0,13.0,18.0,27.0,10.0,11.0,6.0,37.0,16.0,8.0,22.0,7.0,38.0,21.0,31.0,15.0,100.0,20.0
3825,0.0,6.0,2.0,5.0,3.0,1.0,13.0,10.0,9.0,7.0,17.0,18.0,19.0,42.0,4.0,11.0,40.0,14.0,30.0,20.0,22.0,16.0,27.0,12.0,36.0,71.0,39.0,33.0,24.0,37.0
